,Unnamed: 0,age,workclass,fnlwgt,education,education_num,marital-status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
31,0<x<282,17<x<35, Federal-gov,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Adm-clerical, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
32,0<x<282,17<x<35, State-gov,274186<x<527198, Some-college,8<x<12, Married-civ-spouse, Other-service, Husband, Black, Male,x=0,x=0,1<x<25, United-States,LOW
33,0<x<282,35<x<53, Private,21174<x<274186, 11th,4<x<8, Never-married, Machine-op-inspct, Unmarried, White, Male,x=0,x=0,25<x<50, Puerto-Rico,LOW
34,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Machine-op-inspct, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
35,0<x<282,17<x<35, Private,527198<x<780210, HS-grad,8<x<12, Married-AF-spouse, Adm-clerical, Wife, White, Female,x=0,x=0,1<x<25, United-States,LOW
36,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, Assoc-acdm,8<x<12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
37,0<x<282,17<x<35, Private,274186<x<527198, 9th,4<x<8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
38,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
39,0<x<282,17<x<35, Private,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Tech-support, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
40,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Separated, Adm-clerical, Unmarried, White, Female,x=0,x=0,25<x<50, United-States,LOW
41,0<x<282,17<x<35, Private,274186<x<527198, HS-grad,8<x<12, Never-married, Handlers-cleaners, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
42,0<x<282,53<x<71, Federal-gov,274186<x<527198, Bachelors,x>12, Married-civ-spouse, Prof-specialty, Husband, Black, Male,x=0,x=0,25<x<50, United-States,HIGH
43,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
44,0<x<282,35<x<53, Private,21174<x<274186, Masters,x>12, Divorced, Exec-managerial, Unmarried, White, Female,x=0,x=0,25<x<50, United-States,LOW
45,0<x<282,35<x<53, State-gov,21174<x<274186, Assoc-voc,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
46,0<x<282,17<x<35, Private,21174<x<274186, Assoc-voc,8<x<12, Never-married, Prof-specialty, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
47,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Exec-managerial, Wife, Other, Female,x=0,x=0,25<x<50, United-States,LOW
48,0<x<282,35<x<53, Private,21174<x<274186, Prof-school,x>12, Married-civ-spouse, Prof-specialty, Wife, White, Female,x=0,x>1811,50<x<74, Honduras,HIGH
49,0<x<282,35<x<53, Federal-gov,21174<x<274186, Bachelors,x>12, Divorced, Exec-managerial, Not-in-family, White, Male,x=0,x=0,50<x<74, United-States,HIGH
50,0<x<282,35<x<53, Self-emp-inc,21174<x<274186, HS-grad,8<x<12, Divorced, Exec-managerial, Not-in-family, White, Male,x=0,x=0,50<x<74, United-States,LOW
51,0<x<282,35<x<53, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Tech-support, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
52,0<x<282,35<x<53, Private,21174<x<274186, 5th-6th,1<x<4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,x=0,x=0,25<x<50, Mexico,LOW
53,0<x<282,17<x<35, Private,21174<x<274186, Assoc-voc,8<x<12, Married-civ-spouse, Other-service, Husband, White, Male,x=0,x=0,25<x<50, Puerto-Rico,LOW
54,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Adm-clerical, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
55,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0<x<6309,x=0,25<x<50, United-States,LOW
56,0<x<282,17<x<35, Private,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Sales, Husband, White, Male,0<x<6309,x=0,25<x<50, United-States,LOW
57,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Transport-moving, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
58,0<x<282,35<x<53, Private,21174<x<274186, Doctorate,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
59,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Divorced, Tech-support, Not-in-family, White, Male,x=0,x=0,50<x<74, United-States,LOW
60,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
61,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Divorced, Adm-clerical, Not-in-family, White, Female,x=0,x=0,25<x<50, United-States,LOW
62,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Adm-clerical, Wife, White, Female,x=0,x=0,25<x<50, United-States,HIGH
63,0<x<282,35<x<53, Self-emp-inc,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Exec-managerial, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
64,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Prof-specialty, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
65,0<x<282,17<x<35, Private,274186<x<527198, Bachelors,x>12, Separated, Sales, Own-child, Black, Female,x=0,x=0,25<x<50, United-States,LOW
66,0<x<282,17<x<35, Self-emp-not-inc,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,50<x<74, United-States,HIGH
67,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Machine-op-inspct, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
68,0<x<282,x>71, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,x=0,x=0,1<x<25, United-States,LOW
69,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Other-service, Own-child, White, Male,x=0,x=0,25<x<50, Mexico,LOW
70,0<x<282,35<x<53, Private,21174<x<274186, Assoc-acdm,8<x<12, Married-civ-spouse, Adm-clerical, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
71,0<x<282,17<x<35, Private,274186<x<527198, 11th,4<x<8, Never-married, Other-service, Own-child, White, Female,x=0,x=0,1<x<25, United-States,LOW
72,0<x<282,17<x<35, Local-gov,21174<x<274186, 7th-8th,1<x<4, Married-civ-spouse, Farming-fishing, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
73,0<x<282,17<x<35, Private,274186<x<527198, HS-grad,8<x<12, Never-married, Sales, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
74,0<x<282,35<x<53, Private,274186<x<527198, Bachelors,x>12, Married-civ-spouse, Other-service, Husband, White, Male,x=0,x=0,25<x<50, Cuba,LOW
75,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Other-service, Wife, White, Female,x=0,x=0,25<x<50, United-States,LOW
76,0<x<282,53<x<71, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
77,0<x<282,35<x<53, Private,274186<x<527198, HS-grad,8<x<12, Divorced, Craft-repair, Not-in-family, White, Female,12618<x<18927,x=0,25<x<50, United-States,HIGH
78,0<x<282,35<x<53, Private,274186<x<527198, HS-grad,8<x<12, Divorced, Sales, Own-child, White, Female,x=0,x=0,25<x<50, United-States,LOW
79,0<x<282,35<x<53, Local-gov,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Protective-serv, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
80,0<x<282,17<x<35, Private,21174<x<274186, Masters,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
81,0<x<282,17<x<35, Private,21174<x<274186, 9th,4<x<8, Never-married, Sales, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
82,0<x<282,35<x<53, Federal-gov,274186<x<527198, Doctorate,x>12, Never-married, Prof-specialty, Not-in-family, White, Female,x=0,x=0,25<x<50, United-States,HIGH
83,0<x<282,53<x<71, Private,21174<x<274186, Assoc-voc,8<x<12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
84,0<x<282,35<x<53, Private,274186<x<527198, Some-college,8<x<12, Divorced, Craft-repair, Unmarried, White, Female,x=0,x=0,25<x<50, United-States,LOW
85,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Divorced, Machine-op-inspct, Unmarried, Black, Female,x=0,x=0,1<x<25, United-States,LOW
86,0<x<282,17<x<35, Local-gov,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Protective-serv, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
87,0<x<282,17<x<35, Local-gov,21174<x<274186, Some-college,8<x<12, Never-married, Handlers-cleaners, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
88,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, Doctorate,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x>1811,50<x<74, United-States,HIGH
89,0<x<282,35<x<53, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
90,0<x<282,35<x<53, Private,21174<x<274186, Assoc-acdm,8<x<12, Divorced, Exec-managerial, Unmarried, White, Female,x=0,x=0,25<x<50, England,LOW
91,0<x<282,17<x<35, Federal-gov,21174<x<274186, HS-grad,8<x<12, Never-married, Other-service, Own-child, Black, Male,x=0,x=0,25<x<50, United-States,LOW
92,0<x<282,x>71, Private,21174<x<274186, Masters,x>12, Married-civ-spouse, Exec-managerial, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
93,0<x<282,35<x<53, Private,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Exec-managerial, Husband, White, Male,12618<x<18927,x=0,50<x<74, United-States,HIGH
94,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, Masters,x>12, Never-married, Prof-specialty, Not-in-family, White, Female,x=0,x=0,25<x<50, United-States,LOW
95,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Tech-support, Own-child, White, Female,x=0,x=0,25<x<50, United-States,LOW
96,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Craft-repair, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
97,0<x<282,17<x<35, Self-emp-inc,274186<x<527198, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,6309<x<12618,x=0,25<x<50, United-States,HIGH
98,0<x<282,17<x<35, Private,21174<x<274186, 11th,4<x<8, Never-married, Handlers-cleaners, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
99,0<x<282,17<x<35, Local-gov,21174<x<274186, HS-grad,8<x<12, Never-married, Adm-clerical, Not-in-family, White, Female,x=0,x=0,25<x<50, United-States,LOW
100,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
101,0<x<282,17<x<35, Private,274186<x<527198, Bachelors,x>12, Never-married, Sales, Other-relative, White, Male,x=0,x=0,25<x<50, United-States,LOW
102,0<x<282,35<x<53, Private,21174<x<274186, Prof-school,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
103,0<x<282,53<x<71, Self-emp-not-inc,274186<x<527198, HS-grad,8<x<12, Married-civ-spouse, Other-service, Husband, White, Male,x=0,x>1811,25<x<50, Canada,HIGH
104,0<x<282,17<x<35, Private,274186<x<527198, Some-college,8<x<12, Married-civ-spouse, Sales, Wife, White, Female,0<x<6309,x=0,1<x<25, United-States,LOW
105,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Machine-op-inspct, Own-child, White, Female,x=0,x=0,25<x<50, United-States,LOW
106,0<x<282,35<x<53, Private,21174<x<274186, 9th,4<x<8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
107,0<x<282,53<x<71, Self-emp-inc,274186<x<527198, Some-college,8<x<12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
108,0<x<282,35<x<53, Local-gov,21174<x<274186, Assoc-voc,8<x<12, Married-civ-spouse, Craft-repair, Husband, Black, Male,x=0,x=0,25<x<50, United-States,HIGH
109,0<x<282,53<x<71, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,50<x<74, United-States,LOW
110,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Craft-repair, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
111,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Other-service, Own-child, White, Female,x=0,x=0,25<x<50, United-States,LOW
112,0<x<282,35<x<53, Private,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Exec-managerial, Husband, White, Male,x=0,x=0,50<x<74, United-States,LOW
113,0<x<282,17<x<35, Private,21174<x<274186, Bachelors,x>12, Never-married, Exec-managerial, Own-child, Black, Male,x=0,x=0,25<x<50, Germany,LOW
114,0<x<282,17<x<35, State-gov,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
115,0<x<282,17<x<35, Private,274186<x<527198, Some-college,8<x<12, Never-married, Other-service, Own-child, Black, Male,x=0,x=0,25<x<50, United-States,LOW
116,0<x<282,35<x<53, Private,274186<x<527198, Bachelors,x>12, Married-civ-spouse, Exec-managerial, Wife, White, Female,x=0,x=0,25<x<50, United-States,HIGH
117,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Adm-clerical, Own-child, White, Female,x=0,1207<x<1811,25<x<50, United-States,LOW
118,0<x<282,17<x<35, Private,21174<x<274186, Assoc-acdm,8<x<12, Married-civ-spouse, Adm-clerical, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
119,0<x<282,35<x<53, Private,274186<x<527198, Some-college,8<x<12, Divorced, Craft-repair, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
120,0<x<282,17<x<35, Private,21174<x<274186, Assoc-acdm,8<x<12, Never-married, Sales, Not-in-family, White, Female,x=0,x=0,50<x<74, United-States,LOW
121,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Other-service, Not-in-family, White, Female,x=0,1207<x<1811,25<x<50, United-States,LOW
122,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,0<x<6309,x=0,25<x<50, United-States,LOW
123,0<x<282,35<x<53, Private,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
124,0<x<282,35<x<53, Private,21174<x<274186, Assoc-acdm,8<x<12, Divorced, Tech-support, Not-in-family, Black, Female,x=0,x=0,25<x<50, United-States,LOW
125,0<x<282,35<x<53, Federal-gov,21174<x<274186, Masters,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, Iran,HIGH
126,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x=0,50<x<74, United-States,LOW
127,0<x<282,17<x<35, Private,21174<x<274186, Assoc-voc,8<x<12, Married-civ-spouse, Adm-clerical, Wife, White, Female,x=0,x=0,25<x<50, United-States,LOW
128,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Sales, Own-child, White, Male,x=0,x=0,1<x<25, United-States,LOW
129,0<x<282,35<x<53, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,x=0,x=0,25<x<50, United-States,HIGH
130,0<x<282,53<x<71, Self-emp-inc,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
131,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Sales, Own-child, White, Female,x=0,x=0,25<x<50, United-States,LOW
132,0<x<282,17<x<35, Private,274186<x<527198, Some-college,8<x<12, Never-married, Other-service, Own-child, White, Male,x=0,x=0,25<x<50, Mexico,LOW
133,0<x<282,35<x<53, Private,21174<x<274186, Assoc-voc,8<x<12, Never-married, Prof-specialty, Not-in-family, White, Female,x=0,1207<x<1811,25<x<50, United-States,HIGH
134,0<x<282,53<x<71, Private,21174<x<274186, Some-college,8<x<12, Never-married, Tech-support, Other-relative, White, Male,x=0,x=0,25<x<50, United-States,LOW
135,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Transport-moving, Unmarried, Black, Female,x=0,x=0,25<x<50, United-States,LOW
136,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Other-service, Husband, White, Male,x=0,x=0,1<x<25, United-States,LOW
137,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Widowed, Other-service, Unmarried, White, Female,x=0,x=0,1<x<25, United-States,LOW
138,0<x<282,53<x<71, Private,21174<x<274186, 11th,4<x<8, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x>1811,25<x<50, United-States,LOW
139,0<x<282,35<x<53, Local-gov,21174<x<274186, Some-college,8<x<12, Divorced, Adm-clerical, Unmarried, White, Female,x=0,x=0,25<x<50, Mexico,LOW
140,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Adm-clerical, Not-in-family, White, Female,x=0,x=0,25<x<50, United-States,LOW
141,0<x<282,17<x<35, Private,21174<x<274186, Bachelors,x>12, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,x=0,x=0,25<x<50, Philippines,LOW
142,0<x<282,17<x<35, Private,274186<x<527198, HS-grad,8<x<12, Never-married, Craft-repair, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
143,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
144,0<x<282,17<x<35, Private,21174<x<274186, Bachelors,x>12, Never-married, Handlers-cleaners, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
145,0<x<282,53<x<71, Self-emp-not-inc,274186<x<527198, Some-college,8<x<12, Separated, Sales, Unmarried, Black, Male,x=0,x>1811,1<x<25, United-States,LOW
146,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Divorced, Craft-repair, Not-in-family, White, Male,x=0,x=0,50<x<74, United-States,LOW
147,0<x<282,35<x<53, Private,21174<x<274186, Bachelors,x>12, Separated, Other-service, Other-relative, Black, Male,x=0,x=0,25<x<50, United-States,LOW
148,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Other-service, Unmarried, White, Female,x=0,x=0,25<x<50, United-States,LOW
149,0<x<282,35<x<53, Self-emp-inc,21174<x<274186, Masters,x>12, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,x=0,x=0,25<x<50, United-States,LOW
150,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,x=0,x=0,25<x<50, England,LOW
151,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, Masters,x>12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
152,0<x<282,35<x<53, Private,21174<x<274186, Some-college,8<x<12, Divorced, Other-service, Unmarried, White, Female,x=0,x=0,25<x<50, Mexico,LOW
153,0<x<282,35<x<53, Federal-gov,21174<x<274186, Assoc-acdm,8<x<12, Never-married, Exec-managerial, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
154,0<x<282,35<x<53, State-gov,21174<x<274186, Masters,x>12, Widowed, Protective-serv, Unmarried, White, Male,x=0,x=0,25<x<50, United-States,LOW
155,0<x<282,17<x<35, Private,21174<x<274186, 11th,4<x<8, Never-married, Handlers-cleaners, Own-child, White, Male,x=0,x=0,1<x<25, United-States,LOW
156,0<x<282,53<x<71, Local-gov,21174<x<274186, Assoc-voc,8<x<12, Widowed, Prof-specialty, Not-in-family, White, Female,x=0,x=0,1<x<25, United-States,LOW
157,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Other-service, Not-in-family, White, Male,x=0,x>1811,25<x<50, United-States,LOW
158,0<x<282,17<x<35, State-gov,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Protective-serv, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
159,0<x<282,35<x<53, Private,21174<x<274186, Some-college,8<x<12, Married-civ-spouse, Sales, Husband, White, Male,x=0,x>1811,25<x<50, United-States,HIGH
160,0<x<282,17<x<35, Private,274186<x<527198, Bachelors,x>12, Never-married, Craft-repair, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
161,0<x<282,17<x<35, State-gov,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
