workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
 Self_emp_inc, 10th, Wife, Other, Male, Iran,53<x<71,21174<x<207731,4<x<8,1<x<25,1
 Local_gov, Assoc_voc, Other_relative, Black, Male, Yugoslavia,17<x<35,21174<x<207731,4<x<8,x<1,1
 Federal_gov, Assoc_acdm, Other_relative, Other, Female, France,17<x<35,207731<x<394288,x>12,1<x<25,1
 Federal_gov, Prof_school, Own_child, Black, Female, Ecuador,35<x<53,x<21174,x>12,1<x<25,1
 Private, HS_grad, Other_relative, Other, Male, Cuba,53<x<71,207731<x<394288,4<x<8,50<x<74,1
 State_gov, HS_grad, Other_relative, White, Female, Jamaica,35<x<53,21174<x<207731,8<x<12,25<x<50,1
 Self_emp_not_inc, 1st_4th, Own_child, Asian_Pac_Islander, Male, Japan,35<x<53,207731<x<394288,x>12,25<x<50,1
 Local_gov, 7th_8th, Not_in_family, Amer_Indian_Eskimo, Male, Puerto_Rico,35<x<53,21174<x<207731,8<x<12,25<x<50,1
 State_gov, HS_grad, Wife, Other, Female, Cuba,17<x<35,21174<x<207731,x<1,25<x<50,1
 State_gov, Bachelors, Unmarried, White, Female, Puerto_Rico,35<x<53,21174<x<207731,4<x<8,50<x<74,1
 Federal_gov, Assoc_voc, Not_in_family, Other, Male, Thailand,35<x<53,21174<x<207731,4<x<8,25<x<50,1
 Private, 9th, Not_in_family, Amer_Indian_Eskimo, Female, France,x>71,21174<x<207731,4<x<8,25<x<50,1
 Private, Doctorate, Husband, White, Male, Dominican_Republic,x>71,21174<x<207731,8<x<12,25<x<50,1
 Local_gov, Assoc_acdm, Unmarried, White, Male, Philippines,17<x<35,21174<x<207731,x>12,25<x<50,1
 Self_emp_not_inc, Assoc_voc, Husband, Black, Male, China,35<x<53,207731<x<394288,4<x<8,1<x<25,1
 Self_emp_not_inc, Prof_school, Not_in_family, Asian_Pac_Islander, Male, Portugal,x>71,207731<x<394288,1<x<4,1<x<25,1
 Private, HS_grad, Husband, Amer_Indian_Eskimo, Female, El_Salvador,53<x<71,207731<x<394288,x<1,25<x<50,1
 State_gov, Doctorate, Own_child, Amer_Indian_Eskimo, Female, Germany,35<x<53,207731<x<394288,1<x<4,1<x<25,1
 Self_emp_not_inc, Assoc_acdm, Other_relative, Asian_Pac_Islander, Female, Ecuador,53<x<71,207731<x<394288,8<x<12,50<x<74,1
 State_gov, Bachelors, Not_in_family, Black, Male, Taiwan,17<x<35,21174<x<207731,4<x<8,50<x<74,1
 Self_emp_not_inc, 9th, Husband, Amer_Indian_Eskimo, Female, Portugal,35<x<53,207731<x<394288,8<x<12,50<x<74,1
 Local_gov, 10th, Own_child, White, Female, Guatemala,x>71,21174<x<207731,8<x<12,50<x<74,1
 Private, 7th_8th, Not_in_family, Asian_Pac_Islander, Male, Jamaica,x>71,394288<x<580845,1<x<4,25<x<50,1
 Self_emp_not_inc, Some_college, Not_in_family, Amer_Indian_Eskimo, Male, Guatemala,x>71,207731<x<394288,x>12,25<x<50,1
 Self_emp_not_inc, Some_college, Own_child, Amer_Indian_Eskimo, Male, China,17<x<35,207731<x<394288,4<x<8,25<x<50,1
 Self_emp_not_inc, Assoc_voc, Unmarried, Amer_Indian_Eskimo, Male, Taiwan,17<x<35,21174<x<207731,1<x<4,25<x<50,1
 Federal_gov, HS_grad, Own_child, Amer_Indian_Eskimo, Female, Ecuador,17<x<35,207731<x<394288,x>12,25<x<50,1
 Local_gov, Assoc_acdm, Wife, Other, Female, South,x>71,207731<x<394288,x>12,50<x<74,0
 Private, Prof_school, Not_in_family, Asian_Pac_Islander, Male, Haiti,53<x<71,21174<x<207731,8<x<12,50<x<74,1
 Self_emp_not_inc, Masters, Husband, Asian_Pac_Islander, Female, Columbia,x>71,207731<x<394288,8<x<12,25<x<50,1
 Self_emp_inc, Doctorate, Husband, Other, Female, Taiwan,17<x<35,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_inc, Doctorate, Husband, Asian_Pac_Islander, Male, Dominican_Republic,53<x<71,21174<x<207731,1<x<4,25<x<50,1
 Local_gov, Bachelors, Husband, Black, Male, Germany,17<x<35,21174<x<207731,8<x<12,50<x<74,1
 Federal_gov, Doctorate, Other_relative, White, Female, Haiti,35<x<53,21174<x<207731,8<x<12,25<x<50,1
 Federal_gov, Doctorate, Husband, Other, Female, Guatemala,53<x<71,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_not_inc, Some_college, Wife, Amer_Indian_Eskimo, Male, Germany,x<17,21174<x<207731,8<x<12,1<x<25,1
 Self_emp_not_inc, Assoc_voc, Not_in_family, Asian_Pac_Islander, Male, Laos,17<x<35,21174<x<207731,4<x<8,1<x<25,1
 Self_emp_inc, Some_college, Not_in_family, Asian_Pac_Islander, Female, Honduras,x>71,207731<x<394288,8<x<12,50<x<74,1
 Federal_gov, 10th, Not_in_family, Black, Male, United_States,x>71,21174<x<207731,x>12,1<x<25,1
 Self_emp_inc, Some_college, Own_child, Other, Female, Dominican_Republic,53<x<71,21174<x<207731,8<x<12,25<x<50,1
 Self_emp_inc, Assoc_voc, Other_relative, Asian_Pac_Islander, Female, Portugal,53<x<71,21174<x<207731,8<x<12,1<x<25,1
 Federal_gov, 7th_8th, Other_relative, White, Female, India,17<x<35,21174<x<207731,x>12,50<x<74,1
 Self_emp_inc, 9th, Wife, Asian_Pac_Islander, Female, Portugal,53<x<71,394288<x<580845,4<x<8,50<x<74,1
 State_gov, 12th, Unmarried, White, Female, Poland,x>71,207731<x<394288,1<x<4,1<x<25,1
 State_gov, 10th, Wife, Black, Female, Philippines,35<x<53,21174<x<207731,1<x<4,1<x<25,1
 Federal_gov, Masters, Unmarried, Other, Male, Iran,35<x<53,21174<x<207731,x>12,25<x<50,1
 Self_emp_not_inc, Preschool, Other_relative, Black, Female, Canada,17<x<35,21174<x<207731,4<x<8,1<x<25,1
 Federal_gov, 1st_4th, Own_child, Black, Female, Poland,53<x<71,207731<x<394288,8<x<12,x>74,1
 Self_emp_not_inc, Assoc_acdm, Wife, Asian_Pac_Islander, Female, Poland,x>71,21174<x<207731,4<x<8,1<x<25,1
 Local_gov, Assoc_voc, Other_relative, Asian_Pac_Islander, Male, China,53<x<71,21174<x<207731,1<x<4,25<x<50,1
 Self_emp_not_inc, Doctorate, Other_relative, Amer_Indian_Eskimo, Female, Iran,35<x<53,21174<x<207731,8<x<12,25<x<50,1
 Federal_gov, 9th, Other_relative, Other, Male, England,17<x<35,207731<x<394288,4<x<8,25<x<50,1
 Private, Assoc_voc, Wife, Black, Female, Portugal,53<x<71,21174<x<207731,1<x<4,1<x<25,1
 State_gov, Assoc_voc, Not_in_family, Asian_Pac_Islander, Male, United_States,17<x<35,207731<x<394288,x<1,25<x<50,1
 State_gov, 9th, Husband, Amer_Indian_Eskimo, Female, Philippines,x<17,21174<x<207731,x<1,25<x<50,1
 State_gov, 11th, Husband, Other, Male, Canada,17<x<35,21174<x<207731,x>12,1<x<25,1
 Private, 5th_6th, Not_in_family, White, Female, Philippines,53<x<71,207731<x<394288,8<x<12,x>74,1
 Local_gov, Prof_school, Husband, White, Female, El_Salvador,17<x<35,207731<x<394288,x>12,25<x<50,1
 Federal_gov, Preschool, Own_child, Amer_Indian_Eskimo, Male, United_States,53<x<71,21174<x<207731,x>12,25<x<50,1
 State_gov, 10th, Unmarried, Asian_Pac_Islander, Female, India,53<x<71,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_not_inc, Bachelors, Not_in_family, Black, Male, Japan,17<x<35,207731<x<394288,x>12,50<x<74,1
 Local_gov, 1st_4th, Wife, Asian_Pac_Islander, Female, Mexico,17<x<35,21174<x<207731,x>12,25<x<50,1
 Federal_gov, Preschool, Wife, Black, Male, Ecuador,x>71,21174<x<207731,x>12,1<x<25,1
 Private, Some_college, Husband, White, Female, Cuba,53<x<71,21174<x<207731,1<x<4,25<x<50,1
 Local_gov, Assoc_acdm, Husband, Black, Female, El_Salvador,53<x<71,207731<x<394288,4<x<8,1<x<25,1
 Federal_gov, Doctorate, Unmarried, Asian_Pac_Islander, Male, China,x>71,207731<x<394288,1<x<4,25<x<50,1
 Self_emp_not_inc, Preschool, Husband, Black, Male, France,53<x<71,21174<x<207731,8<x<12,1<x<25,1
 Private, Some_college, Wife, Amer_Indian_Eskimo, Female, United_States,35<x<53,21174<x<207731,1<x<4,x>74,1
 Private, 10th, Not_in_family, White, Female, Columbia,35<x<53,207731<x<394288,x>12,1<x<25,1
 Private, 7th_8th, Not_in_family, Asian_Pac_Islander, Female, Laos,x>71,394288<x<580845,1<x<4,1<x<25,1
 Self_emp_not_inc, 10th, Other_relative, Other, Female, Mexico,17<x<35,21174<x<207731,8<x<12,1<x<25,1
 Self_emp_inc, 1st_4th, Husband, Amer_Indian_Eskimo, Female, Columbia,17<x<35,21174<x<207731,4<x<8,1<x<25,1
 Self_emp_not_inc, Masters, Not_in_family, White, Male, France,35<x<53,21174<x<207731,8<x<12,1<x<25,1
 State_gov, Bachelors, Husband, White, Male, Poland,53<x<71,207731<x<394288,x>12,x<1,1
 Self_emp_inc, Assoc_voc, Husband, Amer_Indian_Eskimo, Male, Columbia,x>71,21174<x<207731,x>12,25<x<50,1
 Federal_gov, Doctorate, Other_relative, Asian_Pac_Islander, Male, Italy,35<x<53,21174<x<207731,4<x<8,x>74,1
 State_gov, Assoc_voc, Other_relative, Asian_Pac_Islander, Male, Cambodia,17<x<35,21174<x<207731,x>12,25<x<50,1
 Self_emp_not_inc, Assoc_acdm, Wife, Black, Female, Puerto_Rico,35<x<53,21174<x<207731,8<x<12,1<x<25,1
 Private, Doctorate, Husband, Other, Female, England,x>71,21174<x<207731,4<x<8,25<x<50,1
 Local_gov, 10th, Other_relative, Asian_Pac_Islander, Male, Japan,35<x<53,21174<x<207731,x<1,50<x<74,1
 Self_emp_inc, 7th_8th, Not_in_family, Other, Male, Jamaica,35<x<53,207731<x<394288,8<x<12,25<x<50,1
 State_gov, 5th_6th, Unmarried, Amer_Indian_Eskimo, Male, El_Salvador,x>71,207731<x<394288,1<x<4,1<x<25,1
 Federal_gov, 7th_8th, Wife, Black, Male, Portugal,x>71,394288<x<580845,x>12,x<1,1
 Local_gov, Assoc_voc, Other_relative, Black, Female, Guatemala,53<x<71,21174<x<207731,x>12,x>74,1
 Self_emp_inc, 9th, Husband, Other, Male, El_Salvador,35<x<53,207731<x<394288,8<x<12,x>74,1
 Private, Assoc_voc, Unmarried, White, Female, Laos,35<x<53,207731<x<394288,8<x<12,25<x<50,1
 Self_emp_not_inc, 9th, Husband, Other, Male, United_States,x>71,207731<x<394288,8<x<12,x>74,1
 Private, Assoc_acdm, Husband, Other, Female, Haiti,17<x<35,21174<x<207731,4<x<8,50<x<74,1
 Self_emp_inc, Masters, Unmarried, Asian_Pac_Islander, Male, Yugoslavia,35<x<53,21174<x<207731,4<x<8,1<x<25,1
 State_gov, 7th_8th, Wife, Black, Male, Haiti,53<x<71,21174<x<207731,1<x<4,1<x<25,1
 State_gov, HS_grad, Husband, White, Male, China,35<x<53,207731<x<394288,x>12,x<1,1
 Local_gov, 10th, Not_in_family, White, Female, Dominican_Republic,35<x<53,207731<x<394288,1<x<4,1<x<25,1
 State_gov, Doctorate, Own_child, White, Male, Mexico,35<x<53,21174<x<207731,x>12,1<x<25,1
 State_gov, 11th, Own_child, Amer_Indian_Eskimo, Male, Taiwan,17<x<35,207731<x<394288,8<x<12,25<x<50,1
 Self_emp_not_inc, Some_college, Wife, Asian_Pac_Islander, Male, France,53<x<71,21174<x<207731,x>12,25<x<50,1
 Private, Bachelors, Unmarried, Asian_Pac_Islander, Female, Jamaica,35<x<53,21174<x<207731,4<x<8,x<1,1
 Private, Assoc_acdm, Own_child, Asian_Pac_Islander, Male, Yugoslavia,17<x<35,21174<x<207731,4<x<8,1<x<25,1
 Federal_gov, Preschool, Other_relative, White, Female, Guatemala,17<x<35,21174<x<207731,x>12,50<x<74,1
 Local_gov, 10th, Unmarried, Amer_Indian_Eskimo, Female, United_States,53<x<71,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_inc, 1st_4th, Husband, Amer_Indian_Eskimo, Female, Germany,53<x<71,21174<x<207731,x>12,1<x<25,1
 Self_emp_inc, 7th_8th, Other_relative, Asian_Pac_Islander, Male, Ecuador,53<x<71,207731<x<394288,8<x<12,1<x<25,1
 Local_gov, 9th, Other_relative, White, Female, Japan,35<x<53,21174<x<207731,4<x<8,1<x<25,1
 Self_emp_inc, Prof_school, Not_in_family, Black, Female, China,53<x<71,21174<x<207731,1<x<4,1<x<25,1
 Private, Some_college, Wife, Other, Female, Thailand,17<x<35,21174<x<207731,x>12,25<x<50,1
 Self_emp_inc, 11th, Unmarried, Other, Male, Laos,17<x<35,21174<x<207731,x>12,50<x<74,1
 Federal_gov, Doctorate, Other_relative, Black, Female, Guatemala,53<x<71,21174<x<207731,8<x<12,1<x<25,1
 Self_emp_inc, 7th_8th, Other_relative, Asian_Pac_Islander, Female, Ecuador,17<x<35,21174<x<207731,x<1,x>74,1
 Private, Assoc_acdm, Wife, Other, Female, Italy,35<x<53,21174<x<207731,1<x<4,25<x<50,1
 State_gov, Some_college, Unmarried, Amer_Indian_Eskimo, Male, El_Salvador,17<x<35,394288<x<580845,x>12,1<x<25,1
 Local_gov, 10th, Not_in_family, Asian_Pac_Islander, Male, Cuba,17<x<35,207731<x<394288,8<x<12,1<x<25,1
 State_gov, 12th, Wife, White, Female, Poland,53<x<71,21174<x<207731,8<x<12,25<x<50,1
 Private, Bachelors, Husband, Black, Female, Portugal,17<x<35,207731<x<394288,1<x<4,25<x<50,1
 Local_gov, Prof_school, Not_in_family, Amer_Indian_Eskimo, Male, Portugal,35<x<53,207731<x<394288,1<x<4,1<x<25,1
 State_gov, Assoc_acdm, Other_relative, White, Female, South,53<x<71,21174<x<207731,x>12,25<x<50,1
 Federal_gov, 1st_4th, Not_in_family, Other, Male, Cambodia,35<x<53,21174<x<207731,8<x<12,1<x<25,1
 Private, Masters, Unmarried, Asian_Pac_Islander, Male, Ecuador,17<x<35,21174<x<207731,x>12,25<x<50,1
 Self_emp_not_inc, 5th_6th, Wife, White, Male, Cuba,35<x<53,21174<x<207731,8<x<12,1<x<25,1
 State_gov, Assoc_voc, Other_relative, Amer_Indian_Eskimo, Female, Thailand,17<x<35,21174<x<207731,x>12,1<x<25,1
 Self_emp_inc, Some_college, Unmarried, Other, Female, Guatemala,17<x<35,21174<x<207731,x>12,25<x<50,1
 Federal_gov, Doctorate, Other_relative, White, Female, South,17<x<35,21174<x<207731,x>12,25<x<50,1
 Self_emp_inc, 12th, Unmarried, Amer_Indian_Eskimo, Female, United_States,35<x<53,21174<x<207731,x>12,25<x<50,1
 Private, Prof_school, Not_in_family, White, Male, Poland,35<x<53,207731<x<394288,x>12,50<x<74,1
 State_gov, Prof_school, Not_in_family, Asian_Pac_Islander, Male, Puerto_Rico,53<x<71,207731<x<394288,1<x<4,1<x<25,1
 Local_gov, Assoc_acdm, Other_relative, Asian_Pac_Islander, Female, Ecuador,35<x<53,21174<x<207731,x<1,50<x<74,1
 Private, Doctorate, Wife, White, Male, Cambodia,17<x<35,207731<x<394288,4<x<8,x>74,1
 Self_emp_inc, Some_college, Own_child, Asian_Pac_Islander, Male, Portugal,x>71,21174<x<207731,x>12,25<x<50,1
 Self_emp_inc, Prof_school, Unmarried, Black, Male, Taiwan,53<x<71,21174<x<207731,x<1,1<x<25,1
 Self_emp_inc, Assoc_voc, Not_in_family, Other, Male, Thailand,x>71,21174<x<207731,4<x<8,1<x<25,1
 State_gov, 1st_4th, Unmarried, Black, Female, Canada,35<x<53,394288<x<580845,x>12,25<x<50,1
 State_gov, Assoc_acdm, Not_in_family, Black, Male, Italy,35<x<53,207731<x<394288,8<x<12,x>74,1
 Private, Assoc_voc, Not_in_family, Black, Female, Philippines,35<x<53,21174<x<207731,1<x<4,1<x<25,1
 Self_emp_not_inc, 11th, Own_child, Amer_Indian_Eskimo, Female, England,53<x<71,394288<x<580845,x<1,25<x<50,1
 Self_emp_not_inc, Assoc_acdm, Wife, Black, Female, Italy,17<x<35,394288<x<580845,4<x<8,25<x<50,1
 Self_emp_inc, 10th, Other_relative, White, Male, Cambodia,17<x<35,21174<x<207731,8<x<12,25<x<50,1
 Local_gov, Masters, Own_child, Amer_Indian_Eskimo, Female, Haiti,17<x<35,21174<x<207731,1<x<4,25<x<50,1
 Private, Prof_school, Unmarried, Asian_Pac_Islander, Male, Poland,53<x<71,21174<x<207731,4<x<8,x>74,1
 Self_emp_inc, 11th, Other_relative, White, Male, Poland,x>71,21174<x<207731,4<x<8,25<x<50,1
 State_gov, 7th_8th, Other_relative, Amer_Indian_Eskimo, Female, Haiti,17<x<35,394288<x<580845,1<x<4,1<x<25,1
 Self_emp_not_inc, Bachelors, Not_in_family, Amer_Indian_Eskimo, Male, India,35<x<53,207731<x<394288,8<x<12,1<x<25,1
 Private, Prof_school, Unmarried, Other, Female, India,53<x<71,21174<x<207731,1<x<4,50<x<74,1
 Private, Preschool, Own_child, Black, Female, Italy,53<x<71,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_inc, Some_college, Other_relative, Amer_Indian_Eskimo, Male, Honduras,53<x<71,21174<x<207731,x<1,25<x<50,1
 State_gov, Doctorate, Other_relative, Other, Female, Canada,17<x<35,21174<x<207731,x<1,1<x<25,1
 Federal_gov, Preschool, Wife, White, Male, Italy,17<x<35,21174<x<207731,8<x<12,x<1,1
 Private, Doctorate, Own_child, Other, Female, Canada,35<x<53,207731<x<394288,1<x<4,25<x<50,1
 Self_emp_inc, Bachelors, Wife, Amer_Indian_Eskimo, Female, Mexico,35<x<53,207731<x<394288,1<x<4,1<x<25,1
 State_gov, Preschool, Wife, Asian_Pac_Islander, Female, India,17<x<35,207731<x<394288,8<x<12,25<x<50,1
 Private, 12th, Unmarried, Amer_Indian_Eskimo, Male, Ecuador,35<x<53,207731<x<394288,8<x<12,50<x<74,1
 Local_gov, Doctorate, Wife, Black, Male, Japan,35<x<53,207731<x<394288,4<x<8,x>74,1
 State_gov, 9th, Other_relative, Asian_Pac_Islander, Male, Jamaica,17<x<35,207731<x<394288,x>12,50<x<74,1
 Self_emp_inc, 5th_6th, Not_in_family, Black, Male, Philippines,35<x<53,21174<x<207731,4<x<8,1<x<25,1
 Federal_gov, HS_grad, Wife, Asian_Pac_Islander, Female, Yugoslavia,35<x<53,207731<x<394288,4<x<8,25<x<50,1
 Self_emp_inc, 12th, Husband, Black, Female, Mexico,x>71,21174<x<207731,x>12,50<x<74,1
 Self_emp_inc, Assoc_voc, Wife, Amer_Indian_Eskimo, Female, Japan,35<x<53,21174<x<207731,8<x<12,25<x<50,1
 Self_emp_not_inc, 1st_4th, Unmarried, Amer_Indian_Eskimo, Male, England,35<x<53,21174<x<207731,4<x<8,25<x<50,1
 Local_gov, Some_college, Other_relative, White, Female, Taiwan,17<x<35,207731<x<394288,x<1,25<x<50,1
 Self_emp_inc, 1st_4th, Own_child, Other, Female, India,17<x<35,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_not_inc, Prof_school, Wife, Other, Male, Laos,35<x<53,207731<x<394288,x>12,x>74,1
 Federal_gov, Assoc_voc, Not_in_family, Asian_Pac_Islander, Female, England,x<17,21174<x<207731,8<x<12,x>74,1
 Self_emp_not_inc, 9th, Other_relative, Other, Female, Honduras,x>71,207731<x<394288,8<x<12,1<x<25,1
 State_gov, 11th, Husband, Other, Female, Yugoslavia,17<x<35,207731<x<394288,4<x<8,50<x<74,1
 Local_gov, Preschool, Other_relative, Other, Male, Yugoslavia,53<x<71,21174<x<207731,4<x<8,25<x<50,1
 Self_emp_inc, Doctorate, Own_child, Other, Female, Yugoslavia,35<x<53,21174<x<207731,x>12,50<x<74,1
 State_gov, Prof_school, Unmarried, White, Female, Iran,17<x<35,21174<x<207731,8<x<12,25<x<50,1
 Federal_gov, Doctorate, Husband, Black, Male, Dominican_Republic,35<x<53,21174<x<207731,x>12,25<x<50,1
 Federal_gov, HS_grad, Other_relative, White, Female, Cambodia,17<x<35,21174<x<207731,8<x<12,1<x<25,1
 Self_emp_inc, Prof_school, Unmarried, Black, Male, Portugal,35<x<53,207731<x<394288,4<x<8,50<x<74,1
 State_gov, 5th_6th, Other_relative, Amer_Indian_Eskimo, Male, Canada,35<x<53,21174<x<207731,8<x<12,1<x<25,1
 Private, 5th_6th, Wife, Black, Female, China,35<x<53,21174<x<207731,1<x<4,1<x<25,1
 Private, 9th, Wife, White, Female, Italy,x>71,394288<x<580845,4<x<8,25<x<50,1
 Federal_gov, Doctorate, Not_in_family, Other, Male, South,17<x<35,21174<x<207731,4<x<8,25<x<50,1
 Private, Assoc_voc, Wife, Asian_Pac_Islander, Female, Guatemala,35<x<53,21174<x<207731,x<1,25<x<50,1
 Self_emp_not_inc, 9th, Wife, Other, Male, England,53<x<71,21174<x<207731,4<x<8,25<x<50,1
 Federal_gov, Assoc_acdm, Wife, White, Male, South,17<x<35,207731<x<394288,8<x<12,1<x<25,1
 State_gov, Some_college, Wife, Black, Female, Haiti,53<x<71,21174<x<207731,8<x<12,1<x<25,1
 Federal_gov, Assoc_voc, Not_in_family, Amer_Indian_Eskimo, Male, Poland,53<x<71,21174<x<207731,x>12,1<x<25,1
 Local_gov, Assoc_acdm, Not_in_family, Other, Female, Japan,17<x<35,207731<x<394288,8<x<12,1<x<25,1
 State_gov, 7th_8th, Not_in_family, Other, Female, Canada,53<x<71,394288<x<580845,1<x<4,50<x<74,1
 Local_gov, 9th, Own_child, Asian_Pac_Islander, Male, Puerto_Rico,17<x<35,21174<x<207731,4<x<8,x>74,1
 Self_emp_inc, 7th_8th, Wife, Asian_Pac_Islander, Female, United_States,17<x<35,21174<x<207731,8<x<12,25<x<50,1
 Self_emp_not_inc, Assoc_acdm, Other_relative, White, Male, England,53<x<71,207731<x<394288,4<x<8,25<x<50,1
 Local_gov, Prof_school, Not_in_family, Asian_Pac_Islander, Male, Honduras,53<x<71,21174<x<207731,8<x<12,25<x<50,1
 Private, 10th, Other_relative, Other, Female, Japan,35<x<53,21174<x<207731,x>12,25<x<50,1
 Federal_gov, 12th, Wife, Other, Female, El_Salvador,53<x<71,207731<x<394288,x>12,50<x<74,1
 State_gov, 12th, Unmarried, Asian_Pac_Islander, Male, Dominican_Republic,35<x<53,21174<x<207731,1<x<4,1<x<25,1
 Private, 11th, Husband, Asian_Pac_Islander, Male, Italy,35<x<53,21174<x<207731,x>12,25<x<50,1
 Self_emp_not_inc, 7th_8th, Husband, Asian_Pac_Islander, Male, Canada,x>71,21174<x<207731,1<x<4,50<x<74,1
 Private, 11th, Not_in_family, Other, Male, Germany,17<x<35,207731<x<394288,4<x<8,25<x<50,1
 Self_emp_not_inc, Bachelors, Other_relative, Other, Male, England,17<x<35,21174<x<207731,4<x<8,25<x<50,1
 Local_gov, 9th, Unmarried, Other, Female, Columbia,53<x<71,394288<x<580845,8<x<12,25<x<50,1
 Federal_gov, Prof_school, Husband, Other, Male, Canada,35<x<53,21174<x<207731,x<1,x>74,1
 Self_emp_inc, 11th, Husband, Amer_Indian_Eskimo, Female, El_Salvador,53<x<71,21174<x<207731,x>12,1<x<25,1
 Local_gov, 5th_6th, Own_child, Amer_Indian_Eskimo, Male, Cuba,53<x<71,207731<x<394288,x<1,25<x<50,1
 Private, Prof_school, Not_in_family, White, Female, Guatemala,17<x<35,21174<x<207731,x>12,1<x<25,1
 Private, Bachelors, Own_child, Black, Male, Iran,x>71,21174<x<207731,1<x<4,50<x<74,1
 State_gov, Bachelors, Own_child, Amer_Indian_Eskimo, Female, Honduras,x>71,21174<x<207731,x>12,50<x<74,1
 Self_emp_not_inc, 1st_4th, Other_relative, Asian_Pac_Islander, Male, Guatemala,17<x<35,21174<x<207731,8<x<12,25<x<50,1
 Self_emp_inc, Preschool, Not_in_family, Black, Female, Portugal,53<x<71,394288<x<580845,1<x<4,50<x<74,1
 Self_emp_inc, 1st_4th, Unmarried, Asian_Pac_Islander, Male, Guatemala,17<x<35,21174<x<207731,x<1,25<x<50,1
 Federal_gov, 10th, Husband, Black, Female, Honduras,17<x<35,21174<x<207731,1<x<4,25<x<50,1
 Local_gov, Bachelors, Own_child, Amer_Indian_Eskimo, Male, El_Salvador,53<x<71,207731<x<394288,x>12,25<x<50,1
 State_gov, Bachelors, Unmarried, Amer_Indian_Eskimo, Female, Mexico,35<x<53,207731<x<394288,8<x<12,25<x<50,1
 State_gov, Masters, Husband, Other, Male, Thailand,53<x<71,21174<x<207731,x>12,50<x<74,1
 Local_gov, Bachelors, Unmarried, Black, Male, United_States,x>71,21174<x<207731,x>12,1<x<25,1
 Self_emp_inc, Bachelors, Own_child, Asian_Pac_Islander, Female, Portugal,x>71,21174<x<207731,1<x<4,1<x<25,1
 Local_gov, Assoc_voc, Husband, Black, Female, China,35<x<53,207731<x<394288,x>12,1<x<25,1
