marriage,sex,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
single,male,0<=X<200,21<x<38,delayed previously,furniture/equipment,250<x<4793,no known savings,<1,4,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,good
single,male,0<=X<200,21<x<38,delayed previously,used car,4793<x<9337,<100,>=7,1,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
single,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,3,none,2,car,25,none,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,used car,250<x<4793,no known savings,1<=X<4,2,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,21<x<38,delayed previously,new car,250<x<4793,<100,>=7,4,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,bad
single,male,no checking,4<x<21,all paid,new car,250<x<4793,no known savings,1<=X<4,1,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,radio/tv,4793<x<9337,no known savings,unemployed,2,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,no checking,21<x<38,critical/other existing credit,radio/tv,9337<x<13880,<100,1<=X<4,2,none,2,car,31,stores,own,2,skilled,1,none,yes,good
div/dep/mar,female,>=200,4<x<21,existing paid,new car,250<x<4793,<100,>=7,3,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
div/dep/mar,female,<0,21<x<38,critical/other existing credit,furniture/equipment,4793<x<9337,<100,<1,4,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,bad
mar/wid,male,0<=X<200,4<x<21,existing paid,business,250<x<4793,<100,1<=X<4,2,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good
single,male,0<=X<200,21<x<38,no credits/all paid,business,250<x<4793,<100,>=7,4,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,0<=X<200,38<x<55,no credits/all paid,business,13880<x<18424,<100,1<=X<4,2,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
div/dep/mar,female,no checking,21<x<38,existing paid,radio/tv,250<x<4793,<100,<1,4,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good
single,male,no checking,21<x<38,existing paid,repairs,4793<x<9337,no known savings,>=7,4,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,<1,2,none,2,car,29,bank,own,1,skilled,1,none,yes,good
mar/wid,male,0<=X<200,4<x<21,existing paid,new car,250<x<4793,>=1000,1<=X<4,4,none,1,real estate,22,none,own,1,skilled,1,none,yes,good
single,male,no checking,21<x<38,existing paid,education,250<x<4793,<100,1<=X<4,4,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
div/dep/mar,female,no checking,21<x<38,existing paid,radio/tv,250<x<4793,no known savings,1<=X<4,4,none,4,car,25,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,no checking,21<x<38,existing paid,used car,4793<x<9337,<100,1<=X<4,1,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,good
single,male,<0,4<x<21,critical/other existing credit,other,250<x<4793,<100,>=7,3,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
div/dep/mar,female,0<=X<200,38<x<55,critical/other existing credit,business,4793<x<9337,<100,4<=X<7,2,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,good
single,male,<0,21<x<38,existing paid,education,250<x<4793,no known savings,>=7,4,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,<0,4<x<21,critical/other existing credit,used car,250<x<4793,<100,>=7,4,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
single,male,<0,38<x<55,existing paid,radio/tv,250<x<4793,<100,<1,4,none,3,car,34,none,own,1,skilled,1,none,yes,bad
single,male,0<=X<200,4<x<21,delayed previously,radio/tv,250<x<4793,<100,4<=X<7,2,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good
single,male,no checking,38<x<55,no credits/all paid,used car,9337<x<13880,no known savings,1<=X<4,2,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,good
mar/wid,male,0<=X<200,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,<1,2,none,1,life insurance,22,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,no checking,21<x<38,existing paid,radio/tv,4793<x<9337,no known savings,<1,1,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
single,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,4,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,business,250<x<4793,100<=X<500,1<=X<4,3,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,other,250<x<4793,<100,>=7,4,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,good
single,male,<0,4<x<21,existing paid,radio/tv,250<x<4793,<100,>=7,3,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,business,250<x<4793,<100,1<=X<4,4,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,0<=X<200,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,<1,4,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,education,9337<x<13880,100<=X<500,1<=X<4,1,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,bad
single,male,<0,4<x<21,existing paid,new car,250<x<4793,100<=X<500,4<=X<7,4,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
single,male,<0,4<x<21,no credits/all paid,repairs,250<x<4793,<100,4<=X<7,4,none,3,real estate,28,none,own,2,skilled,1,none,yes,bad
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,>=7,4,none,4,real estate,56,none,own,1,skilled,1,none,yes,good
single,male,<0,4<x<21,critical/other existing credit,used car,250<x<4793,<100,>=7,4,none,3,real estate,54,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,bad
single,male,>=200,21<x<38,critical/other existing credit,furniture/equipment,250<x<4793,no known savings,>=7,4,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,new car,250<x<4793,>=1000,>=7,4,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,38<x<55,no credits/all paid,business,13880<x<18424,<100,<1,3,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,bad
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,education,250<x<4793,no known savings,4<=X<7,4,none,2,car,61,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,business,250<x<4793,100<=X<500,1<=X<4,4,none,4,car,34,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,21<x<38,critical/other existing credit,radio/tv,250<x<4793,<100,>=7,4,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,delayed previously,used car,4793<x<9337,no known savings,4<=X<7,3,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
mar/wid,male,no checking,21<x<38,existing paid,new car,250<x<4793,100<=X<500,>=7,4,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,radio/tv,250<x<4793,<100,4<=X<7,4,none,4,car,24,none,rent,1,skilled,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,delayed previously,radio/tv,250<x<4793,<100,1<=X<4,3,none,2,real estate,24,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,4<=X<7,4,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
mar/wid,male,no checking,4<x<21,existing paid,used car,250<x<4793,no known savings,<1,2,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
single,male,0<=X<200,21<x<38,critical/other existing credit,other,9337<x<13880,<100,1<=X<4,2,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
single,male,no checking,4<x<21,all paid,new car,4793<x<9337,<100,>=7,2,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
single,male,0<=X<200,4<x<21,existing paid,new car,4793<x<9337,<100,4<=X<7,2,none,2,car,32,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,furniture/equipment,4793<x<9337,no known savings,<1,1,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good
mar/wid,male,0<=X<200,4<x<21,existing paid,business,250<x<4793,500<=X<1000,>=7,1,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
div/sep,male,0<=X<200,4<x<21,delayed previously,business,250<x<4793,100<=X<500,>=7,1,none,2,car,31,bank,own,2,skilled,2,none,yes,good
div/dep/mar,female,>=200,4<x<21,existing paid,education,250<x<4793,<100,<1,4,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,existing paid,new car,4793<x<9337,<100,4<=X<7,3,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,good
div/dep/mar,female,no checking,21<x<38,critical/other existing credit,new car,4793<x<9337,<100,1<=X<4,4,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad
mar/wid,male,<0,4<x<21,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,3,none,1,real estate,35,none,own,1,skilled,1,none,yes,good
single,male,no checking,38<x<55,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good
div/dep/mar,female,<0,38<x<55,existing paid,radio/tv,4793<x<9337,no known savings,4<=X<7,4,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,<0,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,no known savings,<1,2,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,good
div/dep/mar,female,<0,21<x<38,critical/other existing credit,furniture/equipment,250<x<4793,500<=X<1000,1<=X<4,1,none,4,car,23,none,own,2,skilled,1,none,yes,bad
div/sep,male,0<=X<200,4<x<21,critical/other existing credit,new car,250<x<4793,500<=X<1000,4<=X<7,3,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,3,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad
div/dep/mar,female,no checking,21<x<38,critical/other existing credit,used car,250<x<4793,<100,>=7,4,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
single,male,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,3,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
single,male,>=200,4<x<21,critical/other existing credit,new car,250<x<4793,<100,>=7,4,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,no known savings,<1,4,none,3,real estate,27,none,rent,1,skilled,1,none,yes,bad
single,male,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,4,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
mar/wid,male,<0,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,repairs,250<x<4793,<100,1<=X<4,4,none,2,car,30,none,own,1,skilled,1,none,yes,bad
single,male,0<=X<200,4<x<21,critical/other existing credit,used car,250<x<4793,<100,unemployed,4,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,3,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,bad
div/dep/mar,female,0<=X<200,38<x<55,existing paid,new car,4793<x<9337,no known savings,4<=X<7,1,none,2,car,24,none,own,1,skilled,1,none,yes,good
single,male,<0,21<x<38,delayed previously,education,4793<x<9337,<100,1<=X<4,4,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad
single,male,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,<1,2,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,good
single,male,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,4,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good
div/dep/mar,female,no checking,55<x<72,existing paid,radio/tv,9337<x<13880,100<=X<500,4<=X<7,2,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good
single,male,no checking,21<x<38,delayed previously,used car,4793<x<9337,>=1000,1<=X<4,2,none,2,car,27,none,own,2,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,500<=X<1000,1<=X<4,4,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,bad
single,male,0<=X<200,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,4<=X<7,4,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,good
div/dep/mar,female,>=200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,2,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,good
mar/wid,male,>=200,4<x<21,existing paid,new car,250<x<4793,>=1000,<1,2,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good
div/dep/mar,female,0<=X<200,21<x<38,existing paid,radio/tv,4793<x<9337,<100,<1,4,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,<0,21<x<38,existing paid,radio/tv,250<x<4793,<100,1<=X<4,3,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
single,male,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,2,car,22,none,own,1,skilled,1,none,yes,bad
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,<1,4,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,38<x<55,all paid,business,250<x<4793,100<=X<500,4<=X<7,4,none,2,car,30,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,>=7,1,none,4,no known property,39,none,own,2,skilled,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,100<=X<500,4<=X<7,4,none,3,car,51,none,own,2,skilled,1,yes,yes,good
single,male,<0,21<x<38,critical/other existing credit,furniture/equipment,4793<x<9337,<100,1<=X<4,3,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,>=1000,>=7,4,none,4,car,46,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,100<=X<500,>=7,2,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,good
single,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,1,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good
single,male,>=200,21<x<38,existing paid,radio/tv,4793<x<9337,<100,1<=X<4,4,none,1,car,24,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,0<=X<200,21<x<38,critical/other existing credit,used car,4793<x<9337,>=1000,>=7,2,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good
single,male,0<=X<200,21<x<38,delayed previously,business,4793<x<9337,100<=X<500,4<=X<7,4,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
single,male,<0,4<x<21,critical/other existing credit,repairs,250<x<4793,100<=X<500,>=7,3,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,good
mar/wid,male,<0,4<x<21,all paid,retraining,250<x<4793,<100,>=7,4,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,new car,250<x<4793,100<=X<500,4<=X<7,2,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,1<=X<4,1,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,good
single,male,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,100<=X<500,>=7,3,none,4,real estate,36,none,own,1,skilled,2,yes,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,<1,4,none,1,life insurance,30,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,domestic appliance,250<x<4793,500<=X<1000,4<=X<7,4,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,existing paid,new car,4793<x<9337,<100,unemployed,2,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,no checking,21<x<38,existing paid,new car,250<x<4793,500<=X<1000,>=7,4,none,4,life insurance,36,none,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,500<=X<1000,1<=X<4,1,none,2,car,32,none,own,1,skilled,1,yes,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,unemployed,4,none,2,car,33,none,own,1,skilled,1,none,yes,bad
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,>=1000,<1,4,none,1,real estate,20,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,no checking,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,4<=X<7,2,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,good
div/sep,male,0<=X<200,21<x<38,critical/other existing credit,business,250<x<4793,<100,>=7,4,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad
single,male,<0,4<x<21,no credits/all paid,new car,250<x<4793,<100,>=7,4,none,3,car,33,none,rent,2,skilled,2,none,yes,bad
div/dep/mar,female,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,4,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good
div/dep/mar,female,0<=X<200,21<x<38,delayed previously,furniture/equipment,250<x<4793,<100,unemployed,3,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
