id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
30,entrepreneur,single,secondary,no,yes,no,cellular,oct,other,56<x<75,-2712<x<14629,x>23,972<x<1942,x<1,14<x<29,1
31,housemaid,married,secondary,yes,yes,yes,telephone,dec,success,18<x<37,-2712<x<14629,x<1,3<x<972,1<x<16,29<x<43,1
32,student,married,unknown,yes,yes,no,telephone,sep,failure,18<x<37,-2712<x<14629,1<x<8,3<x<972,1<x<16,x<0,0
33,self-employed,divorced,secondary,yes,no,yes,cellular,feb,unknown,18<x<37,-2712<x<14629,x<1,972<x<1942,1<x<16,14<x<29,1
34,technician,married,unknown,yes,yes,yes,unknown,jul,success,56<x<75,-2712<x<14629,16<x<23,3<x<972,x<1,0<x<14,0
35,management,married,tertiary,yes,no,yes,unknown,jul,unknown,18<x<37,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,1
36,management,divorced,unknown,yes,no,yes,cellular,nov,failure,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,0
37,management,divorced,secondary,no,no,no,unknown,sep,failure,56<x<75,-2712<x<14629,16<x<23,3<x<972,16<x<32,0<x<14,0
38,technician,divorced,tertiary,yes,no,no,unknown,dec,unknown,56<x<75,-2712<x<14629,8<x<16,3<x<972,1<x<16,14<x<29,1
39,management,divorced,primary,yes,yes,no,cellular,jan,failure,18<x<37,-2712<x<14629,16<x<23,972<x<1942,1<x<16,14<x<29,1
40,unknown,divorced,secondary,no,no,no,cellular,jun,other,18<x<37,-2712<x<14629,16<x<23,972<x<1942,1<x<16,0<x<14,1
41,unknown,divorced,primary,yes,no,no,unknown,feb,failure,x>75,-2712<x<14629,16<x<23,3<x<972,1<x<16,29<x<43,1
42,blue-collar,divorced,unknown,no,no,yes,telephone,dec,unknown,18<x<37,-2712<x<14629,8<x<16,972<x<1942,16<x<32,0<x<14,1
43,management,married,secondary,no,no,yes,cellular,jun,unknown,18<x<37,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,1
44,blue-collar,single,unknown,no,no,no,unknown,feb,success,18<x<37,-2712<x<14629,1<x<8,972<x<1942,1<x<16,0<x<14,1
45,unemployed,divorced,unknown,no,no,no,telephone,jun,unknown,37<x<56,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,1
46,unknown,married,unknown,no,yes,no,unknown,dec,unknown,x>75,-2712<x<14629,1<x<8,972<x<1942,1<x<16,0<x<14,1
47,admin.,single,unknown,no,yes,no,telephone,may,other,37<x<56,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,0
48,entrepreneur,single,tertiary,yes,no,yes,unknown,apr,success,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,0<x<14,0
49,admin.,single,secondary,yes,no,yes,telephone,may,success,18<x<37,-2712<x<14629,8<x<16,972<x<1942,16<x<32,0<x<14,1
50,unemployed,single,secondary,no,no,no,unknown,nov,failure,18<x<37,-2712<x<14629,16<x<23,3<x<972,1<x<16,14<x<29,1
51,unemployed,married,secondary,yes,yes,yes,unknown,may,other,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,x>43,1
52,unknown,divorced,unknown,yes,no,yes,unknown,oct,failure,56<x<75,-2712<x<14629,8<x<16,3<x<972,1<x<16,14<x<29,1
53,unemployed,single,unknown,yes,no,yes,cellular,sep,unknown,56<x<75,-2712<x<14629,x>23,972<x<1942,16<x<32,14<x<29,1
54,student,divorced,tertiary,yes,yes,yes,unknown,aug,failure,18<x<37,-2712<x<14629,16<x<23,3<x<972,1<x<16,0<x<14,0
55,services,married,tertiary,yes,no,no,cellular,aug,unknown,56<x<75,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,1
56,student,divorced,unknown,yes,yes,no,cellular,oct,success,x>75,-2712<x<14629,x>23,3<x<972,1<x<16,14<x<29,1
57,management,divorced,primary,yes,yes,yes,telephone,dec,failure,56<x<75,-2712<x<14629,8<x<16,3<x<972,16<x<32,14<x<29,0
58,management,single,tertiary,yes,yes,no,unknown,jan,other,37<x<56,-2712<x<14629,8<x<16,3<x<972,16<x<32,14<x<29,1
59,unemployed,single,secondary,yes,no,no,telephone,nov,other,56<x<75,-2712<x<14629,x>23,3<x<972,1<x<16,0<x<14,1
60,admin.,married,secondary,no,yes,yes,unknown,aug,success,37<x<56,-2712<x<14629,8<x<16,972<x<1942,32<x<47,0<x<14,1
61,retired,divorced,secondary,no,no,yes,telephone,mar,success,x>75,-2712<x<14629,16<x<23,972<x<1942,1<x<16,14<x<29,1
62,management,single,tertiary,yes,yes,no,cellular,jan,other,18<x<37,-2712<x<14629,x>23,972<x<1942,16<x<32,14<x<29,1
63,management,married,tertiary,yes,yes,no,cellular,aug,failure,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,x>43,1
64,admin.,single,primary,yes,yes,no,cellular,may,success,18<x<37,-2712<x<14629,x>23,3<x<972,32<x<47,0<x<14,0
65,student,single,unknown,yes,yes,no,cellular,sep,other,18<x<37,-2712<x<14629,1<x<8,3<x<972,32<x<47,14<x<29,1
66,management,single,secondary,yes,yes,yes,telephone,nov,success,37<x<56,31970<x<49311,8<x<16,3<x<972,1<x<16,0<x<14,0
67,entrepreneur,single,secondary,yes,yes,yes,cellular,mar,failure,56<x<75,-2712<x<14629,8<x<16,3<x<972,1<x<16,14<x<29,1
68,housemaid,divorced,tertiary,yes,yes,yes,cellular,nov,other,37<x<56,-2712<x<14629,x>23,972<x<1942,16<x<32,0<x<14,1
69,blue-collar,divorced,primary,yes,yes,yes,telephone,jul,other,56<x<75,-2712<x<14629,8<x<16,972<x<1942,1<x<16,14<x<29,1
70,student,married,primary,yes,no,no,cellular,jul,success,37<x<56,-2712<x<14629,8<x<16,3<x<972,16<x<32,14<x<29,1
71,housemaid,divorced,primary,yes,yes,no,unknown,sep,failure,18<x<37,-2712<x<14629,16<x<23,972<x<1942,16<x<32,0<x<14,1
72,self-employed,married,primary,no,yes,no,cellular,aug,other,x>75,-2712<x<14629,1<x<8,972<x<1942,16<x<32,0<x<14,1
73,management,single,tertiary,yes,yes,yes,telephone,apr,unknown,18<x<37,-2712<x<14629,8<x<16,3<x<972,16<x<32,x>43,1
74,entrepreneur,single,secondary,no,yes,yes,unknown,feb,success,56<x<75,-2712<x<14629,1<x<8,3<x<972,16<x<32,14<x<29,1
75,student,married,primary,yes,yes,yes,cellular,aug,failure,56<x<75,-2712<x<14629,x>23,972<x<1942,1<x<16,14<x<29,1
76,technician,divorced,primary,yes,no,no,unknown,oct,failure,56<x<75,-2712<x<14629,x<1,3<x<972,1<x<16,14<x<29,1
77,management,single,tertiary,no,no,yes,unknown,feb,failure,x>75,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,0
78,technician,married,tertiary,no,no,no,unknown,aug,success,x>75,-2712<x<14629,1<x<8,3<x<972,32<x<47,14<x<29,1
79,management,single,secondary,no,no,yes,unknown,oct,success,37<x<56,-2712<x<14629,8<x<16,1942<x<2911,1<x<16,x>43,1
80,unemployed,single,secondary,no,yes,yes,telephone,sep,other,56<x<75,-2712<x<14629,16<x<23,1942<x<2911,32<x<47,14<x<29,1
81,admin.,single,secondary,yes,yes,yes,unknown,may,failure,18<x<37,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,0
82,entrepreneur,single,secondary,yes,yes,yes,cellular,sep,success,56<x<75,-2712<x<14629,x>23,3<x<972,1<x<16,0<x<14,1
83,housemaid,single,secondary,no,yes,no,telephone,jun,other,56<x<75,-2712<x<14629,8<x<16,3<x<972,1<x<16,14<x<29,1
84,housemaid,divorced,primary,no,no,yes,telephone,dec,success,x>75,-2712<x<14629,16<x<23,3<x<972,1<x<16,29<x<43,1
85,entrepreneur,divorced,tertiary,no,no,yes,unknown,may,failure,56<x<75,-2712<x<14629,1<x<8,3<x<972,1<x<16,0<x<14,0
86,retired,married,primary,yes,yes,no,cellular,dec,other,18<x<37,-2712<x<14629,x<1,3<x<972,32<x<47,x<0,0
87,blue-collar,divorced,secondary,no,yes,yes,cellular,aug,success,x>75,-2712<x<14629,1<x<8,3<x<972,x<1,14<x<29,1
88,retired,single,unknown,no,no,yes,telephone,feb,other,18<x<37,-2712<x<14629,8<x<16,972<x<1942,1<x<16,14<x<29,1
89,unknown,married,secondary,yes,yes,no,cellular,aug,other,18<x<37,-2712<x<14629,8<x<16,1942<x<2911,16<x<32,14<x<29,1
90,self-employed,single,secondary,yes,no,no,telephone,jun,success,x<18,-2712<x<14629,16<x<23,972<x<1942,16<x<32,29<x<43,1
91,entrepreneur,married,tertiary,yes,yes,no,unknown,oct,failure,x>75,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,0
92,services,married,unknown,no,no,no,cellular,oct,unknown,37<x<56,-2712<x<14629,1<x<8,3<x<972,16<x<32,29<x<43,1
93,student,divorced,unknown,yes,yes,yes,telephone,sep,unknown,x>75,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,1
94,unemployed,divorced,primary,yes,no,yes,unknown,feb,unknown,x>75,-2712<x<14629,8<x<16,3<x<972,1<x<16,0<x<14,1
95,admin.,married,tertiary,no,no,yes,telephone,aug,success,x>75,-2712<x<14629,x<1,972<x<1942,16<x<32,14<x<29,1
96,self-employed,single,primary,yes,no,no,cellular,mar,failure,x>75,-2712<x<14629,x>23,3<x<972,16<x<32,14<x<29,1
97,entrepreneur,married,unknown,no,yes,no,telephone,jun,success,56<x<75,-2712<x<14629,8<x<16,3<x<972,16<x<32,29<x<43,1
98,technician,married,secondary,no,yes,yes,telephone,dec,failure,18<x<37,-2712<x<14629,x>23,972<x<1942,16<x<32,14<x<29,1
99,retired,divorced,unknown,yes,no,yes,cellular,feb,success,18<x<37,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,1
100,unknown,married,primary,no,no,yes,telephone,jul,failure,56<x<75,-2712<x<14629,8<x<16,3<x<972,1<x<16,0<x<14,0
101,services,single,primary,yes,yes,no,unknown,mar,failure,18<x<37,-2712<x<14629,x>23,3<x<972,1<x<16,14<x<29,1
102,entrepreneur,divorced,primary,no,no,yes,unknown,jun,unknown,18<x<37,-2712<x<14629,x>23,3<x<972,x>47,0<x<14,0
103,self-employed,single,unknown,yes,no,yes,unknown,may,failure,18<x<37,-2712<x<14629,x>23,3<x<972,1<x<16,14<x<29,1
104,entrepreneur,single,secondary,no,yes,yes,cellular,feb,failure,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,x>43,1
105,services,single,secondary,no,no,no,unknown,jan,unknown,x>75,-2712<x<14629,x>23,972<x<1942,1<x<16,14<x<29,1
106,housemaid,married,unknown,yes,no,yes,unknown,nov,success,18<x<37,-2712<x<14629,1<x<8,1942<x<2911,1<x<16,0<x<14,1
107,blue-collar,married,tertiary,yes,yes,no,unknown,aug,other,56<x<75,-2712<x<14629,16<x<23,3<x<972,1<x<16,14<x<29,1
108,services,married,unknown,no,yes,no,cellular,jan,unknown,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,14<x<29,1
109,unknown,divorced,secondary,no,no,yes,telephone,may,unknown,18<x<37,-2712<x<14629,x>23,972<x<1942,1<x<16,14<x<29,1
110,retired,single,secondary,no,yes,no,telephone,may,failure,37<x<56,-2712<x<14629,1<x<8,972<x<1942,16<x<32,x<0,0
111,blue-collar,married,primary,no,yes,no,cellular,apr,success,56<x<75,-2712<x<14629,1<x<8,972<x<1942,x<1,29<x<43,1
112,technician,single,unknown,yes,yes,no,cellular,dec,success,56<x<75,-2712<x<14629,16<x<23,3<x<972,1<x<16,14<x<29,1
113,blue-collar,married,secondary,no,no,no,unknown,nov,other,x>75,-2712<x<14629,16<x<23,972<x<1942,16<x<32,14<x<29,1
114,unknown,single,primary,no,no,yes,telephone,may,unknown,x>75,-2712<x<14629,16<x<23,3<x<972,16<x<32,0<x<14,1
115,management,single,primary,yes,yes,no,cellular,dec,other,x>75,-2712<x<14629,8<x<16,3<x<972,x<1,14<x<29,1
116,unknown,married,primary,yes,no,yes,telephone,jul,unknown,18<x<37,-2712<x<14629,16<x<23,3<x<972,16<x<32,0<x<14,1
117,services,single,primary,no,yes,no,unknown,dec,other,37<x<56,-2712<x<14629,1<x<8,3<x<972,1<x<16,14<x<29,1
118,unknown,married,unknown,no,no,no,cellular,jul,unknown,37<x<56,-2712<x<14629,8<x<16,3<x<972,32<x<47,29<x<43,1
119,blue-collar,single,secondary,yes,no,yes,cellular,sep,other,56<x<75,-2712<x<14629,8<x<16,972<x<1942,1<x<16,x>43,1
120,services,married,tertiary,yes,yes,yes,unknown,dec,unknown,37<x<56,-2712<x<14629,1<x<8,3<x<972,16<x<32,x>43,1
121,services,divorced,tertiary,yes,no,yes,cellular,feb,unknown,37<x<56,-2712<x<14629,16<x<23,3<x<972,16<x<32,29<x<43,1
122,admin.,divorced,primary,no,yes,no,telephone,sep,other,18<x<37,-2712<x<14629,x>23,3<x<972,16<x<32,14<x<29,1
123,services,divorced,secondary,yes,yes,yes,telephone,nov,unknown,37<x<56,-2712<x<14629,x>23,972<x<1942,1<x<16,0<x<14,1
124,management,single,tertiary,no,yes,yes,cellular,may,other,56<x<75,-2712<x<14629,16<x<23,3<x<972,1<x<16,0<x<14,0
125,services,married,primary,no,yes,yes,cellular,nov,failure,37<x<56,-2712<x<14629,1<x<8,972<x<1942,16<x<32,29<x<43,1
126,housemaid,married,unknown,no,no,yes,unknown,apr,failure,x>75,-2712<x<14629,8<x<16,3<x<972,32<x<47,x>43,1
127,technician,single,primary,no,yes,yes,telephone,aug,failure,37<x<56,-2712<x<14629,x>23,3<x<972,32<x<47,0<x<14,0
128,blue-collar,single,primary,yes,yes,no,cellular,dec,failure,18<x<37,-2712<x<14629,8<x<16,3<x<972,16<x<32,29<x<43,1
129,retired,single,primary,no,yes,yes,unknown,nov,success,18<x<37,-2712<x<14629,16<x<23,3<x<972,1<x<16,0<x<14,0
130,technician,divorced,primary,yes,no,yes,telephone,mar,failure,37<x<56,-2712<x<14629,1<x<8,3<x<972,1<x<16,0<x<14,0
131,admin.,married,primary,yes,yes,no,cellular,aug,other,x>75,-2712<x<14629,8<x<16,972<x<1942,16<x<32,14<x<29,1
132,unknown,married,primary,no,yes,no,telephone,nov,success,18<x<37,-2712<x<14629,16<x<23,3<x<972,16<x<32,14<x<29,1
133,housemaid,married,primary,no,yes,yes,unknown,jan,failure,56<x<75,-2712<x<14629,1<x<8,3<x<972,16<x<32,x>43,1
134,blue-collar,married,secondary,yes,no,yes,telephone,dec,other,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,x>43,1
135,unknown,divorced,primary,no,yes,yes,telephone,mar,success,x>75,-2712<x<14629,x>23,972<x<1942,1<x<16,14<x<29,1
136,unknown,divorced,primary,yes,yes,no,cellular,jan,failure,18<x<37,-2712<x<14629,x>23,3<x<972,32<x<47,14<x<29,1
137,student,single,tertiary,yes,no,yes,cellular,aug,other,x>75,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,1
138,technician,married,unknown,no,yes,no,unknown,nov,unknown,18<x<37,-2712<x<14629,16<x<23,972<x<1942,16<x<32,14<x<29,1
139,student,married,unknown,no,no,yes,cellular,sep,unknown,56<x<75,-2712<x<14629,x>23,972<x<1942,1<x<16,14<x<29,1
140,self-employed,single,secondary,yes,yes,no,cellular,sep,other,18<x<37,-2712<x<14629,1<x<8,972<x<1942,1<x<16,29<x<43,1
141,management,single,secondary,no,no,no,unknown,apr,unknown,18<x<37,-2712<x<14629,16<x<23,972<x<1942,16<x<32,0<x<14,1
142,student,married,secondary,no,yes,yes,cellular,apr,unknown,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,29<x<43,1
143,student,divorced,secondary,no,no,no,unknown,mar,other,x>75,-2712<x<14629,16<x<23,x>2911,1<x<16,0<x<14,1
144,technician,divorced,primary,yes,no,no,unknown,nov,unknown,18<x<37,-2712<x<14629,x<1,972<x<1942,1<x<16,0<x<14,1
145,unknown,single,primary,yes,yes,no,telephone,aug,failure,56<x<75,-2712<x<14629,1<x<8,3<x<972,1<x<16,0<x<14,0
146,entrepreneur,divorced,unknown,yes,no,yes,cellular,sep,failure,x>75,-2712<x<14629,8<x<16,3<x<972,1<x<16,14<x<29,1
147,entrepreneur,married,secondary,no,no,no,unknown,sep,other,18<x<37,-2712<x<14629,x>23,972<x<1942,1<x<16,0<x<14,1
148,admin.,divorced,unknown,no,no,no,telephone,jan,other,18<x<37,-2712<x<14629,8<x<16,3<x<972,1<x<16,0<x<14,1
149,retired,divorced,unknown,yes,yes,yes,telephone,oct,unknown,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,14<x<29,1
150,blue-collar,divorced,unknown,no,yes,no,telephone,jan,failure,37<x<56,-2712<x<14629,1<x<8,3<x<972,1<x<16,14<x<29,1
151,entrepreneur,divorced,unknown,no,no,no,cellular,nov,unknown,37<x<56,14629<x<31970,1<x<8,3<x<972,16<x<32,0<x<14,1
152,technician,married,primary,yes,no,yes,unknown,mar,success,37<x<56,-2712<x<14629,x>23,972<x<1942,16<x<32,0<x<14,1
153,student,married,secondary,no,yes,no,telephone,apr,success,56<x<75,-2712<x<14629,8<x<16,972<x<1942,x>47,0<x<14,1
154,student,divorced,unknown,no,yes,yes,telephone,sep,success,x<18,-2712<x<14629,1<x<8,3<x<972,1<x<16,29<x<43,1
155,services,married,primary,yes,yes,yes,cellular,nov,other,18<x<37,-2712<x<14629,x<1,3<x<972,1<x<16,29<x<43,1
156,technician,divorced,secondary,no,no,yes,telephone,aug,success,x>75,-2712<x<14629,x>23,972<x<1942,1<x<16,29<x<43,1
157,unknown,single,primary,yes,no,no,unknown,sep,failure,56<x<75,-2712<x<14629,1<x<8,3<x<972,1<x<16,14<x<29,1
158,unknown,single,secondary,yes,no,no,telephone,jan,other,x<18,-2712<x<14629,16<x<23,3<x<972,1<x<16,0<x<14,1
159,services,single,secondary,yes,no,yes,unknown,jun,failure,37<x<56,-2712<x<14629,8<x<16,3<x<972,16<x<32,14<x<29,1
160,unemployed,divorced,secondary,yes,yes,yes,unknown,nov,unknown,56<x<75,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,0
161,retired,divorced,secondary,no,yes,no,telephone,aug,other,18<x<37,-2712<x<14629,8<x<16,972<x<1942,1<x<16,14<x<29,1
162,housemaid,divorced,primary,no,no,no,unknown,apr,unknown,18<x<37,-2712<x<14629,8<x<16,972<x<1942,32<x<47,14<x<29,1
163,technician,married,primary,no,yes,yes,telephone,apr,failure,18<x<37,-2712<x<14629,8<x<16,3<x<972,16<x<32,x>43,1
164,management,single,primary,no,no,yes,telephone,apr,unknown,37<x<56,-2712<x<14629,x<1,972<x<1942,32<x<47,14<x<29,1
165,management,single,tertiary,yes,no,no,telephone,oct,failure,56<x<75,-2712<x<14629,1<x<8,3<x<972,1<x<16,0<x<14,1
166,housemaid,married,primary,no,yes,no,unknown,jun,unknown,x>75,-2712<x<14629,16<x<23,3<x<972,16<x<32,0<x<14,1
167,blue-collar,married,unknown,yes,no,yes,telephone,oct,other,18<x<37,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,0
168,retired,married,secondary,no,yes,yes,telephone,jul,failure,x>75,-2712<x<14629,16<x<23,3<x<972,16<x<32,14<x<29,1
169,technician,married,primary,yes,no,yes,cellular,dec,other,56<x<75,-2712<x<14629,16<x<23,972<x<1942,1<x<16,0<x<14,1
170,entrepreneur,divorced,tertiary,yes,yes,no,cellular,feb,unknown,37<x<56,-2712<x<14629,1<x<8,972<x<1942,1<x<16,x>43,1
171,retired,divorced,unknown,no,yes,yes,telephone,aug,failure,18<x<37,-2712<x<14629,16<x<23,3<x<972,1<x<16,0<x<14,0
172,unemployed,married,tertiary,no,no,yes,telephone,jan,other,18<x<37,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,0
173,self-employed,single,tertiary,no,no,no,telephone,may,success,18<x<37,-2712<x<14629,16<x<23,3<x<972,1<x<16,14<x<29,1
174,technician,divorced,primary,yes,no,no,cellular,jan,failure,x>75,-2712<x<14629,16<x<23,3<x<972,1<x<16,14<x<29,1
175,entrepreneur,married,unknown,no,no,no,unknown,nov,failure,x>75,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,0
176,retired,married,primary,no,no,yes,cellular,nov,other,56<x<75,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,0
177,housemaid,divorced,primary,no,no,yes,unknown,mar,failure,37<x<56,-2712<x<14629,x<1,3<x<972,1<x<16,0<x<14,0
178,unemployed,single,unknown,yes,no,no,telephone,nov,failure,18<x<37,-2712<x<14629,16<x<23,972<x<1942,x<1,14<x<29,1
179,student,divorced,secondary,no,no,no,telephone,sep,success,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,14<x<29,1
180,retired,divorced,tertiary,yes,yes,yes,cellular,feb,other,18<x<37,-2712<x<14629,16<x<23,3<x<972,16<x<32,14<x<29,1
181,management,single,primary,no,yes,no,unknown,mar,other,x>75,-2712<x<14629,x>23,972<x<1942,1<x<16,0<x<14,1
182,housemaid,single,secondary,no,no,no,cellular,mar,failure,37<x<56,-2712<x<14629,16<x<23,3<x<972,x>47,0<x<14,0
183,entrepreneur,married,tertiary,no,no,no,cellular,nov,failure,x>75,-2712<x<14629,x>23,972<x<1942,16<x<32,0<x<14,1
184,unknown,single,tertiary,no,no,no,telephone,feb,failure,37<x<56,-2712<x<14629,1<x<8,972<x<1942,32<x<47,29<x<43,1
185,blue-collar,single,unknown,no,no,yes,cellular,mar,unknown,37<x<56,-2712<x<14629,x>23,972<x<1942,1<x<16,0<x<14,1
186,housemaid,single,unknown,no,yes,no,telephone,jun,success,x>75,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,1
187,admin.,single,unknown,yes,yes,no,unknown,dec,success,37<x<56,-2712<x<14629,8<x<16,972<x<1942,16<x<32,x>43,1
188,housemaid,married,unknown,yes,no,no,cellular,dec,success,18<x<37,-2712<x<14629,16<x<23,3<x<972,1<x<16,14<x<29,1
189,management,single,primary,no,no,yes,cellular,apr,failure,x>75,-2712<x<14629,1<x<8,972<x<1942,1<x<16,29<x<43,1
190,student,divorced,unknown,no,no,yes,telephone,oct,success,56<x<75,-2712<x<14629,x>23,972<x<1942,16<x<32,14<x<29,1
191,admin.,single,primary,no,yes,yes,telephone,jul,success,37<x<56,-2712<x<14629,16<x<23,972<x<1942,16<x<32,29<x<43,1
192,services,married,unknown,yes,no,yes,telephone,nov,unknown,x>75,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,1
193,unemployed,divorced,secondary,yes,no,yes,telephone,jul,success,37<x<56,-2712<x<14629,1<x<8,3<x<972,16<x<32,0<x<14,0
194,admin.,divorced,secondary,no,yes,yes,unknown,aug,other,18<x<37,-2712<x<14629,8<x<16,972<x<1942,16<x<32,14<x<29,1
195,entrepreneur,single,unknown,yes,no,no,cellular,mar,unknown,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,x>43,1
196,entrepreneur,married,primary,yes,yes,no,unknown,feb,failure,x>75,-2712<x<14629,1<x<8,3<x<972,32<x<47,0<x<14,0
197,management,single,primary,yes,no,yes,unknown,dec,success,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,14<x<29,1
198,retired,married,secondary,no,no,yes,unknown,aug,unknown,56<x<75,-2712<x<14629,8<x<16,3<x<972,x>47,14<x<29,1
