id,workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
32, State_gov, Prof_school, Other_relative, Asian_Pac_Islander, Male, India,35<x<53,274186<x<527198,4<x<8,25<x<50,1
33, Private, 12th, Own_child, White, Male, Laos,35<x<53,21174<x<274186,4<x<8,25<x<50,1
34, Private, 9th, Other_relative, Asian_Pac_Islander, Male, Mexico,x>71,21174<x<274186,8<x<12,50<x<74,1
35, Private, 11th, Not_in_family, White, Male, United_States,17<x<35,21174<x<274186,8<x<12,1<x<25,1
36, Self_emp_not_inc, 5th_6th, Other_relative, Amer_Indian_Eskimo, Male, India,17<x<35,21174<x<274186,x>12,1<x<25,1
37, Self_emp_not_inc, 10th, Husband, Other, Female, Thailand,35<x<53,274186<x<527198,4<x<8,25<x<50,1
38, Local_gov, Preschool, Wife, White, Male, Canada,17<x<35,21174<x<274186,4<x<8,1<x<25,1
39, Private, 12th, Husband, White, Male, Mexico,17<x<35,274186<x<527198,x>12,x>74,1
40, Federal_gov, Masters, Husband, Amer_Indian_Eskimo, Male, Laos,x>71,21174<x<274186,x>12,1<x<25,1
41, Private, 5th_6th, Own_child, Amer_Indian_Eskimo, Female, France,35<x<53,21174<x<274186,4<x<8,x<1,1
42, Private, 9th, Husband, White, Male, Puerto_Rico,17<x<35,21174<x<274186,x<1,x>74,1
43, State_gov, 11th, Unmarried, Other, Female, El_Salvador,53<x<71,21174<x<274186,4<x<8,1<x<25,1
44, Self_emp_inc, 11th, Wife, White, Female, Taiwan,17<x<35,21174<x<274186,x>12,50<x<74,1
45, Self_emp_not_inc, Prof_school, Unmarried, Black, Female, Guatemala,x>71,21174<x<274186,4<x<8,1<x<25,1
46, Local_gov, 5th_6th, Unmarried, Asian_Pac_Islander, Female, Poland,x>71,21174<x<274186,4<x<8,x<1,1
47, Private, Prof_school, Not_in_family, Black, Female, Jamaica,35<x<53,21174<x<274186,x>12,50<x<74,1
48, State_gov, 7th_8th, Husband, Other, Female, France,17<x<35,21174<x<274186,x<1,25<x<50,1
49, Local_gov, Assoc_acdm, Husband, Asian_Pac_Islander, Male, Germany,35<x<53,21174<x<274186,4<x<8,1<x<25,1
50, State_gov, Assoc_voc, Own_child, Other, Female, Laos,53<x<71,274186<x<527198,4<x<8,1<x<25,1
51, State_gov, Some_college, Not_in_family, White, Female, Italy,53<x<71,274186<x<527198,4<x<8,50<x<74,1
52, State_gov, HS_grad, Wife, Black, Female, Jamaica,17<x<35,21174<x<274186,x>12,50<x<74,1
53, State_gov, Doctorate, Own_child, White, Male, Taiwan,53<x<71,274186<x<527198,x>12,x>74,0
54, Federal_gov, 7th_8th, Unmarried, Asian_Pac_Islander, Male, India,x>71,21174<x<274186,8<x<12,25<x<50,1
55, Federal_gov, 11th, Unmarried, Other, Male, Guatemala,17<x<35,21174<x<274186,4<x<8,1<x<25,1
56, Private, 9th, Own_child, Black, Female, Yugoslavia,35<x<53,21174<x<274186,4<x<8,25<x<50,1
57, State_gov, Some_college, Husband, Black, Male, Thailand,35<x<53,21174<x<274186,x>12,25<x<50,1
58, State_gov, 11th, Not_in_family, Black, Male, Germany,35<x<53,274186<x<527198,x>12,1<x<25,1
59, Local_gov, Prof_school, Wife, Asian_Pac_Islander, Male, United_States,35<x<53,274186<x<527198,4<x<8,25<x<50,1
60, Self_emp_not_inc, Prof_school, Other_relative, Black, Male, Puerto_Rico,x<17,21174<x<274186,1<x<4,50<x<74,1
61, Federal_gov, 11th, Not_in_family, Amer_Indian_Eskimo, Male, Thailand,53<x<71,21174<x<274186,x>12,50<x<74,1
62, Federal_gov, Preschool, Husband, Other, Female, Ecuador,53<x<71,21174<x<274186,1<x<4,1<x<25,1
63, Self_emp_not_inc, 9th, Other_relative, Other, Male, China,53<x<71,21174<x<274186,8<x<12,50<x<74,1
64, Local_gov, 5th_6th, Other_relative, Asian_Pac_Islander, Female, Ecuador,35<x<53,21174<x<274186,8<x<12,x>74,1
65, State_gov, Masters, Unmarried, Other, Female, Japan,17<x<35,21174<x<274186,8<x<12,25<x<50,1
66, Self_emp_inc, 10th, Own_child, Amer_Indian_Eskimo, Male, United_States,35<x<53,21174<x<274186,4<x<8,1<x<25,1
67, Local_gov, Preschool, Wife, Other, Male, India,x>71,21174<x<274186,4<x<8,1<x<25,1
68, Federal_gov, Assoc_voc, Husband, Other, Male, United_States,53<x<71,21174<x<274186,8<x<12,25<x<50,1
69, Local_gov, Doctorate, Husband, White, Male, Haiti,35<x<53,21174<x<274186,8<x<12,25<x<50,1
70, State_gov, 5th_6th, Other_relative, White, Male, El_Salvador,35<x<53,21174<x<274186,8<x<12,25<x<50,1
71, Federal_gov, Assoc_acdm, Own_child, White, Male, Iran,17<x<35,274186<x<527198,8<x<12,1<x<25,1
72, Federal_gov, Bachelors, Husband, White, Male, Mexico,53<x<71,21174<x<274186,x>12,1<x<25,1
73, Self_emp_not_inc, Prof_school, Not_in_family, Black, Female, Iran,35<x<53,21174<x<274186,4<x<8,50<x<74,1
74, State_gov, Prof_school, Not_in_family, Asian_Pac_Islander, Male, Haiti,35<x<53,21174<x<274186,x>12,25<x<50,1
75, Self_emp_not_inc, Prof_school, Not_in_family, Other, Male, Dominican_Republic,53<x<71,21174<x<274186,8<x<12,25<x<50,1
76, Federal_gov, HS_grad, Husband, White, Male, France,x>71,274186<x<527198,8<x<12,25<x<50,1
77, State_gov, 9th, Unmarried, White, Female, Jamaica,17<x<35,21174<x<274186,8<x<12,50<x<74,1
78, Self_emp_inc, 11th, Other_relative, Amer_Indian_Eskimo, Female, China,35<x<53,21174<x<274186,x<1,25<x<50,1
79, Private, Bachelors, Husband, Black, Male, China,x>71,21174<x<274186,4<x<8,50<x<74,1
80, Self_emp_not_inc, 7th_8th, Husband, Black, Male, Philippines,x>71,21174<x<274186,8<x<12,25<x<50,1
81, Self_emp_not_inc, Preschool, Wife, Asian_Pac_Islander, Female, Haiti,x>71,21174<x<274186,8<x<12,25<x<50,1
82, Self_emp_not_inc, 10th, Other_relative, Amer_Indian_Eskimo, Male, Honduras,35<x<53,21174<x<274186,8<x<12,x>74,1
83, Private, 12th, Wife, Black, Male, Laos,53<x<71,21174<x<274186,8<x<12,1<x<25,1
84, Federal_gov, Assoc_voc, Husband, Other, Male, China,x>71,21174<x<274186,1<x<4,1<x<25,1
85, Self_emp_inc, Preschool, Unmarried, Amer_Indian_Eskimo, Female, Japan,35<x<53,21174<x<274186,4<x<8,1<x<25,1
86, Private, Assoc_voc, Husband, Black, Male, Dominican_Republic,35<x<53,21174<x<274186,4<x<8,x>74,1
87, Self_emp_inc, 9th, Other_relative, Asian_Pac_Islander, Male, Puerto_Rico,x>71,274186<x<527198,1<x<4,25<x<50,1
88, Federal_gov, 1st_4th, Husband, Amer_Indian_Eskimo, Female, United_States,53<x<71,274186<x<527198,8<x<12,50<x<74,1
89, Self_emp_inc, 7th_8th, Wife, Asian_Pac_Islander, Male, England,17<x<35,21174<x<274186,4<x<8,25<x<50,1
90, Self_emp_inc, Prof_school, Unmarried, Amer_Indian_Eskimo, Female, Japan,17<x<35,21174<x<274186,8<x<12,1<x<25,1
91, Local_gov, Masters, Own_child, Amer_Indian_Eskimo, Female, Germany,35<x<53,21174<x<274186,x<1,50<x<74,1
92, Local_gov, 11th, Other_relative, Amer_Indian_Eskimo, Male, Ecuador,17<x<35,21174<x<274186,x<1,25<x<50,1
93, Local_gov, 1st_4th, Own_child, Asian_Pac_Islander, Female, Puerto_Rico,35<x<53,21174<x<274186,x>12,25<x<50,1
94, Federal_gov, Prof_school, Own_child, Amer_Indian_Eskimo, Female, El_Salvador,17<x<35,21174<x<274186,x<1,25<x<50,1
95, State_gov, Some_college, Wife, Asian_Pac_Islander, Male, Guatemala,53<x<71,21174<x<274186,8<x<12,1<x<25,1
96, Local_gov, 11th, Not_in_family, Black, Female, Jamaica,35<x<53,21174<x<274186,4<x<8,x>74,1
97, Private, 10th, Own_child, White, Male, Haiti,17<x<35,21174<x<274186,8<x<12,x<1,1
98, Local_gov, Preschool, Wife, Amer_Indian_Eskimo, Female, Mexico,35<x<53,21174<x<274186,4<x<8,1<x<25,1
99, Self_emp_not_inc, 10th, Unmarried, White, Male, Philippines,35<x<53,21174<x<274186,x>12,25<x<50,1
100, Local_gov, 9th, Other_relative, White, Female, Poland,17<x<35,21174<x<274186,x>12,25<x<50,1
101, Local_gov, 9th, Other_relative, Black, Male, Puerto_Rico,17<x<35,21174<x<274186,1<x<4,1<x<25,1
102, Self_emp_not_inc, Some_college, Not_in_family, Other, Male, Italy,53<x<71,21174<x<274186,x>12,25<x<50,1
103, Federal_gov, 10th, Own_child, White, Female, Puerto_Rico,17<x<35,21174<x<274186,x>12,25<x<50,1
104, Self_emp_inc, HS_grad, Own_child, White, Female, Laos,17<x<35,21174<x<274186,8<x<12,x<1,1
105, Local_gov, 9th, Husband, White, Male, Taiwan,17<x<35,21174<x<274186,x>12,1<x<25,1
106, Federal_gov, Bachelors, Own_child, Asian_Pac_Islander, Male, Japan,17<x<35,274186<x<527198,4<x<8,50<x<74,1
107, Self_emp_inc, 5th_6th, Husband, Asian_Pac_Islander, Female, Laos,53<x<71,21174<x<274186,4<x<8,1<x<25,1
108, Self_emp_not_inc, Prof_school, Own_child, Black, Female, England,17<x<35,21174<x<274186,x>12,50<x<74,1
109, Self_emp_inc, 7th_8th, Wife, Amer_Indian_Eskimo, Male, Cambodia,x>71,21174<x<274186,4<x<8,1<x<25,1
110, Local_gov, 10th, Own_child, White, Male, India,17<x<35,21174<x<274186,x>12,1<x<25,1
111, Local_gov, 1st_4th, Other_relative, Other, Male, Canada,17<x<35,21174<x<274186,1<x<4,1<x<25,1
112, State_gov, Preschool, Unmarried, Black, Male, Poland,17<x<35,21174<x<274186,1<x<4,50<x<74,1
113, Federal_gov, Some_college, Other_relative, Other, Female, Canada,17<x<35,21174<x<274186,4<x<8,50<x<74,1
114, Self_emp_not_inc, 10th, Own_child, Amer_Indian_Eskimo, Female, Poland,17<x<35,21174<x<274186,8<x<12,1<x<25,1
115, Self_emp_inc, 10th, Own_child, Other, Male, Jamaica,x>71,21174<x<274186,x>12,25<x<50,1
116, State_gov, 5th_6th, Not_in_family, White, Male, Dominican_Republic,53<x<71,21174<x<274186,x>12,25<x<50,1
117, Local_gov, 7th_8th, Not_in_family, Asian_Pac_Islander, Male, Thailand,53<x<71,21174<x<274186,1<x<4,25<x<50,1
118, Self_emp_inc, 5th_6th, Husband, Other, Male, France,53<x<71,21174<x<274186,8<x<12,50<x<74,1
119, Self_emp_inc, HS_grad, Not_in_family, Asian_Pac_Islander, Female, China,x>71,274186<x<527198,4<x<8,1<x<25,1
120, Federal_gov, 11th, Own_child, White, Female, Haiti,53<x<71,21174<x<274186,4<x<8,1<x<25,1
121, Federal_gov, Assoc_voc, Unmarried, Amer_Indian_Eskimo, Male, Cuba,53<x<71,21174<x<274186,x<1,1<x<25,1
122, Local_gov, Masters, Husband, Amer_Indian_Eskimo, Female, El_Salvador,17<x<35,274186<x<527198,8<x<12,25<x<50,1
123, Private, Assoc_voc, Own_child, Amer_Indian_Eskimo, Male, Yugoslavia,53<x<71,274186<x<527198,4<x<8,50<x<74,1
124, Federal_gov, Doctorate, Husband, Amer_Indian_Eskimo, Male, Iran,x>71,21174<x<274186,x>12,1<x<25,1
125, Local_gov, 7th_8th, Not_in_family, White, Male, Jamaica,53<x<71,21174<x<274186,8<x<12,25<x<50,1
126, Private, 11th, Other_relative, Other, Female, Iran,17<x<35,21174<x<274186,8<x<12,1<x<25,1
127, Self_emp_not_inc, Prof_school, Own_child, Other, Male, Portugal,17<x<35,21174<x<274186,4<x<8,1<x<25,1
128, Local_gov, Assoc_acdm, Own_child, Asian_Pac_Islander, Female, Japan,17<x<35,21174<x<274186,8<x<12,1<x<25,1
129, State_gov, Doctorate, Not_in_family, White, Male, Honduras,17<x<35,21174<x<274186,4<x<8,25<x<50,1
130, Self_emp_inc, Assoc_voc, Not_in_family, Black, Male, El_Salvador,53<x<71,21174<x<274186,1<x<4,25<x<50,1
131, Self_emp_inc, 11th, Own_child, Other, Female, El_Salvador,53<x<71,21174<x<274186,x>12,1<x<25,1
132, Federal_gov, 5th_6th, Unmarried, White, Female, Philippines,53<x<71,21174<x<274186,4<x<8,25<x<50,1
133, Self_emp_inc, 1st_4th, Not_in_family, Amer_Indian_Eskimo, Female, France,17<x<35,21174<x<274186,4<x<8,x>74,1
134, Private, Bachelors, Husband, Asian_Pac_Islander, Female, India,35<x<53,21174<x<274186,4<x<8,25<x<50,1
135, State_gov, Preschool, Own_child, Black, Female, Italy,53<x<71,21174<x<274186,1<x<4,1<x<25,1
136, Federal_gov, 10th, Unmarried, Black, Male, Jamaica,x>71,21174<x<274186,8<x<12,25<x<50,1
137, State_gov, 7th_8th, Unmarried, Other, Male, France,53<x<71,21174<x<274186,8<x<12,50<x<74,1
138, Local_gov, Prof_school, Own_child, Other, Male, England,x>71,21174<x<274186,8<x<12,1<x<25,1
139, Private, 5th_6th, Not_in_family, White, Female, Honduras,35<x<53,21174<x<274186,8<x<12,50<x<74,1
140, Self_emp_not_inc, 9th, Husband, Black, Female, Italy,x>71,21174<x<274186,1<x<4,25<x<50,1
141, Private, Some_college, Unmarried, Other, Male, France,17<x<35,21174<x<274186,8<x<12,50<x<74,1
142, Local_gov, Prof_school, Husband, Other, Female, India,53<x<71,21174<x<274186,4<x<8,x>74,1
143, Self_emp_inc, 1st_4th, Husband, Asian_Pac_Islander, Male, Germany,35<x<53,21174<x<274186,x>12,25<x<50,1
144, Local_gov, Doctorate, Wife, White, Female, Jamaica,35<x<53,21174<x<274186,1<x<4,1<x<25,1
145, Self_emp_not_inc, Doctorate, Husband, Amer_Indian_Eskimo, Female, Japan,17<x<35,21174<x<274186,4<x<8,25<x<50,1
146, Private, Bachelors, Husband, Asian_Pac_Islander, Female, Laos,35<x<53,21174<x<274186,x>12,1<x<25,1
147, Private, Prof_school, Husband, Amer_Indian_Eskimo, Female, China,35<x<53,274186<x<527198,4<x<8,1<x<25,1
148, Local_gov, Masters, Other_relative, Amer_Indian_Eskimo, Female, Iran,35<x<53,21174<x<274186,1<x<4,x<1,1
149, Local_gov, Prof_school, Not_in_family, Other, Female, United_States,17<x<35,21174<x<274186,1<x<4,25<x<50,1
150, State_gov, Prof_school, Not_in_family, White, Male, Ecuador,53<x<71,21174<x<274186,1<x<4,1<x<25,1
151, State_gov, Assoc_voc, Unmarried, Asian_Pac_Islander, Female, Philippines,53<x<71,21174<x<274186,x>12,25<x<50,1
152, Local_gov, Assoc_acdm, Husband, Black, Female, Cambodia,53<x<71,21174<x<274186,4<x<8,50<x<74,1
153, Private, 7th_8th, Unmarried, White, Male, United_States,35<x<53,21174<x<274186,4<x<8,1<x<25,1
154, Local_gov, 1st_4th, Other_relative, Other, Male, Philippines,53<x<71,21174<x<274186,4<x<8,1<x<25,1
155, Self_emp_inc, 7th_8th, Husband, Asian_Pac_Islander, Female, Dominican_Republic,x>71,21174<x<274186,4<x<8,25<x<50,1
156, State_gov, Assoc_acdm, Own_child, Black, Male, England,53<x<71,21174<x<274186,4<x<8,50<x<74,1
157, Self_emp_inc, 12th, Other_relative, Amer_Indian_Eskimo, Female, Thailand,x>71,21174<x<274186,1<x<4,1<x<25,1
158, State_gov, HS_grad, Not_in_family, Asian_Pac_Islander, Female, South,x<17,21174<x<274186,8<x<12,25<x<50,1
159, Self_emp_not_inc, 1st_4th, Husband, Other, Male, Philippines,17<x<35,21174<x<274186,x>12,25<x<50,1
160, Self_emp_inc, Masters, Own_child, White, Female, Guatemala,53<x<71,21174<x<274186,1<x<4,50<x<74,1
161, Federal_gov, 1st_4th, Not_in_family, Amer_Indian_Eskimo, Female, England,x>71,21174<x<274186,8<x<12,50<x<74,1
162, Private, Some_college, Unmarried, Black, Male, Iran,x>71,527198<x<780210,8<x<12,25<x<50,1
163, Private, 9th, Wife, Black, Male, Ecuador,35<x<53,274186<x<527198,x>12,50<x<74,1
164, Federal_gov, Prof_school, Wife, Amer_Indian_Eskimo, Male, Taiwan,17<x<35,21174<x<274186,x<1,1<x<25,1
165, Self_emp_inc, 9th, Other_relative, White, Male, Yugoslavia,17<x<35,21174<x<274186,4<x<8,25<x<50,1
166, Local_gov, 7th_8th, Unmarried, Amer_Indian_Eskimo, Male, Jamaica,53<x<71,21174<x<274186,x>12,x>74,1
167, Self_emp_not_inc, 12th, Own_child, Black, Male, Dominican_Republic,17<x<35,274186<x<527198,8<x<12,x>74,1
168, Federal_gov, Doctorate, Husband, Asian_Pac_Islander, Male, Columbia,53<x<71,21174<x<274186,8<x<12,25<x<50,1
169, State_gov, 1st_4th, Husband, Amer_Indian_Eskimo, Female, Puerto_Rico,35<x<53,21174<x<274186,x<1,50<x<74,1
170, Self_emp_not_inc, Preschool, Wife, Black, Male, Yugoslavia,35<x<53,21174<x<274186,x>12,1<x<25,1
171, Local_gov, HS_grad, Husband, Amer_Indian_Eskimo, Male, Honduras,17<x<35,21174<x<274186,1<x<4,25<x<50,1
172, Self_emp_not_inc, 5th_6th, Other_relative, Other, Female, Poland,17<x<35,21174<x<274186,x<1,x>74,1
173, Private, HS_grad, Husband, Black, Female, Columbia,x>71,21174<x<274186,4<x<8,25<x<50,1
174, State_gov, Doctorate, Not_in_family, Amer_Indian_Eskimo, Male, Canada,x>71,21174<x<274186,4<x<8,1<x<25,1
175, State_gov, Prof_school, Own_child, Asian_Pac_Islander, Female, Cuba,53<x<71,21174<x<274186,x>12,1<x<25,1
176, State_gov, 12th, Wife, Black, Female, Iran,17<x<35,21174<x<274186,x>12,50<x<74,1
177, Self_emp_inc, Masters, Not_in_family, Asian_Pac_Islander, Male, Jamaica,35<x<53,21174<x<274186,x>12,25<x<50,1
178, State_gov, HS_grad, Own_child, Black, Female, Cambodia,53<x<71,21174<x<274186,x>12,1<x<25,1
179, State_gov, 1st_4th, Not_in_family, Other, Female, United_States,53<x<71,21174<x<274186,8<x<12,25<x<50,1
180, Self_emp_not_inc, Assoc_acdm, Own_child, Black, Male, Philippines,x>71,21174<x<274186,x>12,1<x<25,1
181, Self_emp_not_inc, HS_grad, Own_child, Amer_Indian_Eskimo, Male, Cuba,53<x<71,21174<x<274186,x<1,50<x<74,1
182, Local_gov, Masters, Other_relative, Other, Female, Mexico,35<x<53,21174<x<274186,x>12,25<x<50,1
183, Private, 9th, Wife, Other, Female, Ecuador,17<x<35,21174<x<274186,x<1,50<x<74,1
184, Local_gov, 7th_8th, Unmarried, Amer_Indian_Eskimo, Male, Iran,53<x<71,21174<x<274186,1<x<4,1<x<25,1
185, Private, Preschool, Other_relative, Amer_Indian_Eskimo, Female, India,35<x<53,21174<x<274186,8<x<12,50<x<74,1
186, Self_emp_inc, Bachelors, Wife, White, Male, El_Salvador,35<x<53,274186<x<527198,x<1,x<1,1
187, Self_emp_inc, 11th, Other_relative, Other, Female, Laos,35<x<53,21174<x<274186,x<1,25<x<50,1
188, Local_gov, Assoc_voc, Wife, Black, Male, Cambodia,53<x<71,21174<x<274186,4<x<8,50<x<74,1
189, Local_gov, Assoc_acdm, Wife, Other, Female, Ecuador,35<x<53,274186<x<527198,4<x<8,25<x<50,1
190, Private, Doctorate, Other_relative, Other, Female, Germany,35<x<53,21174<x<274186,8<x<12,1<x<25,1
191, Self_emp_inc, 10th, Own_child, White, Female, Iran,53<x<71,21174<x<274186,x>12,25<x<50,1
192, Self_emp_not_inc, Some_college, Unmarried, Asian_Pac_Islander, Male, Cambodia,53<x<71,21174<x<274186,x>12,25<x<50,1
193, Local_gov, 5th_6th, Unmarried, Amer_Indian_Eskimo, Female, Portugal,17<x<35,21174<x<274186,1<x<4,25<x<50,1
194, Self_emp_inc, Assoc_voc, Unmarried, Other, Female, Taiwan,x>71,21174<x<274186,1<x<4,1<x<25,1
195, Federal_gov, 1st_4th, Unmarried, Amer_Indian_Eskimo, Female, El_Salvador,35<x<53,21174<x<274186,8<x<12,25<x<50,1
196, Self_emp_inc, Assoc_acdm, Not_in_family, Other, Female, India,x>71,21174<x<274186,x>12,1<x<25,1
197, Self_emp_inc, Assoc_voc, Own_child, White, Male, Philippines,53<x<71,21174<x<274186,8<x<12,25<x<50,1
198, State_gov, 10th, Not_in_family, White, Female, Puerto_Rico,53<x<71,21174<x<274186,x>12,50<x<74,1
199, Self_emp_inc, Some_college, Husband, Asian_Pac_Islander, Male, Honduras,17<x<35,21174<x<274186,1<x<4,50<x<74,1
200, State_gov, Assoc_voc, Not_in_family, White, Male, Ecuador,x<17,274186<x<527198,8<x<12,25<x<50,1
201, Local_gov, Assoc_acdm, Other_relative, Asian_Pac_Islander, Male, Philippines,x>71,274186<x<527198,8<x<12,25<x<50,1
202, State_gov, Prof_school, Unmarried, White, Male, Poland,53<x<71,21174<x<274186,1<x<4,50<x<74,1
203, Private, 9th, Husband, Other, Female, Iran,53<x<71,21174<x<274186,8<x<12,x<1,1
204, Local_gov, Masters, Not_in_family, Asian_Pac_Islander, Female, Jamaica,17<x<35,21174<x<274186,x<1,50<x<74,1
205, Local_gov, Masters, Other_relative, Asian_Pac_Islander, Male, Haiti,17<x<35,21174<x<274186,x>12,1<x<25,1
206, Local_gov, HS_grad, Unmarried, Other, Female, Japan,53<x<71,21174<x<274186,8<x<12,1<x<25,1
207, State_gov, Masters, Not_in_family, Amer_Indian_Eskimo, Male, China,35<x<53,21174<x<274186,8<x<12,25<x<50,1
208, State_gov, 7th_8th, Own_child, Asian_Pac_Islander, Female, Haiti,x>71,21174<x<274186,x>12,1<x<25,1
209, State_gov, Masters, Own_child, Asian_Pac_Islander, Male, Haiti,17<x<35,21174<x<274186,x<1,50<x<74,1
210, Self_emp_not_inc, 1st_4th, Unmarried, Asian_Pac_Islander, Male, Italy,17<x<35,274186<x<527198,8<x<12,50<x<74,1
211, Federal_gov, 12th, Wife, Black, Male, Iran,53<x<71,21174<x<274186,4<x<8,50<x<74,1
212, Self_emp_inc, Assoc_voc, Other_relative, White, Female, France,53<x<71,21174<x<274186,8<x<12,50<x<74,1
213, Private, HS_grad, Own_child, Black, Female, Thailand,17<x<35,21174<x<274186,8<x<12,25<x<50,1
214, Federal_gov, 10th, Other_relative, White, Male, Yugoslavia,35<x<53,21174<x<274186,x>12,25<x<50,1
215, State_gov, HS_grad, Unmarried, Asian_Pac_Islander, Male, Iran,35<x<53,21174<x<274186,x>12,1<x<25,1
216, Self_emp_not_inc, 10th, Unmarried, White, Female, Jamaica,x<17,274186<x<527198,8<x<12,25<x<50,1
217, Federal_gov, 1st_4th, Wife, Asian_Pac_Islander, Female, India,17<x<35,21174<x<274186,x>12,50<x<74,1
218, Private, 10th, Other_relative, Black, Female, Jamaica,35<x<53,21174<x<274186,x>12,x>74,1
219, Self_emp_not_inc, Assoc_voc, Husband, Other, Female, Thailand,53<x<71,21174<x<274186,8<x<12,x<1,1
220, State_gov, 7th_8th, Other_relative, Black, Male, China,53<x<71,21174<x<274186,x>12,x>74,1
221, Self_emp_inc, 12th, Own_child, Other, Male, Iran,53<x<71,21174<x<274186,x<1,25<x<50,1
222, Self_emp_inc, Prof_school, Unmarried, White, Female, Honduras,x>71,21174<x<274186,x>12,x>74,1
223, Federal_gov, Some_college, Other_relative, Other, Female, England,17<x<35,21174<x<274186,1<x<4,1<x<25,1
224, Self_emp_not_inc, 1st_4th, Husband, Amer_Indian_Eskimo, Female, Canada,35<x<53,21174<x<274186,1<x<4,25<x<50,1
225, Federal_gov, Some_college, Not_in_family, Black, Female, India,x>71,274186<x<527198,1<x<4,1<x<25,1
226, Self_emp_not_inc, Bachelors, Other_relative, White, Female, Portugal,35<x<53,21174<x<274186,x>12,1<x<25,1
227, State_gov, Bachelors, Unmarried, Black, Female, United_States,35<x<53,21174<x<274186,8<x<12,x>74,1
