,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,class
22,37<x<56,management,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,1941<x<2911,1<x<16,x<0,unknown,yes
23,37<x<56,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
24,18<x<37,unemployed,single,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
25,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
26,18<x<37,technician,single,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
27,37<x<56,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
28,18<x<37,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
29,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
30,18<x<37,blue-collar,married,secondary,yes,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
31,56<x<75,technician,married,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
32,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
33,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
34,18<x<37,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
35,18<x<37,management,single,tertiary,no,-6847<x<15165,no,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
36,18<x<37,blue-collar,married,primary,no,-6847<x<15165,no,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
37,18<x<37,management,divorced,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,x<1,x<0,unknown,yes
38,37<x<56,management,married,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
39,18<x<37,entrepreneur,single,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
40,56<x<75,blue-collar,married,primary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,971<x<1941,x<1,x<0,unknown,yes
41,37<x<56,management,married,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
42,37<x<56,entrepreneur,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
43,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
44,37<x<56,management,married,unknown,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
45,18<x<37,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
46,37<x<56,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
47,37<x<56,housemaid,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
48,37<x<56,technician,divorced,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
49,37<x<56,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
50,37<x<56,blue-collar,single,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,x<1,x<0,unknown,yes
51,37<x<56,management,divorced,tertiary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,971<x<1941,x<1,x<0,unknown,yes
52,56<x<75,retired,married,secondary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
53,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
54,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
55,37<x<56,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
56,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
57,56<x<75,retired,married,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
58,37<x<56,technician,single,unknown,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
59,56<x<75,technician,married,tertiary,no,-6847<x<15165,no,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
60,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
61,37<x<56,blue-collar,divorced,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
62,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
63,37<x<56,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
64,56<x<75,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
65,37<x<56,blue-collar,married,unknown,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
66,37<x<56,unknown,married,primary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
67,37<x<56,services,married,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
68,37<x<56,admin.,married,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
69,37<x<56,technician,married,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
70,56<x<75,services,single,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
71,18<x<37,management,married,tertiary,no,-6847<x<15165,no,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
72,37<x<56,retired,divorced,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
73,37<x<56,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,x<1,x<0,unknown,yes
74,37<x<56,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
75,18<x<37,services,single,unknown,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
76,37<x<56,technician,married,tertiary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
77,18<x<37,self-employed,single,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
78,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
79,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
80,18<x<37,admin.,single,secondary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
81,18<x<37,services,divorced,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
82,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,1<x<16,x<0,unknown,yes
83,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
84,37<x<56,admin.,divorced,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,x<1,x<0,unknown,yes
85,18<x<37,technician,single,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,2<x<971,x<1,x<0,unknown,yes
86,37<x<56,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
87,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
88,18<x<37,blue-collar,married,primary,no,-6847<x<15165,yes,yes,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
89,18<x<37,management,single,secondary,no,-6847<x<15165,yes,no,unknown,8<x<16,may,971<x<1941,1<x<16,x<0,unknown,yes
90,37<x<56,admin.,single,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
91,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
92,18<x<37,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
93,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
94,37<x<56,services,divorced,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
95,18<x<37,management,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
96,18<x<37,technician,single,tertiary,no,-6847<x<15165,yes,yes,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
97,37<x<56,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
98,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
99,18<x<37,blue-collar,divorced,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,x<1,x<0,unknown,yes
100,18<x<37,services,single,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
101,18<x<37,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,x<1,x<0,unknown,yes
102,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
103,18<x<37,services,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,x<1,x<0,unknown,yes
104,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
105,18<x<37,admin.,single,secondary,no,-6847<x<15165,yes,yes,unknown,16<x<23,may,971<x<1941,x<1,x<0,unknown,yes
106,37<x<56,technician,divorced,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
107,18<x<37,blue-collar,married,primary,no,-6847<x<15165,yes,yes,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
108,18<x<37,blue-collar,married,unknown,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
109,37<x<56,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
110,18<x<37,blue-collar,single,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
111,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
112,18<x<37,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
113,18<x<37,management,married,tertiary,no,-6847<x<15165,yes,yes,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
114,18<x<37,blue-collar,single,secondary,yes,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
115,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
116,18<x<37,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
117,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
118,18<x<37,technician,married,secondary,no,-6847<x<15165,yes,yes,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
119,18<x<37,retired,married,primary,no,-6847<x<15165,no,no,unknown,16<x<23,may,971<x<1941,x<1,x<0,unknown,yes
120,18<x<37,technician,single,tertiary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
121,18<x<37,technician,single,tertiary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
122,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
123,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
124,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
125,18<x<37,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
126,18<x<37,self-employed,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
127,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,x<1,x<0,unknown,yes
128,37<x<56,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,x<1,x<0,unknown,yes
129,37<x<56,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
130,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
131,37<x<56,management,divorced,tertiary,no,-6847<x<15165,no,no,unknown,16<x<23,may,2<x<971,1<x<16,x<0,unknown,yes
132,37<x<56,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
133,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,16<x<23,may,971<x<1941,1<x<16,x<0,unknown,yes
134,18<x<37,technician,married,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
135,37<x<56,technician,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
136,18<x<37,services,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
137,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,no,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
138,18<x<37,self-employed,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
139,18<x<37,admin.,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
140,18<x<37,blue-collar,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
141,18<x<37,management,married,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
142,37<x<56,admin.,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
143,18<x<37,admin.,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
144,18<x<37,management,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
145,56<x<75,services,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
146,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
147,18<x<37,services,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
148,56<x<75,retired,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
149,18<x<37,entrepreneur,single,primary,no,-6847<x<15165,yes,yes,unknown,x>23,may,971<x<1941,x<1,x<0,unknown,yes
150,18<x<37,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
151,18<x<37,admin.,single,secondary,no,-6847<x<15165,yes,yes,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
152,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
153,37<x<56,services,divorced,secondary,no,-6847<x<15165,yes,yes,unknown,x>23,may,x>2911,1<x<16,x<0,unknown,yes
154,18<x<37,management,married,tertiary,no,-6847<x<15165,no,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
155,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
156,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
157,18<x<37,services,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
158,18<x<37,self-employed,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
159,18<x<37,management,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
160,18<x<37,services,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,x<1,x<0,unknown,yes
161,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
162,18<x<37,student,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,x<1,x<0,unknown,yes
163,37<x<56,entrepreneur,married,unknown,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
164,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,yes,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
165,18<x<37,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
166,37<x<56,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
167,37<x<56,unemployed,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
168,56<x<75,blue-collar,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,x<1,x<0,unknown,yes
169,37<x<56,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
170,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
171,18<x<37,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
172,37<x<56,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
173,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
174,37<x<56,management,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
175,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
176,37<x<56,blue-collar,single,primary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
177,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
178,37<x<56,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
179,18<x<37,blue-collar,single,secondary,no,-6847<x<15165,yes,yes,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
180,18<x<37,management,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
181,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,x<1,x<0,unknown,yes
182,37<x<56,admin.,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
183,37<x<56,services,married,primary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
184,37<x<56,unemployed,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
185,37<x<56,management,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,x<1,x<0,unknown,yes
186,18<x<37,technician,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
187,18<x<37,technician,divorced,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
188,18<x<37,services,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
189,37<x<56,unemployed,married,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
190,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,yes,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
191,18<x<37,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
192,37<x<56,blue-collar,divorced,primary,no,-6847<x<15165,yes,no,unknown,x>23,may,1941<x<2911,1<x<16,x<0,unknown,yes
193,37<x<56,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
194,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
195,37<x<56,technician,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
196,18<x<37,unemployed,divorced,primary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
197,18<x<37,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,x>23,may,2<x<971,1<x<16,x<0,unknown,yes
198,37<x<56,entrepreneur,single,secondary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
199,18<x<37,blue-collar,married,primary,no,-6847<x<15165,yes,no,unknown,x>23,may,971<x<1941,1<x<16,x<0,unknown,yes
200,37<x<56,management,married,tertiary,no,-6847<x<15165,yes,no,unknown,1<x<8,jun,2<x<971,1<x<16,x<0,unknown,yes
201,18<x<37,services,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,jun,2<x<971,x<1,x<0,unknown,yes
