id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
23,technician,divorced,tertiary,no,no,yes,telephone,dec,success,80,2885,5,1598,28,11,1
24,unknown,single,secondary,no,yes,yes,unknown,sep,success,23,1282,22,717,23,40,1
25,retired,divorced,secondary,no,no,yes,unknown,may,failure,48,2596,6,1514,7,37,1
26,blue-collar,married,unknown,yes,no,yes,telephone,jul,unknown,61,-601,19,209,16,14,0
27,housemaid,married,tertiary,no,no,yes,cellular,sep,unknown,29,1425,20,14,33,4,1
28,entrepreneur,divorced,tertiary,yes,yes,yes,telephone,oct,failure,25,1968,7,241,7,8,0
29,admin.,single,secondary,yes,no,no,telephone,feb,failure,42,4903,5,440,20,5,0
30,self-employed,single,tertiary,no,yes,no,unknown,dec,other,81,3636,18,1231,15,4,1
31,unknown,divorced,unknown,no,yes,yes,telephone,jun,success,52,4089,14,777,6,58,0
32,admin.,single,unknown,no,no,yes,cellular,aug,other,52,4736,19,334,8,18,1
33,housemaid,single,secondary,yes,no,yes,telephone,may,failure,64,7554,13,1571,8,3,0
34,retired,single,primary,no,yes,no,cellular,mar,success,57,1088,5,307,18,17,1
35,self-employed,single,tertiary,no,no,no,telephone,apr,success,28,9317,10,898,33,10,1
36,unemployed,divorced,unknown,no,yes,yes,telephone,dec,failure,95,158,9,238,32,8,1
37,student,single,primary,yes,no,no,telephone,jul,success,18,10438,10,199,13,41,1
38,self-employed,single,primary,yes,yes,yes,telephone,sep,other,31,638,15,1420,31,1,1
39,housemaid,single,primary,yes,yes,no,cellular,sep,success,80,2986,24,2621,20,17,1
40,services,divorced,tertiary,no,yes,no,cellular,apr,unknown,95,1167,18,1019,33,55,1
41,entrepreneur,divorced,tertiary,no,yes,no,cellular,aug,success,78,2995,17,1409,23,4,1
42,blue-collar,single,secondary,no,yes,no,telephone,jun,unknown,54,16992,26,1135,16,37,1
43,entrepreneur,single,secondary,no,yes,no,unknown,aug,success,88,136,27,192,33,12,1
44,retired,divorced,primary,no,no,yes,cellular,mar,unknown,70,23189,10,553,10,12,1
45,unemployed,single,tertiary,no,no,yes,cellular,mar,success,41,-378,18,1132,18,12,1
46,student,married,primary,yes,no,yes,cellular,dec,success,23,821,10,1217,1,17,1
47,housemaid,single,primary,yes,yes,yes,telephone,may,other,55,-745,3,1125,24,7,0
48,admin.,single,secondary,no,no,no,telephone,aug,other,55,1517,5,1370,4,26,1
49,admin.,divorced,secondary,yes,yes,yes,unknown,oct,other,88,2998,21,1321,63,3,1
50,self-employed,divorced,unknown,no,no,no,cellular,nov,success,58,-577,2,1531,13,5,1
51,housemaid,divorced,unknown,yes,no,no,telephone,jun,unknown,65,20723,8,769,28,13,1
52,technician,married,tertiary,yes,yes,no,cellular,nov,unknown,66,977,23,1508,30,28,0
53,services,divorced,unknown,no,no,yes,telephone,oct,success,77,518,10,431,6,0,1
54,entrepreneur,single,tertiary,yes,yes,yes,telephone,mar,unknown,30,3340,4,817,1,4,0
55,admin.,married,secondary,no,yes,no,unknown,oct,success,69,8918,24,480,1,6,1
56,management,divorced,unknown,no,yes,no,telephone,jan,unknown,76,2603,12,105,23,7,0
57,technician,married,unknown,no,no,no,cellular,sep,other,30,-221,17,284,22,4,1
58,entrepreneur,married,primary,no,yes,yes,telephone,mar,unknown,28,981,10,395,3,16,0
59,management,single,primary,no,no,yes,cellular,jun,failure,77,1722,25,59,8,28,1
60,technician,single,tertiary,yes,yes,no,telephone,feb,success,67,1478,16,1263,63,17,1
61,management,divorced,unknown,yes,no,no,telephone,jun,failure,21,2223,26,110,5,7,1
62,blue-collar,single,primary,yes,yes,yes,telephone,jul,unknown,74,3685,14,1176,20,27,0
63,student,married,unknown,yes,yes,no,telephone,aug,failure,21,2988,13,499,20,13,1
64,management,divorced,secondary,no,no,yes,unknown,nov,success,63,174,3,341,14,41,1
65,technician,married,unknown,no,yes,yes,unknown,apr,unknown,50,201,22,301,1,3,1
66,entrepreneur,divorced,secondary,no,no,yes,telephone,aug,success,54,-325,13,955,10,4,1
67,admin.,married,unknown,no,yes,no,telephone,oct,success,48,3850,1,2016,21,12,1
68,blue-collar,single,tertiary,yes,yes,yes,telephone,jun,other,65,-49,15,818,5,2,1
69,unknown,single,unknown,no,no,yes,telephone,sep,other,86,23592,30,1623,16,9,1
70,technician,divorced,unknown,yes,yes,yes,cellular,aug,success,77,32,18,623,23,10,0
71,entrepreneur,married,primary,no,yes,no,cellular,may,unknown,76,935,5,164,17,16,0
72,unemployed,married,unknown,no,yes,yes,telephone,apr,unknown,40,4040,15,1720,30,19,1
73,entrepreneur,married,tertiary,yes,yes,yes,unknown,jul,other,86,862,9,978,3,21,0
74,housemaid,married,primary,yes,yes,no,unknown,jan,unknown,23,1444,5,929,5,26,0
75,student,married,secondary,no,yes,no,telephone,aug,failure,46,2952,5,1227,43,10,1
76,admin.,married,unknown,yes,no,no,cellular,sep,failure,69,717,17,509,16,1,1
77,technician,divorced,tertiary,yes,no,no,telephone,sep,other,65,5299,26,809,13,1,1
78,unknown,married,secondary,yes,no,yes,unknown,may,success,45,14282,30,1871,1,5,0
79,technician,single,tertiary,no,yes,no,cellular,nov,other,71,208,10,1173,19,18,0
80,admin.,single,tertiary,no,no,no,telephone,oct,failure,79,-396,24,949,20,13,1
81,student,divorced,unknown,no,yes,yes,telephone,may,unknown,39,802,2,933,7,37,0
82,blue-collar,married,tertiary,yes,yes,yes,cellular,may,success,84,4556,24,723,11,8,1
83,student,married,secondary,yes,no,no,unknown,dec,other,34,1219,13,2027,23,41,1
84,unknown,divorced,secondary,yes,yes,yes,cellular,nov,success,18,941,26,213,28,7,0
85,unemployed,married,primary,no,yes,no,unknown,feb,success,27,3550,23,32,16,41,1
86,entrepreneur,single,tertiary,no,yes,yes,unknown,jun,other,41,777,24,1224,9,17,1
87,services,married,unknown,yes,yes,yes,unknown,nov,unknown,81,-103,28,1665,2,28,0
88,retired,married,unknown,no,no,no,cellular,oct,success,23,5060,12,804,14,1,1
89,housemaid,divorced,tertiary,no,no,yes,unknown,apr,unknown,45,-6847,30,2087,43,22,1
90,services,divorced,tertiary,yes,yes,yes,telephone,apr,success,38,5475,9,1242,17,17,1
91,housemaid,single,secondary,yes,yes,yes,unknown,feb,other,37,-825,11,392,43,12,0
92,management,married,tertiary,no,no,no,unknown,jul,failure,46,446,1,1030,30,18,1
93,technician,married,unknown,yes,yes,yes,telephone,jul,success,51,1705,2,2062,32,41,1
94,unknown,divorced,primary,yes,no,no,telephone,apr,unknown,93,1873,26,423,18,30,1
95,technician,divorced,tertiary,no,no,no,unknown,dec,failure,89,4564,5,257,20,27,1
96,unemployed,single,unknown,no,yes,yes,telephone,jan,success,33,-779,22,213,16,40,1
97,entrepreneur,single,secondary,yes,no,no,cellular,sep,success,47,1724,8,1370,6,22,1
98,entrepreneur,divorced,secondary,yes,yes,yes,unknown,may,success,18,3426,20,743,13,30,0
99,services,married,tertiary,no,yes,yes,cellular,mar,unknown,41,5372,30,298,19,16,0
100,unknown,married,unknown,no,no,yes,unknown,apr,unknown,86,2707,8,576,29,2,1
101,self-employed,married,secondary,yes,yes,no,cellular,may,unknown,74,628,18,802,15,4,0
102,unemployed,single,tertiary,yes,yes,no,cellular,jan,unknown,85,1343,18,2692,41,15,1
103,unemployed,divorced,primary,yes,no,yes,unknown,jul,success,64,1221,24,59,21,0,0
104,technician,married,primary,no,yes,no,unknown,jan,success,85,1129,12,474,18,23,1
105,unemployed,married,secondary,no,yes,no,cellular,nov,unknown,39,-232,12,495,19,55,0
106,admin.,married,unknown,no,no,no,cellular,sep,other,84,106,30,469,16,13,1
107,unknown,single,tertiary,no,no,no,cellular,jan,failure,76,454,9,348,28,28,1
108,unknown,single,primary,no,yes,yes,unknown,apr,failure,74,858,18,1011,9,9,1
109,self-employed,married,secondary,yes,no,no,telephone,mar,success,58,3417,23,608,27,6,1
110,services,single,tertiary,yes,no,yes,telephone,jul,success,75,10378,3,818,22,11,0
111,technician,divorced,secondary,no,no,yes,unknown,jul,failure,68,2245,11,535,41,6,1
112,blue-collar,divorced,secondary,yes,yes,yes,telephone,jan,failure,36,2781,29,301,30,16,0
113,unknown,single,primary,no,no,yes,cellular,may,failure,26,2455,18,185,28,55,0
114,entrepreneur,single,secondary,no,yes,no,unknown,jul,unknown,20,10583,17,191,23,14,0
115,housemaid,divorced,tertiary,no,no,yes,unknown,aug,success,36,1086,9,19,6,21,1
116,housemaid,married,primary,yes,yes,no,cellular,jan,other,65,3630,6,1387,10,3,0
117,student,married,primary,no,no,yes,unknown,feb,other,68,626,25,132,11,27,0
118,self-employed,divorced,primary,yes,yes,yes,telephone,sep,unknown,28,4758,31,1461,18,4,0
119,blue-collar,single,secondary,yes,yes,yes,cellular,apr,other,73,558,11,234,19,6,0
120,unknown,divorced,secondary,yes,yes,yes,telephone,apr,failure,46,623,16,894,3,27,1
121,unknown,married,unknown,no,yes,no,telephone,may,failure,41,5737,31,717,28,27,1
122,self-employed,married,primary,no,no,no,unknown,jan,other,45,3913,4,904,11,41,0
123,unemployed,single,tertiary,no,yes,yes,unknown,feb,other,65,5346,23,1330,6,16,1
124,student,single,unknown,no,yes,no,unknown,aug,unknown,50,7929,13,1275,1,19,1
125,housemaid,single,secondary,no,yes,yes,cellular,feb,other,52,3872,31,1697,13,26,0
126,unknown,divorced,secondary,no,yes,no,telephone,dec,failure,31,604,29,1978,20,21,1
127,unemployed,divorced,secondary,no,yes,yes,telephone,jan,success,27,-1944,27,1181,3,16,0
128,entrepreneur,single,unknown,no,yes,no,telephone,nov,unknown,69,9916,9,31,30,27,0
129,admin.,single,secondary,no,yes,yes,cellular,jun,success,24,522,24,556,32,6,0
130,technician,married,tertiary,no,yes,no,cellular,nov,success,59,576,9,1882,24,3,1
131,retired,divorced,unknown,no,no,no,cellular,mar,unknown,50,11222,8,90,7,40,1
132,student,single,secondary,no,yes,no,telephone,mar,unknown,58,2845,22,79,19,3,0
133,retired,single,unknown,no,no,yes,telephone,jan,other,31,1549,16,519,21,23,1
134,admin.,single,unknown,no,yes,yes,unknown,dec,failure,93,-221,23,621,29,13,1
135,unemployed,divorced,tertiary,yes,yes,yes,unknown,may,failure,35,1943,27,181,10,18,0
136,management,single,unknown,no,no,yes,telephone,jul,unknown,66,1368,22,66,11,26,0
137,student,married,secondary,no,no,no,telephone,oct,other,50,5583,29,1584,33,41,1
138,technician,single,tertiary,yes,no,yes,unknown,jan,failure,21,8422,2,474,63,55,0
139,unemployed,divorced,primary,no,no,yes,telephone,jul,other,38,2982,9,203,29,10,1
140,housemaid,divorced,primary,no,no,yes,unknown,aug,failure,65,5514,5,551,21,27,1
141,retired,single,primary,yes,no,no,telephone,aug,success,71,-637,22,732,21,1,1
142,services,married,tertiary,no,yes,yes,unknown,oct,success,71,791,30,696,63,9,0
143,retired,divorced,primary,yes,yes,no,unknown,oct,success,45,3238,18,860,2,3,1
144,unemployed,married,unknown,no,no,yes,cellular,sep,unknown,81,385,21,438,6,21,1
145,services,married,unknown,no,yes,yes,unknown,dec,failure,27,5188,18,1980,32,13,0
146,management,married,tertiary,yes,yes,yes,telephone,jun,success,74,699,17,692,28,1,1
147,blue-collar,single,secondary,no,no,yes,unknown,aug,unknown,76,774,26,1407,30,15,0
148,student,married,secondary,no,no,no,unknown,jul,other,95,1377,5,500,25,19,1
149,blue-collar,divorced,primary,yes,yes,no,telephone,nov,other,56,6958,15,2301,13,17,0
150,retired,divorced,secondary,no,yes,yes,unknown,jan,other,50,1831,1,151,12,17,0
151,unemployed,divorced,secondary,yes,no,yes,cellular,oct,other,29,14,29,553,27,29,1
152,self-employed,single,primary,no,yes,no,cellular,sep,failure,49,2915,18,606,5,20,0
153,self-employed,married,primary,no,yes,no,unknown,jan,success,69,1144,25,802,23,0,0
154,management,divorced,secondary,yes,no,yes,cellular,dec,other,67,-412,4,1042,24,40,1
155,admin.,divorced,unknown,no,no,no,telephone,nov,other,68,2615,29,143,2,58,0
156,self-employed,single,secondary,no,no,no,unknown,feb,failure,65,3560,6,209,26,9,0
157,admin.,married,secondary,yes,no,no,telephone,oct,other,61,2067,12,1635,41,20,1
158,entrepreneur,divorced,primary,yes,no,no,unknown,may,success,84,4803,30,774,17,11,0
159,unemployed,single,primary,yes,no,yes,cellular,jul,success,69,4693,8,955,3,22,1
160,unemployed,married,tertiary,yes,no,yes,unknown,sep,success,46,6481,6,929,2,27,1
161,self-employed,married,primary,no,yes,no,unknown,nov,failure,78,1696,9,161,22,6,0
162,entrepreneur,married,primary,no,no,no,unknown,aug,failure,58,841,16,1051,9,9,1
163,student,married,secondary,no,yes,no,telephone,mar,failure,95,1831,2,1440,14,19,0
164,unknown,single,unknown,yes,no,no,unknown,jul,unknown,87,2287,15,1238,31,29,0
165,technician,divorced,unknown,no,no,no,cellular,jan,unknown,75,4297,20,368,2,22,1
166,entrepreneur,divorced,secondary,no,yes,no,unknown,jun,unknown,33,6784,6,1141,63,4,0
167,housemaid,married,secondary,yes,yes,yes,telephone,may,success,18,3680,15,777,25,11,0
168,management,divorced,tertiary,yes,no,yes,unknown,dec,success,69,2957,25,723,4,19,1
169,admin.,single,unknown,no,yes,no,cellular,jan,unknown,39,3730,10,505,13,6,1
170,technician,married,tertiary,no,yes,yes,cellular,mar,success,61,3119,23,1349,22,3,1
171,unknown,divorced,secondary,no,yes,no,unknown,jul,failure,57,18016,11,830,10,6,1
172,unemployed,divorced,tertiary,no,yes,yes,unknown,jul,success,87,2473,22,368,5,55,0
173,blue-collar,married,primary,yes,yes,no,unknown,jan,success,68,3428,19,272,18,4,0
174,unknown,divorced,primary,no,no,no,unknown,apr,failure,87,16992,5,41,30,40,1
175,unemployed,divorced,unknown,no,no,yes,cellular,oct,unknown,49,256,16,613,31,14,1
176,blue-collar,married,primary,no,no,no,telephone,aug,other,43,1182,15,1294,25,10,1
177,technician,single,primary,no,yes,no,cellular,feb,success,29,442,30,1149,17,11,1
178,retired,married,unknown,no,no,no,cellular,jan,failure,55,772,28,944,7,20,0
179,retired,married,tertiary,yes,yes,yes,telephone,jul,failure,24,303,2,1536,18,18,1
180,unemployed,married,unknown,yes,yes,yes,telephone,aug,success,42,618,2,1623,29,15,1
181,blue-collar,single,primary,yes,no,no,telephone,may,failure,43,4053,26,782,32,21,0
182,admin.,divorced,secondary,no,yes,no,telephone,oct,other,50,23878,17,1392,31,37,1
183,services,married,unknown,yes,no,yes,cellular,apr,success,47,2568,18,918,28,18,1
184,entrepreneur,single,unknown,yes,no,yes,unknown,jan,failure,83,2630,16,832,12,22,1
185,housemaid,single,primary,no,yes,yes,cellular,apr,other,46,1535,28,405,7,13,0
186,unemployed,married,unknown,yes,yes,no,cellular,apr,other,44,4590,14,1306,19,14,1
187,services,divorced,primary,yes,yes,no,cellular,jun,failure,80,996,26,711,7,10,1
188,entrepreneur,single,primary,no,yes,no,unknown,aug,other,65,7459,27,82,30,22,1
189,blue-collar,married,primary,no,no,yes,unknown,oct,other,43,-762,9,319,3,19,0
190,admin.,divorced,secondary,yes,yes,yes,cellular,aug,other,29,1164,25,652,33,28,1
191,unknown,married,secondary,yes,no,yes,telephone,may,success,72,633,19,218,33,55,1
192,entrepreneur,divorced,unknown,no,yes,yes,telephone,feb,unknown,40,469,13,385,22,0,0
193,services,single,secondary,no,no,no,cellular,jan,other,52,4348,22,413,18,4,1
194,admin.,divorced,unknown,yes,no,yes,cellular,sep,other,52,1008,25,288,16,19,1
195,unknown,married,tertiary,no,no,yes,telephone,jun,other,47,-749,12,29,22,55,1
196,housemaid,single,unknown,yes,no,no,unknown,nov,unknown,30,644,17,346,10,13,0
197,services,single,tertiary,yes,no,no,telephone,nov,success,64,2579,1,269,17,28,1
198,management,divorced,secondary,no,yes,yes,telephone,jun,other,89,2228,31,657,27,22,1
199,housemaid,married,unknown,no,no,no,unknown,sep,success,40,1937,17,615,21,4,1
200,admin.,divorced,unknown,yes,no,yes,telephone,aug,other,41,456,16,415,9,14,1
201,unemployed,divorced,secondary,yes,no,no,cellular,feb,success,80,1249,27,615,5,7,1
202,admin.,divorced,tertiary,yes,no,yes,telephone,apr,other,80,3126,8,886,4,58,1
203,entrepreneur,single,secondary,yes,no,no,telephone,jul,other,51,3629,27,955,9,17,1
204,self-employed,single,primary,yes,yes,yes,telephone,oct,failure,90,6641,15,1231,1,3,1
205,admin.,divorced,primary,no,yes,no,unknown,jun,failure,28,154,11,970,15,10,0
206,retired,divorced,tertiary,no,yes,yes,cellular,mar,success,69,-548,7,1426,25,1,1
207,self-employed,single,unknown,no,yes,no,telephone,nov,other,47,401,11,214,41,28,1
208,student,single,unknown,no,no,no,unknown,apr,other,59,860,3,564,5,23,1
209,admin.,divorced,tertiary,yes,no,yes,unknown,jan,other,69,287,18,127,4,21,0
210,entrepreneur,divorced,secondary,yes,no,yes,unknown,feb,other,25,1840,15,33,32,21,0
211,technician,married,primary,no,no,yes,cellular,dec,failure,60,2149,10,306,24,27,1
212,student,divorced,tertiary,yes,yes,no,unknown,jan,other,24,319,22,208,13,18,1
213,student,married,primary,no,yes,yes,telephone,jan,failure,90,1962,27,704,27,41,0
214,unemployed,married,secondary,yes,no,no,telephone,apr,unknown,32,1167,18,17,4,10,0
215,unemployed,single,primary,yes,yes,yes,cellular,mar,failure,81,1724,14,345,5,37,0
216,technician,married,unknown,no,no,no,unknown,may,success,49,-27,13,583,10,4,0
217,unknown,divorced,primary,no,yes,yes,unknown,mar,failure,81,1735,22,643,23,27,0
218,self-employed,married,primary,no,no,yes,cellular,jan,success,75,3561,23,2087,32,27,1
219,services,divorced,tertiary,yes,no,yes,unknown,jul,success,36,3428,17,849,5,12,1
220,entrepreneur,divorced,tertiary,yes,yes,yes,telephone,nov,other,51,4482,27,1871,2,12,0
221,technician,divorced,unknown,no,yes,no,telephone,nov,failure,52,4329,19,1306,17,4,0
222,blue-collar,married,primary,yes,yes,no,telephone,mar,unknown,72,1513,21,690,14,55,0
223,retired,married,unknown,yes,yes,yes,telephone,oct,success,35,102,25,625,33,28,1
224,unemployed,divorced,secondary,yes,no,no,unknown,aug,success,40,2845,21,425,43,9,1
225,admin.,divorced,secondary,no,no,yes,cellular,nov,unknown,79,9324,6,182,19,5,1
226,retired,married,tertiary,yes,no,yes,cellular,feb,success,70,290,4,790,16,27,1
227,retired,married,tertiary,no,yes,no,unknown,jan,unknown,36,202,23,108,21,4,0
228,admin.,married,primary,no,no,yes,cellular,jun,unknown,40,10250,8,1297,16,6,1
229,technician,married,unknown,yes,yes,no,unknown,feb,other,31,2291,4,494,26,18,1
230,management,single,primary,yes,yes,yes,telephone,feb,unknown,72,4189,25,1263,63,12,0
231,student,divorced,tertiary,yes,no,no,cellular,feb,unknown,93,6843,21,1357,6,7,1
232,entrepreneur,divorced,secondary,no,yes,no,unknown,sep,unknown,88,-152,12,228,18,3,0
233,retired,married,primary,no,yes,yes,telephone,may,other,65,5312,9,525,3,7,1
234,self-employed,single,unknown,no,yes,yes,unknown,may,unknown,26,1295,21,1126,22,0,0
235,retired,divorced,secondary,yes,yes,yes,cellular,may,unknown,78,1756,17,301,5,4,1
236,self-employed,divorced,secondary,yes,yes,no,cellular,dec,other,53,4522,22,470,28,29,1
237,entrepreneur,divorced,primary,no,yes,yes,cellular,apr,unknown,49,5878,21,100,41,12,0
238,retired,married,secondary,yes,no,no,telephone,feb,success,93,1898,29,684,18,29,1
239,housemaid,single,primary,yes,yes,yes,telephone,jun,failure,69,9192,2,810,25,6,1
240,retired,divorced,unknown,no,no,yes,telephone,oct,failure,37,6217,14,636,9,19,1
241,entrepreneur,divorced,tertiary,yes,no,yes,telephone,feb,failure,93,254,24,1973,22,55,0
242,unemployed,married,tertiary,no,yes,no,cellular,jul,success,82,2002,21,1980,22,26,1
243,student,divorced,tertiary,yes,yes,yes,cellular,jan,unknown,35,1107,12,1543,26,4,1
244,entrepreneur,divorced,primary,no,no,no,unknown,dec,unknown,37,2697,5,825,41,6,0
245,admin.,married,unknown,no,no,no,telephone,nov,other,68,-391,11,618,20,6,1
246,blue-collar,divorced,tertiary,yes,no,no,telephone,aug,unknown,24,2493,23,992,32,1,1
247,technician,divorced,tertiary,no,yes,yes,telephone,jan,failure,30,3109,13,660,4,19,1
248,management,divorced,primary,no,yes,yes,cellular,jan,unknown,68,2538,1,494,17,16,1
249,self-employed,married,primary,no,no,no,unknown,jul,success,55,4917,27,39,29,7,0
250,admin.,single,unknown,no,no,yes,unknown,jan,other,40,3949,12,1310,33,22,1
251,admin.,divorced,tertiary,no,yes,no,cellular,oct,success,84,-522,8,81,21,27,1
252,blue-collar,married,secondary,no,no,no,cellular,oct,other,78,2193,29,365,14,8,1
253,unknown,single,primary,no,no,no,telephone,nov,success,68,5735,20,816,5,27,1
254,admin.,single,primary,no,no,no,cellular,jul,success,82,1249,28,1097,23,28,1
255,unemployed,single,secondary,yes,no,no,cellular,dec,failure,34,3285,16,1740,15,11,1
256,technician,single,primary,yes,no,no,telephone,oct,other,88,3547,22,198,43,21,1
257,blue-collar,married,secondary,yes,no,no,cellular,may,other,32,14220,28,970,18,18,0
258,unemployed,married,secondary,no,no,no,cellular,mar,success,68,-720,24,284,11,58,1
259,unemployed,divorced,secondary,yes,yes,no,unknown,jun,other,92,72,21,658,19,26,0
260,housemaid,divorced,primary,yes,yes,yes,telephone,jul,failure,36,1806,20,46,27,12,1
261,unemployed,married,unknown,no,yes,no,telephone,jan,unknown,88,4831,18,1439,14,29,0
262,admin.,divorced,tertiary,yes,yes,yes,unknown,nov,other,67,4105,9,444,6,16,0
263,housemaid,married,secondary,yes,no,yes,cellular,oct,failure,54,-34,2,25,9,27,1
264,services,single,secondary,no,yes,yes,unknown,mar,unknown,23,2633,2,733,12,30,0
265,services,married,tertiary,yes,no,no,cellular,may,success,78,2780,27,1232,2,3,1
266,technician,divorced,secondary,yes,no,yes,telephone,jan,unknown,76,828,26,78,6,29,0
267,retired,single,primary,no,yes,yes,telephone,jan,failure,30,619,12,1310,19,11,0
268,entrepreneur,married,unknown,no,yes,yes,unknown,jun,failure,38,6538,18,823,41,20,0
269,self-employed,married,unknown,no,yes,yes,telephone,mar,unknown,34,1980,15,1407,25,29,1
270,management,divorced,primary,no,no,yes,unknown,may,other,32,2879,2,202,31,1,0
271,entrepreneur,single,tertiary,yes,no,yes,telephone,mar,other,55,6718,22,897,16,30,1
272,management,single,primary,yes,no,yes,cellular,mar,unknown,78,3178,16,376,28,18,1
273,technician,divorced,secondary,no,no,no,unknown,oct,other,46,-407,16,885,31,18,1
274,retired,married,primary,no,yes,no,cellular,dec,unknown,26,3401,27,150,27,30,0
275,blue-collar,married,unknown,yes,no,no,cellular,oct,success,72,1133,20,215,4,26,1
276,student,single,tertiary,yes,yes,yes,unknown,feb,failure,54,3935,26,849,13,22,1
277,housemaid,married,tertiary,no,no,yes,unknown,jan,failure,78,5312,28,832,5,2,0
278,technician,married,primary,yes,yes,yes,cellular,nov,success,45,2503,18,1199,20,7,0
279,blue-collar,divorced,secondary,yes,yes,no,cellular,feb,failure,52,2054,15,144,31,4,0
280,technician,divorced,tertiary,no,no,no,cellular,nov,unknown,95,-30,16,1029,27,58,1
281,student,single,tertiary,no,yes,yes,unknown,nov,success,59,1521,18,584,12,7,0
282,entrepreneur,divorced,unknown,yes,no,no,telephone,jan,other,48,1055,15,38,30,13,1
283,retired,divorced,unknown,no,no,no,cellular,mar,failure,29,1348,25,719,3,21,1
284,student,married,secondary,no,no,yes,telephone,jul,other,55,843,28,259,31,3,0
285,entrepreneur,single,secondary,no,yes,no,telephone,nov,other,42,2875,18,1190,11,41,0
286,student,single,primary,yes,yes,yes,telephone,dec,other,77,309,26,494,33,3,1
287,housemaid,divorced,tertiary,no,yes,no,cellular,oct,failure,74,-1053,15,1550,63,18,1
288,entrepreneur,divorced,tertiary,no,no,no,telephone,aug,success,35,847,31,572,41,8,1
289,entrepreneur,single,tertiary,yes,yes,no,telephone,jul,unknown,70,20928,7,944,29,3,0
290,self-employed,married,secondary,no,no,yes,telephone,oct,success,72,5115,26,4,14,17,1
291,housemaid,married,tertiary,no,no,yes,telephone,jan,unknown,72,474,27,1628,4,23,0
292,unemployed,single,primary,yes,no,no,cellular,apr,unknown,32,-803,26,665,32,7,1
293,services,divorced,unknown,no,yes,yes,telephone,aug,failure,44,3585,12,1164,2,16,0
294,student,single,primary,no,no,yes,cellular,oct,failure,60,449,16,1388,28,9,1
295,management,divorced,unknown,yes,yes,yes,cellular,apr,other,63,21,15,605,18,20,1
296,blue-collar,single,secondary,no,yes,yes,telephone,sep,unknown,29,3109,29,1240,29,20,1
297,entrepreneur,married,primary,no,yes,yes,cellular,feb,success,52,516,14,451,4,15,1
298,admin.,married,unknown,yes,no,yes,unknown,dec,success,79,2892,27,403,14,22,1
299,unemployed,married,tertiary,yes,no,no,telephone,mar,other,50,783,13,888,11,29,1
300,admin.,married,unknown,yes,no,yes,telephone,feb,other,51,-762,16,1001,27,8,1
301,housemaid,married,secondary,yes,no,no,telephone,may,failure,90,4803,28,624,14,14,1
302,entrepreneur,single,primary,yes,yes,yes,cellular,dec,success,87,1579,27,1265,18,19,0
303,technician,married,tertiary,yes,yes,no,telephone,may,other,21,3109,12,202,33,21,0
304,admin.,single,unknown,no,no,yes,telephone,apr,other,19,2232,5,21,27,23,1
305,technician,divorced,secondary,yes,yes,yes,cellular,jan,success,52,3634,17,1181,21,9,1
306,retired,single,unknown,yes,no,no,telephone,jan,other,54,-2282,7,860,28,15,1
307,blue-collar,single,tertiary,yes,yes,no,telephone,sep,unknown,53,2430,28,864,26,13,1
308,self-employed,married,tertiary,yes,yes,no,telephone,sep,failure,43,7506,18,767,17,6,0
