id,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,raisedhands,VisITedResources,AnnouncementsView,Discussion,class
40,M,SaudiArabia,Tunis,HighSchool,G-09,B,Arabic,F,Father,No,Good,Under-7,1,2,0,59,1
41,F,SaudiArabia,Syria,lowerlevel,G-12,C,Math,F,Mum,Yes,Good,Above-7,53,25,80,95,0
42,F,SaudiArabia,Iraq,HighSchool,G-02,A,Science,F,Mum,Yes,Bad,Under-7,89,21,66,69,0
43,F,Morocco,Syria,MiddleSchool,G-07,A,History,S,Father,No,Good,Above-7,99,31,24,92,1
44,F,Egypt,Iran,MiddleSchool,G-09,B,Math,F,Father,Yes,Good,Under-7,73,17,87,24,1
45,M,lebanon,Palestine,MiddleSchool,G-04,A,History,S,Mum,No,Good,Above-7,2,48,4,43,1
46,F,Iraq,lebanon,MiddleSchool,G-10,B,French,S,Father,Yes,Bad,Under-7,100,94,95,55,0
47,F,Syria,USA,lowerlevel,G-02,C,Geology,F,Father,Yes,Bad,Above-7,16,51,13,69,0
48,F,Lybia,Jordan,lowerlevel,G-06,A,Chemistry,S,Mum,No,Bad,Under-7,76,24,0,17,1
49,F,Iran,Jordan,lowerlevel,G-08,B,Quran,S,Father,Yes,Bad,Above-7,29,17,17,77,1
50,F,SaudiArabia,Syria,MiddleSchool,G-02,C,History,S,Father,Yes,Good,Above-7,90,38,74,63,0
51,F,Jordan,Egypt,MiddleSchool,G-09,C,Quran,S,Mum,No,Bad,Under-7,32,11,23,19,1
52,F,Lybia,Jordan,lowerlevel,G-06,C,Science,F,Father,Yes,Bad,Under-7,84,33,26,83,1
53,F,Palestine,Jordan,lowerlevel,G-07,B,Geology,F,Father,Yes,Good,Above-7,53,26,67,38,1
54,M,SaudiArabia,Iran,HighSchool,G-10,B,Science,S,Mum,Yes,Good,Under-7,53,72,20,62,1
55,M,Egypt,lebanon,lowerlevel,G-10,B,Biology,F,Father,No,Good,Under-7,70,72,21,69,1
56,M,Jordan,Morocco,lowerlevel,G-06,B,IT,F,Father,No,Good,Under-7,0,2,67,33,1
57,M,Lybia,Syria,HighSchool,G-02,C,Math,F,Father,No,Good,Under-7,6,0,40,55,1
58,M,SaudiArabia,SaudiArabia,HighSchool,G-02,B,English,F,Mum,Yes,Good,Under-7,7,43,38,69,1
59,M,Iran,USA,lowerlevel,G-10,C,Biology,F,Mum,Yes,Bad,Under-7,78,5,98,21,1
60,M,lebanon,Egypt,MiddleSchool,G-08,C,History,S,Father,No,Good,Above-7,21,84,98,92,1
61,F,Morocco,USA,lowerlevel,G-09,C,Arabic,F,Father,No,Bad,Above-7,51,65,55,39,1
62,M,venzuela,Lybia,MiddleSchool,G-12,B,Quran,F,Father,Yes,Good,Under-7,51,95,13,8,1
63,M,Iran,venzuela,HighSchool,G-04,C,Geology,S,Mum,No,Bad,Above-7,85,94,93,21,0
64,M,venzuela,USA,MiddleSchool,G-04,B,Chemistry,F,Mum,Yes,Bad,Under-7,41,18,39,71,0
65,F,Syria,lebanon,HighSchool,G-08,C,IT,S,Father,No,Good,Above-7,84,51,46,84,1
66,F,Tunis,USA,MiddleSchool,G-07,C,Arabic,F,Mum,Yes,Bad,Under-7,27,31,19,32,1
67,M,Iraq,USA,HighSchool,G-08,C,Arabic,F,Father,No,Good,Above-7,7,80,38,58,1
68,F,Palestine,Jordan,MiddleSchool,G-05,C,Biology,F,Father,No,Good,Above-7,82,44,51,71,1
69,M,KW,lebanon,lowerlevel,G-09,A,Math,F,Mum,No,Good,Above-7,55,60,75,15,0
70,M,venzuela,Palestine,lowerlevel,G-11,C,History,S,Mum,No,Good,Above-7,2,3,32,3,1
71,F,USA,Syria,MiddleSchool,G-10,A,Biology,S,Mum,No,Good,Above-7,32,69,91,84,0
72,M,Morocco,lebanon,MiddleSchool,G-09,C,Quran,F,Mum,No,Bad,Above-7,15,64,60,88,1
73,M,Egypt,venzuela,lowerlevel,G-08,C,Geology,S,Mum,Yes,Bad,Above-7,99,41,62,89,0
74,F,venzuela,Palestine,HighSchool,G-07,B,French,S,Father,Yes,Good,Under-7,27,86,32,60,0
75,M,Syria,Iran,HighSchool,G-12,A,IT,S,Father,Yes,Bad,Above-7,7,82,66,65,1
76,F,Tunis,Jordan,HighSchool,G-07,A,Quran,F,Mum,Yes,Good,Above-7,7,31,5,16,1
77,F,Syria,lebanon,HighSchool,G-05,B,Science,F,Mum,No,Bad,Above-7,41,84,42,75,1
78,M,Egypt,USA,lowerlevel,G-02,B,Geology,S,Mum,No,Bad,Above-7,98,16,7,11,1
79,M,SaudiArabia,Egypt,MiddleSchool,G-12,B,Science,S,Father,Yes,Bad,Above-7,79,1,76,93,1
80,M,Jordan,lebanon,MiddleSchool,G-07,B,Chemistry,F,Father,No,Good,Above-7,49,87,18,86,1
81,F,Jordan,lebanon,HighSchool,G-10,A,Biology,S,Father,No,Bad,Above-7,57,5,82,14,1
82,F,Iran,Tunis,HighSchool,G-08,C,Spanish,F,Mum,No,Bad,Above-7,11,41,53,12,1
83,M,Tunis,Lybia,MiddleSchool,G-12,A,Math,F,Mum,No,Bad,Above-7,2,33,60,36,1
84,M,Morocco,Iraq,HighSchool,G-06,B,Spanish,S,Mum,Yes,Good,Under-7,99,98,77,65,0
85,F,SaudiArabia,KuwaIT,MiddleSchool,G-10,A,Quran,S,Father,No,Good,Under-7,55,38,18,1,1
86,F,Lybia,Syria,MiddleSchool,G-11,A,IT,S,Father,Yes,Good,Under-7,60,58,62,33,1
87,F,Tunis,SaudiArabia,HighSchool,G-10,A,Arabic,F,Father,Yes,Good,Above-7,92,98,71,44,0
88,F,Iraq,Jordan,lowerlevel,G-04,C,Spanish,F,Father,No,Good,Above-7,76,21,63,43,1
89,F,Iran,USA,HighSchool,G-12,C,Spanish,F,Father,Yes,Good,Above-7,39,21,86,20,1
90,M,lebanon,Iran,lowerlevel,G-11,A,Science,S,Mum,Yes,Bad,Under-7,42,34,87,33,1
91,F,Syria,Morocco,MiddleSchool,G-11,B,Geology,S,Mum,Yes,Bad,Above-7,51,34,18,81,1
92,M,KW,venzuela,MiddleSchool,G-10,C,IT,S,Father,No,Good,Under-7,39,50,63,49,1
93,M,Palestine,Tunis,HighSchool,G-07,C,French,F,Mum,Yes,Bad,Above-7,78,4,33,14,1
94,F,Tunis,Tunis,HighSchool,G-07,B,IT,F,Mum,No,Good,Under-7,75,57,34,3,1
95,F,KW,Palestine,lowerlevel,G-02,B,IT,S,Mum,No,Bad,Above-7,42,51,79,28,1
96,F,Palestine,Palestine,HighSchool,G-10,A,English,S,Father,No,Good,Above-7,78,28,32,71,1
97,F,Syria,Palestine,lowerlevel,G-10,A,Chemistry,F,Mum,Yes,Bad,Under-7,77,88,59,98,0
98,M,Palestine,Palestine,MiddleSchool,G-07,A,Quran,F,Mum,Yes,Bad,Under-7,6,79,53,22,1
99,M,Egypt,Syria,MiddleSchool,G-08,B,Spanish,S,Mum,Yes,Good,Above-7,69,97,64,24,1
100,M,USA,KuwaIT,lowerlevel,G-04,B,Science,F,Mum,No,Bad,Under-7,3,77,32,65,1
101,M,Lybia,Egypt,lowerlevel,G-06,A,French,S,Mum,Yes,Bad,Under-7,42,0,39,20,1
102,M,Lybia,Syria,lowerlevel,G-04,C,Math,F,Mum,Yes,Bad,Under-7,77,36,49,55,1
103,F,Syria,Iran,lowerlevel,G-06,C,Arabic,S,Mum,Yes,Bad,Above-7,97,75,42,86,0
104,F,Iraq,Palestine,HighSchool,G-06,B,IT,F,Mum,No,Bad,Above-7,39,25,14,36,1
105,M,Iraq,Jordan,HighSchool,G-09,C,French,F,Mum,No,Bad,Under-7,9,92,8,44,1
106,M,Syria,Lybia,lowerlevel,G-07,C,Geology,S,Mum,No,Good,Under-7,23,54,14,34,1
107,F,venzuela,USA,lowerlevel,G-04,C,French,S,Mum,No,Bad,Above-7,83,80,59,7,0
108,M,Jordan,KuwaIT,HighSchool,G-07,A,Science,F,Father,Yes,Good,Above-7,4,65,3,49,1
109,M,Egypt,Morocco,MiddleSchool,G-07,B,Quran,S,Father,No,Good,Above-7,78,12,22,25,1
110,F,Syria,KuwaIT,lowerlevel,G-08,C,Chemistry,F,Father,No,Good,Above-7,100,44,8,2,1
111,F,Jordan,USA,HighSchool,G-02,C,Chemistry,F,Mum,No,Good,Above-7,65,16,66,74,1
112,F,Tunis,Tunis,MiddleSchool,G-11,A,Math,F,Mum,Yes,Bad,Above-7,9,70,21,77,1
113,F,Palestine,USA,HighSchool,G-07,C,Biology,S,Mum,No,Bad,Under-7,88,39,37,19,1
114,M,USA,Tunis,lowerlevel,G-02,A,Spanish,F,Mum,Yes,Bad,Above-7,15,83,77,49,1
115,F,Lybia,USA,MiddleSchool,G-04,A,Science,S,Mum,No,Good,Under-7,88,62,83,39,0
116,F,Iran,Syria,lowerlevel,G-12,B,Quran,S,Mum,Yes,Bad,Above-7,4,39,77,28,1
117,F,Palestine,Lybia,lowerlevel,G-02,C,History,S,Mum,No,Bad,Above-7,22,94,31,57,1
118,F,Tunis,venzuela,lowerlevel,G-09,B,Quran,S,Father,Yes,Good,Above-7,59,83,75,21,1
119,M,Egypt,Palestine,MiddleSchool,G-11,C,English,S,Mum,No,Bad,Under-7,3,71,76,26,1
120,M,Jordan,Syria,lowerlevel,G-11,C,History,F,Father,Yes,Bad,Above-7,72,58,77,44,1
121,M,USA,Egypt,MiddleSchool,G-08,B,Arabic,F,Father,Yes,Bad,Above-7,98,9,18,7,1
122,F,Egypt,Iran,lowerlevel,G-11,C,Math,F,Father,Yes,Bad,Above-7,67,55,20,44,1
123,F,Iraq,Morocco,MiddleSchool,G-10,C,French,F,Father,Yes,Bad,Above-7,100,2,10,55,1
124,M,Tunis,Iran,lowerlevel,G-09,C,History,S,Mum,Yes,Bad,Above-7,12,89,29,41,1
125,F,Palestine,Tunis,HighSchool,G-06,A,Spanish,S,Mum,No,Good,Under-7,79,63,39,61,1
126,F,Syria,Tunis,HighSchool,G-12,C,Geology,F,Father,No,Good,Under-7,32,72,29,86,1
127,M,KW,Lybia,HighSchool,G-04,B,Science,F,Father,No,Bad,Above-7,3,93,18,85,1
128,M,venzuela,KuwaIT,MiddleSchool,G-08,B,English,F,Mum,Yes,Good,Above-7,77,69,49,83,1
129,M,Morocco,Egypt,HighSchool,G-07,B,Biology,F,Father,No,Good,Under-7,81,28,26,45,1
130,M,SaudiArabia,Jordan,MiddleSchool,G-11,B,English,F,Mum,No,Bad,Above-7,100,48,50,71,1
131,F,SaudiArabia,lebanon,HighSchool,G-10,A,English,S,Mum,No,Good,Under-7,97,59,37,76,0
132,F,KW,lebanon,MiddleSchool,G-08,C,Quran,S,Father,No,Good,Above-7,99,98,43,35,0
133,M,Morocco,Tunis,HighSchool,G-06,B,Spanish,S,Mum,Yes,Good,Under-7,2,14,71,5,1
134,M,Lybia,Morocco,lowerlevel,G-05,B,Quran,S,Mum,Yes,Bad,Under-7,86,93,14,4,0
135,M,Egypt,SaudiArabia,MiddleSchool,G-11,C,History,S,Father,No,Bad,Under-7,16,79,7,44,1
136,M,Morocco,Tunis,lowerlevel,G-10,A,Spanish,S,Father,Yes,Good,Under-7,50,91,23,26,1
137,F,Iran,KuwaIT,HighSchool,G-02,B,Biology,S,Mum,No,Good,Above-7,99,18,51,70,1
138,F,Morocco,Iran,lowerlevel,G-10,A,Arabic,S,Mum,Yes,Bad,Above-7,16,42,28,1,1
139,F,Egypt,Iraq,MiddleSchool,G-09,A,Spanish,S,Mum,Yes,Good,Under-7,36,8,45,46,1
140,F,Morocco,KuwaIT,lowerlevel,G-06,A,IT,F,Father,Yes,Good,Under-7,81,93,64,26,1
141,M,Egypt,SaudiArabia,MiddleSchool,G-08,A,Science,S,Mum,Yes,Good,Under-7,30,71,44,21,1
142,F,Jordan,Morocco,lowerlevel,G-06,A,English,S,Mum,No,Bad,Above-7,33,54,2,8,1
143,F,Lybia,Tunis,MiddleSchool,G-08,C,Quran,S,Mum,No,Bad,Under-7,96,80,8,15,0
144,M,Egypt,Syria,MiddleSchool,G-04,C,Science,S,Father,No,Good,Above-7,53,75,72,20,1
145,F,Egypt,Iran,MiddleSchool,G-10,C,English,F,Mum,No,Bad,Above-7,15,76,65,48,1
146,M,Egypt,Palestine,lowerlevel,G-02,C,English,F,Mum,Yes,Bad,Under-7,50,22,26,13,1
147,F,Palestine,Iraq,lowerlevel,G-11,B,Biology,F,Mum,Yes,Bad,Under-7,19,35,75,2,1
148,M,Egypt,Morocco,MiddleSchool,G-07,B,Quran,F,Father,No,Good,Above-7,22,60,13,5,1
149,F,Iraq,USA,lowerlevel,G-08,B,Geology,F,Father,No,Bad,Above-7,39,1,54,34,1
150,F,Morocco,Lybia,MiddleSchool,G-12,C,Chemistry,F,Mum,No,Good,Under-7,10,30,51,23,1
151,M,Morocco,Tunis,lowerlevel,G-02,B,Arabic,F,Father,Yes,Good,Under-7,39,51,12,5,1
152,M,Iraq,KuwaIT,HighSchool,G-12,C,English,F,Mum,Yes,Bad,Under-7,76,42,71,81,0
153,M,lebanon,Tunis,HighSchool,G-07,A,History,S,Mum,Yes,Bad,Above-7,73,1,7,95,0
154,F,venzuela,Jordan,lowerlevel,G-06,A,History,S,Mum,Yes,Good,Above-7,0,89,46,88,1
155,M,Lybia,venzuela,HighSchool,G-10,B,History,F,Father,No,Good,Under-7,92,17,34,43,1
156,M,Iraq,Lybia,lowerlevel,G-06,B,Biology,S,Father,Yes,Bad,Under-7,84,18,30,68,1
157,F,Syria,Palestine,MiddleSchool,G-07,A,Geology,S,Mum,No,Bad,Under-7,74,79,77,41,0
158,F,KW,USA,lowerlevel,G-12,A,Biology,F,Father,Yes,Good,Under-7,81,24,77,33,0
159,M,Iraq,Syria,MiddleSchool,G-12,C,Math,F,Father,No,Bad,Under-7,99,25,20,65,1
160,F,Egypt,Tunis,HighSchool,G-06,C,Chemistry,S,Father,Yes,Good,Above-7,17,57,79,93,0
161,F,USA,Palestine,lowerlevel,G-07,C,Quran,S,Father,No,Good,Under-7,16,77,28,12,1
162,M,Egypt,Palestine,lowerlevel,G-02,B,Quran,F,Father,No,Bad,Under-7,89,90,56,61,1
163,M,Syria,Egypt,MiddleSchool,G-04,C,English,F,Mum,No,Bad,Under-7,15,7,41,77,1
164,F,Syria,lebanon,HighSchool,G-02,C,Quran,S,Mum,No,Good,Above-7,3,15,2,74,1
165,M,Palestine,Tunis,lowerlevel,G-02,C,Science,F,Mum,Yes,Good,Above-7,13,96,1,53,1
166,M,Iraq,Jordan,MiddleSchool,G-12,A,IT,F,Mum,No,Bad,Under-7,67,71,91,39,1
167,F,Palestine,Jordan,HighSchool,G-04,B,Biology,S,Mum,Yes,Good,Under-7,28,17,69,25,1
168,F,Egypt,Egypt,HighSchool,G-09,B,Math,S,Father,No,Good,Under-7,90,9,44,94,1
169,F,Iran,USA,HighSchool,G-04,A,Geology,S,Mum,Yes,Good,Under-7,83,96,52,73,0
170,F,Palestine,Palestine,MiddleSchool,G-08,C,English,F,Father,No,Good,Above-7,69,4,93,5,1
171,M,lebanon,Egypt,MiddleSchool,G-06,B,History,S,Mum,Yes,Bad,Under-7,49,69,21,93,1
172,F,venzuela,Tunis,lowerlevel,G-11,C,IT,F,Mum,No,Good,Under-7,4,89,72,74,0
173,F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,A,French,F,Father,No,Bad,Under-7,13,97,88,91,1
174,M,Tunis,lebanon,lowerlevel,G-07,C,Spanish,S,Mum,Yes,Good,Under-7,74,7,0,2,1
175,M,SaudiArabia,SaudiArabia,MiddleSchool,G-09,A,History,F,Mum,Yes,Good,Under-7,74,15,34,49,1
176,F,Iraq,Syria,MiddleSchool,G-10,C,History,S,Mum,No,Bad,Under-7,75,64,76,94,0
177,F,USA,Morocco,MiddleSchool,G-08,C,Chemistry,S,Father,No,Bad,Above-7,76,71,73,44,1
178,M,Egypt,Lybia,MiddleSchool,G-02,C,French,F,Mum,No,Bad,Above-7,35,31,13,41,1
179,F,Palestine,Lybia,lowerlevel,G-02,A,IT,S,Mum,No,Good,Above-7,86,52,53,16,1
180,M,Egypt,Lybia,lowerlevel,G-04,C,Chemistry,F,Father,No,Good,Above-7,74,72,12,76,1
181,F,Iran,Morocco,MiddleSchool,G-04,C,IT,F,Father,No,Good,Under-7,72,90,44,8,1
182,F,Egypt,USA,HighSchool,G-07,B,Quran,S,Father,Yes,Good,Under-7,45,74,20,57,1
183,M,Syria,Syria,lowerlevel,G-11,B,History,S,Mum,No,Good,Above-7,50,3,89,89,1
184,F,Morocco,Syria,lowerlevel,G-05,C,Arabic,F,Father,Yes,Good,Under-7,76,52,2,33,0
185,F,Lybia,KuwaIT,lowerlevel,G-12,B,Math,S,Father,No,Bad,Under-7,60,12,24,35,1
186,F,USA,KuwaIT,MiddleSchool,G-12,A,Science,F,Mum,Yes,Good,Under-7,76,92,32,90,0
187,M,venzuela,venzuela,HighSchool,G-02,C,French,F,Father,Yes,Good,Under-7,28,41,83,19,0
188,M,KW,Morocco,lowerlevel,G-12,B,English,F,Father,Yes,Bad,Above-7,77,52,82,25,1
189,M,Jordan,Egypt,MiddleSchool,G-06,C,Chemistry,S,Father,Yes,Bad,Above-7,97,57,85,50,1
190,M,Tunis,Jordan,lowerlevel,G-11,B,Science,F,Mum,No,Bad,Under-7,62,10,73,31,1
191,M,Tunis,USA,MiddleSchool,G-05,A,French,S,Father,Yes,Bad,Above-7,69,29,7,46,1
192,F,SaudiArabia,Lybia,HighSchool,G-06,B,English,S,Father,No,Good,Under-7,19,60,98,46,1
193,M,Palestine,lebanon,MiddleSchool,G-11,A,Science,S,Father,Yes,Bad,Above-7,25,99,62,64,1
194,M,lebanon,USA,lowerlevel,G-11,A,IT,F,Mum,No,Bad,Under-7,71,31,10,61,1
195,M,Morocco,KuwaIT,lowerlevel,G-10,A,Science,F,Mum,Yes,Good,Above-7,81,14,72,46,1
196,M,Egypt,KuwaIT,lowerlevel,G-07,B,Biology,S,Father,No,Good,Above-7,1,89,50,27,1
197,M,KW,SaudiArabia,MiddleSchool,G-07,B,Chemistry,S,Mum,No,Good,Above-7,45,40,41,73,1
198,M,Tunis,Morocco,HighSchool,G-02,A,English,F,Mum,Yes,Bad,Above-7,20,26,25,16,1
199,F,Tunis,Jordan,lowerlevel,G-05,B,Science,F,Mum,Yes,Good,Under-7,27,76,4,33,1
200,M,SaudiArabia,Iran,lowerlevel,G-07,A,French,S,Mum,No,Good,Above-7,21,20,0,17,1
201,M,Lybia,USA,lowerlevel,G-02,A,Arabic,F,Mum,Yes,Good,Under-7,21,72,29,93,1
202,M,Tunis,Palestine,lowerlevel,G-08,B,English,S,Father,No,Good,Under-7,92,15,14,8,1
203,M,lebanon,KuwaIT,lowerlevel,G-08,A,English,S,Father,No,Good,Under-7,28,84,64,79,1
204,M,Egypt,Morocco,HighSchool,G-05,C,Chemistry,S,Father,Yes,Bad,Above-7,30,1,79,33,1
205,M,Iraq,Egypt,MiddleSchool,G-02,C,Quran,F,Mum,Yes,Good,Under-7,81,99,40,76,0
206,F,SaudiArabia,Palestine,HighSchool,G-05,C,Science,S,Father,Yes,Bad,Above-7,75,33,72,86,1
207,M,lebanon,Palestine,lowerlevel,G-05,B,French,F,Mum,Yes,Good,Above-7,62,8,26,21,1
208,M,USA,KuwaIT,MiddleSchool,G-12,A,Chemistry,F,Father,Yes,Bad,Above-7,92,89,36,22,1
209,F,Lybia,lebanon,MiddleSchool,G-09,A,English,S,Mum,No,Bad,Above-7,65,79,93,2,1
210,F,Iraq,lebanon,MiddleSchool,G-04,C,Arabic,F,Mum,No,Good,Under-7,29,86,77,64,0
211,F,KW,venzuela,lowerlevel,G-07,B,Quran,F,Father,No,Good,Under-7,4,1,83,2,1
212,F,SaudiArabia,venzuela,MiddleSchool,G-08,A,Spanish,S,Mum,Yes,Bad,Above-7,87,85,86,98,0
213,M,Iran,Morocco,MiddleSchool,G-08,B,Spanish,S,Father,Yes,Good,Above-7,4,57,19,55,1
214,M,lebanon,venzuela,MiddleSchool,G-05,B,IT,F,Father,No,Good,Above-7,6,69,21,61,1
215,M,SaudiArabia,Egypt,lowerlevel,G-04,C,Math,F,Father,Yes,Bad,Under-7,57,78,5,15,1
216,M,KW,KuwaIT,lowerlevel,G-11,B,English,S,Mum,Yes,Bad,Under-7,74,50,46,14,1
217,M,Egypt,lebanon,HighSchool,G-07,A,IT,S,Father,Yes,Good,Above-7,79,80,93,94,0
218,F,venzuela,Palestine,MiddleSchool,G-08,B,Science,F,Father,Yes,Bad,Under-7,40,75,0,53,1
219,F,Tunis,SaudiArabia,lowerlevel,G-05,A,Biology,S,Father,No,Bad,Under-7,2,70,56,57,0
220,F,Morocco,Lybia,lowerlevel,G-04,C,Math,F,Mum,Yes,Good,Under-7,79,88,14,59,0
221,F,USA,lebanon,HighSchool,G-09,C,History,S,Mum,Yes,Good,Above-7,78,17,40,60,0
222,M,Tunis,SaudiArabia,lowerlevel,G-07,A,Science,S,Mum,No,Good,Under-7,27,84,6,43,1
223,F,venzuela,lebanon,lowerlevel,G-07,C,Chemistry,S,Father,Yes,Good,Above-7,84,86,4,37,0
224,M,venzuela,Morocco,MiddleSchool,G-11,A,Biology,F,Father,Yes,Good,Under-7,40,18,38,6,1
225,F,USA,Iran,HighSchool,G-11,A,Math,F,Father,No,Bad,Above-7,99,80,6,21,1
226,F,USA,Lybia,MiddleSchool,G-02,B,Science,S,Mum,Yes,Bad,Above-7,52,10,10,16,1
227,F,Iran,Egypt,HighSchool,G-04,B,Science,S,Mum,Yes,Bad,Above-7,78,21,35,75,1
228,M,Syria,lebanon,MiddleSchool,G-05,C,Biology,S,Mum,No,Bad,Above-7,74,96,32,76,0
229,F,Egypt,Egypt,MiddleSchool,G-10,C,Math,F,Father,No,Good,Above-7,42,34,49,93,1
230,F,Iraq,Lybia,MiddleSchool,G-08,C,Science,S,Mum,No,Good,Under-7,9,11,41,96,1
231,M,Iraq,Iraq,lowerlevel,G-04,A,Math,S,Father,Yes,Good,Above-7,8,2,65,90,1
232,F,SaudiArabia,Egypt,lowerlevel,G-02,A,English,F,Mum,Yes,Bad,Under-7,83,14,48,72,1
233,F,USA,Lybia,lowerlevel,G-05,C,IT,F,Mum,Yes,Bad,Above-7,9,15,58,50,1
234,F,SaudiArabia,Morocco,HighSchool,G-05,C,Chemistry,S,Mum,No,Bad,Under-7,55,93,18,16,1
235,M,venzuela,Iran,MiddleSchool,G-11,A,Math,F,Father,No,Bad,Under-7,88,14,51,17,1
236,F,Egypt,Tunis,HighSchool,G-02,C,IT,S,Mum,No,Good,Under-7,99,76,62,62,0
237,F,Jordan,USA,lowerlevel,G-02,C,Chemistry,F,Father,No,Good,Above-7,10,64,10,51,1
238,M,Iraq,Iran,lowerlevel,G-12,A,Science,S,Father,Yes,Bad,Under-7,35,63,64,63,1
