id,age,country,educational-num,fnlwgt,hours-per-week,race,relationship,sex,workclass,class
33,x>68,US,x<1,75734<x<209291,50<x<61,Other,Not-in-family,Male,State-gov,0
34,19<x<21,non-US,2<x<9,75734<x<209291,50<x<61,Black,Own-child,Male,Federal-gov,0
35,x>68,US,2<x<9,75734<x<209291,2<x<30,Black,Own-child,Male,Never-worked,0
36,x>68,non-US,13<x<15,209813<x<316597,50<x<61,Amer-Indian-Eskimo,Husband,Female,Local-gov,1
37,x>68,US,2<x<9,209813<x<316597,50<x<61,Asian-Pac-Islander,Husband,Female,Self-emp-not-inc,0
38,61<x<68,non-US,2<x<9,43395<x<75413,30<x<34,White,Husband,Male,Self-emp-not-inc,0
39,x>68,non-US,1<x<2,75734<x<209291,61<x<90,White,Unmarried,Female,Federal-gov,0
40,26<x<27,US,2<x<9,316820<x<392849,2<x<30,Asian-Pac-Islander,Not-in-family,Male,Never-worked,0
41,x>68,non-US,15<x<16,75734<x<209291,61<x<90,White,Not-in-family,Female,Without-pay,0
42,61<x<68,non-US,1<x<2,75734<x<209291,61<x<90,Asian-Pac-Islander,Wife,Male,Self-emp-not-inc,0
43,54<x<61,non-US,2<x<9,209813<x<316597,61<x<90,Black,Not-in-family,Female,State-gov,0
44,36<x<42,non-US,15<x<16,75734<x<209291,48<x<49,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc,0
45,x>68,US,2<x<9,75734<x<209291,x>90,Black,Other-relative,Female,Private,0
46,x>68,US,9<x<11,x>392849,2<x<30,Other,Husband,Female,Self-emp-inc,0
47,36<x<42,non-US,2<x<9,209813<x<316597,61<x<90,White,Own-child,Female,Without-pay,0
48,x>68,non-US,13<x<15,22366<x<37674,61<x<90,Asian-Pac-Islander,Wife,Female,Private,0
49,42<x<54,non-US,2<x<9,75734<x<209291,61<x<90,Asian-Pac-Islander,Husband,Female,Never-worked,0
50,42<x<54,non-US,12<x<13,316820<x<392849,x>90,Black,Other-relative,Female,Local-gov,0
51,54<x<61,US,9<x<11,75734<x<209291,2<x<30,Asian-Pac-Islander,Own-child,Male,Self-emp-inc,0
52,19<x<21,non-US,2<x<9,209813<x<316597,50<x<61,White,Other-relative,Female,Private,0
53,36<x<42,US,15<x<16,x>392849,2<x<30,Asian-Pac-Islander,Other-relative,Male,Local-gov,0
54,x>68,US,11<x<12,316820<x<392849,61<x<90,White,Husband,Male,Without-pay,0
55,x>68,non-US,13<x<15,75734<x<209291,34<x<38,Black,Husband,Female,Without-pay,1
56,x>68,US,2<x<9,x>392849,30<x<34,Other,Own-child,Male,State-gov,0
57,x>68,US,2<x<9,75734<x<209291,2<x<30,Other,Own-child,Male,State-gov,0
58,54<x<61,non-US,13<x<15,75734<x<209291,43<x<48,White,Own-child,Female,Never-worked,0
59,24<x<25,non-US,x<1,75734<x<209291,61<x<90,Amer-Indian-Eskimo,Other-relative,Female,State-gov,0
60,34<x<36,non-US,13<x<15,209813<x<316597,2<x<30,Other,Husband,Male,Self-emp-inc,0
61,36<x<42,US,2<x<9,316820<x<392849,61<x<90,Asian-Pac-Islander,Own-child,Female,Federal-gov,0
62,19<x<21,non-US,2<x<9,75734<x<209291,61<x<90,Asian-Pac-Islander,Wife,Male,Local-gov,0
63,42<x<54,US,2<x<9,75734<x<209291,50<x<61,White,Other-relative,Male,Private,0
64,19<x<21,non-US,2<x<9,75734<x<209291,2<x<30,Asian-Pac-Islander,Unmarried,Male,State-gov,0
65,x>68,non-US,2<x<9,75734<x<209291,43<x<48,Black,Not-in-family,Female,Self-emp-inc,0
66,34<x<36,non-US,2<x<9,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Unmarried,Female,Self-emp-inc,0
67,42<x<54,non-US,2<x<9,75734<x<209291,61<x<90,Other,Wife,Male,Local-gov,0
68,19<x<21,US,13<x<15,75734<x<209291,2<x<30,White,Not-in-family,Male,Without-pay,0
69,61<x<68,non-US,9<x<11,75734<x<209291,61<x<90,Asian-Pac-Islander,Unmarried,Male,Without-pay,0
70,61<x<68,US,2<x<9,75734<x<209291,x>90,Asian-Pac-Islander,Unmarried,Female,Self-emp-inc,0
71,42<x<54,US,2<x<9,209813<x<316597,61<x<90,White,Other-relative,Male,Self-emp-inc,0
72,30<x<34,US,13<x<15,75734<x<209291,x<2,Asian-Pac-Islander,Husband,Male,Private,0
73,36<x<42,non-US,2<x<9,75734<x<209291,61<x<90,Black,Own-child,Female,Private,0
74,36<x<42,US,2<x<9,209813<x<316597,30<x<34,Amer-Indian-Eskimo,Not-in-family,Female,State-gov,0
75,x>68,non-US,2<x<9,75734<x<209291,2<x<30,Other,Own-child,Female,State-gov,0
76,x>68,US,2<x<9,75734<x<209291,2<x<30,Other,Husband,Male,Self-emp-inc,0
77,61<x<68,US,2<x<9,x>392849,2<x<30,Black,Husband,Female,Local-gov,0
78,27<x<30,US,2<x<9,75734<x<209291,x>90,Asian-Pac-Islander,Wife,Female,Private,0
79,54<x<61,US,2<x<9,75734<x<209291,2<x<30,Black,Not-in-family,Female,Self-emp-inc,0
80,x>68,non-US,2<x<9,316820<x<392849,61<x<90,Asian-Pac-Islander,Not-in-family,Female,Never-worked,0
81,x>68,non-US,9<x<11,209813<x<316597,x>90,Amer-Indian-Eskimo,Husband,Male,Self-emp-inc,0
82,x<19,US,12<x<13,209813<x<316597,2<x<30,Black,Unmarried,Female,Self-emp-not-inc,0
83,25<x<26,US,2<x<9,209813<x<316597,50<x<61,White,Other-relative,Female,Self-emp-inc,0
84,34<x<36,non-US,2<x<9,316820<x<392849,61<x<90,Amer-Indian-Eskimo,Own-child,Male,Self-emp-inc,0
85,26<x<27,US,2<x<9,75734<x<209291,61<x<90,Other,Unmarried,Female,Federal-gov,0
86,x>68,non-US,1<x<2,209813<x<316597,2<x<30,Black,Unmarried,Female,Self-emp-inc,0
87,x>68,US,11<x<12,22366<x<37674,61<x<90,Other,Wife,Male,Private,0
88,61<x<68,non-US,2<x<9,75734<x<209291,2<x<30,Asian-Pac-Islander,Other-relative,Female,Without-pay,0
89,42<x<54,non-US,1<x<2,75734<x<209291,x>90,Other,Husband,Female,State-gov,0
90,42<x<54,non-US,2<x<9,75734<x<209291,2<x<30,Other,Wife,Male,Without-pay,0
91,42<x<54,US,9<x<11,209813<x<316597,2<x<30,Asian-Pac-Islander,Unmarried,Male,Without-pay,0
92,x>68,non-US,x<1,75734<x<209291,x>90,White,Own-child,Male,Federal-gov,0
93,27<x<30,US,9<x<11,75734<x<209291,50<x<61,Black,Husband,Female,State-gov,0
94,61<x<68,US,9<x<11,75734<x<209291,2<x<30,Black,Wife,Female,Federal-gov,0
95,61<x<68,non-US,1<x<2,75734<x<209291,61<x<90,Black,Other-relative,Female,Self-emp-not-inc,0
96,21<x<24,US,2<x<9,75734<x<209291,50<x<61,Amer-Indian-Eskimo,Husband,Male,Federal-gov,0
97,x>68,US,13<x<15,22366<x<37674,x>90,White,Other-relative,Male,State-gov,0
98,54<x<61,non-US,13<x<15,43395<x<75413,x>90,Asian-Pac-Islander,Husband,Male,Self-emp-inc,1
99,x<19,US,2<x<9,75734<x<209291,61<x<90,Asian-Pac-Islander,Not-in-family,Male,Self-emp-not-inc,0
100,42<x<54,non-US,2<x<9,43395<x<75413,61<x<90,Other,Unmarried,Female,Local-gov,0
101,42<x<54,US,2<x<9,209813<x<316597,2<x<30,Asian-Pac-Islander,Wife,Female,Local-gov,0
102,42<x<54,non-US,2<x<9,316820<x<392849,61<x<90,White,Husband,Female,State-gov,0
103,42<x<54,non-US,2<x<9,75734<x<209291,50<x<61,Amer-Indian-Eskimo,Wife,Male,Without-pay,0
104,x>68,US,15<x<16,209813<x<316597,x>90,White,Other-relative,Female,Federal-gov,0
105,36<x<42,non-US,13<x<15,22366<x<37674,61<x<90,Asian-Pac-Islander,Own-child,Male,Never-worked,0
106,36<x<42,US,2<x<9,75734<x<209291,61<x<90,Asian-Pac-Islander,Other-relative,Male,Never-worked,0
107,34<x<36,US,1<x<2,209813<x<316597,2<x<30,Amer-Indian-Eskimo,Husband,Male,Self-emp-inc,0
108,54<x<61,non-US,x<1,75734<x<209291,34<x<38,Asian-Pac-Islander,Wife,Female,State-gov,0
109,x>68,non-US,9<x<11,75734<x<209291,40<x<42,Other,Wife,Male,Without-pay,0
110,36<x<42,US,2<x<9,209813<x<316597,2<x<30,Amer-Indian-Eskimo,Own-child,Male,Without-pay,0
111,54<x<61,non-US,13<x<15,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Wife,Male,Never-worked,0
112,36<x<42,non-US,13<x<15,22366<x<37674,2<x<30,Asian-Pac-Islander,Wife,Female,Self-emp-not-inc,0
113,x>68,non-US,15<x<16,316820<x<392849,2<x<30,Other,Husband,Female,Without-pay,0
114,21<x<24,US,11<x<12,209813<x<316597,2<x<30,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,0
115,x>68,US,2<x<9,316820<x<392849,x>90,Amer-Indian-Eskimo,Wife,Female,Self-emp-not-inc,0
116,x>68,US,1<x<2,209813<x<316597,43<x<48,Asian-Pac-Islander,Wife,Male,Private,0
117,x>68,US,11<x<12,37719<x<42900,61<x<90,Other,Wife,Female,Self-emp-inc,0
118,x>68,US,2<x<9,75734<x<209291,2<x<30,Other,Not-in-family,Male,Federal-gov,0
119,x>68,US,9<x<11,75734<x<209291,50<x<61,Asian-Pac-Islander,Unmarried,Female,Local-gov,0
120,21<x<24,non-US,2<x<9,209813<x<316597,61<x<90,White,Wife,Female,Local-gov,0
121,x>68,non-US,2<x<9,75734<x<209291,x>90,Other,Other-relative,Male,State-gov,0
122,34<x<36,US,2<x<9,75734<x<209291,50<x<61,White,Own-child,Female,State-gov,0
123,61<x<68,US,11<x<12,209813<x<316597,30<x<34,Amer-Indian-Eskimo,Other-relative,Male,Without-pay,0
124,x>68,US,1<x<2,75734<x<209291,2<x<30,Other,Not-in-family,Female,Federal-gov,0
125,54<x<61,non-US,9<x<11,75734<x<209291,61<x<90,Amer-Indian-Eskimo,Own-child,Male,Private,0
126,61<x<68,US,2<x<9,75734<x<209291,61<x<90,Black,Wife,Male,Self-emp-inc,0
127,61<x<68,US,2<x<9,209813<x<316597,2<x<30,Black,Wife,Male,State-gov,0
128,36<x<42,non-US,13<x<15,43395<x<75413,x>90,Other,Wife,Male,Federal-gov,0
129,42<x<54,US,2<x<9,75734<x<209291,2<x<30,Asian-Pac-Islander,Husband,Female,Private,0
130,x>68,US,1<x<2,209813<x<316597,30<x<34,White,Unmarried,Female,Federal-gov,0
131,42<x<54,US,11<x<12,209813<x<316597,38<x<40,Amer-Indian-Eskimo,Not-in-family,Female,Self-emp-not-inc,0
132,30<x<34,non-US,9<x<11,75734<x<209291,2<x<30,White,Other-relative,Male,Never-worked,0
133,54<x<61,non-US,2<x<9,75734<x<209291,61<x<90,Asian-Pac-Islander,Other-relative,Female,Self-emp-not-inc,0
134,54<x<61,US,11<x<12,209813<x<316597,2<x<30,Asian-Pac-Islander,Not-in-family,Female,Without-pay,0
135,x<19,non-US,13<x<15,75734<x<209291,61<x<90,Amer-Indian-Eskimo,Husband,Male,Private,0
136,x>68,US,15<x<16,75734<x<209291,x<2,White,Wife,Female,Never-worked,0
137,42<x<54,non-US,15<x<16,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Own-child,Male,Never-worked,0
138,30<x<34,non-US,2<x<9,75734<x<209291,34<x<38,Other,Other-relative,Female,Federal-gov,0
139,21<x<24,non-US,2<x<9,43395<x<75413,61<x<90,Amer-Indian-Eskimo,Own-child,Female,Local-gov,0
140,x>68,non-US,9<x<11,209813<x<316597,2<x<30,Black,Not-in-family,Female,Federal-gov,0
141,x>68,US,1<x<2,75734<x<209291,30<x<34,Amer-Indian-Eskimo,Not-in-family,Male,Local-gov,0
142,x>68,non-US,x<1,x>392849,x>90,Asian-Pac-Islander,Not-in-family,Female,Never-worked,0
143,x<19,non-US,13<x<15,x>392849,2<x<30,Amer-Indian-Eskimo,Unmarried,Male,Without-pay,0
144,x>68,non-US,13<x<15,75734<x<209291,2<x<30,Other,Wife,Female,State-gov,0
145,x>68,non-US,2<x<9,75734<x<209291,2<x<30,Asian-Pac-Islander,Own-child,Female,Local-gov,0
146,x>68,US,2<x<9,75734<x<209291,50<x<61,Other,Not-in-family,Male,Never-worked,0
147,54<x<61,US,13<x<15,75734<x<209291,43<x<48,Black,Unmarried,Female,Never-worked,0
148,x>68,US,15<x<16,75734<x<209291,2<x<30,Other,Unmarried,Female,Self-emp-not-inc,0
149,x>68,US,9<x<11,75734<x<209291,2<x<30,Black,Husband,Male,Federal-gov,0
150,x<19,US,11<x<12,209813<x<316597,50<x<61,Black,Husband,Female,Federal-gov,0
151,27<x<30,US,13<x<15,75734<x<209291,61<x<90,Black,Husband,Female,Without-pay,0
152,36<x<42,non-US,2<x<9,75734<x<209291,50<x<61,Other,Other-relative,Male,Never-worked,0
153,x<19,US,2<x<9,316820<x<392849,2<x<30,White,Wife,Male,Self-emp-not-inc,0
154,x<19,non-US,2<x<9,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Husband,Female,Self-emp-inc,0
155,x>68,non-US,1<x<2,75734<x<209291,43<x<48,Asian-Pac-Islander,Husband,Female,Self-emp-not-inc,0
156,42<x<54,US,15<x<16,209813<x<316597,x>90,Other,Wife,Female,Without-pay,1
157,19<x<21,non-US,2<x<9,37719<x<42900,2<x<30,Black,Own-child,Female,Private,0
158,42<x<54,non-US,1<x<2,75734<x<209291,2<x<30,White,Husband,Male,Self-emp-inc,0
159,x>68,US,2<x<9,75734<x<209291,43<x<48,Amer-Indian-Eskimo,Not-in-family,Female,Never-worked,0
160,x>68,non-US,9<x<11,209813<x<316597,61<x<90,Asian-Pac-Islander,Own-child,Female,State-gov,0
161,30<x<34,non-US,2<x<9,75734<x<209291,2<x<30,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc,0
162,21<x<24,US,9<x<11,43395<x<75413,43<x<48,Other,Other-relative,Female,Self-emp-inc,0
163,34<x<36,non-US,2<x<9,316820<x<392849,30<x<34,Amer-Indian-Eskimo,Other-relative,Male,Federal-gov,0
164,42<x<54,US,9<x<11,75734<x<209291,61<x<90,White,Unmarried,Male,Federal-gov,0
165,42<x<54,non-US,9<x<11,75734<x<209291,61<x<90,Amer-Indian-Eskimo,Not-in-family,Male,Self-emp-inc,0
166,34<x<36,non-US,12<x<13,75734<x<209291,2<x<30,Black,Unmarried,Female,Without-pay,0
167,54<x<61,US,2<x<9,75734<x<209291,50<x<61,Asian-Pac-Islander,Husband,Male,Private,0
168,34<x<36,non-US,2<x<9,209813<x<316597,42<x<43,White,Own-child,Female,Without-pay,0
169,x>68,US,15<x<16,209813<x<316597,61<x<90,Black,Other-relative,Male,State-gov,0
170,x>68,non-US,2<x<9,209813<x<316597,2<x<30,Asian-Pac-Islander,Husband,Female,Self-emp-not-inc,0
171,26<x<27,non-US,13<x<15,75734<x<209291,61<x<90,Asian-Pac-Islander,Own-child,Female,State-gov,0
172,x>68,non-US,2<x<9,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,0
173,21<x<24,non-US,13<x<15,75734<x<209291,2<x<30,Asian-Pac-Islander,Own-child,Male,Never-worked,0
174,61<x<68,non-US,13<x<15,209813<x<316597,61<x<90,Other,Own-child,Female,Local-gov,0
175,x>68,non-US,9<x<11,43395<x<75413,42<x<43,Asian-Pac-Islander,Husband,Female,Without-pay,0
176,36<x<42,US,13<x<15,316820<x<392849,2<x<30,Asian-Pac-Islander,Husband,Male,Local-gov,0
177,x>68,non-US,11<x<12,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Own-child,Female,State-gov,0
178,x>68,US,15<x<16,75734<x<209291,2<x<30,White,Not-in-family,Male,State-gov,0
179,42<x<54,US,2<x<9,75734<x<209291,42<x<43,Asian-Pac-Islander,Husband,Female,Without-pay,0
180,30<x<34,non-US,2<x<9,316820<x<392849,2<x<30,Asian-Pac-Islander,Wife,Female,Private,0
181,30<x<34,non-US,2<x<9,75734<x<209291,50<x<61,Asian-Pac-Islander,Not-in-family,Male,Without-pay,0
182,x<19,non-US,13<x<15,209813<x<316597,2<x<30,Asian-Pac-Islander,Unmarried,Female,Self-emp-inc,0
183,x<19,non-US,2<x<9,209813<x<316597,x>90,Asian-Pac-Islander,Own-child,Male,Without-pay,0
184,36<x<42,US,13<x<15,75734<x<209291,61<x<90,White,Husband,Male,Self-emp-inc,1
185,x>68,non-US,2<x<9,75734<x<209291,43<x<48,Other,Husband,Female,Self-emp-inc,0
186,30<x<34,US,13<x<15,75734<x<209291,50<x<61,Black,Husband,Male,State-gov,0
187,54<x<61,US,12<x<13,43395<x<75413,50<x<61,White,Other-relative,Female,Local-gov,0
188,x>68,US,2<x<9,75734<x<209291,43<x<48,Other,Own-child,Male,Self-emp-not-inc,0
189,61<x<68,US,2<x<9,43395<x<75413,50<x<61,Amer-Indian-Eskimo,Wife,Female,Self-emp-inc,0
190,x>68,US,9<x<11,75734<x<209291,2<x<30,Asian-Pac-Islander,Own-child,Female,Never-worked,0
191,61<x<68,non-US,9<x<11,75734<x<209291,50<x<61,Other,Unmarried,Male,Never-worked,0
192,27<x<30,US,2<x<9,75734<x<209291,34<x<38,Amer-Indian-Eskimo,Husband,Male,Never-worked,0
193,61<x<68,non-US,11<x<12,75734<x<209291,30<x<34,Other,Other-relative,Male,Local-gov,0
194,x<19,non-US,13<x<15,75734<x<209291,30<x<34,White,Own-child,Male,Self-emp-inc,0
195,x<19,non-US,9<x<11,75734<x<209291,2<x<30,Asian-Pac-Islander,Own-child,Male,Private,0
196,27<x<30,non-US,x<1,209813<x<316597,50<x<61,Asian-Pac-Islander,Unmarried,Female,Self-emp-not-inc,0
197,61<x<68,US,2<x<9,75734<x<209291,61<x<90,Black,Own-child,Male,Without-pay,0
198,x>68,US,2<x<9,75734<x<209291,2<x<30,Asian-Pac-Islander,Other-relative,Male,Private,0
199,27<x<30,non-US,x<1,75734<x<209291,x>90,Amer-Indian-Eskimo,Not-in-family,Male,Never-worked,0
200,x>68,non-US,x<1,316820<x<392849,2<x<30,Amer-Indian-Eskimo,Not-in-family,Female,Private,0
201,x>68,US,11<x<12,75734<x<209291,x<2,Other,Not-in-family,Female,Self-emp-inc,0
202,x>68,US,13<x<15,209813<x<316597,61<x<90,Amer-Indian-Eskimo,Own-child,Female,Federal-gov,0
203,61<x<68,non-US,2<x<9,x>392849,61<x<90,Asian-Pac-Islander,Own-child,Male,Self-emp-not-inc,0
204,36<x<42,US,9<x<11,75734<x<209291,61<x<90,Asian-Pac-Islander,Husband,Female,Federal-gov,0
205,19<x<21,non-US,2<x<9,75734<x<209291,50<x<61,Amer-Indian-Eskimo,Husband,Female,Never-worked,0
206,54<x<61,US,15<x<16,316820<x<392849,30<x<34,Black,Husband,Male,Federal-gov,1
207,21<x<24,non-US,12<x<13,75734<x<209291,61<x<90,Other,Unmarried,Female,Local-gov,0
208,x>68,non-US,13<x<15,75734<x<209291,43<x<48,Asian-Pac-Islander,Other-relative,Female,Self-emp-not-inc,0
209,30<x<34,US,2<x<9,209813<x<316597,2<x<30,Amer-Indian-Eskimo,Own-child,Female,State-gov,0
210,42<x<54,US,13<x<15,75734<x<209291,40<x<42,White,Other-relative,Female,Local-gov,0
211,27<x<30,US,9<x<11,75734<x<209291,2<x<30,Other,Husband,Male,Federal-gov,0
212,30<x<34,non-US,15<x<16,209813<x<316597,50<x<61,Amer-Indian-Eskimo,Not-in-family,Female,Self-emp-inc,1
213,42<x<54,US,12<x<13,75734<x<209291,48<x<49,Amer-Indian-Eskimo,Unmarried,Male,Without-pay,0
214,x<19,US,12<x<13,209813<x<316597,61<x<90,Black,Not-in-family,Female,Local-gov,0
215,x>68,non-US,1<x<2,209813<x<316597,2<x<30,Other,Own-child,Male,Never-worked,0
216,x<19,US,2<x<9,209813<x<316597,61<x<90,Black,Husband,Male,State-gov,0
217,x>68,US,2<x<9,209813<x<316597,61<x<90,Amer-Indian-Eskimo,Not-in-family,Male,Self-emp-not-inc,0
218,24<x<25,US,11<x<12,209813<x<316597,x>90,Asian-Pac-Islander,Other-relative,Female,Never-worked,0
219,54<x<61,US,9<x<11,75734<x<209291,x>90,Asian-Pac-Islander,Husband,Female,Local-gov,0
220,42<x<54,US,2<x<9,43395<x<75413,2<x<30,Amer-Indian-Eskimo,Other-relative,Female,State-gov,0
221,x<19,non-US,15<x<16,209813<x<316597,34<x<38,Asian-Pac-Islander,Other-relative,Male,Never-worked,0
222,27<x<30,non-US,11<x<12,209813<x<316597,x<2,Asian-Pac-Islander,Unmarried,Female,Self-emp-not-inc,0
223,x>68,US,13<x<15,209813<x<316597,2<x<30,White,Own-child,Male,Local-gov,0
224,30<x<34,US,2<x<9,209813<x<316597,2<x<30,White,Not-in-family,Female,Local-gov,0
225,24<x<25,US,1<x<2,75734<x<209291,x>90,White,Unmarried,Male,Self-emp-inc,0
226,34<x<36,non-US,11<x<12,75734<x<209291,2<x<30,Asian-Pac-Islander,Wife,Male,Self-emp-not-inc,0
227,42<x<54,US,1<x<2,x>392849,61<x<90,Asian-Pac-Islander,Unmarried,Male,Local-gov,0
228,42<x<54,US,9<x<11,43395<x<75413,2<x<30,Black,Husband,Male,Federal-gov,0
229,x>68,US,13<x<15,x>392849,61<x<90,Amer-Indian-Eskimo,Other-relative,Male,Self-emp-not-inc,0
230,61<x<68,non-US,2<x<9,209813<x<316597,42<x<43,White,Own-child,Female,State-gov,0
231,x>68,US,9<x<11,316820<x<392849,2<x<30,Asian-Pac-Islander,Other-relative,Female,Private,0
232,x>68,non-US,9<x<11,75734<x<209291,2<x<30,Asian-Pac-Islander,Husband,Female,Federal-gov,0
233,x>68,US,15<x<16,75734<x<209291,61<x<90,Black,Wife,Male,Local-gov,1
234,34<x<36,US,15<x<16,75734<x<209291,2<x<30,Asian-Pac-Islander,Unmarried,Female,Self-emp-not-inc,0
235,42<x<54,US,13<x<15,22366<x<37674,50<x<61,Black,Not-in-family,Male,State-gov,0
236,30<x<34,US,2<x<9,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Not-in-family,Female,Self-emp-inc,0
237,x>68,non-US,2<x<9,75734<x<209291,2<x<30,Black,Unmarried,Female,Local-gov,0
238,42<x<54,US,13<x<15,22366<x<37674,61<x<90,Other,Husband,Female,Without-pay,0
239,x>68,non-US,2<x<9,75734<x<209291,50<x<61,Other,Unmarried,Female,Self-emp-inc,0
240,25<x<26,non-US,2<x<9,22366<x<37674,61<x<90,Asian-Pac-Islander,Wife,Female,Self-emp-inc,0
241,61<x<68,US,2<x<9,316820<x<392849,38<x<40,Other,Other-relative,Female,State-gov,0
242,61<x<68,non-US,1<x<2,209813<x<316597,38<x<40,Other,Other-relative,Female,Private,0
243,42<x<54,US,2<x<9,43395<x<75413,38<x<40,Other,Not-in-family,Female,Private,0
244,x<19,US,2<x<9,75734<x<209291,x>90,Black,Wife,Female,Without-pay,0
245,x<19,US,2<x<9,75734<x<209291,2<x<30,Black,Other-relative,Male,Private,0
246,x>68,non-US,x<1,75734<x<209291,50<x<61,Black,Husband,Female,Private,0
247,42<x<54,US,13<x<15,75734<x<209291,50<x<61,Other,Husband,Female,Private,1
248,x>68,non-US,13<x<15,x>392849,2<x<30,Asian-Pac-Islander,Own-child,Male,Private,0
249,x>68,US,2<x<9,x>392849,61<x<90,Other,Unmarried,Female,Federal-gov,0
250,42<x<54,US,2<x<9,75734<x<209291,2<x<30,Other,Not-in-family,Male,Without-pay,0
251,25<x<26,non-US,15<x<16,75734<x<209291,30<x<34,Asian-Pac-Islander,Other-relative,Male,Self-emp-inc,0
252,42<x<54,US,2<x<9,316820<x<392849,50<x<61,Other,Other-relative,Male,Self-emp-not-inc,0
253,42<x<54,US,2<x<9,x>392849,61<x<90,Other,Wife,Female,Local-gov,0
254,x>68,US,2<x<9,75734<x<209291,61<x<90,Black,Not-in-family,Female,Local-gov,0
255,42<x<54,non-US,x<1,22366<x<37674,61<x<90,Other,Other-relative,Female,Private,0
256,30<x<34,US,2<x<9,209813<x<316597,30<x<34,Other,Unmarried,Male,Self-emp-inc,0
257,27<x<30,non-US,2<x<9,37719<x<42900,2<x<30,Asian-Pac-Islander,Not-in-family,Male,Never-worked,0
