id,AnnouncementsView,Discussion,Relation,Semester,StageID,StudentAbsenceDays,VisITedResources,gender,raisedhands,class
46,37,10,Father,S,lowerlevel,Above-7,58,M,41,1
47,57,27,Mum,F,HighSchool,Above-7,66,M,72,1
48,67,82,Mum,F,MiddleSchool,Under-7,77,M,27,1
49,37,7,Father,S,lowerlevel,Above-7,29,F,77,0
50,98,84,Mum,S,MiddleSchool,Under-7,94,F,0,1
51,25,28,Mum,F,lowerlevel,Under-7,83,F,20,1
52,64,28,Mum,S,lowerlevel,Above-7,92,F,82,1
53,4,11,Mum,F,lowerlevel,Under-7,48,M,98,1
54,54,13,Mum,F,MiddleSchool,Above-7,54,M,84,1
55,9,23,Mum,F,HighSchool,Under-7,79,M,8,1
56,59,90,Father,S,MiddleSchool,Above-7,43,M,39,1
57,48,72,Father,S,lowerlevel,Under-7,30,F,29,1
58,77,95,Father,S,MiddleSchool,Above-7,60,M,11,1
59,16,28,Father,S,MiddleSchool,Above-7,68,M,90,1
60,10,9,Father,F,HighSchool,Under-7,99,M,36,1
61,53,30,Father,F,lowerlevel,Under-7,39,F,98,1
62,6,94,Mum,F,MiddleSchool,Under-7,17,F,3,1
63,79,17,Father,S,lowerlevel,Under-7,42,M,2,1
64,56,91,Mum,S,lowerlevel,Above-7,18,M,75,1
65,41,95,Father,S,lowerlevel,Under-7,62,F,4,1
66,60,62,Father,S,HighSchool,Under-7,79,F,87,1
67,82,45,Father,S,HighSchool,Under-7,30,M,32,1
68,0,99,Mum,F,MiddleSchool,Under-7,77,M,75,1
69,74,90,Mum,S,lowerlevel,Under-7,0,F,5,1
70,29,8,Mum,F,HighSchool,Under-7,28,M,29,1
71,34,32,Mum,S,MiddleSchool,Above-7,58,M,75,1
72,79,3,Father,F,HighSchool,Under-7,61,F,35,1
73,87,55,Mum,S,HighSchool,Above-7,8,F,2,0
74,24,23,Father,S,HighSchool,Under-7,55,M,45,1
75,76,41,Mum,S,HighSchool,Under-7,15,F,66,1
76,89,6,Father,S,lowerlevel,Above-7,16,F,77,1
77,38,37,Father,S,HighSchool,Under-7,48,F,42,1
78,56,90,Mum,F,MiddleSchool,Above-7,95,M,41,1
79,11,66,Mum,S,MiddleSchool,Above-7,0,M,2,0
80,72,41,Father,S,lowerlevel,Above-7,7,F,4,0
81,65,74,Father,S,MiddleSchool,Under-7,3,M,39,1
82,59,82,Father,S,HighSchool,Above-7,69,F,72,1
83,87,84,Father,S,HighSchool,Above-7,34,M,100,1
84,59,1,Father,S,lowerlevel,Under-7,24,F,74,1
85,41,69,Mum,F,lowerlevel,Under-7,36,M,89,1
86,13,64,Mum,S,lowerlevel,Above-7,6,F,49,0
87,89,12,Father,F,HighSchool,Under-7,40,M,59,1
88,13,85,Mum,S,lowerlevel,Under-7,42,M,74,1
89,56,92,Father,F,MiddleSchool,Above-7,84,F,32,1
90,83,96,Father,S,HighSchool,Above-7,89,M,36,1
91,76,2,Mum,S,MiddleSchool,Under-7,84,F,57,1
92,15,59,Mum,S,lowerlevel,Under-7,44,F,7,1
93,75,92,Mum,F,lowerlevel,Above-7,76,F,53,1
94,44,51,Father,S,lowerlevel,Above-7,92,M,55,1
95,78,45,Father,S,lowerlevel,Above-7,95,F,83,1
96,17,4,Father,S,lowerlevel,Under-7,41,F,86,1
97,91,85,Mum,S,HighSchool,Under-7,11,M,95,1
98,21,28,Mum,F,HighSchool,Under-7,84,F,30,1
99,64,76,Father,F,lowerlevel,Above-7,78,M,81,1
100,45,11,Father,S,HighSchool,Above-7,70,M,98,1
101,60,61,Father,F,HighSchool,Above-7,5,M,42,0
102,46,30,Mum,F,lowerlevel,Above-7,81,F,74,1
103,73,55,Mum,S,lowerlevel,Under-7,99,F,74,1
104,40,39,Mum,S,MiddleSchool,Above-7,25,F,80,1
105,37,30,Mum,S,MiddleSchool,Above-7,99,F,79,1
106,50,66,Father,F,MiddleSchool,Under-7,85,M,32,1
107,17,35,Father,F,MiddleSchool,Under-7,71,F,2,1
108,51,69,Mum,F,lowerlevel,Under-7,21,F,4,1
109,51,83,Father,S,HighSchool,Above-7,80,F,66,1
110,20,24,Father,F,MiddleSchool,Under-7,42,F,2,1
111,78,74,Father,S,HighSchool,Above-7,95,M,11,1
112,60,9,Father,F,HighSchool,Under-7,50,F,3,1
113,72,83,Mum,S,HighSchool,Under-7,22,M,79,1
114,37,98,Father,S,lowerlevel,Under-7,81,F,11,1
115,2,49,Father,F,MiddleSchool,Above-7,87,F,83,1
116,42,89,Mum,F,HighSchool,Under-7,12,M,15,1
117,86,84,Mum,F,HighSchool,Under-7,18,M,96,1
118,43,68,Father,F,lowerlevel,Above-7,19,M,69,1
119,78,80,Mum,F,MiddleSchool,Under-7,36,M,77,1
120,85,77,Mum,S,HighSchool,Under-7,51,F,28,1
121,72,40,Father,S,MiddleSchool,Under-7,27,F,15,1
122,79,55,Father,F,HighSchool,Above-7,36,M,6,1
123,82,63,Mum,F,MiddleSchool,Above-7,33,M,78,1
124,20,6,Mum,S,lowerlevel,Above-7,22,F,79,0
125,60,60,Mum,F,HighSchool,Under-7,91,F,45,1
126,60,77,Mum,S,MiddleSchool,Above-7,2,M,15,0
127,54,38,Father,S,MiddleSchool,Above-7,22,M,52,1
128,63,61,Father,F,lowerlevel,Above-7,52,F,16,1
129,51,38,Father,S,MiddleSchool,Under-7,54,F,84,1
130,22,4,Father,S,MiddleSchool,Above-7,89,F,49,1
131,39,9,Mum,F,HighSchool,Under-7,58,M,12,1
132,49,46,Father,F,HighSchool,Above-7,85,M,87,1
133,8,65,Mum,S,lowerlevel,Above-7,43,F,98,0
134,18,85,Father,F,lowerlevel,Above-7,79,M,4,1
135,75,89,Mum,S,HighSchool,Above-7,58,F,9,1
136,86,83,Mum,S,MiddleSchool,Under-7,19,F,79,1
137,80,17,Father,F,HighSchool,Above-7,97,F,1,1
138,14,20,Mum,S,HighSchool,Above-7,39,F,33,1
139,42,83,Mum,F,HighSchool,Under-7,19,M,7,1
140,52,58,Father,S,HighSchool,Under-7,61,M,27,1
141,30,34,Father,F,lowerlevel,Under-7,29,F,69,1
142,53,62,Mum,S,MiddleSchool,Above-7,24,F,14,0
143,79,71,Mum,F,lowerlevel,Under-7,29,M,60,1
144,87,58,Father,F,HighSchool,Under-7,61,F,55,1
145,65,97,Mum,S,MiddleSchool,Above-7,55,M,81,1
146,48,76,Father,F,MiddleSchool,Above-7,38,F,92,1
147,31,8,Father,F,lowerlevel,Under-7,60,M,90,1
148,28,45,Mum,S,lowerlevel,Above-7,39,F,17,1
149,4,81,Father,F,MiddleSchool,Above-7,27,F,76,0
150,8,83,Father,F,lowerlevel,Above-7,10,M,17,0
151,15,66,Father,S,HighSchool,Above-7,35,F,0,0
152,58,45,Mum,S,HighSchool,Under-7,69,F,76,1
153,29,69,Mum,F,MiddleSchool,Above-7,19,F,60,1
154,7,55,Mum,S,MiddleSchool,Above-7,35,M,30,0
155,75,22,Father,F,MiddleSchool,Under-7,8,F,50,1
156,65,51,Mum,S,MiddleSchool,Above-7,66,M,98,1
157,30,58,Father,F,HighSchool,Under-7,22,F,71,1
158,49,60,Mum,S,lowerlevel,Above-7,84,M,19,1
159,3,9,Father,S,lowerlevel,Above-7,96,M,23,0
160,0,79,Mum,S,lowerlevel,Under-7,87,F,2,1
161,24,89,Mum,S,MiddleSchool,Under-7,55,M,3,1
162,3,25,Father,S,MiddleSchool,Under-7,79,F,87,1
163,26,70,Mum,F,MiddleSchool,Under-7,60,F,99,1
164,30,63,Mum,S,MiddleSchool,Under-7,44,F,66,1
165,19,58,Mum,F,HighSchool,Under-7,21,M,61,1
166,28,61,Father,F,HighSchool,Under-7,44,F,3,1
167,56,19,Father,S,HighSchool,Under-7,54,F,84,1
168,72,91,Mum,F,HighSchool,Above-7,84,F,21,1
169,12,44,Mum,F,HighSchool,Above-7,33,F,53,1
170,8,65,Mum,S,MiddleSchool,Above-7,62,M,2,0
171,41,44,Mum,F,HighSchool,Under-7,6,M,59,1
172,76,61,Father,F,HighSchool,Under-7,1,M,92,1
173,77,58,Mum,S,MiddleSchool,Above-7,83,M,52,1
174,3,49,Mum,F,HighSchool,Under-7,85,F,78,1
175,0,53,Mum,S,lowerlevel,Under-7,16,F,60,1
176,22,27,Mum,S,lowerlevel,Above-7,92,F,55,1
177,11,94,Father,S,MiddleSchool,Above-7,28,M,81,0
178,91,71,Father,S,MiddleSchool,Above-7,9,F,9,0
179,17,41,Father,S,lowerlevel,Above-7,62,F,89,1
180,13,95,Mum,S,HighSchool,Above-7,35,F,5,0
181,2,14,Father,S,lowerlevel,Under-7,70,F,33,1
182,25,1,Mum,F,lowerlevel,Under-7,14,F,14,1
183,31,70,Father,S,MiddleSchool,Under-7,66,F,18,1
184,37,14,Father,F,MiddleSchool,Under-7,19,F,30,1
185,1,72,Mum,F,lowerlevel,Above-7,42,M,4,0
186,14,72,Father,S,HighSchool,Above-7,31,M,20,0
187,39,64,Mum,S,MiddleSchool,Under-7,91,F,45,1
188,78,91,Mum,F,lowerlevel,Above-7,81,F,0,1
189,76,93,Mum,S,lowerlevel,Above-7,39,M,10,1
190,3,72,Father,F,HighSchool,Above-7,60,M,57,1
191,80,62,Father,S,lowerlevel,Above-7,19,F,89,1
192,15,55,Mum,S,MiddleSchool,Under-7,16,F,33,1
193,57,41,Father,S,HighSchool,Under-7,8,M,50,1
194,53,44,Father,F,lowerlevel,Above-7,61,M,22,1
195,87,70,Father,F,MiddleSchool,Above-7,94,F,85,1
196,79,84,Father,S,lowerlevel,Under-7,16,F,15,1
197,88,32,Mum,F,lowerlevel,Above-7,29,M,20,1
198,77,14,Mum,S,lowerlevel,Above-7,66,F,24,1
199,55,3,Mum,F,MiddleSchool,Under-7,98,M,55,1
200,44,21,Mum,F,HighSchool,Above-7,0,M,73,1
201,2,4,Mum,F,lowerlevel,Under-7,21,F,11,1
202,32,34,Mum,F,lowerlevel,Under-7,76,M,12,1
203,49,11,Father,F,MiddleSchool,Under-7,90,F,16,1
204,76,65,Mum,F,MiddleSchool,Above-7,20,F,19,1
205,55,17,Father,F,HighSchool,Above-7,34,F,57,1
206,70,29,Mum,F,lowerlevel,Above-7,9,F,12,1
207,80,84,Father,S,MiddleSchool,Under-7,79,M,78,1
208,41,37,Father,F,MiddleSchool,Under-7,48,M,71,1
209,45,46,Mum,S,lowerlevel,Above-7,93,F,77,1
210,89,31,Father,F,lowerlevel,Under-7,64,F,55,1
211,42,7,Father,S,HighSchool,Under-7,3,F,3,1
212,4,85,Father,S,HighSchool,Under-7,50,F,39,1
213,30,39,Father,S,lowerlevel,Above-7,84,F,83,1
214,77,55,Father,S,lowerlevel,Under-7,24,M,80,1
215,89,34,Father,S,lowerlevel,Above-7,1,F,99,0
216,75,88,Mum,S,lowerlevel,Under-7,87,F,36,1
217,30,79,Mum,S,MiddleSchool,Above-7,21,F,7,0
218,45,88,Father,F,lowerlevel,Under-7,60,F,35,1
219,80,12,Father,F,HighSchool,Under-7,48,M,71,1
220,38,99,Father,F,lowerlevel,Under-7,86,M,0,1
221,56,41,Father,F,MiddleSchool,Under-7,26,M,11,1
222,88,66,Father,S,lowerlevel,Above-7,1,M,57,0
223,11,17,Mum,S,lowerlevel,Above-7,65,M,14,0
224,93,71,Father,S,MiddleSchool,Above-7,59,F,1,1
225,37,84,Father,S,lowerlevel,Under-7,24,M,0,1
226,11,69,Mum,F,lowerlevel,Above-7,17,M,66,1
227,98,11,Father,S,lowerlevel,Above-7,18,F,55,1
228,1,59,Mum,S,HighSchool,Under-7,48,M,87,1
229,73,65,Father,S,MiddleSchool,Above-7,30,F,73,1
230,53,1,Father,S,lowerlevel,Above-7,94,M,35,1
231,23,41,Father,F,lowerlevel,Above-7,88,F,73,1
232,7,73,Mum,F,lowerlevel,Above-7,89,F,71,1
233,52,85,Father,F,lowerlevel,Above-7,62,F,36,1
234,43,44,Father,F,lowerlevel,Under-7,25,F,24,1
235,30,12,Mum,S,MiddleSchool,Under-7,22,F,83,1
236,60,29,Mum,S,HighSchool,Under-7,89,M,22,1
237,80,41,Father,F,HighSchool,Above-7,93,M,50,1
238,82,89,Father,S,MiddleSchool,Under-7,4,M,52,1
239,72,40,Father,F,lowerlevel,Above-7,83,F,96,1
240,54,94,Father,F,lowerlevel,Above-7,2,F,72,1
241,74,29,Mum,S,MiddleSchool,Above-7,7,F,8,0
242,76,33,Mum,F,HighSchool,Under-7,84,F,62,1
243,8,35,Mum,S,HighSchool,Above-7,44,M,97,0
244,14,75,Mum,F,lowerlevel,Under-7,78,M,83,1
245,34,43,Father,F,MiddleSchool,Above-7,88,M,19,1
246,55,79,Father,S,lowerlevel,Under-7,8,M,69,1
247,51,50,Father,F,MiddleSchool,Under-7,39,M,71,1
248,85,79,Mum,F,lowerlevel,Under-7,60,F,92,1
249,25,84,Father,S,lowerlevel,Above-7,7,M,17,0
250,13,60,Mum,F,HighSchool,Above-7,59,M,28,1
251,1,53,Father,S,MiddleSchool,Under-7,10,M,55,1
252,59,76,Father,F,MiddleSchool,Above-7,42,M,12,1
253,6,94,Father,F,MiddleSchool,Under-7,52,F,12,1
254,49,10,Father,S,HighSchool,Above-7,77,F,29,1
255,19,76,Mum,F,HighSchool,Under-7,59,F,8,1
256,26,22,Mum,F,HighSchool,Under-7,58,M,86,1
257,76,84,Father,S,MiddleSchool,Above-7,95,F,32,1
258,73,20,Father,F,MiddleSchool,Under-7,70,F,86,1
259,93,8,Father,F,lowerlevel,Under-7,59,F,89,1
260,89,27,Father,S,HighSchool,Above-7,4,M,89,0
261,12,1,Mum,S,HighSchool,Under-7,33,F,25,1
262,41,90,Mum,F,HighSchool,Under-7,38,F,62,1
263,48,74,Father,F,MiddleSchool,Under-7,0,F,84,1
264,34,24,Mum,S,HighSchool,Under-7,78,M,16,1
265,25,46,Father,F,MiddleSchool,Above-7,83,M,32,1
266,32,12,Father,S,MiddleSchool,Above-7,72,M,19,1
267,29,51,Mum,F,lowerlevel,Above-7,54,M,3,1
268,16,24,Father,F,lowerlevel,Above-7,75,M,7,0
269,78,82,Father,F,lowerlevel,Above-7,84,F,99,1
270,19,25,Mum,S,MiddleSchool,Under-7,22,M,23,1
271,43,39,Father,F,MiddleSchool,Under-7,58,M,9,1
272,52,40,Father,F,MiddleSchool,Under-7,36,M,3,1
273,38,22,Father,F,MiddleSchool,Above-7,26,M,71,1
274,85,9,Father,F,HighSchool,Under-7,86,M,57,1
275,7,13,Father,F,MiddleSchool,Above-7,94,F,23,1
276,4,61,Mum,S,MiddleSchool,Under-7,78,F,14,1
277,18,53,Mum,S,MiddleSchool,Above-7,12,F,72,0
278,69,14,Father,S,MiddleSchool,Above-7,61,F,77,1
279,60,14,Father,F,MiddleSchool,Above-7,75,M,80,1
280,56,22,Mum,S,HighSchool,Under-7,14,M,81,1
281,50,86,Father,F,MiddleSchool,Above-7,91,F,90,1
282,93,23,Father,F,HighSchool,Under-7,69,F,55,1
283,16,95,Mum,F,lowerlevel,Under-7,93,M,20,1
284,20,12,Father,F,HighSchool,Under-7,92,F,30,1
285,89,73,Father,F,HighSchool,Under-7,52,M,18,1
286,32,50,Mum,S,lowerlevel,Under-7,48,M,2,1
287,66,72,Mum,S,lowerlevel,Under-7,4,M,39,1
288,46,16,Father,F,HighSchool,Above-7,25,M,28,1
289,39,23,Mum,S,lowerlevel,Above-7,72,M,21,1
290,24,63,Father,S,lowerlevel,Above-7,34,F,3,0
291,21,2,Father,S,MiddleSchool,Above-7,3,M,22,0
292,51,83,Father,F,HighSchool,Above-7,43,M,96,1
293,37,10,Father,F,lowerlevel,Under-7,98,F,6,1
294,24,96,Mum,S,lowerlevel,Above-7,36,M,99,1
295,86,64,Mum,S,MiddleSchool,Under-7,98,F,53,1
296,34,48,Father,F,HighSchool,Above-7,85,M,82,1
297,24,13,Father,F,lowerlevel,Above-7,11,F,83,0
298,78,81,Father,F,lowerlevel,Under-7,29,F,10,1
299,55,36,Mum,F,MiddleSchool,Above-7,83,F,9,1
300,22,29,Father,S,MiddleSchool,Above-7,93,M,71,1
301,95,97,Father,F,HighSchool,Under-7,55,F,85,1
302,8,41,Father,S,MiddleSchool,Under-7,76,F,0,1
303,25,68,Father,F,lowerlevel,Under-7,16,F,35,1
304,55,38,Mum,F,MiddleSchool,Under-7,0,M,81,1
305,23,45,Mum,F,lowerlevel,Above-7,3,M,0,0
306,29,84,Father,F,HighSchool,Under-7,77,F,40,1
307,56,79,Father,F,lowerlevel,Above-7,55,F,5,1
308,54,79,Father,S,MiddleSchool,Under-7,84,M,65,1
309,33,20,Mum,S,lowerlevel,Above-7,11,M,8,0
310,45,19,Father,F,MiddleSchool,Under-7,66,F,76,1
311,46,33,Father,S,HighSchool,Under-7,8,M,90,1
312,67,50,Father,F,lowerlevel,Above-7,63,F,8,1
313,73,82,Father,F,lowerlevel,Above-7,82,M,17,1
314,12,89,Mum,F,HighSchool,Under-7,57,M,84,1
315,50,76,Father,S,lowerlevel,Under-7,76,F,98,1
316,40,23,Father,F,MiddleSchool,Under-7,62,F,76,1
317,26,45,Father,S,HighSchool,Above-7,11,M,0,0
318,7,2,Father,S,HighSchool,Above-7,59,F,97,0
319,79,16,Father,F,HighSchool,Above-7,22,F,14,1
320,32,64,Father,F,MiddleSchool,Above-7,97,M,83,1
321,74,6,Mum,S,MiddleSchool,Under-7,76,M,59,1
322,43,63,Mum,S,lowerlevel,Above-7,99,M,92,1
323,18,93,Father,F,lowerlevel,Above-7,16,M,11,0
324,17,76,Father,S,HighSchool,Above-7,88,F,41,1
325,28,41,Mum,S,lowerlevel,Above-7,2,M,33,0
326,0,85,Father,F,lowerlevel,Under-7,88,M,8,1
327,67,37,Mum,F,HighSchool,Above-7,58,F,32,1
328,26,77,Mum,S,HighSchool,Above-7,30,F,74,1
329,46,81,Mum,S,MiddleSchool,Under-7,58,F,0,1
330,31,41,Mum,S,MiddleSchool,Above-7,19,M,29,0
331,55,64,Father,F,MiddleSchool,Under-7,51,M,8,1
332,67,50,Father,S,HighSchool,Under-7,12,M,25,1
333,18,57,Mum,F,MiddleSchool,Above-7,24,F,81,1
334,32,16,Mum,S,lowerlevel,Above-7,92,F,27,1
335,86,96,Mum,F,MiddleSchool,Above-7,74,M,12,1
336,73,66,Father,S,lowerlevel,Above-7,70,F,14,1
337,64,66,Father,S,HighSchool,Under-7,64,F,52,1
338,91,83,Mum,F,HighSchool,Above-7,12,M,49,1
339,13,95,Mum,F,lowerlevel,Above-7,52,F,72,1
340,46,4,Father,F,lowerlevel,Above-7,86,F,19,1
341,39,46,Father,F,lowerlevel,Above-7,78,M,28,1
342,59,61,Mum,S,lowerlevel,Above-7,66,F,66,1
343,15,40,Mum,S,HighSchool,Under-7,36,M,40,1
344,3,60,Father,F,HighSchool,Above-7,75,F,77,1
345,8,62,Father,F,MiddleSchool,Above-7,25,F,98,0
346,85,36,Father,S,HighSchool,Under-7,52,M,1,1
347,17,36,Mum,S,HighSchool,Above-7,33,M,11,0
348,72,75,Father,F,lowerlevel,Above-7,85,M,84,1
349,77,38,Mum,S,HighSchool,Above-7,94,F,57,1
350,87,60,Father,F,MiddleSchool,Under-7,6,F,82,1
351,75,55,Mum,F,HighSchool,Under-7,24,M,53,1
352,87,89,Father,S,MiddleSchool,Under-7,28,F,86,1
353,6,60,Father,S,MiddleSchool,Under-7,51,F,14,1
354,98,34,Mum,F,HighSchool,Under-7,68,M,87,1
355,69,15,Mum,F,MiddleSchool,Under-7,81,F,77,1
356,43,32,Mum,S,MiddleSchool,Above-7,83,F,84,1
357,76,39,Mum,S,lowerlevel,Above-7,40,M,79,1
358,52,74,Mum,F,HighSchool,Above-7,7,M,9,0
359,76,14,Father,F,MiddleSchool,Above-7,0,M,76,1
360,65,17,Mum,F,MiddleSchool,Under-7,71,F,45,1
361,58,82,Father,S,MiddleSchool,Above-7,5,F,42,0
362,67,23,Mum,F,HighSchool,Under-7,36,M,69,1
363,49,62,Father,S,MiddleSchool,Under-7,21,M,57,1
364,32,36,Father,F,MiddleSchool,Above-7,48,F,35,1
365,70,89,Mum,S,MiddleSchool,Under-7,28,F,32,1
366,75,89,Mum,F,lowerlevel,Above-7,34,F,36,1
367,91,97,Mum,F,HighSchool,Above-7,85,M,66,1
368,9,32,Father,S,MiddleSchool,Under-7,84,F,85,1
369,80,15,Mum,F,MiddleSchool,Under-7,26,F,30,1
370,24,40,Father,S,MiddleSchool,Under-7,33,F,89,1
371,1,58,Mum,F,MiddleSchool,Above-7,27,F,28,0
372,29,83,Father,F,HighSchool,Under-7,31,F,40,1
373,6,84,Father,F,lowerlevel,Under-7,10,M,6,1
374,73,4,Mum,F,MiddleSchool,Above-7,25,F,20,1
375,2,27,Mum,F,HighSchool,Above-7,26,M,19,0
376,30,22,Father,S,HighSchool,Under-7,78,M,61,1
377,2,6,Father,S,lowerlevel,Above-7,59,F,2,0
378,69,93,Father,F,HighSchool,Under-7,31,F,70,1
379,51,9,Father,S,lowerlevel,Under-7,83,F,2,1
380,0,99,Mum,S,lowerlevel,Under-7,22,M,23,1
381,23,9,Mum,S,lowerlevel,Above-7,11,F,97,0
382,14,72,Mum,F,MiddleSchool,Under-7,24,M,82,1
383,18,19,Mum,F,MiddleSchool,Above-7,36,F,98,1
384,91,30,Mum,F,HighSchool,Under-7,63,M,4,1
385,16,55,Father,F,HighSchool,Under-7,70,M,7,1
386,19,23,Father,F,HighSchool,Above-7,2,F,79,0
387,29,99,Mum,S,HighSchool,Under-7,31,F,59,1
388,15,48,Mum,F,MiddleSchool,Above-7,9,M,84,0
389,10,64,Mum,S,lowerlevel,Under-7,20,M,36,1
390,85,7,Father,S,HighSchool,Above-7,90,F,76,1
391,34,82,Father,S,MiddleSchool,Above-7,79,F,22,1
392,1,48,Father,S,lowerlevel,Under-7,3,M,77,1
393,49,82,Mum,F,lowerlevel,Above-7,7,M,18,0
394,18,8,Mum,F,HighSchool,Under-7,27,F,14,1
395,91,25,Mum,S,MiddleSchool,Under-7,34,M,39,1
396,45,64,Mum,F,MiddleSchool,Under-7,52,M,30,1
397,67,8,Mum,F,lowerlevel,Under-7,4,M,61,1
398,4,34,Mum,F,HighSchool,Under-7,54,F,36,1
399,86,10,Father,F,MiddleSchool,Under-7,58,F,71,1
400,80,71,Father,S,lowerlevel,Under-7,96,F,30,1
401,2,41,Mum,F,HighSchool,Above-7,74,M,98,1
402,55,65,Mum,S,HighSchool,Above-7,93,F,80,1
403,15,64,Father,F,lowerlevel,Above-7,97,F,83,1
404,35,40,Mum,S,lowerlevel,Under-7,20,M,39,1
405,59,23,Mum,F,HighSchool,Under-7,51,F,77,1
406,87,81,Mum,F,lowerlevel,Under-7,43,F,95,1
407,62,17,Father,F,HighSchool,Above-7,50,F,1,1
408,43,25,Mum,F,lowerlevel,Above-7,79,F,69,1
409,29,50,Father,F,HighSchool,Under-7,16,F,23,1
410,64,77,Mum,S,lowerlevel,Above-7,48,F,85,1
411,98,17,Father,F,HighSchool,Above-7,82,M,20,1
412,54,95,Mum,F,MiddleSchool,Under-7,89,F,74,1
413,77,27,Father,F,lowerlevel,Under-7,98,F,19,1
414,39,40,Father,S,lowerlevel,Under-7,71,M,39,1
415,44,90,Father,F,HighSchool,Above-7,0,M,29,0
416,75,39,Father,F,HighSchool,Above-7,4,M,76,1
417,86,50,Mum,S,MiddleSchool,Above-7,70,F,16,1
418,78,50,Father,S,MiddleSchool,Under-7,72,M,41,1
419,38,72,Father,S,MiddleSchool,Under-7,95,F,9,1
420,56,29,Father,F,lowerlevel,Under-7,39,M,19,1
421,52,91,Mum,S,lowerlevel,Above-7,41,M,65,1
422,55,45,Father,F,lowerlevel,Under-7,8,F,77,1
423,66,30,Father,F,HighSchool,Above-7,90,M,20,1
424,18,62,Mum,F,MiddleSchool,Above-7,58,M,39,1
425,35,1,Father,S,MiddleSchool,Above-7,64,M,40,0
426,39,98,Mum,F,MiddleSchool,Above-7,13,M,62,1
427,60,63,Mum,F,MiddleSchool,Under-7,18,F,1,1
428,86,84,Mum,F,MiddleSchool,Above-7,82,F,21,1
429,36,94,Mum,S,MiddleSchool,Above-7,62,F,75,1
430,73,73,Father,F,HighSchool,Above-7,85,F,12,1
431,23,64,Father,F,MiddleSchool,Above-7,60,F,99,1
432,52,64,Father,S,HighSchool,Above-7,64,M,18,1
433,75,5,Father,S,HighSchool,Under-7,5,M,18,1
434,3,30,Mum,F,HighSchool,Under-7,40,M,100,1
435,39,74,Mum,F,HighSchool,Under-7,90,F,11,1
436,44,16,Mum,S,lowerlevel,Under-7,52,M,82,1
437,34,75,Father,S,MiddleSchool,Above-7,5,F,67,0
438,98,58,Mum,F,lowerlevel,Under-7,48,M,40,1
439,71,70,Father,S,lowerlevel,Under-7,10,F,15,1
