id,age,country,educational-num,fnlwgt,gender,hours-per-week,race,relationship,workclass,class
25,60,US,3,143372,Female,14,Asian-Pac-Islander,Unmarried,Self-emp-not-inc,0
26,45,non-US,4,157588,Female,35,Amer-Indian-Eskimo,Wife,Local-gov,0
27,20,US,6,75673,Male,76,Other,Other-relative,Private,0
28,55,US,10,263886,Male,2,Black,Not-in-family,Without-pay,0
29,40,non-US,13,83800,Female,33,Asian-Pac-Islander,Own-child,Local-gov,0
30,56,non-US,2,405281,Female,70,Black,Own-child,Never-worked,0
31,59,US,14,120691,Male,5,Asian-Pac-Islander,Unmarried,Local-gov,0
32,46,non-US,16,166977,Female,37,Other,Not-in-family,Never-worked,0
33,75,US,2,173062,Female,61,Other,Wife,Never-worked,0
34,26,US,16,278021,Male,27,Black,Not-in-family,Local-gov,0
35,27,US,2,143436,Male,16,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
36,82,US,5,147500,Female,73,Other,Other-relative,Self-emp-inc,0
37,36,non-US,8,71592,Male,2,Asian-Pac-Islander,Own-child,Local-gov,0
38,34,US,6,341239,Male,35,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
39,27,US,6,117963,Female,42,White,Not-in-family,Self-emp-inc,0
40,87,US,8,150755,Male,24,Asian-Pac-Islander,Other-relative,Never-worked,0
41,44,non-US,3,77271,Female,73,Amer-Indian-Eskimo,Unmarried,Without-pay,0
42,84,US,4,334346,Female,82,Black,Unmarried,Self-emp-not-inc,0
43,18,US,15,166543,Female,60,Amer-Indian-Eskimo,Wife,Without-pay,0
44,17,US,9,86557,Female,60,White,Own-child,Federal-gov,0
45,53,non-US,4,67544,Female,6,Amer-Indian-Eskimo,Not-in-family,Never-worked,0
46,39,non-US,6,189922,Male,65,Other,Wife,State-gov,0
47,51,US,2,291566,Male,42,White,Unmarried,Local-gov,0
48,89,non-US,3,192711,Female,22,Amer-Indian-Eskimo,Not-in-family,Self-emp-not-inc,0
49,62,US,14,175674,Male,81,White,Unmarried,Without-pay,1
50,74,non-US,13,175185,Female,50,Other,Own-child,Private,0
51,51,US,12,255503,Female,79,Amer-Indian-Eskimo,Husband,Federal-gov,0
52,53,non-US,15,196344,Male,36,Black,Own-child,Self-emp-not-inc,0
53,86,non-US,3,217480,Male,36,Black,Other-relative,Without-pay,0
54,28,non-US,15,344804,Male,37,Amer-Indian-Eskimo,Unmarried,Federal-gov,0
55,57,non-US,1,377692,Male,54,Other,Not-in-family,Self-emp-inc,0
56,71,non-US,4,100605,Male,33,Amer-Indian-Eskimo,Other-relative,Local-gov,0
57,49,US,9,220667,Male,31,White,Own-child,Self-emp-inc,0
58,73,US,7,163140,Male,41,White,Wife,Local-gov,0
59,18,US,16,206010,Female,94,Amer-Indian-Eskimo,Unmarried,Self-emp-not-inc,0
60,18,US,1,247676,Female,45,Other,Own-child,Federal-gov,0
61,64,US,5,39477,Male,34,Amer-Indian-Eskimo,Wife,Self-emp-not-inc,0
62,74,US,5,209131,Male,26,Asian-Pac-Islander,Unmarried,Local-gov,0
63,56,US,1,255885,Female,80,White,Wife,Without-pay,0
64,89,US,12,175686,Female,62,White,Own-child,Private,0
65,30,non-US,4,223376,Female,56,Black,Other-relative,Self-emp-inc,0
66,55,US,14,337494,Female,20,White,Husband,Without-pay,0
67,24,non-US,3,100950,Female,63,Other,Not-in-family,Federal-gov,0
68,64,US,7,464536,Female,23,Asian-Pac-Islander,Unmarried,Never-worked,0
69,42,non-US,10,31778,Male,12,Other,Not-in-family,State-gov,0
70,30,US,2,104614,Female,84,Black,Not-in-family,Never-worked,0
71,89,US,1,288216,Male,81,White,Not-in-family,Self-emp-inc,0
72,60,non-US,6,134699,Male,2,Amer-Indian-Eskimo,Husband,State-gov,0
73,20,US,1,195891,Female,17,Black,Unmarried,Self-emp-inc,0
74,88,non-US,5,34254,Female,39,Black,Unmarried,Local-gov,0
75,43,US,13,131811,Female,96,Black,Wife,Never-worked,0
76,35,non-US,1,201062,Male,14,Black,Wife,Federal-gov,0
77,69,non-US,10,150264,Female,11,Asian-Pac-Islander,Other-relative,Without-pay,0
78,43,non-US,9,303051,Female,96,Other,Other-relative,Self-emp-inc,0
79,55,US,5,107814,Female,91,Amer-Indian-Eskimo,Own-child,Local-gov,0
80,64,US,11,433602,Male,92,Asian-Pac-Islander,Husband,Self-emp-not-inc,0
81,32,US,3,226508,Female,57,Black,Not-in-family,Local-gov,0
82,61,US,12,72744,Female,23,Other,Own-child,Private,0
83,65,non-US,13,46097,Female,72,Amer-Indian-Eskimo,Wife,Without-pay,0
84,55,non-US,6,123989,Male,48,White,Other-relative,Without-pay,0
85,86,US,4,160101,Male,20,Amer-Indian-Eskimo,Own-child,Never-worked,0
86,46,non-US,12,44489,Female,70,Other,Other-relative,Federal-gov,0
87,38,non-US,14,50171,Male,18,Amer-Indian-Eskimo,Unmarried,Private,0
88,78,US,3,239880,Female,34,White,Not-in-family,Local-gov,0
89,29,US,9,285854,Male,49,Other,Unmarried,Self-emp-not-inc,0
90,77,non-US,2,231507,Female,32,Other,Husband,State-gov,0
91,20,non-US,12,31007,Male,86,Asian-Pac-Islander,Not-in-family,Never-worked,0
92,64,US,2,76641,Female,86,Black,Husband,Self-emp-inc,0
93,79,US,4,404868,Male,26,Asian-Pac-Islander,Other-relative,Without-pay,0
94,77,US,1,146243,Male,96,Amer-Indian-Eskimo,Own-child,Self-emp-not-inc,0
95,34,US,16,391040,Female,86,Amer-Indian-Eskimo,Husband,Never-worked,0
96,78,non-US,3,199268,Female,62,Black,Other-relative,Self-emp-inc,0
97,55,non-US,1,99602,Female,92,Asian-Pac-Islander,Wife,State-gov,0
98,23,non-US,14,250217,Male,48,Black,Unmarried,Self-emp-inc,0
99,44,non-US,6,180603,Female,35,Black,Own-child,Without-pay,0
100,79,non-US,9,175032,Female,90,White,Not-in-family,Local-gov,0
101,26,US,11,192932,Male,10,Black,Not-in-family,Self-emp-not-inc,0
102,60,US,15,248739,Female,85,Amer-Indian-Eskimo,Not-in-family,Self-emp-inc,0
103,72,non-US,2,61885,Female,87,Other,Own-child,State-gov,0
104,47,non-US,15,42488,Female,94,Other,Husband,Private,0
105,51,non-US,14,182699,Male,2,Amer-Indian-Eskimo,Own-child,Local-gov,0
106,38,US,15,134378,Female,25,White,Unmarried,Never-worked,0
107,89,non-US,9,326886,Male,80,Amer-Indian-Eskimo,Own-child,Self-emp-inc,0
108,33,non-US,4,121838,Female,34,Asian-Pac-Islander,Own-child,Local-gov,0
109,66,non-US,10,243484,Female,61,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
110,29,non-US,3,223194,Male,85,White,Unmarried,Never-worked,0
111,78,non-US,2,231043,Male,23,White,Husband,State-gov,0
112,88,US,9,73023,Male,2,Other,Other-relative,Self-emp-inc,0
113,44,non-US,1,91819,Male,6,Other,Unmarried,Federal-gov,0
114,89,non-US,11,68882,Female,90,Asian-Pac-Islander,Other-relative,Federal-gov,0
115,80,non-US,3,180758,Female,61,Asian-Pac-Islander,Own-child,Federal-gov,0
116,44,non-US,13,233363,Female,47,White,Unmarried,Self-emp-inc,0
117,61,US,16,110787,Male,94,White,Own-child,Without-pay,1
118,22,US,5,453233,Male,60,Other,Other-relative,Local-gov,0
119,59,non-US,9,62258,Female,48,Black,Other-relative,Self-emp-inc,0
120,46,non-US,4,110164,Female,35,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
121,62,US,8,92374,Female,24,White,Wife,Private,0
122,60,US,8,289403,Male,68,Black,Husband,Self-emp-inc,0
123,68,non-US,11,275244,Female,47,Asian-Pac-Islander,Own-child,Private,0
124,23,US,4,255979,Male,5,Black,Wife,Self-emp-inc,0
125,35,US,12,136081,Male,87,Other,Husband,Self-emp-inc,1
126,50,US,16,188291,Male,99,Asian-Pac-Islander,Wife,Self-emp-not-inc,0
127,24,non-US,6,181580,Male,58,Other,Wife,Never-worked,0
128,27,non-US,8,104439,Female,14,Asian-Pac-Islander,Wife,Self-emp-not-inc,0
129,65,US,13,124052,Female,79,Asian-Pac-Islander,Not-in-family,Never-worked,0
130,44,US,7,45937,Male,29,Asian-Pac-Islander,Other-relative,Self-emp-not-inc,0
131,28,non-US,8,361631,Male,62,White,Unmarried,State-gov,0
132,33,non-US,14,27044,Male,47,Asian-Pac-Islander,Not-in-family,State-gov,0
133,87,non-US,7,133239,Male,9,Amer-Indian-Eskimo,Other-relative,Self-emp-not-inc,0
134,43,US,2,126494,Female,99,Black,Not-in-family,Local-gov,0
135,65,non-US,9,285854,Male,42,Black,Wife,State-gov,0
136,41,non-US,6,208965,Female,9,Other,Not-in-family,Private,0
137,75,US,16,200576,Male,33,Amer-Indian-Eskimo,Not-in-family,Self-emp-inc,0
138,72,non-US,14,35945,Male,72,White,Other-relative,Self-emp-inc,0
139,44,non-US,13,86849,Female,60,White,Unmarried,Local-gov,0
140,73,US,8,228373,Female,64,Black,Husband,Never-worked,0
141,18,non-US,2,128141,Female,20,Black,Wife,Self-emp-not-inc,0
142,20,US,11,373553,Male,27,Black,Wife,Self-emp-inc,0
143,60,US,8,240170,Male,18,Other,Other-relative,Without-pay,0
144,79,US,5,127875,Male,11,Asian-Pac-Islander,Husband,Without-pay,0
145,60,non-US,8,216689,Male,98,White,Other-relative,Self-emp-inc,0
146,28,non-US,4,434081,Female,59,Asian-Pac-Islander,Own-child,Self-emp-inc,0
147,50,US,5,327323,Male,44,White,Other-relative,Local-gov,0
148,60,US,16,370261,Female,65,Amer-Indian-Eskimo,Own-child,Self-emp-inc,0
149,57,US,10,181598,Female,63,White,Wife,Without-pay,0
150,29,US,4,276309,Female,60,Amer-Indian-Eskimo,Unmarried,Self-emp-not-inc,0
151,28,non-US,14,56559,Female,45,Other,Own-child,Without-pay,0
152,35,non-US,14,202699,Male,2,White,Not-in-family,Self-emp-not-inc,0
153,27,non-US,8,32528,Male,40,Amer-Indian-Eskimo,Wife,Never-worked,0
154,17,non-US,2,131827,Male,21,Asian-Pac-Islander,Wife,Self-emp-not-inc,0
155,77,US,1,349212,Male,88,Amer-Indian-Eskimo,Husband,Never-worked,0
156,84,US,14,298635,Female,44,Asian-Pac-Islander,Wife,Federal-gov,0
157,36,US,7,289106,Male,5,White,Wife,Self-emp-inc,0
158,17,non-US,10,225365,Female,25,Black,Not-in-family,State-gov,0
159,21,US,15,340580,Male,73,Other,Other-relative,Without-pay,0
160,33,non-US,2,216984,Female,28,White,Unmarried,Self-emp-not-inc,0
161,88,US,2,71676,Female,79,Asian-Pac-Islander,Wife,Self-emp-inc,0
162,38,US,9,169557,Male,56,Asian-Pac-Islander,Husband,Local-gov,0
163,66,non-US,7,349169,Male,76,Amer-Indian-Eskimo,Not-in-family,State-gov,0
164,88,non-US,7,129525,Female,77,Asian-Pac-Islander,Not-in-family,State-gov,0
165,70,US,12,131899,Female,6,Other,Own-child,Self-emp-not-inc,0
166,79,US,15,302097,Male,81,Black,Husband,Never-worked,1
167,35,US,2,43269,Female,21,Other,Wife,State-gov,0
168,40,US,12,295922,Female,4,Amer-Indian-Eskimo,Wife,Private,0
169,74,US,2,43627,Male,13,Other,Own-child,Never-worked,0
170,80,US,7,142856,Female,88,Other,Husband,Without-pay,0
171,87,US,14,270379,Female,14,Asian-Pac-Islander,Not-in-family,Without-pay,0
172,34,US,2,208451,Female,72,White,Wife,Self-emp-inc,0
173,28,US,10,166977,Male,78,Asian-Pac-Islander,Own-child,Local-gov,0
174,57,US,13,187458,Female,41,Asian-Pac-Islander,Other-relative,Self-emp-inc,0
175,84,non-US,10,163150,Female,52,Amer-Indian-Eskimo,Own-child,Private,0
176,29,non-US,8,101978,Female,76,White,Other-relative,Federal-gov,0
177,56,US,14,164790,Male,53,Asian-Pac-Islander,Other-relative,Without-pay,1
178,45,US,15,110884,Female,86,White,Not-in-family,Self-emp-inc,1
179,72,non-US,8,394474,Male,33,White,Other-relative,Federal-gov,0
180,60,US,8,389147,Female,79,Other,Unmarried,Self-emp-not-inc,0
181,70,US,11,115603,Male,82,Asian-Pac-Islander,Other-relative,Local-gov,0
182,19,non-US,11,358056,Male,44,Asian-Pac-Islander,Husband,Private,0
183,78,US,2,241259,Male,36,White,Unmarried,Self-emp-not-inc,0
184,24,non-US,16,294493,Female,82,Amer-Indian-Eskimo,Wife,Without-pay,0
185,32,US,4,399022,Female,96,Amer-Indian-Eskimo,Unmarried,Local-gov,0
186,80,non-US,7,57067,Male,46,Other,Husband,Self-emp-inc,0
187,65,non-US,11,198681,Male,29,White,Husband,Never-worked,0
188,36,non-US,9,368949,Male,91,Black,Not-in-family,Self-emp-inc,0
189,19,US,5,77498,Female,26,Amer-Indian-Eskimo,Wife,Local-gov,0
190,68,non-US,6,272591,Male,82,Asian-Pac-Islander,Husband,Private,0
191,73,US,2,275366,Female,29,White,Other-relative,Local-gov,0
192,34,US,3,237995,Male,46,White,Own-child,Private,0
193,86,US,15,387540,Female,81,Black,Unmarried,State-gov,0
194,44,non-US,11,242871,Female,45,Other,Own-child,Federal-gov,0
195,48,US,12,157092,Female,16,Asian-Pac-Islander,Own-child,Self-emp-inc,0
196,36,non-US,6,530454,Male,24,Other,Husband,Private,0
197,51,US,6,225231,Female,46,Amer-Indian-Eskimo,Wife,Private,0
198,51,non-US,2,290688,Female,55,Other,Unmarried,Self-emp-not-inc,0
199,65,US,2,102270,Male,78,Amer-Indian-Eskimo,Husband,Without-pay,0
200,40,US,12,116834,Male,65,Black,Husband,Self-emp-inc,1
201,54,US,8,170411,Male,48,Asian-Pac-Islander,Unmarried,Without-pay,0
202,90,US,2,141165,Female,89,White,Husband,State-gov,0
203,76,US,1,183155,Female,24,Black,Wife,Self-emp-not-inc,0
204,86,US,6,194668,Female,26,Black,Other-relative,Private,0
205,51,US,3,187294,Male,11,Asian-Pac-Islander,Not-in-family,Self-emp-not-inc,0
206,33,US,14,399449,Female,54,Amer-Indian-Eskimo,Husband,Self-emp-not-inc,0
207,68,US,5,109472,Male,19,Amer-Indian-Eskimo,Not-in-family,Self-emp-inc,0
208,77,non-US,13,189511,Female,17,Asian-Pac-Islander,Unmarried,Never-worked,0
209,39,non-US,13,183470,Male,38,Black,Not-in-family,Local-gov,0
210,74,non-US,15,117865,Female,25,White,Wife,Without-pay,0
211,73,US,7,87490,Male,14,Asian-Pac-Islander,Own-child,Private,0
212,83,US,14,281704,Male,62,White,Other-relative,Without-pay,1
213,89,non-US,12,324023,Male,27,Asian-Pac-Islander,Other-relative,Federal-gov,0
214,27,non-US,15,96020,Female,27,Black,Not-in-family,State-gov,0
215,64,US,4,88265,Male,48,Amer-Indian-Eskimo,Unmarried,Without-pay,0
216,69,non-US,10,194436,Female,5,Amer-Indian-Eskimo,Own-child,Self-emp-not-inc,0
217,67,US,12,123190,Female,54,White,Wife,State-gov,0
218,49,US,16,207817,Female,28,Asian-Pac-Islander,Own-child,Self-emp-inc,0
219,72,US,15,53245,Male,41,Asian-Pac-Islander,Own-child,Never-worked,0
220,39,US,16,228847,Male,86,Black,Not-in-family,State-gov,1
221,47,US,9,238966,Male,96,Black,Unmarried,Federal-gov,0
222,25,US,8,418640,Male,24,Black,Husband,Private,0
223,54,non-US,12,144301,Male,25,Black,Unmarried,Without-pay,0
224,24,non-US,3,194638,Male,12,Black,Unmarried,Private,0
225,35,non-US,3,203051,Female,67,White,Not-in-family,State-gov,0
226,44,US,8,356567,Female,19,White,Not-in-family,Private,0
227,50,non-US,4,380543,Male,99,Other,Husband,Without-pay,0
228,72,US,9,169628,Female,25,Amer-Indian-Eskimo,Husband,Self-emp-inc,0
229,37,non-US,12,222311,Female,67,Asian-Pac-Islander,Own-child,Self-emp-inc,0
230,24,US,4,107627,Male,28,White,Own-child,Federal-gov,0
231,17,non-US,2,382272,Male,57,Other,Unmarried,Private,0
232,17,non-US,8,215039,Female,88,Black,Wife,Never-worked,0
233,89,non-US,9,154308,Female,91,Other,Not-in-family,State-gov,0
234,27,US,4,242517,Female,79,White,Husband,Federal-gov,0
235,36,non-US,8,301948,Female,49,Amer-Indian-Eskimo,Husband,Without-pay,0
236,40,non-US,15,179599,Female,26,Other,Not-in-family,Without-pay,0
237,48,US,5,184321,Male,66,Amer-Indian-Eskimo,Own-child,Without-pay,0
238,26,US,10,84735,Female,36,White,Other-relative,Federal-gov,0
239,36,US,5,567788,Male,67,White,Unmarried,Federal-gov,0
240,18,US,14,128002,Female,2,Black,Other-relative,Self-emp-inc,0
241,31,non-US,7,138542,Male,46,Amer-Indian-Eskimo,Wife,Self-emp-inc,0
242,41,non-US,8,153501,Male,24,Black,Own-child,State-gov,0
243,41,non-US,4,462180,Female,59,Other,Other-relative,Self-emp-not-inc,0
244,37,non-US,1,108147,Female,37,Amer-Indian-Eskimo,Other-relative,Never-worked,0
245,25,US,14,334991,Female,19,Other,Husband,Private,0
246,67,US,6,106282,Male,20,White,Unmarried,Private,0
247,39,US,13,155483,Female,56,Asian-Pac-Islander,Unmarried,Without-pay,0
248,79,US,16,398480,Male,65,Asian-Pac-Islander,Not-in-family,Private,0
249,19,non-US,9,81206,Male,56,Amer-Indian-Eskimo,Other-relative,Private,0
250,53,non-US,15,268390,Male,19,White,Not-in-family,Without-pay,1
251,20,non-US,14,194501,Female,77,Black,Own-child,Without-pay,0
252,66,non-US,7,89226,Male,86,Amer-Indian-Eskimo,Not-in-family,Never-worked,0
253,48,US,2,97213,Female,61,Other,Own-child,Federal-gov,0
254,47,non-US,15,100605,Female,79,Asian-Pac-Islander,Other-relative,Federal-gov,0
255,40,non-US,10,175246,Male,11,Black,Unmarried,Self-emp-inc,0
256,68,US,3,357437,Female,14,Amer-Indian-Eskimo,Own-child,Without-pay,0
257,29,non-US,4,228394,Male,8,Amer-Indian-Eskimo,Not-in-family,Never-worked,0
258,49,US,6,24244,Male,52,White,Not-in-family,Without-pay,1
259,70,US,7,139978,Female,11,Amer-Indian-Eskimo,Unmarried,Never-worked,0
260,31,US,12,196745,Male,45,White,Not-in-family,Never-worked,1
261,22,US,11,73047,Female,6,Black,Husband,Federal-gov,0
262,32,US,12,198078,Male,59,Other,Not-in-family,Self-emp-inc,1
263,21,US,12,309932,Female,16,Other,Not-in-family,Federal-gov,0
264,56,US,8,513660,Male,77,Black,Wife,Without-pay,0
265,55,US,12,103323,Female,87,Black,Husband,Self-emp-not-inc,0
266,89,non-US,14,532845,Male,86,Amer-Indian-Eskimo,Husband,Local-gov,0
267,55,non-US,8,305498,Female,55,Asian-Pac-Islander,Own-child,Local-gov,0
268,77,US,2,278378,Female,57,Other,Other-relative,Local-gov,0
269,60,non-US,1,189634,Male,63,Black,Other-relative,Self-emp-not-inc,0
270,85,US,16,190226,Male,57,Other,Husband,Federal-gov,1
271,34,non-US,8,280567,Male,51,White,Not-in-family,Self-emp-inc,0
272,61,US,2,238859,Male,77,Asian-Pac-Islander,Wife,Federal-gov,0
273,43,non-US,10,86701,Female,62,Black,Unmarried,Never-worked,0
274,66,US,16,153205,Female,72,Black,Own-child,Local-gov,0
275,64,non-US,10,333270,Female,30,Amer-Indian-Eskimo,Husband,State-gov,0
276,31,US,12,123612,Female,40,Asian-Pac-Islander,Husband,State-gov,0
277,89,US,12,178370,Female,57,White,Wife,Self-emp-not-inc,0
278,76,non-US,4,192565,Male,18,Asian-Pac-Islander,Wife,Local-gov,0
279,81,US,15,146567,Male,19,Amer-Indian-Eskimo,Other-relative,Self-emp-inc,0
280,56,US,2,119721,Female,23,Amer-Indian-Eskimo,Husband,Local-gov,0
281,35,non-US,10,117244,Female,50,White,Own-child,Self-emp-inc,0
282,86,US,13,99434,Male,49,Asian-Pac-Islander,Not-in-family,Local-gov,0
283,85,US,7,138557,Male,45,Amer-Indian-Eskimo,Own-child,Local-gov,0
284,67,US,13,104661,Female,54,Asian-Pac-Islander,Other-relative,Without-pay,0
285,68,US,16,268390,Male,90,Amer-Indian-Eskimo,Unmarried,Private,0
286,79,non-US,3,254367,Male,19,Other,Husband,Local-gov,0
287,73,US,4,74749,Male,58,Black,Other-relative,Without-pay,0
288,63,US,3,162397,Male,53,Asian-Pac-Islander,Unmarried,Federal-gov,0
289,38,non-US,5,174308,Female,66,Other,Husband,Private,0
290,43,non-US,12,243900,Male,60,Black,Unmarried,Federal-gov,0
291,74,US,4,261062,Male,25,White,Unmarried,Private,0
292,90,US,15,181641,Female,3,White,Not-in-family,Self-emp-inc,0
293,17,non-US,3,98360,Female,45,Black,Unmarried,Self-emp-inc,0
294,73,US,13,159822,Male,54,White,Wife,Never-worked,0
295,22,US,7,132704,Female,52,Asian-Pac-Islander,Wife,Without-pay,0
296,19,US,3,121294,Male,62,Other,Other-relative,Private,0
297,37,non-US,2,314822,Female,40,Amer-Indian-Eskimo,Unmarried,Without-pay,0
298,43,non-US,14,150083,Male,82,Asian-Pac-Islander,Husband,Local-gov,0
299,32,US,7,279636,Male,87,Black,Own-child,Self-emp-inc,0
300,56,US,13,196348,Female,40,Black,Other-relative,Local-gov,0
301,87,US,13,341117,Female,44,Black,Not-in-family,Private,0
302,72,non-US,16,289991,Female,74,Asian-Pac-Islander,Other-relative,Self-emp-inc,0
303,85,non-US,3,219537,Male,23,Other,Unmarried,Never-worked,0
304,88,US,3,238287,Female,57,Amer-Indian-Eskimo,Not-in-family,State-gov,0
305,42,non-US,4,63322,Male,43,Asian-Pac-Islander,Own-child,Self-emp-inc,0
306,43,US,11,31709,Male,53,Other,Wife,Private,0
307,53,US,15,107597,Female,78,Asian-Pac-Islander,Other-relative,Self-emp-inc,0
308,43,non-US,13,121958,Female,18,Asian-Pac-Islander,Unmarried,Without-pay,0
309,81,US,14,202191,Male,36,Asian-Pac-Islander,Other-relative,State-gov,0
310,36,non-US,4,198097,Female,17,Other,Not-in-family,Without-pay,0
311,42,non-US,14,460437,Male,56,Other,Wife,State-gov,0
312,36,US,2,182703,Female,47,Black,Own-child,Self-emp-inc,0
313,24,non-US,9,97759,Female,8,Amer-Indian-Eskimo,Other-relative,Private,0
314,53,US,15,84224,Female,22,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
315,32,non-US,3,264351,Female,21,White,Other-relative,Private,0
316,18,US,13,125106,Female,20,Black,Wife,Private,0
317,53,non-US,2,159910,Female,57,White,Husband,Local-gov,0
318,46,non-US,13,67019,Male,48,Amer-Indian-Eskimo,Wife,Without-pay,0
319,88,non-US,14,192213,Female,78,Black,Not-in-family,Never-worked,0
320,41,US,10,52327,Male,5,Black,Other-relative,Without-pay,0
321,74,US,10,136358,Female,49,White,Not-in-family,Private,0
322,60,non-US,13,207267,Male,46,White,Not-in-family,Private,1
323,39,non-US,11,328447,Female,19,Other,Other-relative,Federal-gov,0
324,19,non-US,10,59829,Female,31,Black,Own-child,Never-worked,0
325,24,non-US,7,291096,Female,95,White,Own-child,Private,0
326,45,non-US,5,234195,Male,18,Amer-Indian-Eskimo,Not-in-family,Self-emp-inc,0
327,40,non-US,13,184176,Female,61,White,Other-relative,Local-gov,0
328,86,non-US,14,228406,Male,19,Amer-Indian-Eskimo,Not-in-family,State-gov,0
329,70,US,15,114882,Female,97,Asian-Pac-Islander,Other-relative,Federal-gov,0
330,78,non-US,14,172571,Male,77,Other,Unmarried,State-gov,0
331,85,non-US,10,178344,Female,18,Other,Other-relative,Without-pay,0
332,83,US,12,104334,Male,45,Asian-Pac-Islander,Other-relative,Federal-gov,0
333,67,non-US,5,39844,Female,35,White,Husband,Never-worked,0
334,51,non-US,1,117802,Male,8,Other,Unmarried,Local-gov,0
335,71,non-US,1,41624,Female,38,Asian-Pac-Islander,Unmarried,Private,0
336,82,US,11,72355,Female,38,Other,Other-relative,State-gov,0
337,58,US,10,310085,Female,31,Other,Unmarried,State-gov,0
338,50,US,3,192982,Female,36,Other,Other-relative,Self-emp-not-inc,0
339,68,non-US,8,225580,Male,45,Asian-Pac-Islander,Wife,Local-gov,0
340,72,non-US,16,229236,Male,64,Amer-Indian-Eskimo,Other-relative,Federal-gov,0
341,24,non-US,5,230823,Male,23,Other,Unmarried,State-gov,0
342,52,non-US,13,348022,Female,75,Other,Wife,Never-worked,0
343,28,US,14,243283,Male,47,Other,Other-relative,Private,0
344,22,US,4,117719,Male,57,Amer-Indian-Eskimo,Not-in-family,Self-emp-not-inc,0
345,58,US,11,58602,Female,3,Amer-Indian-Eskimo,Husband,Federal-gov,0
346,53,US,8,54611,Male,41,White,Other-relative,Self-emp-not-inc,0
347,79,US,11,233362,Male,50,Amer-Indian-Eskimo,Wife,Never-worked,0
348,25,non-US,16,238401,Female,19,White,Not-in-family,Without-pay,0
349,22,non-US,16,35910,Male,86,White,Other-relative,Local-gov,0
350,63,non-US,13,268524,Male,1,Amer-Indian-Eskimo,Not-in-family,Self-emp-not-inc,0
351,36,US,6,339602,Male,31,Amer-Indian-Eskimo,Other-relative,Local-gov,0
352,47,non-US,12,222205,Male,21,Other,Husband,Private,0
353,24,non-US,16,251710,Male,68,Amer-Indian-Eskimo,Unmarried,Private,0
354,30,US,9,315470,Female,54,Asian-Pac-Islander,Own-child,Self-emp-inc,0
355,44,US,5,296450,Male,54,Black,Unmarried,State-gov,0
356,20,US,10,96827,Female,62,Asian-Pac-Islander,Own-child,Without-pay,0
357,67,non-US,3,192569,Female,32,Other,Own-child,Private,0
358,83,non-US,4,282604,Male,56,Other,Husband,Never-worked,0
359,18,non-US,1,339358,Male,91,White,Husband,Private,0
360,26,non-US,14,217892,Female,99,Other,Own-child,Local-gov,0
361,79,US,10,236272,Female,21,White,Not-in-family,Federal-gov,0
362,38,US,1,168553,Female,85,Black,Not-in-family,Without-pay,0
363,74,US,13,254202,Female,63,Amer-Indian-Eskimo,Own-child,Self-emp-not-inc,0
364,53,non-US,15,316043,Female,5,Other,Other-relative,Local-gov,0
365,29,US,1,246282,Male,75,White,Unmarried,Federal-gov,0
