id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
23,delayed previously,other,<100,none,'no known property',bank,rent,'unemp/unskilled non res',yes,yes,male,div/dep/mar',54,2320,1,3,48,2,2,no checking,>=7,1
24,delayed previously,'domestic appliance',500<=X<1000,'co applicant',real estate,bank,rent,high qualif/self emp/mgmt,yes,no,female,single,60,3441,4,3,42,4,1,'<0',<1,0
25,all paid,'used car','no known savings',none,'real estate',none,own,'high qualif/self emp/mgmt',none,no,male,single',14,3863,3,4,50,2,2,0<=X<200,'1<=X<4',1
26,critical/other existing credit,domestic appliance,500<=X<1000,co applicant,life insurance,bank,rent,high qualif/self emp/mgmt,yes,yes,male,div/sep,30,4843,3,4,50,4,2,>=200,'1<=X<4',1
27,'delayed previously','domestic appliance','no known savings',co applicant,life insurance,bank,rent,unskilled resident,yes,no,female,div/dep/mar,9,6872,3,1,54,4,2,'0<=X<200','4<=X<7',1
28,no credits/all paid,new car,'500<=X<1000','co applicant',life insurance,none,'for free',unskilled resident,none,yes,female,single,8,4249,2,2,54,1,2,<0,>=7,0
29,delayed previously,business,'>=1000',none,life insurance,none,'for free',unskilled resident,none,no,'female,single',48,1938,3,3,55,4,1,0<=X<200,unemployed,1
30,delayed previously,'domestic appliance',500<=X<1000,co applicant,'life insurance',stores,own,'high qualif/self emp/mgmt',yes,no,male,div/dep/mar',9,1503,1,1,21,2,1,'0<=X<200',<1,1
31,critical/other existing credit,business,no known savings,guarantor,'real estate',bank,for free,unskilled resident,none,no,'male,div/sep',4,2146,2,2,38,2,2,'no checking','1<=X<4',1
32,'critical/other existing credit',furniture/equipment,'100<=X<500',guarantor,no known property,none,rent,unemp/unskilled non res,none,yes,male,div/sep,22,2520,4,1,35,2,2,'<0','1<=X<4',1
33,delayed previously,radio/tv,'100<=X<500',none,life insurance,none,rent,skilled,none,no,'female,single',14,1360,4,4,65,4,2,0<=X<200,'4<=X<7',1
34,'delayed previously',radio/tv,'<100',guarantor,'real estate',stores,'for free',skilled,yes,yes,female,mar/wid,21,1592,3,4,42,3,1,'0<=X<200',1<=X<4,1
35,existing paid,education,'<100','co applicant',car,none,for free,high qualif/self emp/mgmt,none,no,male,mar/wid',6,448,1,2,66,4,2,no checking,'<1',1
36,delayed previously,retraining,500<=X<1000,co applicant,real estate,stores,'for free','unemp/unskilled non res',yes,no,female,div/dep/mar,42,1301,2,2,37,4,1,0<=X<200,>=7,0
37,'no credits/all paid','new car','>=1000',guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,yes,no,female,mar/wid,42,2522,2,4,39,4,1,'no checking','<1',1
38,no credits/all paid,'domestic appliance','>=1000',co applicant,life insurance,bank,own,skilled,none,yes,male,single',10,2528,1,4,32,1,1,<0,4<=X<7,0
39,'no credits/all paid',radio/tv,500<=X<1000,'co applicant',no known property,none,for free,unskilled resident,none,no,male,single,39,884,3,3,20,4,1,'0<=X<200',<1,1
40,critical/other existing credit,furniture/equipment,500<=X<1000,'co applicant','no known property',none,for free,skilled,yes,no,female,mar/wid,36,1403,2,3,51,4,2,<0,'>=7',1
41,'all paid','domestic appliance',no known savings,none,no known property,stores,for free,high qualif/self emp/mgmt,none,no,'female,single,36,3357,1,3,36,4,1,<0,'1<=X<4',1
42,'no credits/all paid','used car','<100',guarantor,car,bank,own,unemp/unskilled non res,none,yes,female,div/sep',39,2116,2,2,48,4,2,'>=200',4<=X<7,1
43,critical/other existing credit,repairs,no known savings,none,real estate,bank,rent,'unemp/unskilled non res',yes,no,'male,mar/wid',24,1289,3,1,51,4,1,0<=X<200,'4<=X<7',1
44,'critical/other existing credit',other,'no known savings',co applicant,real estate,stores,for free,unemp/unskilled non res,none,no,male,mar/wid,10,7127,2,3,35,3,1,'>=200',4<=X<7,1
45,no credits/all paid,other,'500<=X<1000',guarantor,life insurance,stores,'for free',skilled,none,no,'female,single',28,3234,2,3,33,4,1,'no checking',unemployed,1
46,'all paid','new car','<100',none,life insurance,stores,own,unskilled resident,yes,yes,female,single',30,5302,2,2,35,2,2,<0,4<=X<7,0
47,'all paid',new car,'500<=X<1000','co applicant','no known property',stores,own,unskilled resident,none,no,'female,single',39,1569,4,1,70,3,2,>=200,'<1',1
48,all paid,'used car',100<=X<500,'co applicant',real estate,stores,own,skilled,none,yes,'female,single,72,1382,2,1,42,1,2,'0<=X<200',>=7,0
49,'existing paid','new car','500<=X<1000','co applicant',life insurance,stores,rent,'unemp/unskilled non res',none,no,female,mar/wid,28,609,2,2,75,3,2,'0<=X<200','1<=X<4',1
50,'critical/other existing credit',other,no known savings,'co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,none,no,male,div/sep',22,1376,3,3,21,4,1,no checking,unemployed,1
51,'critical/other existing credit',other,'no known savings',guarantor,'life insurance',bank,'for free',unskilled resident,yes,no,male,div/dep/mar,10,2923,4,1,61,2,1,'0<=X<200',1<=X<4,1
52,'no credits/all paid',domestic appliance,500<=X<1000,guarantor,no known property,stores,'for free','unskilled resident',none,yes,'male,div/sep',48,3990,2,1,41,3,2,'0<=X<200','>=7',1
53,'existing paid',education,<100,'co applicant',real estate,none,for free,'unemp/unskilled non res',none,no,female,div/dep/mar,24,12204,3,1,27,3,2,'>=200','1<=X<4',0
54,'existing paid',used car,'>=1000','co applicant',no known property,stores,own,unskilled resident,none,yes,female,single',8,2134,4,2,43,2,2,'0<=X<200',1<=X<4,1
55,critical/other existing credit,'domestic appliance','>=1000',co applicant,car,stores,'for free',skilled,none,yes,'male,single',33,2100,3,3,42,2,2,<0,'>=7',0
56,'existing paid','new car',500<=X<1000,'co applicant',real estate,bank,own,'high qualif/self emp/mgmt',none,yes,'female,div/dep/mar,40,368,2,1,39,2,1,0<=X<200,4<=X<7,1
57,no credits/all paid,'used car','>=1000',guarantor,no known property,stores,rent,unskilled resident,none,no,male,div/dep/mar,9,2333,2,3,51,4,1,'>=200','>=7',0
58,existing paid,retraining,'>=1000',none,life insurance,stores,own,'unemp/unskilled non res',none,no,'female,div/dep/mar,21,3711,4,2,41,1,1,0<=X<200,>=7,1
59,critical/other existing credit,retraining,no known savings,guarantor,no known property,none,for free,'unemp/unskilled non res',yes,no,'female,div/dep/mar',72,5943,2,4,54,2,1,'<0',unemployed,1
60,'critical/other existing credit','domestic appliance','no known savings',co applicant,no known property,stores,own,'unemp/unskilled non res',none,yes,male,single',72,1965,4,3,52,4,2,'0<=X<200',>=7,0
61,'delayed previously',repairs,>=1000,none,life insurance,bank,own,unskilled resident,none,no,male,mar/wid',27,3577,3,3,44,2,2,<0,'4<=X<7',1
62,'delayed previously','new car','<100',guarantor,'no known property',stores,for free,'unskilled resident',yes,no,female,single',18,730,1,2,39,4,2,'0<=X<200',>=7,1
63,'no credits/all paid',furniture/equipment,'100<=X<500',none,car,none,rent,skilled,yes,no,male,single',7,5951,3,4,42,4,2,>=200,<1,1
64,'all paid',education,100<=X<500,none,'no known property',none,rent,high qualif/self emp/mgmt,none,no,male,mar/wid',14,1206,3,1,66,3,2,<0,1<=X<4,1
65,critical/other existing credit,repairs,'500<=X<1000',none,'life insurance',none,'for free',unemp/unskilled non res,none,no,male,single,7,6761,1,2,75,4,1,'no checking','<1',1
66,'critical/other existing credit',education,'<100',co applicant,life insurance,bank,for free,skilled,yes,no,'male,single',47,3812,2,2,74,1,2,<0,'<1',1
67,existing paid,other,no known savings,'co applicant','real estate',stores,rent,unskilled resident,yes,yes,'male,div/dep/mar',10,1520,1,3,25,2,1,<0,<1,1
68,'critical/other existing credit',repairs,500<=X<1000,guarantor,life insurance,none,for free,skilled,none,yes,'male,div/dep/mar,18,5324,4,2,30,2,1,'0<=X<200','1<=X<4',1
69,all paid,education,'>=1000',guarantor,life insurance,bank,rent,'high qualif/self emp/mgmt',yes,no,male,div/dep/mar,20,14896,4,3,61,2,1,no checking,'4<=X<7',1
70,no credits/all paid,used car,'500<=X<1000','co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',21,3017,1,1,67,2,2,no checking,'>=7',1
71,existing paid,education,'500<=X<1000',none,'no known property',bank,own,'unemp/unskilled non res',yes,yes,female,mar/wid',33,1376,1,4,46,4,2,>=200,4<=X<7,1
72,'delayed previously',education,'no known savings',guarantor,car,none,for free,'unskilled resident',yes,yes,'male,div/sep,14,3446,4,4,49,3,2,'>=200',>=7,1
73,critical/other existing credit,'domestic appliance','>=1000',none,'no known property',stores,for free,'unemp/unskilled non res',yes,yes,male,single',54,2569,1,1,34,3,2,<0,<1,1
74,existing paid,education,'<100',none,life insurance,none,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',47,6761,1,4,33,4,2,'no checking','>=7',1
75,delayed previously,'domestic appliance','100<=X<500','co applicant',car,bank,rent,unskilled resident,none,no,'female,div/dep/mar,36,3447,4,2,65,3,1,>=200,'4<=X<7',1
76,'delayed previously',domestic appliance,<100,co applicant,car,stores,rent,'high qualif/self emp/mgmt',none,yes,'female,mar/wid,24,4576,4,4,41,4,2,'>=200',unemployed,1
77,'existing paid',repairs,no known savings,guarantor,life insurance,bank,for free,'high qualif/self emp/mgmt',none,yes,'male,div/dep/mar',6,1924,3,1,24,3,1,'<0',4<=X<7,1
78,'no credits/all paid',domestic appliance,>=1000,guarantor,no known property,bank,rent,'unskilled resident',yes,no,'male,div/dep/mar',21,12680,1,2,48,4,2,'>=200',<1,0
79,'all paid',other,'100<=X<500',co applicant,'real estate',bank,for free,skilled,none,no,'male,div/dep/mar',7,6204,3,4,28,1,2,'no checking','>=7',1
80,existing paid,used car,'<100',guarantor,car,none,'for free',unemp/unskilled non res,yes,no,'female,mar/wid',27,2745,4,2,31,1,2,no checking,'<1',1
81,no credits/all paid,'new car','500<=X<1000',co applicant,'no known property',none,rent,unskilled resident,yes,no,female,mar/wid,6,2327,4,4,23,2,2,0<=X<200,'<1',1
82,'delayed previously',radio/tv,'<100',guarantor,'real estate',stores,own,skilled,yes,yes,'female,single,12,3568,2,3,27,4,1,'0<=X<200','<1',1
83,no credits/all paid,new car,<100,none,real estate,stores,'for free','high qualif/self emp/mgmt',none,yes,female,div/dep/mar,27,2171,3,1,75,4,2,>=200,<1,0
84,'delayed previously',retraining,<100,'co applicant',car,bank,rent,'unemp/unskilled non res',none,no,'male,div/dep/mar,21,3676,1,3,54,2,2,>=200,unemployed,1
85,all paid,radio/tv,500<=X<1000,none,'life insurance',stores,own,unskilled resident,yes,yes,'male,div/dep/mar',60,1216,1,2,39,1,1,'no checking',>=7,1
86,'existing paid',business,'<100','co applicant',car,none,rent,'unskilled resident',none,no,female,div/dep/mar,16,3566,3,4,23,2,2,'0<=X<200',1<=X<4,1
87,existing paid,domestic appliance,no known savings,guarantor,'no known property',stores,rent,unskilled resident,none,no,female,div/dep/mar',27,999,3,3,27,2,1,no checking,<1,1
88,'no credits/all paid',education,'<100','co applicant','no known property',stores,for free,'unskilled resident',yes,no,female,div/dep/mar',42,6850,4,4,19,2,1,'no checking',>=7,1
89,'all paid',retraining,>=1000,none,real estate,stores,rent,'high qualif/self emp/mgmt',yes,yes,female,single',6,3343,2,4,23,2,1,'>=200',<1,1
90,'delayed previously',domestic appliance,>=1000,'co applicant','life insurance',none,for free,skilled,none,yes,male,div/dep/mar,33,1493,1,2,46,1,1,'0<=X<200','>=7',1
91,'no credits/all paid',other,'>=1000',co applicant,car,none,for free,'unemp/unskilled non res',none,no,'female,div/sep,9,1881,2,1,61,1,1,'0<=X<200','>=7',1
92,critical/other existing credit,other,no known savings,none,no known property,bank,for free,'unskilled resident',yes,no,'male,div/dep/mar',24,2991,1,1,27,4,1,>=200,4<=X<7,1
93,'delayed previously','new car','>=1000',none,'life insurance',stores,rent,unskilled resident,none,yes,female,mar/wid,26,2210,2,2,38,4,2,>=200,1<=X<4,1
94,delayed previously,new car,no known savings,co applicant,no known property,stores,rent,'unemp/unskilled non res',none,yes,'male,mar/wid',39,5129,3,4,29,1,2,'<0',1<=X<4,0
95,existing paid,repairs,'<100',none,real estate,bank,for free,skilled,yes,no,female,div/dep/mar,21,1555,3,3,37,3,1,>=200,'1<=X<4',1
96,critical/other existing credit,'domestic appliance',100<=X<500,none,no known property,stores,rent,'unemp/unskilled non res',yes,no,female,single',9,6361,3,4,44,3,1,'no checking',<1,0
97,critical/other existing credit,radio/tv,100<=X<500,'co applicant','no known property',stores,for free,unskilled resident,none,no,male,single,22,3244,2,1,29,2,1,'<0',1<=X<4,1
98,existing paid,radio/tv,'>=1000',guarantor,no known property,bank,for free,skilled,yes,no,'male,div/sep',22,2329,1,4,20,3,1,'0<=X<200','4<=X<7',1
99,'delayed previously',domestic appliance,'500<=X<1000',co applicant,life insurance,bank,own,'unemp/unskilled non res',none,no,female,div/sep',54,1620,3,3,29,2,1,'0<=X<200','4<=X<7',0
100,all paid,repairs,'100<=X<500',co applicant,car,stores,rent,'unskilled resident',none,no,'female,mar/wid,8,3556,4,2,64,2,2,>=200,<1,1
101,'critical/other existing credit',other,'>=1000',co applicant,real estate,stores,rent,unskilled resident,yes,no,female,div/sep,28,902,1,3,27,2,1,'0<=X<200',4<=X<7,1
102,'critical/other existing credit','new car','<100',guarantor,'no known property',none,'for free','unskilled resident',yes,yes,'female,div/dep/mar,33,5866,4,1,66,4,2,'<0',1<=X<4,1
103,'critical/other existing credit',domestic appliance,100<=X<500,none,real estate,stores,rent,unemp/unskilled non res,none,no,'female,div/dep/mar',8,8335,1,3,48,1,1,>=200,'1<=X<4',1
104,'all paid',retraining,'>=1000','co applicant',car,stores,'for free','unskilled resident',none,yes,male,mar/wid',10,1554,3,2,26,2,1,>=200,<1,1
105,delayed previously,new car,500<=X<1000,guarantor,real estate,none,rent,skilled,yes,yes,'male,mar/wid,22,2910,4,4,65,1,2,no checking,>=7,1
106,'all paid',education,no known savings,co applicant,life insurance,stores,for free,skilled,yes,no,'female,single,11,1345,4,3,35,3,1,0<=X<200,'>=7',1
107,delayed previously,other,'500<=X<1000','co applicant','no known property',bank,'for free',unskilled resident,yes,yes,male,mar/wid,8,2255,1,3,52,4,1,'<0',>=7,1
108,existing paid,used car,'no known savings','co applicant',life insurance,stores,for free,unskilled resident,yes,yes,'male,div/dep/mar',28,9034,1,4,19,2,2,<0,'4<=X<7',1
109,delayed previously,domestic appliance,'<100',co applicant,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,'male,single,45,3060,3,4,20,1,1,'>=200',>=7,1
110,'delayed previously',other,'500<=X<1000',none,no known property,stores,rent,unemp/unskilled non res,yes,no,female,single',15,1213,3,1,20,1,1,0<=X<200,>=7,1
111,no credits/all paid,new car,>=1000,none,life insurance,bank,for free,unemp/unskilled non res,none,no,'female,div/sep,16,5742,2,4,43,4,1,'no checking',<1,0
112,'all paid',new car,no known savings,none,'real estate',stores,own,unskilled resident,none,yes,'female,mar/wid,48,2896,3,3,60,1,1,'0<=X<200','>=7',0
113,'all paid','used car',100<=X<500,co applicant,car,none,for free,unemp/unskilled non res,none,yes,'female,single',42,2848,2,2,30,3,1,'<0','4<=X<7',0
114,critical/other existing credit,retraining,'100<=X<500',co applicant,real estate,none,own,unemp/unskilled non res,yes,no,female,mar/wid',13,1901,1,4,34,2,2,'no checking',>=7,1
115,no credits/all paid,'new car',>=1000,none,car,none,'for free',unskilled resident,none,no,'female,single,13,11938,1,2,44,3,1,'<0','4<=X<7',1
116,no credits/all paid,'new car','100<=X<500',guarantor,life insurance,stores,for free,unemp/unskilled non res,none,no,'female,mar/wid,12,1068,2,3,57,1,2,'>=200',unemployed,1
117,'no credits/all paid',domestic appliance,500<=X<1000,guarantor,'life insurance',stores,'for free',unemp/unskilled non res,yes,yes,male,single,39,3422,4,3,29,1,2,0<=X<200,'<1',1
118,'critical/other existing credit','new car',100<=X<500,co applicant,'real estate',none,for free,unskilled resident,none,no,female,div/sep,18,4844,2,1,43,1,2,'>=200','<1',1
119,'all paid','domestic appliance','100<=X<500',co applicant,'real estate',stores,own,'unemp/unskilled non res',none,yes,male,single,14,1743,2,2,60,3,1,'no checking','<1',1
120,'existing paid',radio/tv,500<=X<1000,co applicant,real estate,none,own,high qualif/self emp/mgmt,none,yes,'male,single,42,6568,4,4,27,3,2,<0,>=7,0
121,delayed previously,new car,'<100',co applicant,life insurance,none,rent,unemp/unskilled non res,none,yes,'male,div/dep/mar',24,3235,4,2,19,4,2,'0<=X<200','<1',0
122,'no credits/all paid',repairs,100<=X<500,guarantor,no known property,none,rent,unemp/unskilled non res,yes,no,'female,mar/wid,40,975,1,4,45,1,1,<0,1<=X<4,1
123,'existing paid',radio/tv,'<100',guarantor,no known property,bank,for free,unskilled resident,none,no,female,single,36,1188,1,1,54,1,2,'<0',unemployed,1
124,'existing paid',furniture/equipment,'>=1000',none,car,none,'for free',unemp/unskilled non res,yes,no,'female,mar/wid,72,12749,1,3,63,1,2,'>=200',1<=X<4,1
125,'existing paid',furniture/equipment,>=1000,co applicant,no known property,bank,'for free','unskilled resident',yes,yes,female,div/dep/mar,30,7678,1,2,37,2,1,no checking,'1<=X<4',1
126,'no credits/all paid','new car',>=1000,none,'no known property',none,rent,'unskilled resident',yes,yes,male,single,15,3186,4,1,25,1,2,'>=200',<1,1
127,critical/other existing credit,business,<100,co applicant,'life insurance',stores,own,'unskilled resident',none,yes,'female,mar/wid,4,8229,3,2,22,2,1,'>=200','>=7',1
128,no credits/all paid,other,'500<=X<1000',guarantor,'life insurance',stores,own,'high qualif/self emp/mgmt',yes,no,female,div/dep/mar,36,1053,1,4,59,4,1,'<0',4<=X<7,1
129,critical/other existing credit,'domestic appliance',no known savings,'co applicant','no known property',bank,own,'unskilled resident',yes,no,female,mar/wid,15,1934,4,1,67,1,2,'no checking',>=7,1
130,no credits/all paid,used car,'no known savings',co applicant,'real estate',stores,own,'unskilled resident',yes,yes,female,single',11,1055,2,4,41,3,1,'no checking',unemployed,1
131,'delayed previously',other,>=1000,guarantor,'no known property',bank,rent,unskilled resident,none,no,female,div/sep,54,3051,1,1,49,1,1,no checking,unemployed,1
132,'existing paid',used car,100<=X<500,guarantor,car,bank,'for free',skilled,yes,yes,female,div/dep/mar',39,7814,2,3,52,1,1,no checking,4<=X<7,1
133,'delayed previously',used car,no known savings,co applicant,real estate,stores,'for free',unemp/unskilled non res,none,yes,male,single',6,1919,2,3,49,2,2,<0,'<1',1
134,'existing paid',other,>=1000,co applicant,no known property,bank,'for free',high qualif/self emp/mgmt,none,no,'male,div/dep/mar,36,1555,1,3,46,4,1,'no checking',1<=X<4,1
135,delayed previously,repairs,'500<=X<1000',co applicant,real estate,bank,own,'high qualif/self emp/mgmt',none,no,female,mar/wid',4,3949,2,1,46,2,1,>=200,'4<=X<7',1
136,all paid,'domestic appliance',no known savings,guarantor,'life insurance',bank,for free,'unemp/unskilled non res',none,no,'female,single',20,3368,3,2,55,3,2,'0<=X<200',unemployed,1
137,'all paid',retraining,>=1000,guarantor,'no known property',bank,'for free','unskilled resident',none,yes,'female,mar/wid,18,409,1,2,23,4,2,'0<=X<200',4<=X<7,1
138,no credits/all paid,education,'no known savings',none,no known property,none,own,'high qualif/self emp/mgmt',yes,yes,female,div/sep',26,2329,1,3,36,2,1,no checking,'1<=X<4',1
139,'existing paid','used car',<100,none,no known property,bank,own,'unskilled resident',yes,yes,female,div/dep/mar,48,2859,4,4,52,4,2,'>=200','<1',1
140,'critical/other existing credit',education,'no known savings',co applicant,'real estate',bank,for free,'unemp/unskilled non res',none,no,female,div/sep',21,1316,3,1,29,3,2,'>=200',unemployed,1
141,critical/other existing credit,other,500<=X<1000,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,no,male,div/sep,45,662,2,4,43,3,1,>=200,4<=X<7,1
142,'delayed previously',education,no known savings,none,'no known property',none,for free,high qualif/self emp/mgmt,none,no,male,mar/wid',72,8133,3,1,66,3,2,<0,4<=X<7,1
143,'no credits/all paid',retraining,<100,'co applicant',life insurance,bank,own,high qualif/self emp/mgmt,yes,no,'female,div/sep,26,1582,2,3,75,4,2,<0,'4<=X<7',1
144,critical/other existing credit,furniture/equipment,'100<=X<500',co applicant,no known property,stores,for free,unemp/unskilled non res,yes,yes,'female,single',20,5129,3,3,66,2,1,0<=X<200,unemployed,1
145,'critical/other existing credit',repairs,'100<=X<500','co applicant','real estate',stores,own,skilled,none,yes,male,div/sep,15,14318,2,2,31,1,1,>=200,4<=X<7,0
146,critical/other existing credit,domestic appliance,500<=X<1000,guarantor,'life insurance',bank,'for free',unemp/unskilled non res,yes,yes,male,div/dep/mar,42,3060,3,2,25,3,2,'no checking',1<=X<4,1
147,'delayed previously',used car,'500<=X<1000',co applicant,life insurance,stores,rent,unemp/unskilled non res,yes,yes,female,single,21,3343,3,2,46,4,2,no checking,4<=X<7,1
148,existing paid,furniture/equipment,'>=1000',guarantor,real estate,stores,rent,skilled,yes,yes,male,div/dep/mar',33,3399,3,3,64,2,2,'no checking','4<=X<7',1
149,no credits/all paid,'used car',100<=X<500,none,'real estate',bank,rent,unemp/unskilled non res,none,yes,male,single',5,4042,2,3,27,1,2,<0,<1,0
150,existing paid,other,'<100',guarantor,no known property,bank,for free,'high qualif/self emp/mgmt',yes,no,female,mar/wid',39,3565,3,1,35,2,2,no checking,unemployed,1
151,no credits/all paid,education,>=1000,none,'no known property',bank,'for free','high qualif/self emp/mgmt',none,no,female,div/sep,18,2302,3,2,31,2,2,'>=200','>=7',1
152,no credits/all paid,retraining,'<100','co applicant','life insurance',stores,for free,high qualif/self emp/mgmt,none,yes,'female,mar/wid',42,2063,1,1,42,4,2,>=200,'<1',0
153,'all paid',new car,>=1000,none,'life insurance',stores,own,'unemp/unskilled non res',yes,yes,male,div/sep',33,1721,2,1,70,1,2,0<=X<200,'<1',0
154,'all paid',used car,<100,guarantor,car,none,rent,'unemp/unskilled non res',none,no,'male,div/dep/mar,36,6078,2,2,37,1,1,no checking,'1<=X<4',1
155,'no credits/all paid','domestic appliance',>=1000,guarantor,real estate,stores,'for free','high qualif/self emp/mgmt',yes,no,'female,div/dep/mar,11,10366,3,3,50,1,1,'no checking',unemployed,1
156,'all paid',domestic appliance,500<=X<1000,co applicant,life insurance,none,'for free',skilled,none,yes,'male,div/sep',22,1459,4,1,75,1,2,'>=200',>=7,1
157,'critical/other existing credit',retraining,>=1000,none,'no known property',none,own,unemp/unskilled non res,none,no,female,single,28,1331,2,1,25,3,1,>=200,'<1',1
158,no credits/all paid,'new car','500<=X<1000',none,car,stores,own,unemp/unskilled non res,none,yes,'male,single,22,1246,2,3,58,1,1,<0,'1<=X<4',0
159,'no credits/all paid',furniture/equipment,500<=X<1000,'co applicant','real estate',bank,own,high qualif/self emp/mgmt,yes,yes,'male,div/dep/mar',18,1553,2,2,33,2,1,0<=X<200,<1,0
160,all paid,other,100<=X<500,co applicant,'no known property',bank,rent,'unemp/unskilled non res',none,yes,'male,div/dep/mar',15,1494,4,2,56,1,1,'no checking','4<=X<7',1
161,'all paid',furniture/equipment,'>=1000',guarantor,'life insurance',none,rent,'unskilled resident',none,no,male,mar/wid,39,5381,1,2,61,1,1,'no checking','>=7',1
162,existing paid,'used car',500<=X<1000,guarantor,life insurance,bank,own,unemp/unskilled non res,none,no,female,div/dep/mar,39,11054,3,1,58,2,1,'>=200',4<=X<7,1
163,'existing paid','domestic appliance','>=1000',none,'no known property',bank,'for free','unemp/unskilled non res',yes,yes,'female,div/dep/mar,14,2284,4,3,53,4,2,<0,'>=7',1
164,existing paid,new car,>=1000,'co applicant',real estate,bank,'for free',high qualif/self emp/mgmt,none,yes,'male,single',15,2782,4,2,59,1,1,'<0',unemployed,1
