id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
25,all paid,'used car',100<=X<500,'female div/dep/mar',guarantor,car,none,own,'unskilled resident',yes,yes,54,1657,1,2,60,1,1,<0,unemployed,0
26,'no credits/all paid','new car','500<=X<1000','male single',co applicant,life insurance,stores,own,high qualif/self emp/mgmt,yes,no,10,1258,2,2,25,3,2,0<=X<200,'1<=X<4',1
27,'delayed previously',repairs,'<100',female div/dep/mar,'co applicant',car,none,'for free','unskilled resident',yes,yes,18,2996,1,2,34,3,1,'>=200','4<=X<7',1
28,'no credits/all paid','domestic appliance',>=1000,male single,guarantor,no known property,stores,'for free','high qualif/self emp/mgmt',none,yes,21,2603,4,4,28,1,1,'0<=X<200','<1',1
29,existing paid,education,<100,'female div/dep/mar',guarantor,no known property,stores,for free,'unemp/unskilled non res',yes,no,10,947,2,2,55,2,2,<0,'1<=X<4',1
30,'existing paid',radio/tv,'100<=X<500','female div/dep/mar',guarantor,'life insurance',bank,'for free','unskilled resident',none,yes,28,11816,3,4,30,1,2,'>=200',>=7,1
31,all paid,repairs,<100,'male div/sep','co applicant',real estate,none,for free,skilled,yes,no,8,6314,2,2,24,2,2,>=200,'>=7',1
32,'existing paid',other,no known savings,female div/dep/mar,none,no known property,bank,for free,unemp/unskilled non res,none,no,9,7582,4,1,49,3,2,>=200,<1,1
33,all paid,other,'>=1000',female div/dep/mar,'co applicant','no known property',bank,'for free','unskilled resident',none,no,21,1238,2,3,43,3,1,no checking,'<1',1
34,'critical/other existing credit',domestic appliance,'>=1000',male mar/wid,'co applicant',life insurance,none,own,'unskilled resident',yes,yes,20,6419,1,2,35,4,2,'>=200','1<=X<4',1
35,'existing paid','new car','>=1000','male single','co applicant',car,bank,own,skilled,yes,yes,33,1347,4,3,29,1,2,'no checking',unemployed,1
36,'all paid','domestic appliance',>=1000,male mar/wid,co applicant,life insurance,stores,for free,'high qualif/self emp/mgmt',none,no,26,6681,4,1,43,4,1,no checking,'>=7',1
37,'existing paid',used car,<100,'female div/dep/mar',guarantor,real estate,stores,rent,unemp/unskilled non res,none,yes,20,2384,4,1,48,2,1,'0<=X<200',unemployed,1
38,'no credits/all paid','new car','500<=X<1000','male div/sep',guarantor,real estate,bank,rent,'unemp/unskilled non res',none,no,27,10722,2,4,37,2,2,'>=200',4<=X<7,1
39,'existing paid','used car','100<=X<500','male div/sep',guarantor,life insurance,none,for free,unemp/unskilled non res,none,yes,14,2745,1,1,19,4,1,<0,'1<=X<4',0
40,critical/other existing credit,furniture/equipment,'<100','male div/sep',guarantor,'life insurance',stores,rent,unskilled resident,yes,no,22,5965,4,2,21,2,2,>=200,'>=7',1
41,delayed previously,'new car','>=1000','male div/sep',none,'real estate',bank,'for free',high qualif/self emp/mgmt,yes,no,26,1495,2,2,31,2,1,no checking,'>=7',1
42,'existing paid',business,no known savings,'male mar/wid',co applicant,'life insurance',stores,for free,unemp/unskilled non res,yes,yes,15,12976,3,4,43,2,2,<0,1<=X<4,1
43,'delayed previously',domestic appliance,'>=1000',male mar/wid,co applicant,'real estate',none,'for free',unemp/unskilled non res,none,yes,39,518,1,1,68,1,1,'0<=X<200','<1',1
44,no credits/all paid,other,'500<=X<1000',male div/sep,'co applicant','real estate',none,'for free',skilled,yes,yes,16,3979,1,3,34,1,1,'0<=X<200',unemployed,1
45,no credits/all paid,retraining,no known savings,'male div/sep',none,'real estate',none,own,'unemp/unskilled non res',yes,no,24,2864,1,1,53,4,1,0<=X<200,unemployed,1
46,'delayed previously',education,'100<=X<500',female div/dep/mar,guarantor,'no known property',stores,own,'unskilled resident',none,yes,72,2647,1,3,48,1,1,'<0',>=7,1
47,'delayed previously',repairs,100<=X<500,'female div/dep/mar','co applicant','no known property',none,rent,'unskilled resident',yes,no,42,1275,1,3,56,3,1,no checking,<1,1
48,no credits/all paid,new car,<100,'male mar/wid',guarantor,real estate,stores,'for free',unskilled resident,yes,no,72,1934,4,1,27,3,1,'no checking',<1,1
49,'no credits/all paid',business,>=1000,male mar/wid,'co applicant',no known property,bank,'for free',unskilled resident,none,yes,39,2301,1,1,45,4,2,'0<=X<200',>=7,1
50,existing paid,'domestic appliance',>=1000,'male mar/wid',guarantor,no known property,bank,for free,skilled,yes,yes,11,2924,1,3,25,3,1,<0,1<=X<4,1
51,delayed previously,furniture/equipment,>=1000,male mar/wid,guarantor,'no known property',stores,own,'unskilled resident',none,yes,30,3149,2,3,56,3,1,'no checking','<1',1
52,delayed previously,other,'<100','female div/dep/mar','co applicant',no known property,none,for free,unemp/unskilled non res,yes,no,18,1893,3,1,55,3,1,'0<=X<200',<1,1
53,'no credits/all paid',retraining,'500<=X<1000',male single,none,real estate,stores,'for free','unemp/unskilled non res',none,yes,9,4113,1,4,21,3,2,<0,<1,1
54,critical/other existing credit,retraining,'<100',male mar/wid,none,life insurance,bank,own,unskilled resident,none,no,9,1979,3,3,24,1,2,no checking,unemployed,1
55,delayed previously,business,500<=X<1000,male single,'co applicant','no known property',stores,own,'unemp/unskilled non res',yes,yes,15,4576,2,3,20,2,2,'0<=X<200',1<=X<4,1
56,'no credits/all paid',repairs,500<=X<1000,'female div/dep/mar','co applicant','no known property',none,own,high qualif/self emp/mgmt,none,no,6,11998,4,2,75,1,1,no checking,'>=7',1
57,existing paid,'domestic appliance','>=1000',male single,guarantor,car,bank,rent,'unemp/unskilled non res',none,yes,39,7966,1,2,22,1,2,'no checking',<1,1
58,existing paid,domestic appliance,<100,'male mar/wid',guarantor,no known property,stores,rent,'unemp/unskilled non res',none,yes,33,976,2,1,68,2,1,'<0','1<=X<4',1
59,'all paid',education,>=1000,male single,guarantor,'life insurance',stores,'for free',skilled,yes,yes,22,2249,2,3,50,2,1,'<0','4<=X<7',1
60,'critical/other existing credit',education,'100<=X<500',male single,'co applicant',real estate,bank,'for free',skilled,none,no,42,10974,3,2,30,1,1,no checking,unemployed,1
61,no credits/all paid,'new car','no known savings',male mar/wid,none,'life insurance',none,rent,'high qualif/self emp/mgmt',yes,no,40,1842,1,1,31,1,2,<0,'<1',1
62,'existing paid',furniture/equipment,'100<=X<500',male mar/wid,none,life insurance,none,own,'high qualif/self emp/mgmt',yes,yes,12,776,4,3,44,1,1,>=200,1<=X<4,1
63,'no credits/all paid',repairs,'no known savings',male mar/wid,co applicant,'life insurance',stores,rent,'unemp/unskilled non res',none,no,6,3485,3,2,22,4,2,'no checking',4<=X<7,1
64,'critical/other existing credit',other,'500<=X<1000',female div/dep/mar,'co applicant','no known property',stores,own,'high qualif/self emp/mgmt',yes,no,8,3832,1,2,23,4,2,'no checking','<1',1
65,existing paid,repairs,100<=X<500,male div/sep,none,real estate,bank,'for free',unskilled resident,none,yes,27,783,3,4,46,2,2,'no checking','>=7',1
66,'delayed previously',used car,>=1000,'male single','co applicant','life insurance',none,for free,skilled,none,no,20,5998,4,4,44,1,1,'no checking',1<=X<4,1
67,no credits/all paid,other,no known savings,'male div/sep',none,'no known property',none,rent,unskilled resident,none,yes,16,1595,3,4,66,3,1,<0,'>=7',1
68,'delayed previously',domestic appliance,>=1000,male mar/wid,co applicant,'real estate',bank,for free,high qualif/self emp/mgmt,yes,yes,39,958,1,1,46,2,1,<0,'<1',1
69,'no credits/all paid',radio/tv,<100,'male div/sep',none,life insurance,bank,'for free',high qualif/self emp/mgmt,none,no,72,2613,2,1,35,4,2,'>=200',1<=X<4,1
70,delayed previously,furniture/equipment,'<100',male mar/wid,none,'life insurance',none,rent,high qualif/self emp/mgmt,yes,yes,8,2069,4,1,36,2,2,'no checking','1<=X<4',1
71,critical/other existing credit,'new car','500<=X<1000','male div/sep',guarantor,car,stores,'for free',skilled,yes,yes,72,339,4,4,67,3,2,'<0',unemployed,1
72,'no credits/all paid',retraining,<100,female div/dep/mar,co applicant,real estate,none,'for free',unskilled resident,yes,yes,21,1602,4,2,22,4,2,'<0',1<=X<4,1
73,delayed previously,'new car','>=1000','male mar/wid',guarantor,life insurance,bank,'for free','high qualif/self emp/mgmt',none,no,6,4843,4,3,66,4,1,'no checking',4<=X<7,1
74,'existing paid',domestic appliance,500<=X<1000,female div/dep/mar,guarantor,life insurance,bank,'for free',unskilled resident,yes,yes,33,753,1,2,47,3,1,>=200,'>=7',1
75,'existing paid','domestic appliance','no known savings',male mar/wid,none,car,bank,'for free','unskilled resident',none,yes,8,2728,1,2,41,2,2,'<0',<1,1
76,'all paid',business,'>=1000',female div/dep/mar,'co applicant',car,bank,rent,'unemp/unskilled non res',yes,no,33,909,3,2,52,4,2,'>=200','<1',1
77,critical/other existing credit,furniture/equipment,'100<=X<500',male div/sep,guarantor,car,none,for free,unemp/unskilled non res,none,yes,72,708,1,4,75,1,2,'>=200','<1',0
78,delayed previously,education,'500<=X<1000','male mar/wid',co applicant,'real estate',bank,'for free',unemp/unskilled non res,none,yes,15,6148,1,1,47,2,1,'>=200','>=7',0
79,delayed previously,'domestic appliance',>=1000,male div/sep,co applicant,'no known property',bank,'for free',skilled,yes,no,10,2069,3,2,46,4,2,0<=X<200,'<1',1
80,delayed previously,furniture/equipment,'100<=X<500','female div/dep/mar',co applicant,'real estate',stores,'for free',skilled,none,no,72,1620,3,1,66,4,2,0<=X<200,>=7,1
81,existing paid,business,no known savings,'male div/sep','co applicant','no known property',stores,rent,skilled,yes,yes,22,1778,2,3,55,4,2,<0,>=7,1
82,'no credits/all paid','domestic appliance',500<=X<1000,'male mar/wid','co applicant','real estate',bank,own,'unemp/unskilled non res',none,no,48,1123,2,2,54,1,1,<0,'4<=X<7',1
83,existing paid,'new car',500<=X<1000,male single,none,life insurance,none,for free,unskilled resident,yes,yes,18,1433,4,4,52,2,2,'0<=X<200',unemployed,1
84,'delayed previously',radio/tv,'500<=X<1000',male div/sep,none,no known property,bank,'for free',unemp/unskilled non res,none,no,21,4006,4,2,75,2,1,0<=X<200,'4<=X<7',1
85,critical/other existing credit,'used car',100<=X<500,male div/sep,co applicant,'no known property',bank,for free,unemp/unskilled non res,yes,no,40,3878,3,1,74,2,2,no checking,'>=7',1
86,'all paid',business,<100,'male div/sep',guarantor,'no known property',bank,'for free',unemp/unskilled non res,none,no,36,3939,2,3,55,1,2,'no checking','<1',1
87,delayed previously,education,500<=X<1000,female div/dep/mar,'co applicant',real estate,bank,rent,'unskilled resident',yes,no,33,3573,2,2,66,2,1,'0<=X<200',unemployed,1
88,no credits/all paid,business,'no known savings','male div/sep','co applicant',car,none,own,'high qualif/self emp/mgmt',yes,no,39,3552,1,1,53,4,2,no checking,'>=7',1
89,'no credits/all paid',business,'no known savings',male single,co applicant,'life insurance',bank,own,'high qualif/self emp/mgmt',none,no,72,9283,4,1,55,3,2,'>=200',>=7,1
90,critical/other existing credit,'domestic appliance',<100,'male single',none,'real estate',bank,rent,skilled,none,yes,40,926,1,2,60,1,2,'no checking',>=7,1
91,existing paid,retraining,100<=X<500,'female div/dep/mar','co applicant','no known property',none,for free,'unemp/unskilled non res',yes,no,6,1766,4,2,21,4,1,<0,4<=X<7,1
92,critical/other existing credit,other,'100<=X<500','male div/sep',guarantor,car,bank,own,'unemp/unskilled non res',yes,no,10,1024,2,3,37,3,2,>=200,'>=7',1
93,critical/other existing credit,new car,>=1000,male single,guarantor,car,bank,for free,unemp/unskilled non res,none,no,72,3394,2,1,64,2,1,no checking,'4<=X<7',1
94,existing paid,repairs,<100,male div/sep,'co applicant',life insurance,none,rent,unskilled resident,none,no,26,1980,1,3,61,3,2,'0<=X<200',unemployed,1
95,delayed previously,'domestic appliance',<100,'male div/sep',co applicant,no known property,none,rent,'unskilled resident',yes,no,13,2002,4,4,36,4,2,<0,'>=7',1
96,'existing paid',furniture/equipment,100<=X<500,'male div/sep','co applicant',car,stores,for free,skilled,none,yes,24,2899,1,3,35,3,2,0<=X<200,unemployed,0
97,'existing paid',other,no known savings,'male div/sep',guarantor,'life insurance',bank,'for free','unemp/unskilled non res',yes,yes,5,2671,3,4,42,4,1,'no checking','4<=X<7',1
98,all paid,retraining,'500<=X<1000','male single','co applicant',no known property,bank,for free,high qualif/self emp/mgmt,yes,no,18,6614,4,4,33,2,2,'>=200',unemployed,1
99,delayed previously,domestic appliance,'500<=X<1000','male single',co applicant,real estate,none,for free,unemp/unskilled non res,none,yes,10,4473,1,2,57,2,1,no checking,'4<=X<7',1
100,'existing paid','domestic appliance','100<=X<500','male single',co applicant,'real estate',stores,rent,unskilled resident,none,no,13,1050,4,2,67,3,1,'<0',>=7,1
101,'all paid','used car',100<=X<500,male single,guarantor,'life insurance',stores,'for free','unskilled resident',yes,yes,27,7511,4,4,38,4,1,0<=X<200,'<1',1
102,'critical/other existing credit','used car',500<=X<1000,male mar/wid,guarantor,no known property,none,for free,unskilled resident,none,yes,20,11998,1,2,42,2,2,'0<=X<200','1<=X<4',1
103,all paid,business,no known savings,male single,guarantor,'real estate',bank,for free,'unskilled resident',none,yes,36,937,2,4,61,4,1,>=200,unemployed,1
104,no credits/all paid,'new car',100<=X<500,'male mar/wid','co applicant',life insurance,stores,for free,'high qualif/self emp/mgmt',yes,no,12,3399,2,1,49,3,2,no checking,'<1',1
105,all paid,education,500<=X<1000,female div/dep/mar,none,real estate,none,rent,unemp/unskilled non res,yes,no,11,4594,3,3,56,1,2,'0<=X<200',4<=X<7,1
106,'no credits/all paid',other,'<100',male mar/wid,co applicant,car,none,own,unemp/unskilled non res,none,yes,16,1377,4,3,25,1,2,'no checking','>=7',1
107,all paid,'domestic appliance',<100,'female div/dep/mar',guarantor,'life insurance',none,for free,'high qualif/self emp/mgmt',yes,yes,30,5742,4,3,51,4,2,'0<=X<200',4<=X<7,1
108,'no credits/all paid',new car,<100,female div/dep/mar,guarantor,real estate,stores,'for free',high qualif/self emp/mgmt,none,no,5,2899,3,4,63,3,2,'>=200',>=7,1
109,'delayed previously',other,'>=1000',male single,'co applicant',life insurance,bank,for free,unemp/unskilled non res,yes,yes,24,5965,4,4,44,4,2,no checking,'<1',1
110,'critical/other existing credit','new car',>=1000,'male div/sep',guarantor,real estate,none,for free,unskilled resident,yes,no,24,1459,3,4,45,3,1,'>=200',unemployed,1
111,'no credits/all paid',domestic appliance,<100,'male div/sep',none,'real estate',bank,for free,unskilled resident,none,yes,42,2473,4,4,30,1,1,0<=X<200,unemployed,0
112,'delayed previously',new car,'<100',male single,none,'life insurance',none,rent,unskilled resident,none,no,14,362,4,1,41,2,1,<0,'<1',1
113,all paid,furniture/equipment,<100,male single,'co applicant','no known property',bank,'for free',unemp/unskilled non res,yes,yes,6,1201,1,4,50,2,2,'no checking',<1,1
114,'all paid',furniture/equipment,>=1000,'male mar/wid',none,car,none,for free,'unemp/unskilled non res',none,no,4,3249,1,2,24,3,2,'>=200','1<=X<4',1
115,'no credits/all paid','domestic appliance',<100,female div/dep/mar,co applicant,real estate,bank,for free,high qualif/self emp/mgmt,none,no,9,458,1,4,60,1,2,'0<=X<200',1<=X<4,0
116,'critical/other existing credit','used car','<100',male mar/wid,'co applicant',real estate,stores,rent,high qualif/self emp/mgmt,yes,yes,15,3213,2,2,38,4,1,no checking,>=7,1
117,no credits/all paid,repairs,100<=X<500,female div/dep/mar,'co applicant','life insurance',none,'for free','high qualif/self emp/mgmt',yes,no,33,1928,4,1,30,4,1,>=200,'4<=X<7',1
118,'critical/other existing credit',education,>=1000,'female div/dep/mar',guarantor,'life insurance',bank,'for free',unskilled resident,none,no,54,1264,3,4,26,4,1,'<0',>=7,1
119,critical/other existing credit,radio/tv,'100<=X<500','female div/dep/mar',none,'real estate',none,own,'high qualif/self emp/mgmt',none,yes,36,6361,2,2,66,2,2,no checking,4<=X<7,1
120,existing paid,business,'500<=X<1000',female div/dep/mar,co applicant,life insurance,bank,own,unemp/unskilled non res,none,yes,27,1872,4,3,33,4,2,<0,1<=X<4,0
121,delayed previously,new car,'500<=X<1000','male mar/wid','co applicant',no known property,bank,'for free',unemp/unskilled non res,none,no,54,1544,2,2,62,2,1,0<=X<200,'<1',1
122,existing paid,other,'500<=X<1000',female div/dep/mar,co applicant,life insurance,none,'for free',unskilled resident,none,yes,9,3195,1,2,57,1,1,no checking,'<1',1
123,'existing paid',domestic appliance,>=1000,'female div/dep/mar',none,car,bank,for free,'unemp/unskilled non res',none,yes,14,3398,4,4,68,1,2,'no checking',4<=X<7,1
124,no credits/all paid,'domestic appliance',>=1000,male single,'co applicant',car,bank,'for free','high qualif/self emp/mgmt',yes,yes,9,15653,1,4,25,4,1,<0,'>=7',1
125,critical/other existing credit,'new car',<100,'male single',none,life insurance,stores,rent,skilled,none,yes,36,3599,3,4,40,2,2,>=200,'4<=X<7',1
126,critical/other existing credit,retraining,'>=1000','male div/sep',none,real estate,none,for free,'high qualif/self emp/mgmt',yes,yes,21,1957,4,1,28,4,1,'no checking',unemployed,1
127,delayed previously,education,'100<=X<500','male single',co applicant,no known property,none,rent,unemp/unskilled non res,yes,yes,45,4583,4,1,63,1,2,'>=200',<1,0
128,'existing paid',new car,'no known savings',male mar/wid,none,no known property,bank,own,high qualif/self emp/mgmt,yes,yes,27,4020,4,3,54,2,1,<0,'4<=X<7',1
129,'no credits/all paid','used car',100<=X<500,female div/dep/mar,co applicant,'no known property',bank,for free,'high qualif/self emp/mgmt',none,no,20,1905,3,3,30,1,2,'<0',<1,1
130,'existing paid',repairs,>=1000,'female div/dep/mar',guarantor,'real estate',stores,for free,'high qualif/self emp/mgmt',none,yes,27,1316,3,1,35,1,1,'<0',1<=X<4,1
131,all paid,business,no known savings,'female div/dep/mar',guarantor,'real estate',bank,'for free',high qualif/self emp/mgmt,none,yes,30,2122,3,3,55,1,1,'<0',>=7,1
132,existing paid,domestic appliance,'<100',male single,co applicant,no known property,none,rent,high qualif/self emp/mgmt,none,no,11,3001,3,2,75,1,1,no checking,1<=X<4,1
133,critical/other existing credit,'used car',<100,male div/sep,'co applicant',real estate,bank,'for free','unemp/unskilled non res',yes,no,18,2212,3,1,37,3,2,'no checking',4<=X<7,1
134,critical/other existing credit,used car,>=1000,male mar/wid,co applicant,life insurance,none,'for free','unemp/unskilled non res',yes,yes,39,2445,2,2,20,4,1,no checking,'4<=X<7',1
135,delayed previously,'domestic appliance','100<=X<500',male mar/wid,guarantor,'real estate',bank,own,'unemp/unskilled non res',yes,no,14,2133,1,2,52,3,2,0<=X<200,'1<=X<4',1
136,'delayed previously',retraining,no known savings,male div/sep,guarantor,real estate,none,own,'high qualif/self emp/mgmt',yes,yes,60,1755,4,3,42,4,1,0<=X<200,<1,1
137,'all paid',used car,'100<=X<500','male single',none,real estate,bank,rent,unskilled resident,none,yes,45,1455,1,3,66,4,1,'no checking',<1,1
138,existing paid,'new car',no known savings,female div/dep/mar,'co applicant',life insurance,none,own,'high qualif/self emp/mgmt',yes,yes,11,8229,3,2,25,2,2,<0,'>=7',1
139,existing paid,repairs,'100<=X<500','male single',co applicant,life insurance,none,own,unemp/unskilled non res,none,no,36,2247,1,1,55,4,1,<0,4<=X<7,1
140,delayed previously,business,'500<=X<1000','male div/sep','co applicant',no known property,stores,'for free',skilled,none,yes,72,1163,4,2,47,3,1,<0,1<=X<4,0
141,'critical/other existing credit',repairs,'<100','male mar/wid',none,'no known property',bank,rent,'unemp/unskilled non res',none,yes,27,6148,1,2,66,3,1,>=200,'>=7',1
142,delayed previously,business,'>=1000',male div/sep,'co applicant','no known property',bank,for free,skilled,yes,no,18,2080,2,2,23,1,2,0<=X<200,'>=7',1
143,'no credits/all paid',business,'100<=X<500','male mar/wid',none,'no known property',stores,rent,unemp/unskilled non res,none,yes,39,7418,1,1,58,4,2,>=200,'<1',1
144,existing paid,radio/tv,'<100','male mar/wid',guarantor,'life insurance',bank,rent,'unskilled resident',yes,yes,6,1860,4,3,75,1,2,>=200,4<=X<7,1
145,critical/other existing credit,business,'no known savings',female div/dep/mar,co applicant,life insurance,stores,for free,unskilled resident,none,yes,6,2133,1,4,45,4,1,>=200,>=7,1
146,all paid,furniture/equipment,>=1000,male mar/wid,none,'life insurance',stores,for free,high qualif/self emp/mgmt,yes,yes,14,2375,1,4,31,2,2,0<=X<200,'>=7',1
147,'delayed previously',radio/tv,'500<=X<1000',male single,co applicant,no known property,none,for free,'unskilled resident',yes,yes,9,448,3,1,38,4,2,'0<=X<200','<1',1
148,existing paid,business,'>=1000',male div/sep,none,'life insurance',none,own,'unemp/unskilled non res',none,no,20,4020,4,3,34,4,2,'>=200',unemployed,1
149,'all paid',repairs,'100<=X<500',male div/sep,co applicant,'no known property',stores,own,skilled,none,no,39,1175,2,1,53,1,1,no checking,'1<=X<4',1
150,'all paid',radio/tv,>=1000,'male single',none,'life insurance',bank,rent,'unskilled resident',yes,no,22,3124,1,1,21,4,2,'<0',>=7,1
151,'no credits/all paid',business,100<=X<500,male single,co applicant,car,none,for free,'unemp/unskilled non res',yes,no,24,4151,4,3,39,4,2,<0,'4<=X<7',1
152,'delayed previously','domestic appliance','no known savings',male single,'co applicant',car,bank,for free,unemp/unskilled non res,yes,yes,14,4594,3,4,52,4,2,<0,<1,1
153,existing paid,business,'500<=X<1000','male mar/wid',guarantor,'real estate',none,for free,'unemp/unskilled non res',none,no,16,2223,2,3,56,1,1,'no checking','1<=X<4',1
154,'critical/other existing credit',used car,'500<=X<1000',male single,'co applicant',no known property,none,rent,skilled,none,yes,40,3621,3,2,31,1,2,'<0',4<=X<7,1
155,'existing paid',used car,'<100',male div/sep,none,car,stores,for free,high qualif/self emp/mgmt,yes,no,33,763,1,3,25,2,1,<0,'>=7',1
156,'delayed previously',used car,'100<=X<500','male mar/wid',none,car,stores,own,unskilled resident,none,yes,72,1484,3,4,35,2,2,<0,unemployed,1
157,existing paid,domestic appliance,>=1000,'male div/sep',none,life insurance,bank,'for free',unskilled resident,none,no,7,11590,4,4,24,3,1,'>=200','<1',0
158,'all paid',repairs,'>=1000',male div/sep,none,'real estate',bank,for free,'high qualif/self emp/mgmt',none,no,10,8858,1,4,40,2,1,'>=200',>=7,1
159,all paid,used car,'500<=X<1000',male single,guarantor,no known property,bank,'for free','unskilled resident',none,no,33,1098,3,3,57,2,1,0<=X<200,4<=X<7,1
160,no credits/all paid,radio/tv,>=1000,female div/dep/mar,none,real estate,stores,rent,skilled,yes,yes,18,1957,3,3,22,1,2,'<0',<1,0
161,'all paid',business,no known savings,'male mar/wid',none,life insurance,stores,own,'unskilled resident',yes,yes,27,7393,3,3,57,2,2,0<=X<200,4<=X<7,1
162,'no credits/all paid',business,'<100',female div/dep/mar,'co applicant',car,stores,own,unskilled resident,none,no,47,428,2,3,24,4,1,0<=X<200,'4<=X<7',0
163,'all paid',retraining,<100,'male mar/wid','co applicant',real estate,bank,for free,unemp/unskilled non res,yes,yes,13,1048,4,4,47,1,1,'<0',>=7,1
164,all paid,new car,500<=X<1000,male div/sep,guarantor,'life insurance',none,rent,'unskilled resident',none,yes,47,781,3,1,43,3,1,0<=X<200,'4<=X<7',1
165,'no credits/all paid','used car',>=1000,'female div/dep/mar','co applicant','no known property',bank,'for free','unskilled resident',none,no,4,2788,2,1,38,1,1,'no checking',1<=X<4,1
166,critical/other existing credit,business,100<=X<500,'male single',guarantor,car,none,rent,unskilled resident,none,no,47,1289,2,4,61,2,2,no checking,<1,0
