id,AnnouncementsView,Discussion,Relation,Semester,StageID,StudentAbsenceDays,VisITedResources,gender,raisedhands,class
137,85,46,Mum,S,lowerlevel,Under-7,10,F,39,1
138,29,40,Mum,F,HighSchool,Above-7,8,M,80,0
139,33,89,Father,S,HighSchool,Under-7,58,F,23,1
140,50,83,Mum,F,lowerlevel,Under-7,80,F,57,1
141,87,97,Mum,F,lowerlevel,Under-7,12,M,52,1
142,85,31,Father,S,HighSchool,Above-7,82,M,100,1
143,30,60,Father,S,MiddleSchool,Under-7,41,F,98,1
144,12,80,Father,S,HighSchool,Under-7,55,F,16,1
145,56,63,Mum,F,MiddleSchool,Above-7,38,M,12,1
146,77,63,Father,S,HighSchool,Under-7,85,F,45,1
147,36,28,Mum,F,lowerlevel,Under-7,4,M,42,1
148,23,36,Father,F,MiddleSchool,Above-7,17,F,7,0
149,20,93,Mum,S,HighSchool,Above-7,93,M,78,1
150,24,37,Mum,F,lowerlevel,Under-7,34,F,25,1
151,50,97,Mum,S,HighSchool,Above-7,42,F,41,1
152,33,35,Father,S,HighSchool,Under-7,1,F,27,1
153,66,10,Mum,S,lowerlevel,Above-7,30,M,45,1
154,74,5,Father,F,MiddleSchool,Above-7,7,F,27,0
155,49,51,Mum,F,lowerlevel,Above-7,81,F,77,1
156,6,58,Mum,F,HighSchool,Under-7,78,F,65,1
157,69,68,Mum,S,MiddleSchool,Under-7,17,F,50,1
158,52,9,Father,F,lowerlevel,Under-7,89,F,62,1
159,56,4,Father,F,lowerlevel,Above-7,14,F,24,1
160,0,49,Mum,S,HighSchool,Under-7,87,F,59,1
161,37,37,Father,F,lowerlevel,Above-7,68,M,89,1
162,35,20,Father,F,MiddleSchool,Under-7,12,F,28,1
163,50,23,Mum,S,HighSchool,Under-7,65,M,21,1
164,1,63,Mum,S,HighSchool,Above-7,43,F,33,0
165,40,46,Mum,S,lowerlevel,Under-7,27,F,22,1
166,44,55,Mum,S,lowerlevel,Under-7,35,M,92,1
167,15,58,Father,F,HighSchool,Under-7,55,F,9,1
168,43,49,Father,F,MiddleSchool,Under-7,94,M,57,1
169,67,15,Mum,F,MiddleSchool,Above-7,10,M,40,0
170,56,68,Father,F,MiddleSchool,Under-7,84,F,65,1
171,16,72,Mum,S,MiddleSchool,Under-7,31,F,89,1
172,12,24,Mum,F,HighSchool,Above-7,83,F,39,1
173,65,37,Mum,F,lowerlevel,Under-7,86,M,84,1
174,39,29,Father,F,MiddleSchool,Under-7,85,F,92,1
175,77,24,Father,S,HighSchool,Under-7,65,F,3,1
176,71,24,Father,S,HighSchool,Above-7,81,M,85,1
177,35,24,Father,S,MiddleSchool,Under-7,26,F,22,1
178,76,4,Mum,S,MiddleSchool,Under-7,3,M,72,1
179,35,79,Father,F,MiddleSchool,Above-7,38,F,73,1
180,51,19,Mum,F,MiddleSchool,Under-7,18,M,22,1
181,83,85,Mum,S,MiddleSchool,Under-7,7,M,84,1
182,65,79,Mum,S,lowerlevel,Above-7,71,F,100,1
183,52,66,Father,F,MiddleSchool,Above-7,28,M,53,1
184,59,48,Father,S,MiddleSchool,Above-7,66,F,32,1
185,35,12,Father,F,HighSchool,Under-7,25,M,36,1
186,31,71,Father,F,HighSchool,Under-7,85,F,53,1
187,33,3,Mum,S,lowerlevel,Above-7,78,F,51,1
188,59,8,Father,S,HighSchool,Under-7,25,F,17,1
189,80,94,Father,S,MiddleSchool,Under-7,81,F,10,1
190,41,11,Mum,F,lowerlevel,Above-7,41,F,78,1
191,58,58,Mum,F,MiddleSchool,Under-7,88,M,1,1
192,30,81,Mum,S,HighSchool,Above-7,34,M,85,1
193,20,85,Mum,F,MiddleSchool,Above-7,80,F,74,1
194,45,83,Mum,S,MiddleSchool,Under-7,82,F,79,1
195,9,73,Father,F,MiddleSchool,Above-7,86,M,98,1
196,33,73,Mum,F,MiddleSchool,Under-7,91,F,61,1
197,57,12,Father,S,MiddleSchool,Under-7,2,F,22,1
198,62,34,Mum,S,lowerlevel,Above-7,98,F,65,1
199,73,21,Mum,F,HighSchool,Under-7,29,M,74,1
200,11,39,Mum,F,HighSchool,Under-7,94,M,85,1
201,32,74,Father,S,HighSchool,Above-7,82,M,90,1
202,74,61,Father,S,HighSchool,Under-7,18,M,10,1
203,69,38,Father,S,lowerlevel,Above-7,72,F,6,1
204,53,70,Father,F,HighSchool,Under-7,39,F,65,1
205,31,9,Mum,S,lowerlevel,Above-7,8,F,29,0
206,8,22,Father,F,HighSchool,Under-7,8,M,50,1
207,10,8,Mum,F,HighSchool,Under-7,35,M,84,1
208,69,76,Father,S,lowerlevel,Above-7,87,F,0,1
209,1,68,Father,F,MiddleSchool,Under-7,16,F,81,1
210,2,24,Mum,F,HighSchool,Under-7,36,F,40,1
211,95,79,Mum,S,lowerlevel,Under-7,20,M,85,1
212,0,81,Father,F,lowerlevel,Under-7,3,M,8,0
213,25,94,Father,F,MiddleSchool,Above-7,16,M,57,1
214,51,37,Father,S,MiddleSchool,Above-7,14,F,95,1
215,41,64,Mum,F,HighSchool,Under-7,17,F,9,1
216,16,60,Mum,F,MiddleSchool,Under-7,35,F,6,1
217,59,61,Father,S,lowerlevel,Above-7,28,M,53,1
218,54,75,Father,S,lowerlevel,Under-7,51,M,13,1
219,9,75,Mum,S,MiddleSchool,Under-7,96,M,53,1
220,31,50,Father,S,lowerlevel,Above-7,74,F,11,1
221,9,74,Father,S,MiddleSchool,Above-7,6,F,42,0
222,6,40,Mum,F,MiddleSchool,Under-7,15,M,21,1
223,32,25,Father,S,MiddleSchool,Above-7,20,F,15,0
224,18,85,Mum,S,lowerlevel,Under-7,9,F,79,1
225,1,88,Father,S,HighSchool,Under-7,77,F,11,1
226,78,55,Mum,F,lowerlevel,Under-7,18,M,0,1
227,53,99,Father,F,MiddleSchool,Above-7,44,M,45,1
228,49,51,Father,F,lowerlevel,Above-7,96,F,4,1
229,7,71,Father,F,MiddleSchool,Above-7,99,M,49,1
230,9,34,Mum,F,HighSchool,Under-7,28,F,52,1
231,83,74,Father,F,lowerlevel,Above-7,35,F,88,1
232,37,99,Father,F,HighSchool,Under-7,91,F,3,1
233,54,86,Mum,S,HighSchool,Under-7,78,F,36,1
234,62,72,Father,S,lowerlevel,Above-7,96,M,13,1
235,40,63,Father,F,MiddleSchool,Above-7,9,M,13,0
236,85,82,Mum,S,lowerlevel,Under-7,72,F,20,1
237,73,73,Father,S,lowerlevel,Above-7,85,F,29,1
238,91,14,Mum,F,MiddleSchool,Above-7,3,F,36,0
239,32,49,Mum,S,HighSchool,Under-7,2,F,73,1
240,46,93,Father,S,MiddleSchool,Under-7,44,F,9,1
241,53,39,Mum,S,lowerlevel,Under-7,76,M,83,1
242,79,76,Father,F,MiddleSchool,Under-7,91,M,19,1
243,33,34,Mum,F,HighSchool,Above-7,13,F,11,0
244,18,37,Father,S,lowerlevel,Above-7,60,M,25,1
245,23,20,Father,S,HighSchool,Above-7,59,M,6,1
246,88,33,Mum,S,MiddleSchool,Under-7,72,M,45,1
247,73,60,Mum,S,lowerlevel,Under-7,79,F,83,1
248,39,36,Father,F,lowerlevel,Under-7,55,F,96,1
249,20,34,Father,S,HighSchool,Under-7,81,M,85,1
250,1,65,Father,S,lowerlevel,Above-7,48,F,9,0
251,45,57,Mum,S,MiddleSchool,Above-7,61,F,28,1
252,0,50,Mum,F,HighSchool,Above-7,69,F,19,0
253,48,68,Mum,S,HighSchool,Above-7,72,M,6,1
254,63,44,Mum,F,MiddleSchool,Under-7,98,F,40,1
255,2,71,Father,S,MiddleSchool,Under-7,39,F,8,0
256,40,79,Mum,F,MiddleSchool,Under-7,20,F,82,1
257,19,82,Father,F,lowerlevel,Above-7,40,F,74,1
258,22,91,Mum,F,HighSchool,Under-7,87,M,82,1
259,70,2,Mum,S,HighSchool,Under-7,99,F,22,1
260,14,76,Father,F,lowerlevel,Above-7,91,M,78,1
261,53,24,Mum,F,MiddleSchool,Under-7,38,M,24,1
262,63,74,Mum,S,HighSchool,Above-7,88,F,11,1
263,50,34,Mum,F,MiddleSchool,Above-7,44,M,18,1
264,8,23,Mum,S,lowerlevel,Above-7,14,F,32,0
265,80,23,Father,S,HighSchool,Under-7,96,F,83,1
266,20,15,Father,F,HighSchool,Under-7,36,M,49,1
267,55,41,Mum,S,MiddleSchool,Under-7,96,M,88,1
268,24,95,Mum,F,lowerlevel,Above-7,3,F,99,0
269,73,45,Mum,F,lowerlevel,Under-7,68,M,99,1
270,19,53,Mum,F,lowerlevel,Under-7,51,F,53,1
271,72,46,Mum,F,MiddleSchool,Above-7,66,M,81,1
272,69,31,Father,S,lowerlevel,Above-7,85,F,2,1
273,39,94,Mum,S,HighSchool,Under-7,84,F,5,1
274,69,60,Mum,F,MiddleSchool,Under-7,81,F,11,1
275,72,27,Father,F,HighSchool,Under-7,41,M,89,1
276,43,57,Mum,S,HighSchool,Above-7,29,F,28,1
277,20,69,Mum,S,HighSchool,Under-7,93,F,79,1
278,21,21,Father,F,MiddleSchool,Under-7,36,F,70,1
279,3,89,Father,F,HighSchool,Above-7,89,F,66,1
280,41,98,Father,F,lowerlevel,Above-7,13,M,13,0
281,95,12,Mum,F,HighSchool,Above-7,40,M,99,1
282,52,93,Mum,S,HighSchool,Under-7,39,M,22,1
283,74,69,Father,S,HighSchool,Above-7,57,M,77,1
284,21,70,Father,F,HighSchool,Above-7,12,F,41,0
285,69,53,Mum,F,HighSchool,Under-7,69,F,57,1
286,53,7,Father,F,HighSchool,Above-7,75,F,92,1
287,78,85,Mum,F,lowerlevel,Under-7,99,F,89,1
288,48,48,Father,S,lowerlevel,Under-7,65,M,83,1
289,15,20,Mum,F,MiddleSchool,Above-7,25,M,11,0
290,2,33,Father,F,HighSchool,Under-7,41,M,72,1
291,5,30,Mum,S,lowerlevel,Above-7,78,F,1,1
292,86,29,Mum,S,HighSchool,Under-7,61,F,65,1
293,1,96,Mum,F,lowerlevel,Above-7,68,F,53,0
294,79,74,Father,F,lowerlevel,Above-7,72,M,69,1
295,53,50,Mum,F,HighSchool,Under-7,27,F,16,1
296,24,23,Father,S,MiddleSchool,Above-7,87,F,13,1
297,88,63,Father,S,lowerlevel,Under-7,88,F,52,1
298,70,71,Mum,S,lowerlevel,Above-7,36,M,83,1
299,86,72,Mum,S,MiddleSchool,Above-7,82,M,27,1
300,1,58,Father,S,HighSchool,Above-7,1,M,41,0
301,75,90,Father,S,lowerlevel,Above-7,8,M,4,0
302,70,81,Mum,S,lowerlevel,Above-7,77,F,3,1
303,41,25,Father,F,HighSchool,Under-7,64,F,83,1
304,8,94,Mum,S,MiddleSchool,Above-7,41,M,83,0
305,59,13,Mum,F,HighSchool,Above-7,78,F,65,1
306,93,33,Father,S,MiddleSchool,Under-7,94,M,0,1
307,0,58,Father,F,lowerlevel,Under-7,5,F,60,1
308,83,25,Father,F,lowerlevel,Above-7,63,M,14,1
309,15,74,Mum,S,HighSchool,Under-7,96,F,41,1
310,35,4,Mum,S,HighSchool,Above-7,94,M,90,1
311,95,89,Mum,S,lowerlevel,Above-7,55,M,6,1
312,38,81,Mum,S,MiddleSchool,Under-7,36,M,10,1
313,36,29,Father,F,HighSchool,Above-7,4,M,84,0
314,87,33,Mum,F,MiddleSchool,Under-7,14,F,75,1
315,93,40,Mum,S,lowerlevel,Above-7,78,M,59,1
316,86,81,Father,F,HighSchool,Under-7,69,F,20,1
317,93,55,Father,F,MiddleSchool,Under-7,2,F,8,1
318,60,3,Father,F,HighSchool,Above-7,41,F,74,1
319,23,95,Mum,S,lowerlevel,Above-7,94,F,51,1
320,62,75,Father,S,HighSchool,Above-7,89,M,24,1
321,5,86,Father,S,lowerlevel,Above-7,88,F,33,1
322,41,57,Father,S,HighSchool,Under-7,3,M,41,1
323,72,22,Father,S,lowerlevel,Above-7,0,M,41,0
324,86,4,Mum,S,lowerlevel,Under-7,21,F,88,1
325,56,45,Mum,S,lowerlevel,Above-7,5,M,92,0
326,35,63,Mum,F,MiddleSchool,Above-7,59,F,99,1
327,69,61,Father,S,lowerlevel,Above-7,14,M,50,1
328,36,86,Father,S,lowerlevel,Above-7,28,M,74,1
329,1,98,Father,S,lowerlevel,Above-7,18,M,22,0
330,95,68,Father,F,lowerlevel,Under-7,16,F,5,1
331,23,12,Father,S,MiddleSchool,Under-7,65,M,86,1
332,42,22,Mum,S,HighSchool,Under-7,52,M,45,1
333,16,99,Father,S,MiddleSchool,Above-7,55,F,21,0
334,11,49,Mum,S,HighSchool,Above-7,8,F,96,0
335,30,72,Father,S,HighSchool,Under-7,6,M,55,1
336,37,6,Mum,S,HighSchool,Under-7,85,M,11,1
337,70,35,Mum,S,MiddleSchool,Above-7,12,F,92,0
338,49,33,Father,F,lowerlevel,Above-7,8,F,97,0
339,34,41,Father,F,HighSchool,Under-7,35,F,42,1
340,85,39,Mum,F,MiddleSchool,Under-7,70,M,29,1
341,72,95,Mum,F,HighSchool,Under-7,36,F,60,1
342,30,85,Father,S,HighSchool,Above-7,10,M,45,0
343,20,49,Mum,F,lowerlevel,Under-7,92,F,13,1
344,6,73,Mum,S,lowerlevel,Above-7,34,F,36,0
345,31,76,Father,F,lowerlevel,Under-7,57,M,18,1
346,19,36,Mum,S,MiddleSchool,Above-7,33,F,59,0
347,37,74,Mum,F,HighSchool,Above-7,69,F,9,1
348,1,13,Father,F,HighSchool,Above-7,21,M,71,0
349,54,40,Father,F,MiddleSchool,Under-7,76,F,85,1
350,43,40,Mum,S,lowerlevel,Above-7,66,F,99,1
351,69,37,Father,F,HighSchool,Under-7,8,F,92,1
352,95,3,Father,F,lowerlevel,Above-7,3,M,23,0
353,89,53,Mum,F,lowerlevel,Under-7,26,F,49,1
354,3,33,Mum,F,lowerlevel,Above-7,80,M,4,1
355,71,96,Mum,S,MiddleSchool,Above-7,74,M,17,1
356,42,63,Father,S,lowerlevel,Above-7,39,M,39,1
357,50,59,Father,S,lowerlevel,Above-7,22,M,2,0
358,2,8,Mum,S,HighSchool,Under-7,84,F,40,1
359,64,63,Mum,S,MiddleSchool,Under-7,11,F,49,1
360,17,58,Mum,S,MiddleSchool,Above-7,38,F,53,1
361,26,86,Father,S,MiddleSchool,Under-7,34,M,7,1
362,10,81,Father,F,lowerlevel,Under-7,55,F,65,1
363,15,33,Father,S,HighSchool,Under-7,21,M,3,1
364,91,57,Father,S,HighSchool,Under-7,54,M,51,1
365,41,77,Mum,F,HighSchool,Above-7,28,M,2,0
366,78,21,Father,F,MiddleSchool,Under-7,88,F,50,1
367,22,97,Father,S,lowerlevel,Under-7,2,F,35,1
368,37,9,Father,S,MiddleSchool,Under-7,48,F,50,1
369,51,27,Father,S,MiddleSchool,Under-7,91,F,28,1
370,56,10,Father,S,lowerlevel,Under-7,34,F,42,1
371,57,6,Father,F,lowerlevel,Above-7,9,F,11,0
372,6,6,Mum,S,HighSchool,Above-7,31,M,77,0
373,30,24,Father,F,HighSchool,Above-7,64,F,17,1
374,88,60,Father,S,MiddleSchool,Under-7,48,F,40,1
375,23,7,Mum,F,HighSchool,Above-7,69,M,7,1
376,23,86,Father,F,MiddleSchool,Under-7,39,M,21,1
377,54,49,Father,F,HighSchool,Under-7,80,F,80,1
378,89,95,Father,F,MiddleSchool,Above-7,5,F,98,0
379,75,90,Mum,S,HighSchool,Above-7,38,F,10,1
380,53,84,Father,F,lowerlevel,Above-7,89,M,81,1
381,69,1,Father,S,HighSchool,Under-7,1,M,30,1
382,82,69,Mum,S,lowerlevel,Under-7,80,M,97,1
383,6,22,Father,S,HighSchool,Above-7,30,F,33,0
384,72,62,Mum,F,MiddleSchool,Under-7,77,F,11,1
385,75,30,Mum,F,MiddleSchool,Under-7,38,F,90,1
386,44,98,Father,S,lowerlevel,Above-7,57,F,22,1
387,13,28,Father,F,MiddleSchool,Above-7,10,F,7,0
388,28,27,Mum,S,lowerlevel,Above-7,10,M,20,0
389,17,28,Father,F,MiddleSchool,Under-7,59,F,3,1
390,67,6,Mum,S,lowerlevel,Above-7,70,M,4,1
391,3,62,Father,F,lowerlevel,Above-7,63,M,79,0
392,51,5,Mum,F,HighSchool,Under-7,54,F,41,1
393,12,32,Father,F,MiddleSchool,Above-7,84,F,14,1
394,80,8,Mum,F,lowerlevel,Above-7,98,M,28,1
395,63,69,Father,S,lowerlevel,Above-7,22,M,15,0
396,14,39,Father,F,lowerlevel,Above-7,41,M,22,0
397,77,63,Father,F,MiddleSchool,Under-7,44,M,3,1
398,0,9,Mum,F,lowerlevel,Under-7,35,F,6,0
399,38,1,Mum,F,lowerlevel,Under-7,14,F,35,1
400,58,64,Father,S,HighSchool,Above-7,30,F,83,1
401,69,17,Mum,S,HighSchool,Above-7,55,M,25,1
402,32,23,Father,F,HighSchool,Above-7,48,F,92,1
403,80,40,Mum,F,HighSchool,Above-7,10,F,65,0
404,39,79,Mum,F,MiddleSchool,Under-7,15,F,78,1
405,87,9,Mum,F,MiddleSchool,Above-7,41,M,90,1
406,42,98,Father,S,lowerlevel,Above-7,85,M,80,1
407,25,82,Father,S,MiddleSchool,Under-7,41,M,23,1
408,88,16,Mum,F,MiddleSchool,Under-7,18,F,83,1
409,29,3,Mum,S,lowerlevel,Under-7,34,M,22,1
410,33,34,Father,F,lowerlevel,Above-7,40,M,51,1
411,62,16,Father,F,HighSchool,Above-7,66,M,88,1
412,95,63,Father,S,lowerlevel,Under-7,33,F,62,1
413,48,1,Mum,S,HighSchool,Under-7,50,F,73,1
414,82,29,Father,S,MiddleSchool,Above-7,15,F,33,1
415,24,79,Mum,S,lowerlevel,Above-7,86,M,81,1
416,33,16,Father,F,lowerlevel,Above-7,66,M,83,1
417,15,92,Father,F,MiddleSchool,Under-7,24,F,97,1
418,80,90,Father,S,MiddleSchool,Above-7,77,M,71,1
419,89,40,Father,S,HighSchool,Under-7,98,F,24,1
420,77,73,Father,F,lowerlevel,Above-7,20,M,33,1
421,70,61,Mum,S,HighSchool,Above-7,95,M,19,1
422,70,50,Mum,F,HighSchool,Under-7,91,M,99,1
423,40,33,Father,S,lowerlevel,Under-7,43,F,74,1
424,1,81,Father,F,MiddleSchool,Under-7,87,F,35,1
425,63,10,Mum,S,lowerlevel,Under-7,97,M,87,1
426,20,14,Mum,S,MiddleSchool,Above-7,34,F,18,0
427,12,46,Mum,F,lowerlevel,Above-7,14,F,33,0
428,1,4,Father,F,MiddleSchool,Under-7,0,F,20,1
429,44,28,Father,F,HighSchool,Under-7,30,M,1,1
430,64,57,Mum,S,lowerlevel,Above-7,87,F,13,1
431,0,37,Mum,S,HighSchool,Above-7,42,M,79,0
432,48,79,Father,S,HighSchool,Under-7,77,F,10,1
433,26,46,Mum,F,lowerlevel,Under-7,68,M,6,1
434,93,75,Father,F,MiddleSchool,Above-7,29,M,17,0
435,60,17,Father,S,lowerlevel,Above-7,10,F,19,0
436,79,30,Mum,S,HighSchool,Under-7,35,F,86,1
437,2,1,Father,S,lowerlevel,Under-7,93,F,29,1
438,65,99,Father,S,lowerlevel,Above-7,55,M,57,1
439,48,15,Father,F,lowerlevel,Above-7,34,F,32,1
