id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
42,'no credits/all paid','used car','<100',guarantor,car,bank,own,unemp/unskilled non res,none,yes,female,div/sep',38<x<55,276<x<4813,1<x<2,1<x<2,47<x<61,x>3,x>1,'>=200',4<=X<7,0
43,critical/other existing credit,repairs,no known savings,none,real estate,bank,rent,'unemp/unskilled non res',yes,no,'male,mar/wid',21<x<38,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,0<=X<200,'4<=X<7',1
44,'critical/other existing credit',other,'no known savings',co applicant,real estate,stores,for free,unemp/unskilled non res,none,no,male,mar/wid,4<x<21,4813<x<9350,1<x<2,2<x<3,33<x<47,2<x<3,x<1,'>=200',4<=X<7,1
45,no credits/all paid,other,'500<=X<1000',guarantor,life insurance,stores,'for free',skilled,none,no,'female,single',21<x<38,276<x<4813,1<x<2,2<x<3,19<x<33,x>3,x<1,'no checking',unemployed,1
46,'all paid','new car','<100',none,life insurance,stores,own,unskilled resident,yes,yes,female,single',21<x<38,4813<x<9350,1<x<2,1<x<2,33<x<47,1<x<2,x>1,<0,4<=X<7,1
47,'all paid',new car,'500<=X<1000','co applicant','no known property',stores,own,unskilled resident,none,no,'female,single',38<x<55,276<x<4813,x>3,x<1,x>61,2<x<3,x>1,>=200,'<1',1
48,all paid,'used car',100<=X<500,'co applicant',real estate,stores,own,skilled,none,yes,'female,single,x>55,276<x<4813,1<x<2,x<1,33<x<47,x<1,x>1,'0<=X<200',>=7,1
49,'existing paid','new car','500<=X<1000','co applicant',life insurance,stores,rent,'unemp/unskilled non res',none,no,female,mar/wid,21<x<38,276<x<4813,1<x<2,1<x<2,x>61,2<x<3,x>1,'0<=X<200','1<=X<4',0
50,'critical/other existing credit',other,no known savings,'co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,none,no,male,div/sep',21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,x>3,x<1,no checking,unemployed,1
51,'critical/other existing credit',other,'no known savings',guarantor,'life insurance',bank,'for free',unskilled resident,yes,no,male,div/dep/mar,4<x<21,276<x<4813,x>3,x<1,47<x<61,1<x<2,x<1,'0<=X<200',1<=X<4,1
52,'no credits/all paid',domestic appliance,500<=X<1000,guarantor,no known property,stores,'for free','unskilled resident',none,yes,'male,div/sep',38<x<55,276<x<4813,1<x<2,x<1,33<x<47,2<x<3,x>1,'0<=X<200','>=7',1
53,'existing paid',education,<100,'co applicant',real estate,none,for free,'unemp/unskilled non res',none,no,female,div/dep/mar,21<x<38,9350<x<13887,2<x<3,x<1,19<x<33,2<x<3,x>1,'>=200','1<=X<4',0
54,'existing paid',used car,'>=1000','co applicant',no known property,stores,own,unskilled resident,none,yes,female,single',4<x<21,276<x<4813,x>3,1<x<2,33<x<47,1<x<2,x>1,'0<=X<200',1<=X<4,1
55,critical/other existing credit,'domestic appliance','>=1000',co applicant,car,stores,'for free',skilled,none,yes,'male,single',21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,1<x<2,x>1,<0,'>=7',1
56,'existing paid','new car',500<=X<1000,'co applicant',real estate,bank,own,'high qualif/self emp/mgmt',none,yes,'female,div/dep/mar,38<x<55,276<x<4813,1<x<2,x<1,33<x<47,1<x<2,x<1,0<=X<200,4<=X<7,0
57,no credits/all paid,'used car','>=1000',guarantor,no known property,stores,rent,unskilled resident,none,no,male,div/dep/mar,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,x>3,x<1,'>=200','>=7',0
58,existing paid,retraining,'>=1000',none,life insurance,stores,own,'unemp/unskilled non res',none,no,'female,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,33<x<47,x<1,x<1,0<=X<200,>=7,1
59,critical/other existing credit,retraining,no known savings,guarantor,no known property,none,for free,'unemp/unskilled non res',yes,no,'female,div/dep/mar',x>55,4813<x<9350,1<x<2,x>3,47<x<61,1<x<2,x<1,'<0',unemployed,1
60,'critical/other existing credit','domestic appliance','no known savings',co applicant,no known property,stores,own,'unemp/unskilled non res',none,yes,male,single',x>55,276<x<4813,x>3,2<x<3,47<x<61,x>3,x>1,'0<=X<200',>=7,0
61,'delayed previously',repairs,>=1000,none,life insurance,bank,own,unskilled resident,none,no,male,mar/wid',21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,1<x<2,x>1,<0,'4<=X<7',1
62,'delayed previously','new car','<100',guarantor,'no known property',stores,for free,'unskilled resident',yes,no,female,single',4<x<21,276<x<4813,x<1,1<x<2,33<x<47,x>3,x>1,'0<=X<200',>=7,1
63,'no credits/all paid',furniture/equipment,'100<=X<500',none,car,none,rent,skilled,yes,no,male,single',4<x<21,4813<x<9350,2<x<3,x>3,33<x<47,x>3,x>1,>=200,<1,0
64,'all paid',education,100<=X<500,none,'no known property',none,rent,high qualif/self emp/mgmt,none,no,male,mar/wid',4<x<21,276<x<4813,2<x<3,x<1,x>61,2<x<3,x>1,<0,1<=X<4,1
65,critical/other existing credit,repairs,'500<=X<1000',none,'life insurance',none,'for free',unemp/unskilled non res,none,no,male,single,4<x<21,4813<x<9350,x<1,1<x<2,x>61,x>3,x<1,'no checking','<1',1
66,'critical/other existing credit',education,'<100',co applicant,life insurance,bank,for free,skilled,yes,no,'male,single',38<x<55,276<x<4813,1<x<2,1<x<2,x>61,x<1,x>1,<0,'<1',1
67,existing paid,other,no known savings,'co applicant','real estate',stores,rent,unskilled resident,yes,yes,'male,div/dep/mar',4<x<21,276<x<4813,x<1,2<x<3,19<x<33,1<x<2,x<1,<0,<1,1
68,'critical/other existing credit',repairs,500<=X<1000,guarantor,life insurance,none,for free,skilled,none,yes,'male,div/dep/mar,4<x<21,4813<x<9350,x>3,1<x<2,19<x<33,1<x<2,x<1,'0<=X<200','1<=X<4',1
69,all paid,education,'>=1000',guarantor,life insurance,bank,rent,'high qualif/self emp/mgmt',yes,no,male,div/dep/mar,4<x<21,x>13887,x>3,2<x<3,47<x<61,1<x<2,x<1,no checking,'4<=X<7',0
70,no credits/all paid,used car,'500<=X<1000','co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',4<x<21,276<x<4813,x<1,x<1,x>61,1<x<2,x>1,no checking,'>=7',1
71,existing paid,education,'500<=X<1000',none,'no known property',bank,own,'unemp/unskilled non res',yes,yes,female,mar/wid',21<x<38,276<x<4813,x<1,x>3,33<x<47,x>3,x>1,>=200,4<=X<7,0
72,'delayed previously',education,'no known savings',guarantor,car,none,for free,'unskilled resident',yes,yes,'male,div/sep,4<x<21,276<x<4813,x>3,x>3,47<x<61,2<x<3,x>1,'>=200',>=7,1
73,critical/other existing credit,'domestic appliance','>=1000',none,'no known property',stores,for free,'unemp/unskilled non res',yes,yes,male,single',38<x<55,276<x<4813,x<1,x<1,33<x<47,2<x<3,x>1,<0,<1,0
74,existing paid,education,'<100',none,life insurance,none,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',38<x<55,4813<x<9350,x<1,x>3,19<x<33,x>3,x>1,'no checking','>=7',1
75,delayed previously,'domestic appliance','100<=X<500','co applicant',car,bank,rent,unskilled resident,none,no,'female,div/dep/mar,21<x<38,276<x<4813,x>3,1<x<2,x>61,2<x<3,x<1,>=200,'4<=X<7',0
76,'delayed previously',domestic appliance,<100,co applicant,car,stores,rent,'high qualif/self emp/mgmt',none,yes,'female,mar/wid,21<x<38,276<x<4813,x>3,x>3,33<x<47,x>3,x>1,'>=200',unemployed,1
77,'existing paid',repairs,no known savings,guarantor,life insurance,bank,for free,'high qualif/self emp/mgmt',none,yes,'male,div/dep/mar',4<x<21,276<x<4813,2<x<3,x<1,19<x<33,2<x<3,x<1,'<0',4<=X<7,1
78,'no credits/all paid',domestic appliance,>=1000,guarantor,no known property,bank,rent,'unskilled resident',yes,no,'male,div/dep/mar',4<x<21,9350<x<13887,x<1,1<x<2,47<x<61,x>3,x>1,'>=200',<1,1
79,'all paid',other,'100<=X<500',co applicant,'real estate',bank,for free,skilled,none,no,'male,div/dep/mar',4<x<21,4813<x<9350,2<x<3,x>3,19<x<33,x<1,x>1,'no checking','>=7',1
80,existing paid,used car,'<100',guarantor,car,none,'for free',unemp/unskilled non res,yes,no,'female,mar/wid',21<x<38,276<x<4813,x>3,1<x<2,19<x<33,x<1,x>1,no checking,'<1',1
81,no credits/all paid,'new car','500<=X<1000',co applicant,'no known property',none,rent,unskilled resident,yes,no,female,mar/wid,4<x<21,276<x<4813,x>3,x>3,19<x<33,1<x<2,x>1,0<=X<200,'<1',0
82,'delayed previously',radio/tv,'<100',guarantor,'real estate',stores,own,skilled,yes,yes,'female,single,4<x<21,276<x<4813,1<x<2,2<x<3,19<x<33,x>3,x<1,'0<=X<200','<1',1
83,no credits/all paid,new car,<100,none,real estate,stores,'for free','high qualif/self emp/mgmt',none,yes,female,div/dep/mar,21<x<38,276<x<4813,2<x<3,x<1,x>61,x>3,x>1,>=200,<1,1
84,'delayed previously',retraining,<100,'co applicant',car,bank,rent,'unemp/unskilled non res',none,no,'male,div/dep/mar,4<x<21,276<x<4813,x<1,2<x<3,47<x<61,1<x<2,x>1,>=200,unemployed,1
85,all paid,radio/tv,500<=X<1000,none,'life insurance',stores,own,unskilled resident,yes,yes,'male,div/dep/mar',x>55,276<x<4813,x<1,1<x<2,33<x<47,x<1,x<1,'no checking',>=7,1
86,'existing paid',business,'<100','co applicant',car,none,rent,'unskilled resident',none,no,female,div/dep/mar,4<x<21,276<x<4813,2<x<3,x>3,19<x<33,1<x<2,x>1,'0<=X<200',1<=X<4,0
87,existing paid,domestic appliance,no known savings,guarantor,'no known property',stores,rent,unskilled resident,none,no,female,div/dep/mar',21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,1<x<2,x<1,no checking,<1,1
88,'no credits/all paid',education,'<100','co applicant','no known property',stores,for free,'unskilled resident',yes,no,female,div/dep/mar',38<x<55,4813<x<9350,x>3,x>3,x<19,1<x<2,x<1,'no checking',>=7,0
89,'all paid',retraining,>=1000,none,real estate,stores,rent,'high qualif/self emp/mgmt',yes,yes,female,single',4<x<21,276<x<4813,1<x<2,x>3,19<x<33,1<x<2,x<1,'>=200',<1,1
90,'delayed previously',domestic appliance,>=1000,'co applicant','life insurance',none,for free,skilled,none,yes,male,div/dep/mar,21<x<38,276<x<4813,x<1,1<x<2,33<x<47,x<1,x<1,'0<=X<200','>=7',0
91,'no credits/all paid',other,'>=1000',co applicant,car,none,for free,'unemp/unskilled non res',none,no,'female,div/sep,4<x<21,276<x<4813,1<x<2,x<1,47<x<61,x<1,x<1,'0<=X<200','>=7',1
92,critical/other existing credit,other,no known savings,none,no known property,bank,for free,'unskilled resident',yes,no,'male,div/dep/mar',21<x<38,276<x<4813,x<1,x<1,19<x<33,x>3,x<1,>=200,4<=X<7,1
93,'delayed previously','new car','>=1000',none,'life insurance',stores,rent,unskilled resident,none,yes,female,mar/wid,21<x<38,276<x<4813,1<x<2,1<x<2,33<x<47,x>3,x>1,>=200,1<=X<4,0
94,delayed previously,new car,no known savings,co applicant,no known property,stores,rent,'unemp/unskilled non res',none,yes,'male,mar/wid',38<x<55,4813<x<9350,2<x<3,x>3,19<x<33,x<1,x>1,'<0',1<=X<4,1
95,existing paid,repairs,'<100',none,real estate,bank,for free,skilled,yes,no,female,div/dep/mar,4<x<21,276<x<4813,2<x<3,2<x<3,33<x<47,2<x<3,x<1,>=200,'1<=X<4',0
96,critical/other existing credit,'domestic appliance',100<=X<500,none,no known property,stores,rent,'unemp/unskilled non res',yes,no,female,single',4<x<21,4813<x<9350,2<x<3,x>3,33<x<47,2<x<3,x<1,'no checking',<1,1
97,critical/other existing credit,radio/tv,100<=X<500,'co applicant','no known property',stores,for free,unskilled resident,none,no,male,single,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,1<x<2,x<1,'<0',1<=X<4,1
98,existing paid,radio/tv,'>=1000',guarantor,no known property,bank,for free,skilled,yes,no,'male,div/sep',21<x<38,276<x<4813,x<1,x>3,19<x<33,2<x<3,x<1,'0<=X<200','4<=X<7',1
99,'delayed previously',domestic appliance,'500<=X<1000',co applicant,life insurance,bank,own,'unemp/unskilled non res',none,no,female,div/sep',38<x<55,276<x<4813,2<x<3,2<x<3,19<x<33,1<x<2,x<1,'0<=X<200','4<=X<7',0
100,all paid,repairs,'100<=X<500',co applicant,car,stores,rent,'unskilled resident',none,no,'female,mar/wid,4<x<21,276<x<4813,x>3,1<x<2,x>61,1<x<2,x>1,>=200,<1,1
101,'critical/other existing credit',other,'>=1000',co applicant,real estate,stores,rent,unskilled resident,yes,no,female,div/sep,21<x<38,276<x<4813,x<1,2<x<3,19<x<33,1<x<2,x<1,'0<=X<200',4<=X<7,1
102,'critical/other existing credit','new car','<100',guarantor,'no known property',none,'for free','unskilled resident',yes,yes,'female,div/dep/mar,21<x<38,4813<x<9350,x>3,x<1,x>61,x>3,x>1,'<0',1<=X<4,0
103,'critical/other existing credit',domestic appliance,100<=X<500,none,real estate,stores,rent,unemp/unskilled non res,none,no,'female,div/dep/mar',4<x<21,4813<x<9350,x<1,2<x<3,47<x<61,x<1,x<1,>=200,'1<=X<4',1
104,'all paid',retraining,'>=1000','co applicant',car,stores,'for free','unskilled resident',none,yes,male,mar/wid',4<x<21,276<x<4813,2<x<3,1<x<2,19<x<33,1<x<2,x<1,>=200,<1,0
105,delayed previously,new car,500<=X<1000,guarantor,real estate,none,rent,skilled,yes,yes,'male,mar/wid,21<x<38,276<x<4813,x>3,x>3,x>61,x<1,x>1,no checking,>=7,1
106,'all paid',education,no known savings,co applicant,life insurance,stores,for free,skilled,yes,no,'female,single,4<x<21,276<x<4813,x>3,2<x<3,33<x<47,2<x<3,x<1,0<=X<200,'>=7',1
107,delayed previously,other,'500<=X<1000','co applicant','no known property',bank,'for free',unskilled resident,yes,yes,male,mar/wid,4<x<21,276<x<4813,x<1,2<x<3,47<x<61,x>3,x<1,'<0',>=7,1
108,existing paid,used car,'no known savings','co applicant',life insurance,stores,for free,unskilled resident,yes,yes,'male,div/dep/mar',21<x<38,4813<x<9350,x<1,x>3,x<19,1<x<2,x>1,<0,'4<=X<7',1
109,delayed previously,domestic appliance,'<100',co applicant,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,'male,single,38<x<55,276<x<4813,2<x<3,x>3,19<x<33,x<1,x<1,'>=200',>=7,0
110,'delayed previously',other,'500<=X<1000',none,no known property,stores,rent,unemp/unskilled non res,yes,no,female,single',4<x<21,276<x<4813,2<x<3,x<1,19<x<33,x<1,x<1,0<=X<200,>=7,1
111,no credits/all paid,new car,>=1000,none,life insurance,bank,for free,unemp/unskilled non res,none,no,'female,div/sep,4<x<21,4813<x<9350,1<x<2,x>3,33<x<47,x>3,x<1,'no checking',<1,1
112,'all paid',new car,no known savings,none,'real estate',stores,own,unskilled resident,none,yes,'female,mar/wid,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,x<1,x<1,'0<=X<200','>=7',1
113,'all paid','used car',100<=X<500,co applicant,car,none,for free,unemp/unskilled non res,none,yes,'female,single',38<x<55,276<x<4813,1<x<2,1<x<2,19<x<33,2<x<3,x<1,'<0','4<=X<7',1
114,critical/other existing credit,retraining,'100<=X<500',co applicant,real estate,none,own,unemp/unskilled non res,yes,no,female,mar/wid',4<x<21,276<x<4813,x<1,x>3,33<x<47,1<x<2,x>1,'no checking',>=7,1
115,no credits/all paid,'new car',>=1000,none,car,none,'for free',unskilled resident,none,no,'female,single,4<x<21,9350<x<13887,x<1,1<x<2,33<x<47,2<x<3,x<1,'<0','4<=X<7',1
116,no credits/all paid,'new car','100<=X<500',guarantor,life insurance,stores,for free,unemp/unskilled non res,none,no,'female,mar/wid,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,x<1,x>1,'>=200',unemployed,0
117,'no credits/all paid',domestic appliance,500<=X<1000,guarantor,'life insurance',stores,'for free',unemp/unskilled non res,yes,yes,male,single,38<x<55,276<x<4813,x>3,2<x<3,19<x<33,x<1,x>1,0<=X<200,'<1',0
118,'critical/other existing credit','new car',100<=X<500,co applicant,'real estate',none,for free,unskilled resident,none,no,female,div/sep,4<x<21,4813<x<9350,1<x<2,x<1,33<x<47,x<1,x>1,'>=200','<1',0
119,'all paid','domestic appliance','100<=X<500',co applicant,'real estate',stores,own,'unemp/unskilled non res',none,yes,male,single,4<x<21,276<x<4813,1<x<2,1<x<2,47<x<61,2<x<3,x<1,'no checking','<1',0
120,'existing paid',radio/tv,500<=X<1000,co applicant,real estate,none,own,high qualif/self emp/mgmt,none,yes,'male,single,38<x<55,4813<x<9350,x>3,x>3,19<x<33,2<x<3,x>1,<0,>=7,1
121,delayed previously,new car,'<100',co applicant,life insurance,none,rent,unemp/unskilled non res,none,yes,'male,div/dep/mar',21<x<38,276<x<4813,x>3,1<x<2,x<19,x>3,x>1,'0<=X<200','<1',0
122,'no credits/all paid',repairs,100<=X<500,guarantor,no known property,none,rent,unemp/unskilled non res,yes,no,'female,mar/wid,38<x<55,276<x<4813,x<1,x>3,33<x<47,x<1,x<1,<0,1<=X<4,1
123,'existing paid',radio/tv,'<100',guarantor,no known property,bank,for free,unskilled resident,none,no,female,single,21<x<38,276<x<4813,x<1,x<1,47<x<61,x<1,x>1,'<0',unemployed,1
124,'existing paid',furniture/equipment,'>=1000',none,car,none,'for free',unemp/unskilled non res,yes,no,'female,mar/wid,x>55,9350<x<13887,x<1,2<x<3,x>61,x<1,x>1,'>=200',1<=X<4,1
125,'existing paid',furniture/equipment,>=1000,co applicant,no known property,bank,'for free','unskilled resident',yes,yes,female,div/dep/mar,21<x<38,4813<x<9350,x<1,1<x<2,33<x<47,1<x<2,x<1,no checking,'1<=X<4',1
126,'no credits/all paid','new car',>=1000,none,'no known property',none,rent,'unskilled resident',yes,yes,male,single,4<x<21,276<x<4813,x>3,x<1,19<x<33,x<1,x>1,'>=200',<1,0
127,critical/other existing credit,business,<100,co applicant,'life insurance',stores,own,'unskilled resident',none,yes,'female,mar/wid,x<4,4813<x<9350,2<x<3,1<x<2,19<x<33,1<x<2,x<1,'>=200','>=7',1
128,no credits/all paid,other,'500<=X<1000',guarantor,'life insurance',stores,own,'high qualif/self emp/mgmt',yes,no,female,div/dep/mar,21<x<38,276<x<4813,x<1,x>3,47<x<61,x>3,x<1,'<0',4<=X<7,1
129,critical/other existing credit,'domestic appliance',no known savings,'co applicant','no known property',bank,own,'unskilled resident',yes,no,female,mar/wid,4<x<21,276<x<4813,x>3,x<1,x>61,x<1,x>1,'no checking',>=7,1
