age,workclass,fnlwgt,education,marital-status,race,sex,hours-per-week,country,class
45,Self-emp-not-inc,201080,14,Married-civ-spouse,White,Male,40,US,1
36,Private,207157,10,Divorced,White,Female,40,non-US,0
39,Federal-gov,235485,12,Never-married,White,Male,42,US,0
46,State-gov,102628,14,Widowed,White,Male,40,US,0
18,Private,25828,7,Never-married,White,Male,16,US,0
66,Local-gov,54826,11,Widowed,White,Female,20,US,0
27,Private,124953,9,Never-married,White,Male,40,US,0
28,State-gov,175325,9,Married-civ-spouse,White,Male,40,US,0
51,Private,96062,10,Married-civ-spouse,White,Male,40,US,1
27,Private,428030,13,Never-married,White,Male,50,US,0
28,State-gov,149624,13,Married-civ-spouse,White,Male,40,US,1
27,Private,253814,9,Married-spouse-absent,White,Female,25,US,0
21,Private,312956,9,Never-married,Black,Male,40,US,0
34,Private,483777,9,Never-married,Black,Male,40,US,0
18,Private,183930,9,Never-married,White,Male,12,US,0
33,Private,37274,13,Married-civ-spouse,White,Male,65,US,0
44,Local-gov,181344,10,Married-civ-spouse,Black,Male,38,US,1
43,Private,114580,10,Divorced,White,Female,40,US,0
30,Private,633742,10,Never-married,Black,Male,45,US,0
40,Private,286370,4,Married-civ-spouse,White,Male,40,non-US,1
37,Federal-gov,29054,10,Married-civ-spouse,White,Male,42,US,1
34,Private,304030,9,Married-civ-spouse,Black,Male,40,US,0
41,Self-emp-not-inc,143129,13,Divorced,White,Female,40,US,0
31,Private,99928,14,Married-civ-spouse,White,Female,50,US,0
58,State-gov,109567,16,Married-civ-spouse,White,Male,1,US,1
38,Private,155222,10,Divorced,Black,Female,28,US,0
24,Private,159567,10,Married-civ-spouse,White,Male,40,US,0
41,Local-gov,523910,13,Married-civ-spouse,Black,Male,40,US,0
47,Private,120939,10,Married-civ-spouse,White,Male,45,US,0
41,Federal-gov,130760,13,Married-civ-spouse,White,Male,24,US,0
23,Private,197387,3,Married-civ-spouse,White,Male,40,non-US,0
36,Private,99374,10,Divorced,White,Male,40,US,0
40,Federal-gov,56795,14,Never-married,White,Female,55,US,1
35,Private,138992,14,Married-civ-spouse,White,Male,40,US,1
24,Self-emp-not-inc,32921,9,Never-married,White,Male,40,US,0
26,Private,397317,14,Never-married,White,Female,40,US,0
51,Private,259323,13,Married-civ-spouse,White,Male,50,US,1
42,Local-gov,254817,10,Never-married,White,Female,40,US,0
37,State-gov,48211,9,Divorced,White,Female,35,US,0
18,Private,140164,7,Never-married,White,Female,40,US,0
36,Private,128757,13,Married-civ-spouse,Black,Male,36,US,1
35,Private,36270,9,Divorced,White,Male,60,US,0
58,Self-emp-inc,210563,9,Married-civ-spouse,White,Female,35,US,1
17,Private,65368,7,Never-married,White,Female,12,US,0
44,Local-gov,160943,9,Married-civ-spouse,Black,Male,40,US,0
37,Private,208358,9,Married-civ-spouse,White,Male,40,US,1
35,Private,153790,10,Never-married,Amer-Indian-Eskimo,Female,40,US,0
60,Private,85815,9,Married-civ-spouse,Asian-Pac-Islander,Male,40,US,0
54,Self-emp-inc,125417,4,Married-civ-spouse,White,Male,40,US,1
37,Private,635913,13,Never-married,Black,Male,60,US,1
50,Private,313321,12,Divorced,White,Female,40,US,0
38,Private,182609,13,Married-civ-spouse,White,Male,50,non-US,0
45,Private,109434,13,Married-civ-spouse,White,Male,55,US,0
25,Private,255004,6,Never-married,White,Male,40,US,0
31,Private,197860,10,Married-civ-spouse,White,Male,40,US,0
90,Private,51744,9,Never-married,Black,Male,40,US,0
54,Private,176681,9,Married-civ-spouse,Black,Male,20,US,0
53,Local-gov,140359,1,Never-married,White,Female,35,US,0
18,Private,243313,9,Never-married,White,Female,40,US,0
66,Self-emp-not-inc,167687,9,Married-civ-spouse,White,Male,50,US,0
75,Private,314209,11,Widowed,White,Female,20,non-US,0
65,Private,176796,9,Divorced,White,Female,40,US,0
35,Private,538583,7,Separated,Black,Male,40,US,0
41,Private,130408,9,Divorced,Black,Female,38,US,0
25,Private,159732,10,Never-married,White,Male,42,US,0
33,Private,110978,10,Divorced,Other,Female,40,US,0
28,Private,76714,15,Never-married,White,Male,55,US,1
59,State-gov,268700,9,Married-civ-spouse,White,Male,40,US,0
40,State-gov,170525,10,Never-married,White,Female,38,US,0
41,Private,180138,13,Married-civ-spouse,White,Male,50,non-US,1
38,Local-gov,115076,14,Married-civ-spouse,White,Male,70,US,1
23,Private,115458,9,Never-married,White,Male,40,US,0
40,Private,347890,13,Married-civ-spouse,White,Male,40,US,1
41,Self-emp-not-inc,196001,9,Married-civ-spouse,White,Female,20,US,0
24,State-gov,273905,12,Married-civ-spouse,White,Male,50,US,0
38,Private,179488,10,Divorced,White,Male,40,US,0
58,Private,236596,9,Married-civ-spouse,White,Male,45,US,1
32,Private,183916,9,Never-married,White,Female,34,US,0
40,Private,207578,12,Married-civ-spouse,White,Male,60,US,1
41,Private,112763,15,Married-civ-spouse,White,Female,40,US,1
42,Private,390781,13,Married-civ-spouse,Black,Female,40,US,0
59,Local-gov,171328,6,Widowed,Black,Female,30,US,0
19,Local-gov,27382,10,Never-married,White,Male,40,US,0
58,Private,259014,10,Never-married,White,Male,20,US,0
42,Self-emp-not-inc,303044,9,Married-civ-spouse,Asian-Pac-Islander,Male,40,non-US,1
20,Private,117789,9,Never-married,White,Female,40,US,0
32,Private,172579,9,Separated,White,Female,30,US,0
45,Private,187666,11,Widowed,White,Female,45,US,0
50,Private,204518,4,Divorced,White,Male,40,US,0
36,Private,150042,13,Divorced,White,Female,40,US,0
45,Private,98092,9,Married-civ-spouse,White,Male,60,US,0
17,Private,245918,7,Never-married,White,Male,12,US,0
59,Private,146013,10,Married-civ-spouse,White,Male,40,US,0
26,Private,378322,7,Married-civ-spouse,White,Male,40,US,0
37,Self-emp-inc,257295,10,Married-civ-spouse,Asian-Pac-Islander,Male,75,non-US,1
64,Private,21174,9,Married-civ-spouse,White,Male,40,US,1
33,Private,185480,13,Never-married,White,Female,45,US,0
33,Private,222205,9,Married-civ-spouse,White,Female,40,US,1
61,Private,69867,9,Married-civ-spouse,White,Male,40,US,1
17,Private,191260,5,Never-married,White,Male,24,US,0
50,Self-emp-not-inc,30653,14,Married-civ-spouse,White,Male,98,US,0
27,Local-gov,209109,14,Never-married,White,Male,35,US,0
30,Private,70377,9,Divorced,White,Female,40,US,0
43,Private,477983,9,Married-civ-spouse,Black,Male,40,US,0
44,Private,170924,10,Married-civ-spouse,White,Male,40,US,1
35,Private,190174,10,Never-married,White,Female,40,US,0
25,Private,193787,10,Never-married,White,Female,40,US,0
24,Private,279472,10,Married-civ-spouse,White,Female,48,US,1
22,Private,34918,13,Never-married,White,Female,15,non-US,0
42,Local-gov,97688,10,Married-civ-spouse,White,Male,40,US,1
34,Private,175413,12,Divorced,Black,Female,45,US,0
60,Private,173960,13,Divorced,White,Female,42,US,0
21,Private,205759,9,Never-married,White,Male,40,US,0
57,Federal-gov,425161,14,Married-civ-spouse,White,Male,40,US,1
41,Private,220531,15,Married-civ-spouse,White,Male,60,US,1
50,Private,176609,10,Divorced,White,Male,45,US,0
25,Private,371987,13,Never-married,White,Female,40,US,0
50,Private,193884,4,Married-civ-spouse,White,Male,40,non-US,0
36,Private,200352,13,Married-civ-spouse,White,Male,45,US,0
31,Private,127595,9,Divorced,White,Female,40,US,0
29,Local-gov,220419,13,Never-married,White,Male,56,US,0
21,Private,231931,10,Never-married,White,Male,45,US,0
27,Private,248402,13,Never-married,Black,Female,40,US,0
65,Private,111095,9,Married-civ-spouse,White,Male,16,US,0
37,Self-emp-inc,57424,13,Divorced,White,Female,60,US,0
24,Private,278130,9,Never-married,White,Male,40,US,0
38,Private,169469,9,Divorced,White,Male,80,US,0
48,Private,146268,13,Married-civ-spouse,White,Male,40,US,1
21,Private,153718,10,Never-married,Asian-Pac-Islander,Female,25,US,0
31,Private,217460,9,Married-civ-spouse,White,Male,45,US,1
55,Private,238638,9,Married-civ-spouse,White,Male,40,US,1
24,Private,303296,10,Married-civ-spouse,Asian-Pac-Islander,Female,40,non-US,0
43,Private,173321,9,Divorced,White,Female,40,US,0
26,Private,193945,12,Never-married,White,Male,45,US,0
46,Private,83082,12,Never-married,White,Female,33,US,0
35,Private,193815,12,Married-civ-spouse,White,Male,40,US,1
41,Self-emp-inc,34987,10,Married-civ-spouse,White,Male,54,US,1
26,Private,59306,13,Never-married,White,Male,40,US,0
34,Private,142897,14,Married-civ-spouse,Asian-Pac-Islander,Male,35,non-US,1
36,Self-emp-not-inc,205607,13,Divorced,Black,Female,40,US,1
22,Private,199698,10,Never-married,White,Male,15,US,0
24,Private,191954,10,Never-married,White,Male,40,US,0
77,Self-emp-not-inc,138714,10,Married-civ-spouse,White,Male,40,US,0
22,Private,399087,3,Married-civ-spouse,White,Female,40,non-US,0
29,Private,423158,10,Never-married,White,Female,40,US,0
62,Private,159841,9,Widowed,White,Female,24,US,0
39,Self-emp-not-inc,174308,9,Married-civ-spouse,White,Male,40,US,0
43,Private,50356,10,Married-civ-spouse,White,Male,50,US,0
35,Private,186110,9,Divorced,White,Male,45,US,0
29,Private,200381,7,Never-married,White,Female,40,US,0
76,Self-emp-not-inc,174309,14,Married-civ-spouse,White,Male,10,US,0
63,Self-emp-not-inc,78383,9,Married-civ-spouse,White,Male,45,US,0
43,Private,187728,10,Married-civ-spouse,White,Female,50,US,1
58,Self-emp-not-inc,321171,9,Married-civ-spouse,White,Male,40,US,0
66,Private,127921,9,Never-married,White,Male,55,US,0
41,Private,206565,10,Never-married,Black,Male,45,US,0
26,Private,224563,13,Never-married,White,Male,40,US,0
47,Private,178686,11,Never-married,White,Male,40,US,0
55,Local-gov,98545,6,Married-civ-spouse,White,Male,40,US,0
53,Private,242606,9,Married-civ-spouse,White,Male,40,US,0
17,Private,270942,3,Never-married,White,Male,48,non-US,0
30,Private,94235,9,Never-married,White,Male,40,US,0
49,Private,71195,14,Never-married,White,Male,60,US,0
19,Private,104112,9,Never-married,Black,Male,30,non-US,0
45,Private,261192,9,Married-civ-spouse,Black,Male,40,US,0
26,Private,94936,12,Never-married,White,Male,40,US,0
38,Private,296478,11,Married-civ-spouse,White,Male,40,US,1
36,State-gov,119272,9,Married-civ-spouse,White,Male,40,US,1
33,Private,85043,9,Never-married,White,Male,20,US,0
22,State-gov,293364,10,Never-married,Black,Female,40,US,0
43,Self-emp-not-inc,241895,13,Never-married,White,Male,42,US,0
56,Private,101128,12,Married-spouse-absent,White,Male,25,non-US,0
31,Private,156464,13,Never-married,White,Male,25,US,0
33,Private,117963,13,Married-civ-spouse,White,Male,40,US,1
26,Private,192262,9,Married-civ-spouse,White,Male,40,US,0
33,Private,111363,13,Married-civ-spouse,White,Male,40,US,1
46,Local-gov,329752,7,Married-civ-spouse,White,Male,30,US,0
38,Federal-gov,95432,9,Married-civ-spouse,White,Male,40,US,1
65,Private,161400,7,Widowed,Other,Male,40,US,0
40,Private,96129,11,Married-civ-spouse,White,Male,40,US,1
42,Private,111949,9,Married-civ-spouse,White,Female,35,US,0
26,Self-emp-not-inc,117125,5,Married-civ-spouse,White,Male,40,non-US,0
36,Private,348022,6,Married-civ-spouse,White,Female,24,US,0
62,Private,270092,14,Married-civ-spouse,White,Male,40,US,1
43,Private,180609,13,Married-civ-spouse,White,Male,45,US,0
43,Private,174575,13,Divorced,White,Male,45,US,1
22,Private,410439,9,Married-spouse-absent,White,Male,55,US,0
28,Private,92262,9,Married-civ-spouse,White,Male,40,US,0
56,Self-emp-not-inc,183081,10,Married-civ-spouse,White,Male,45,US,0
22,Private,362589,12,Never-married,White,Female,15,US,0
57,Private,212448,13,Divorced,White,Female,45,US,1
39,Private,481060,9,Divorced,White,Female,40,US,0
26,Federal-gov,185885,10,Never-married,White,Female,15,US,0
17,Private,89821,7,Never-married,White,Male,10,US,0
40,State-gov,184018,11,Married-civ-spouse,White,Male,38,US,1
45,Private,256649,9,Married-civ-spouse,Black,Male,40,US,0
44,Private,160323,9,Never-married,Black,Male,40,US,0
20,Local-gov,350845,10,Never-married,White,Female,10,US,0
33,Private,267404,9,Married-civ-spouse,White,Female,40,US,0
23,Private,35633,10,Never-married,White,Male,40,US,0
46,Self-emp-not-inc,80914,14,Divorced,White,Male,30,US,0
38,Private,172927,9,Married-civ-spouse,White,Male,50,US,0
54,Private,174319,9,Divorced,White,Male,40,US,0
46,Private,214955,3,Divorced,White,Female,45,US,0
25,Private,344991,10,Married-civ-spouse,White,Male,40,US,0
46,Private,108699,10,Divorced,White,Female,40,US,0
36,Local-gov,117312,10,Married-civ-spouse,White,Female,40,US,0
23,Private,396099,9,Never-married,White,Female,25,US,0
29,Private,134152,9,Separated,White,Male,40,US,0
44,Private,162028,10,Married-civ-spouse,White,Female,6,US,1
19,Private,25429,10,Never-married,White,Female,16,US,0
19,Private,232392,9,Never-married,White,Female,40,US,0
35,Private,220098,9,Married-civ-spouse,White,Female,40,US,1
27,Private,301302,13,Never-married,White,Male,50,US,0
46,Self-emp-not-inc,277946,12,Separated,White,Male,40,US,0
34,Private,196164,9,Never-married,White,Female,35,US,0
44,Private,115562,10,Married-civ-spouse,White,Male,40,US,0
45,Private,96975,10,Divorced,White,Female,40,US,0
25,Private,86872,13,Married-civ-spouse,White,Male,55,US,1
52,Self-emp-inc,132178,13,Married-civ-spouse,White,Male,50,US,1
20,Private,416103,10,Never-married,White,Male,40,US,0
28,Private,108574,10,Never-married,White,Female,40,US,0
50,State-gov,288353,13,Married-civ-spouse,White,Male,40,US,1
34,Private,227689,11,Divorced,White,Female,64,US,0
28,Private,166481,4,Married-civ-spouse,Other,Male,40,non-US,0
41,Private,445382,14,Married-civ-spouse,White,Male,65,US,1
28,Private,110145,9,Married-civ-spouse,White,Male,40,US,0
46,Self-emp-not-inc,317253,9,Married-civ-spouse,White,Male,25,US,0
32,Private,364657,10,Married-civ-spouse,White,Male,50,US,0
41,Local-gov,42346,10,Divorced,Black,Female,24,US,0
24,Private,241951,9,Never-married,Black,Female,40,US,0
33,Private,118500,10,Divorced,White,Female,40,US,0
46,Private,188386,16,Married-civ-spouse,White,Male,60,US,1
31,State-gov,1033222,10,Married-civ-spouse,White,Male,40,US,0
35,Private,92440,8,Divorced,White,Male,50,US,1
52,Private,190762,2,Married-civ-spouse,White,Male,40,non-US,0
30,Private,426017,7,Never-married,White,Female,19,US,0
34,Local-gov,243867,7,Separated,Black,Male,40,US,0
34,State-gov,240283,9,Divorced,White,Female,40,US,0
20,Private,61777,10,Married-civ-spouse,White,Male,30,US,0
17,Private,175024,7,Never-married,White,Male,18,US,0
32,State-gov,92003,13,Married-civ-spouse,White,Female,40,US,1
29,Private,188401,9,Divorced,White,Male,40,US,0
33,Private,228528,6,Never-married,White,Female,35,US,0
25,Private,133373,9,Married-civ-spouse,White,Male,60,US,0
36,Federal-gov,255191,14,Never-married,White,Male,40,US,0
23,Private,204653,9,Never-married,White,Male,72,non-US,0
63,Self-emp-inc,222289,9,Married-civ-spouse,White,Male,40,US,1
47,Local-gov,287480,14,Married-civ-spouse,White,Male,40,US,0
40,Self-emp-not-inc,204116,13,Married-spouse-absent,White,Female,40,US,0
30,Private,29662,12,Married-civ-spouse,White,Female,25,US,1
27,Private,116358,10,Never-married,Asian-Pac-Islander,Male,40,non-US,0
33,Private,208405,14,Married-civ-spouse,White,Male,50,US,1
34,Local-gov,284843,9,Never-married,Black,Male,60,US,0
34,Local-gov,117018,10,Never-married,White,Female,40,US,0
23,Private,81281,10,Married-civ-spouse,White,Male,40,US,0
42,Local-gov,340148,10,Married-civ-spouse,White,Female,40,US,0
29,Private,363425,13,Never-married,White,Male,40,US,0
45,Private,45857,9,Divorced,White,Female,28,US,0
24,Federal-gov,191073,9,Never-married,White,Male,40,US,0
44,Private,116632,10,Married-civ-spouse,White,Male,40,US,1
27,Private,405855,5,Never-married,White,Male,40,non-US,0
20,Private,298227,10,Never-married,White,Male,35,US,0
44,Private,290521,9,Widowed,Black,Female,40,US,0
51,Private,56915,9,Married-civ-spouse,Amer-Indian-Eskimo,Male,40,US,0
20,Private,146538,9,Married-civ-spouse,White,Male,40,US,0
19,Private,206399,9,Never-married,Black,Female,40,US,0
45,Self-emp-inc,197332,10,Married-civ-spouse,White,Male,55,US,1
60,Private,245062,9,Married-civ-spouse,White,Male,40,US,1
44,Self-emp-not-inc,234885,9,Married-civ-spouse,White,Female,40,US,1
40,Private,72887,11,Married-civ-spouse,Asian-Pac-Islander,Male,40,US,1
30,Private,180374,9,Married-civ-spouse,White,Female,40,US,0
38,Private,351299,10,Married-civ-spouse,Black,Male,50,US,0
23,Private,54012,9,Married-civ-spouse,White,Male,60,US,0
44,Private,116632,12,Never-married,White,Male,40,US,0
54,Local-gov,288825,9,Married-civ-spouse,Black,Male,40,US,0
32,Private,132601,13,Married-civ-spouse,White,Male,50,US,0
50,Private,193374,2,Married-spouse-absent,White,Male,40,US,0
24,Private,170070,13,Never-married,White,Female,20,US,0
37,Private,126708,9,Married-civ-spouse,White,Female,60,US,0
52,Private,35598,9,Divorced,White,Male,40,US,0
38,Private,33983,10,Married-civ-spouse,White,Male,40,US,0
49,Private,192776,14,Married-civ-spouse,White,Male,45,US,1
30,Private,118551,13,Married-civ-spouse,White,Female,16,US,1
60,Private,201965,10,Never-married,White,Male,40,US,1
35,Private,285020,9,Never-married,White,Male,40,US,0
30,Private,303990,9,Never-married,White,Male,60,US,0
67,Private,49401,11,Divorced,White,Female,24,US,0
46,Private,279196,13,Never-married,White,Female,40,US,0
17,Private,211870,5,Never-married,White,Male,6,US,0
22,Private,281432,10,Never-married,White,Male,30,US,0
27,Private,161155,6,Never-married,White,Male,40,US,0
23,Private,197904,9,Never-married,White,Female,35,US,0
33,Private,111746,12,Married-civ-spouse,White,Male,45,non-US,0
43,Self-emp-not-inc,170721,10,Married-civ-spouse,White,Male,20,US,0
28,State-gov,70100,13,Never-married,White,Male,20,US,0
41,Private,193626,9,Married-spouse-absent,White,Female,40,US,0
25,Private,189775,10,Married-spouse-absent,Black,Female,20,US,0
59,Local-gov,286967,9,Married-civ-spouse,White,Male,45,US,0
45,Local-gov,164427,13,Divorced,White,Female,40,US,0
38,Private,91039,13,Married-civ-spouse,White,Male,60,US,1
40,Private,347934,9,Never-married,White,Female,35,US,0
46,Federal-gov,371373,9,Divorced,White,Male,40,US,0
35,Private,32220,12,Never-married,White,Female,60,US,0
34,Private,187251,9,Divorced,White,Female,25,US,0
33,Private,178107,13,Never-married,White,Male,20,US,0
41,Private,343121,9,Divorced,White,Female,36,US,0
20,Private,262749,10,Never-married,White,Male,40,US,0
