id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,age,duration,campaign,pdays,previous,euribor3m,class
54,entrepreneur,divorced,basic.9y,no,yes,yes,cellular,dec,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x<0,1<x<3,0.634<x<1.634,no
55,unemployed,married,basic.4y,no,no,no,cellular,aug,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,1<x<3,x>3.634,no
56,student,married,high.school,no,no,yes,telephone,sep,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,x<0,1.634<x<2.634,no
57,housemaid,single,basic.9y,no,yes,yes,cellular,apr,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,x>749,1<x<3,x>3.634,no
58,student,married,high.school,no,no,yes,telephone,mar,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
59,management,married,basic.6y,no,yes,yes,cellular,jul,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,1<x<3,x>3.634,yes
60,retired,single,high.school,no,yes,yes,telephone,apr,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x<0,0<x<1,1.634<x<2.634,no
61,unemployed,single,basic.9y,no,yes,yes,telephone,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,1<x<3,0.634<x<1.634,no
62,unemployed,married,illiterate,no,no,no,cellular,aug,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,1<x<3,0.634<x<1.634,no
63,unemployed,single,illiterate,no,no,no,telephone,mar,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x<0,3<x<5,0.634<x<1.634,no
64,housemaid,married,basic.9y,no,yes,yes,telephone,apr,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,0<x<1,x>3.634,no
65,technician,divorced,basic.4y,no,no,yes,cellular,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,x<0,0.634<x<1.634,no
66,admin.,divorced,basic.9y,no,yes,yes,cellular,aug,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,0<x<1,x>3.634,no
67,retired,divorced,illiterate,no,no,no,cellular,dec,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x>749,1<x<3,x>3.634,yes
68,admin.,single,basic.9y,no,yes,yes,telephone,dec,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,0<x<1,0.634<x<1.634,no
69,self-employed,divorced,basic.6y,no,yes,yes,telephone,jun,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,0<x<249,0<x<1,1.634<x<2.634,no
70,management,divorced,basic.6y,no,no,yes,cellular,may,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,0<x<249,0<x<1,1.634<x<2.634,no
71,housemaid,single,basic.9y,no,no,yes,cellular,mar,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,0<x<1,0.634<x<1.634,no
72,self-employed,divorced,basic.4y,no,no,no,telephone,may,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x<0,x<0,0.634<x<1.634,no
73,housemaid,married,basic.6y,no,no,no,telephone,apr,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,x<0,1.634<x<2.634,no
74,entrepreneur,married,professional.course,no,yes,no,telephone,apr,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,3<x<5,x>3.634,no
75,retired,married,basic.9y,no,yes,yes,cellular,mar,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x<0,1<x<3,x>3.634,no
76,services,married,high.school,no,yes,no,cellular,jul,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x<0,3<x<5,x>3.634,no
77,student,single,university.degree,no,yes,yes,telephone,apr,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x<0,0<x<1,0.634<x<1.634,no
78,blue-collar,single,high.school,no,no,yes,cellular,aug,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,0<x<249,x<0,x>3.634,no
79,admin.,divorced,university.degree,no,yes,no,cellular,sep,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x<0,3<x<5,x>3.634,no
80,technician,married,university.degree,no,yes,yes,cellular,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,0<x<249,x<0,0.634<x<1.634,no
81,management,married,university.degree,no,no,yes,cellular,may,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,0<x<249,x<0,0.634<x<1.634,no
82,technician,single,illiterate,no,no,no,cellular,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x<0,0<x<1,x>3.634,no
83,retired,married,basic.6y,no,no,yes,telephone,oct,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x>749,3<x<5,x>3.634,no
84,services,divorced,basic.6y,no,no,yes,cellular,jul,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x>749,x<0,1.634<x<2.634,no
85,management,married,high.school,no,no,yes,telephone,jul,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x<0,1<x<3,x>3.634,no
86,entrepreneur,divorced,illiterate,no,no,yes,telephone,dec,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,0<x<249,x<0,0.634<x<1.634,no
87,admin.,single,illiterate,no,yes,yes,cellular,nov,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
88,self-employed,single,basic.6y,no,yes,no,telephone,aug,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,0<x<1,x>3.634,no
89,unemployed,single,basic.9y,no,no,yes,cellular,apr,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,1<x<3,0.634<x<1.634,no
90,self-employed,married,basic.6y,no,yes,yes,telephone,jun,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,x<0,0.634<x<1.634,no
91,management,divorced,basic.6y,no,yes,yes,cellular,oct,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,x>3.634,no
92,retired,married,high.school,no,yes,no,cellular,oct,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x>749,3<x<5,0.634<x<1.634,no
93,admin.,divorced,university.degree,no,yes,yes,telephone,jun,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x>749,1<x<3,x>3.634,no
94,self-employed,single,basic.6y,no,yes,no,cellular,nov,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x<0,1<x<3,1.634<x<2.634,yes
95,entrepreneur,married,basic.9y,no,yes,yes,telephone,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,x<0,0.634<x<1.634,no
96,unemployed,married,professional.course,no,no,yes,cellular,aug,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,x>3.634,no
97,student,single,university.degree,no,no,yes,telephone,dec,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,0<x<1,1.634<x<2.634,yes
98,retired,married,basic.4y,no,yes,no,telephone,dec,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,x<0,x>3.634,no
99,entrepreneur,divorced,basic.6y,no,yes,yes,cellular,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x>749,1<x<3,x>3.634,no
100,student,single,illiterate,no,no,no,telephone,nov,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
101,blue-collar,single,illiterate,no,no,yes,telephone,aug,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,0<x<1,x>3.634,yes
102,blue-collar,divorced,university.degree,no,yes,no,cellular,oct,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x>749,3<x<5,x>3.634,no
103,management,divorced,university.degree,no,no,no,cellular,sep,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,0<x<1,x>3.634,no
104,services,married,basic.9y,no,no,no,cellular,sep,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,0<x<249,x<0,1.634<x<2.634,no
105,self-employed,divorced,basic.9y,no,yes,yes,cellular,jun,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
106,blue-collar,married,basic.9y,no,yes,yes,telephone,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x>749,1<x<3,0.634<x<1.634,no
107,self-employed,married,illiterate,no,yes,no,cellular,aug,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
108,services,married,illiterate,no,no,no,telephone,nov,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x>749,3<x<5,0.634<x<1.634,no
109,retired,divorced,university.degree,no,yes,no,cellular,oct,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,x<0,1.634<x<2.634,no
110,housemaid,divorced,professional.course,no,yes,yes,cellular,jul,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,x<0,1.634<x<2.634,no
111,entrepreneur,single,illiterate,no,yes,no,cellular,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,0<x<249,0<x<1,x>3.634,yes
112,technician,divorced,basic.9y,no,yes,yes,cellular,may,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,1<x<3,1.634<x<2.634,no
113,retired,married,basic.9y,no,no,yes,cellular,aug,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x>749,x<0,0.634<x<1.634,no
114,entrepreneur,divorced,illiterate,no,yes,yes,telephone,aug,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,0<x<1,x>3.634,no
115,technician,divorced,illiterate,no,yes,yes,telephone,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x<0,3<x<5,1.634<x<2.634,no
116,unemployed,divorced,basic.9y,no,no,no,telephone,dec,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,0<x<249,3<x<5,x>3.634,no
117,entrepreneur,divorced,basic.9y,no,no,no,telephone,aug,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x>749,0<x<1,x>3.634,no
118,admin.,divorced,basic.4y,no,no,no,cellular,sep,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,0<x<1,x>3.634,no
119,housemaid,divorced,university.degree,no,no,no,cellular,apr,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,0<x<1,x>3.634,no
120,entrepreneur,married,professional.course,no,yes,yes,telephone,may,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,1<x<3,0.634<x<1.634,no
121,unemployed,married,basic.6y,no,yes,yes,cellular,apr,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,0<x<249,1<x<3,0.634<x<1.634,no
122,technician,single,illiterate,no,yes,no,telephone,may,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,3<x<5,x>3.634,no
123,student,single,basic.9y,no,no,yes,telephone,mar,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x>749,1<x<3,1.634<x<2.634,no
124,student,single,high.school,no,no,no,cellular,apr,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,0<x<249,x<0,x>3.634,no
125,retired,single,basic.4y,no,no,yes,telephone,dec,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,x>3.634,no
126,housemaid,divorced,basic.4y,no,no,yes,cellular,dec,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x<0,3<x<5,0.634<x<1.634,no
127,technician,married,basic.6y,no,yes,yes,telephone,jul,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,0<x<249,1<x<3,1.634<x<2.634,no
128,entrepreneur,married,illiterate,no,no,no,telephone,oct,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x>749,0<x<1,x>3.634,no
129,entrepreneur,single,basic.4y,no,yes,yes,telephone,mar,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,1<x<3,0.634<x<1.634,no
130,student,single,university.degree,no,no,yes,telephone,may,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x>749,3<x<5,1.634<x<2.634,no
131,retired,divorced,professional.course,no,yes,yes,telephone,sep,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,3<x<5,x>3.634,no
132,student,single,basic.4y,no,no,no,telephone,oct,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x<0,0<x<1,x>3.634,no
