,antecedent,pd,cls,conf_pd,conf_pnd,risk_dif,elift,sup_pd,sup_pnd
1651,"['age=35<x<53', 'education= 9th']",sex= Female,class=1,0.8571428571428571,0.9230769230769231,-0.06593406593406603,0.9285714285714285,6.0,12.0
2055,"['age=35<x<53', 'education= Assoc_acdm']",sex= Female,class=1,0.7,0.7647058823529411,-0.06470588235294117,0.9153846153846154,7.0,13.0
1415,"['race= Amer_Indian_Eskimo', 'relationship= Husband']",sex= Female,class=1,0.6875,0.75,-0.0625,0.9166666666666666,11.0,21.0
673,"['fnlwgt=274186<x<527198', 'workcla= Private']",sex= Female,class=1,0.8823529411764706,0.9428571428571428,-0.060504201680672276,0.9358288770053476,15.0,33.0
1966,['native_country= Italy'],sex= Female,class=1,0.8461538461538461,0.90625,-0.060096153846153855,0.9336870026525199,11.0,29.0
1961,"['hours_per_week=25<x<50', 'native_country= Germany']",sex= Female,class=1,0.8571428571428571,0.9166666666666666,-0.059523809523809534,0.935064935064935,6.0,11.0
1967,"['age=53<x<71', 'native_country= Italy']",sex= Female,class=1,0.8571428571428571,0.9166666666666666,-0.059523809523809534,0.935064935064935,6.0,11.0
1107,"['age=35<x<53', 'workcla= State_gov', 'hours_per_week=50<x<74']",sex= Female,class=1,0.8571428571428571,0.9166666666666666,-0.059523809523809534,0.935064935064935,6.0,11.0
893,"['hours_per_week=25<x<50', 'education_num=1<x<4', 'education= HS_grad']",sex= Female,class=1,0.8571428571428571,0.9166666666666666,-0.059523809523809534,0.935064935064935,6.0,11.0
227,"['hours_per_week=1<x<25', 'education_num=4<x<8', 'workcla= Self_emp_not_inc']",sex= Female,class=1,0.8888888888888888,0.9473684210526315,-0.05847953216374269,0.9382716049382716,8.0,18.0
1394,"['age=53<x<71', 'race= White', 'relationship= Husband']",sex= Female,class=1,0.7272727272727273,0.7857142857142857,-0.058441558441558406,0.9256198347107438,8.0,11.0
892,"['education_num=1<x<4', 'education= HS_grad']",sex= Female,class=1,0.875,0.9333333333333333,-0.05833333333333335,0.9375,7.0,14.0
498,"['age=35<x<53', 'education_num=4<x<8', 'workcla= State_gov']",sex= Female,class=1,0.875,0.9333333333333333,-0.05833333333333335,0.9375,7.0,14.0
1895,"['age=17<x<35', 'education= 1st_4th']",sex= Female,class=1,0.875,0.9333333333333333,-0.05833333333333335,0.9375,7.0,14.0
894,"['workcla= Private', 'education= HS_grad']",sex= Female,class=1,0.875,0.9333333333333333,-0.05833333333333335,0.9375,7.0,14.0
1730,"['education_num=x>12', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.8620689655172413,0.92,-0.057931034482758714,0.937031484257871,25.0,46.0
1718,"['education_num=4<x<8', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.9047619047619048,0.9622641509433962,-0.05750224618149147,0.9402427637721755,19.0,51.0
1201,"['age=53<x<71', 'workcla= Federal_gov']",sex= Female,class=1,0.8,0.8571428571428571,-0.05714285714285705,0.9333333333333335,8.0,24.0
1732,"['age=35<x<53', 'education_num=x>12', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.8,0.8571428571428571,-0.05714285714285705,0.9333333333333335,8.0,12.0
679,"['education_num=4<x<8', 'workcla= Private']",sex= Female,class=1,0.9166666666666666,0.9722222222222222,-0.05555555555555558,0.9428571428571428,11.0,35.0
1661,"['workcla= Self_emp_not_inc', 'education= 9th']",sex= Female,class=1,0.7777777777777778,0.8333333333333334,-0.05555555555555558,0.9333333333333333,7.0,10.0
1657,"['education_num=4<x<8', 'education= 9th']",sex= Female,class=1,0.8888888888888888,0.9444444444444444,-0.05555555555555558,0.9411764705882353,8.0,17.0
654,"['age=53<x<71', 'hours_per_week=50<x<74', 'workcla= Private']",sex= Female,class=1,0.8333333333333334,0.8888888888888888,-0.05555555555555547,0.9375000000000001,5.0,8.0
2038,"['education_num=4<x<8', 'native_country= Puerto_Rico']",sex= Female,class=1,0.8333333333333334,0.8888888888888888,-0.05555555555555547,0.9375000000000001,5.0,8.0
1397,"['age=17<x<35', 'race= White', 'relationship= Husband']",sex= Female,class=1,0.7142857142857143,0.7692307692307693,-0.05494505494505497,0.9285714285714285,5.0,10.0
918,"['age=35<x<53', 'education= HS_grad']",sex= Female,class=1,0.7142857142857143,0.7692307692307693,-0.05494505494505497,0.9285714285714285,5.0,10.0
3,"['age=35<x<53', 'race= White']",sex= Female,class=1,0.84375,0.8983050847457628,-0.05455508474576276,0.9392688679245282,27.0,53.0
66,"['hours_per_week=25<x<50', 'age=35<x<53', 'education_num=1<x<4']",sex= Female,class=1,0.9,0.9545454545454546,-0.054545454545454564,0.9428571428571428,9.0,21.0
933,"['hours_per_week=1<x<25', 'age=35<x<53', 'education_num=x>12']",sex= Female,class=1,0.8888888888888888,0.9428571428571428,-0.053968253968254,0.9427609427609427,16.0,33.0
1715,"['hours_per_week=25<x<50', 'education_num=4<x<8', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.875,0.9285714285714286,-0.0535714285714286,0.9423076923076923,7.0,13.0
1891,"['race= Amer_Indian_Eskimo', 'education= 1st_4th']",sex= Female,class=1,0.875,0.9285714285714286,-0.0535714285714286,0.9423076923076923,7.0,13.0
1948,"['hours_per_week=50<x<74', 'education= 11th']",sex= Female,class=1,0.875,0.9285714285714286,-0.0535714285714286,0.9423076923076923,7.0,13.0
735,"['age=35<x<53', 'relationship= Wife']",sex= Female,class=1,0.88,0.9333333333333333,-0.053333333333333344,0.9428571428571428,22.0,42.0
409,"['hours_per_week=1<x<25', 'native_country= Yugoslavia']",sex= Female,class=1,0.9,0.9523809523809523,-0.052380952380952306,0.9450000000000001,9.0,20.0
1321,"['age=35<x<53', 'race= Black']",sex= Female,class=1,0.8888888888888888,0.9411764705882353,-0.05228758169934644,0.9444444444444444,16.0,48.0
1118,"['hours_per_week=25<x<50', 'age=53<x<71', 'relationship= Own_child']",sex= Female,class=1,0.8888888888888888,0.9411764705882353,-0.05228758169934644,0.9444444444444444,8.0,16.0
25,"['education_num=4<x<8', 'workcla= State_gov', 'race= White']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,6.0,10.0
587,"['hours_per_week=50<x<74', 'education= Prof_school']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,6.0,10.0
902,"['workcla= Self_emp_inc', 'education= HS_grad']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,6.0,10.0
526,"['age=35<x<53', 'fnlwgt=274186<x<527198']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,24.0,60.0
909,"['race= Amer_Indian_Eskimo', 'education= HS_grad']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,6.0,10.0
459,"['age=17<x<35', 'education_num=x>12', 'race= Asian_Pac_Islander']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,6.0,10.0
1306,"['age=35<x<53', 'native_country= Honduras']",sex= Female,class=1,0.8571428571428571,0.9090909090909091,-0.051948051948051965,0.9428571428571428,6.0,10.0
1364,"['age=35<x<53', 'relationship= Husband']",sex= Female,class=1,0.7083333333333334,0.76,-0.05166666666666664,0.9320175438596492,17.0,38.0
688,"['age=35<x<53', 'workcla= Private']",sex= Female,class=1,0.9047619047619048,0.9555555555555556,-0.050793650793650835,0.946843853820598,19.0,43.0
754,"['hours_per_week=25<x<50', 'workcla= Self_emp_not_inc', 'relationship= Wife']",sex= Female,class=1,0.75,0.8,-0.050000000000000044,0.9375,6.0,8.0
810,"['hours_per_week=25<x<50', 'native_country= India']",sex= Female,class=1,0.75,0.8,-0.050000000000000044,0.9375,6.0,8.0
753,"['workcla= Self_emp_not_inc', 'relationship= Wife']",sex= Female,class=1,0.75,0.8,-0.050000000000000044,0.9375,12.0,20.0
1078,"['age=35<x<53', 'hours_per_week=50<x<74']",sex= Female,class=1,0.7727272727272727,0.8222222222222222,-0.04949494949494948,0.9398034398034398,17.0,37.0
1258,"['race= White', 'workcla= Federal_gov']",sex= Female,class=1,0.9090909090909091,0.9583333333333334,-0.04924242424242431,0.9486166007905138,10.0,23.0
181,"['hours_per_week=1<x<25', 'race= White', 'workcla= Self_emp_not_inc']",sex= Female,class=1,0.8333333333333334,0.8823529411764706,-0.04901960784313719,0.9444444444444445,10.0,15.0
1721,"['age=35<x<53', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.84,0.8888888888888888,-0.04888888888888887,0.9450000000000001,21.0,48.0
1037,"['age=35<x<53', 'education= Bachelors']",sex= Female,class=1,0.8888888888888888,0.9375,-0.04861111111111116,0.9481481481481481,8.0,15.0
1638,"['hours_per_week=25<x<50', 'age=17<x<35', 'workcla= Self_emp_inc']",sex= Female,class=1,0.8888888888888888,0.9375,-0.04861111111111116,0.9481481481481481,8.0,15.0
1094,"['age=17<x<35', 'hours_per_week=50<x<74']",sex= Female,class=1,0.9090909090909091,0.9574468085106383,-0.04835589941972929,0.9494949494949494,20.0,45.0
1669,['native_country= Cambodia'],sex= Female,class=1,0.9230769230769231,0.9696969696969697,-0.046620046620046596,0.951923076923077,12.0,32.0
675,"['education_num=x>12', 'fnlwgt=274186<x<527198', 'workcla= Private']",sex= Female,class=1,0.8,0.8461538461538461,-0.0461538461538461,0.9454545454545455,8.0,11.0
1041,"['workcla= Private', 'education= Bachelors']",sex= Female,class=1,0.8,0.8461538461538461,-0.0461538461538461,0.9454545454545455,8.0,11.0
645,"['hours_per_week=25<x<50', 'age=53<x<71', 'workcla= Private']",sex= Female,class=1,0.8235294117647058,0.8695652173913043,-0.04603580562659848,0.9470588235294117,14.0,20.0
2053,"['hours_per_week=50<x<74', 'education= Assoc_acdm']",sex= Female,class=1,0.7777777777777778,0.8235294117647058,-0.04575163398692805,0.9444444444444445,7.0,14.0
1030,"['hours_per_week=25<x<50', 'education= Bachelors']",sex= Female,class=1,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.9523809523809523,10.0,21.0
1729,"['hours_per_week=25<x<50', 'education_num=x>12', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.9523809523809523,10.0,21.0
734,"['hours_per_week=50<x<74', 'relationship= Wife']",sex= Female,class=1,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.9523809523809523,10.0,21.0
1880,"['hours_per_week=1<x<25', 'education= 1st_4th']",sex= Female,class=1,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.9523809523809523,10.0,21.0
1265,"['race= Amer_Indian_Eskimo', 'workcla= Federal_gov']",sex= Female,class=1,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.9523809523809523,10.0,21.0
182,"['race= White', 'workcla= Self_emp_not_inc']",sex= Female,class=1,0.8333333333333334,0.8787878787878788,-0.045454545454545414,0.9482758620689655,20.0,29.0
911,"['age=17<x<35', 'education= HS_grad']",sex= Female,class=1,0.9166666666666666,0.9615384615384616,-0.044871794871794934,0.9533333333333333,11.0,25.0
1596,"['relationship= Husband', 'workcla= Self_emp_inc']",sex= Female,class=1,0.6666666666666666,0.7096774193548387,-0.043010752688172116,0.9393939393939393,12.0,22.0
547,"['hours_per_week=1<x<25', 'age=35<x<53', 'race= White', 'fnlwgt=274186<x<527198']",sex= Female,class=1,0.8571428571428571,0.9,-0.04285714285714293,0.9523809523809523,6.0,9.0
1971,"['education_num=x>12', 'education= Preschool']",sex= Female,class=1,0.8571428571428571,0.9,-0.04285714285714293,0.9523809523809523,6.0,18.0
1923,"['race= White', 'native_country= South']",sex= Female,class=1,0.8571428571428571,0.9,-0.04285714285714293,0.9523809523809523,6.0,9.0
1138,"['workcla= Private', 'relationship= Own_child']",sex= Female,class=1,0.9166666666666666,0.9583333333333334,-0.04166666666666674,0.9565217391304347,11.0,23.0
1946,"['relationship= Husband', 'education= 11th']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1703,"['age=53<x<71', 'native_country= Mexico']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1301,"['workcla= Private', 'native_country= Honduras']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1921,"['workcla= Self_emp_not_inc', 'native_country= South']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1918,"['age=17<x<35', 'native_country= South']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1042,"['hours_per_week=25<x<50', 'workcla= Private', 'education= Bachelors']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1597,"['hours_per_week=25<x<50', 'relationship= Husband', 'workcla= Self_emp_inc']",sex= Female,class=1,0.625,0.6666666666666666,-0.04166666666666663,0.9375,5.0,8.0
895,"['hours_per_week=25<x<50', 'workcla= Private', 'education= HS_grad']",sex= Female,class=1,0.8333333333333334,0.875,-0.04166666666666663,0.9523809523809524,5.0,7.0
1654,['education= 9th'],sex= Female,class=1,0.8888888888888888,0.9298245614035088,-0.040935672514619936,0.9559748427672955,24.0,53.0
426,"['hours_per_week=25<x<50', 'age=53<x<71', 'education_num=8<x<12']",sex= Female,class=1,0.9090909090909091,0.95,-0.040909090909090895,0.9569377990430622,10.0,19.0
1333,"['education_num=x>12', 'race= Black']",sex= Female,class=1,0.8461538461538461,0.8863636363636364,-0.04020979020979021,0.9546351084812623,11.0,39.0
934,"['age=35<x<53', 'education_num=x>12']",sex= Female,class=1,0.8108108108108109,0.8507462686567164,-0.039935457845905575,0.9530583214793742,30.0,57.0
1466,"['workcla= Self_emp_not_inc', 'hours_per_week=x>74']",sex= Female,class=1,0.8888888888888888,0.9285714285714286,-0.039682539682539764,0.9572649572649572,8.0,13.0
667,"['education_num=x>12', 'workcla= Private']",sex= Female,class=1,0.8275862068965517,0.8666666666666667,-0.039080459770114984,0.9549071618037135,24.0,39.0
387,"['race= Black', 'education= Doctorate']",sex= Female,class=1,0.8181818181818182,0.8571428571428571,-0.03896103896103886,0.9545454545454547,9.0,18.0
1748,['native_country= Guatemala'],sex= Female,class=1,0.9333333333333333,0.9722222222222222,-0.03888888888888886,0.9600000000000001,14.0,35.0
1957,['native_country= Germany'],sex= Female,class=1,0.8947368421052632,0.9333333333333333,-0.038596491228070184,0.9586466165413534,17.0,28.0
395,"['age=35<x<53', 'education= Doctorate']",sex= Female,class=1,0.8461538461538461,0.8846153846153846,-0.038461538461538436,0.9565217391304348,11.0,23.0
657,"['hours_per_week=25<x<50', 'age=17<x<35', 'workcla= Private']",sex= Female,class=1,0.8571428571428571,0.8947368421052632,-0.03759398496240607,0.9579831932773109,6.0,17.0
647,"['education_num=8<x<12', 'workcla= Private']",sex= Female,class=1,0.9375,0.9743589743589743,-0.03685897435897434,0.962171052631579,15.0,38.0
363,"['race= Amer_Indian_Eskimo', 'age=x>71']",sex= Female,class=1,0.9333333333333333,0.9696969696969697,-0.036363636363636376,0.9625,14.0,32.0
