id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,age,duration,campaign,pdays,previous,euribor3m,class
12,housemaid,divorced,basic.9y,no,yes,yes,telephone,jul,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,0<x<249,3<x<5,x>3.634,no
13,management,divorced,basic.6y,no,no,no,cellular,sep,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,x<0,3<x<5,x>3.634,no
14,student,married,basic.6y,no,no,yes,telephone,may,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,3<x<5,0.634<x<1.634,yes
15,self-employed,married,basic.4y,no,no,no,telephone,dec,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,0<x<249,1<x<3,1.634<x<2.634,no
16,housemaid,married,illiterate,no,no,no,telephone,apr,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
17,management,married,professional.course,no,no,no,cellular,aug,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,3<x<5,1.634<x<2.634,yes
18,self-employed,divorced,high.school,no,yes,yes,cellular,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x>749,x<0,x>3.634,no
19,retired,married,professional.course,no,no,no,telephone,oct,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,0<x<1,0.634<x<1.634,no
20,unemployed,married,illiterate,no,no,no,cellular,dec,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x<0,x<0,x>3.634,no
21,blue-collar,married,basic.4y,no,no,yes,telephone,sep,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,0<x<1,0.634<x<1.634,no
22,self-employed,divorced,illiterate,no,yes,no,telephone,sep,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,0<x<1,x>3.634,no
23,self-employed,married,basic.4y,no,no,yes,cellular,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,x<0,0.634<x<1.634,no
24,self-employed,married,professional.course,no,no,no,telephone,oct,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,no
25,retired,single,university.degree,no,yes,yes,telephone,jul,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x<0,x<0,1.634<x<2.634,yes
26,entrepreneur,divorced,basic.4y,no,no,no,telephone,may,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,3<x<5,1.634<x<2.634,no
27,retired,married,basic.4y,no,yes,yes,cellular,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x>749,3<x<5,x>3.634,no
28,unemployed,single,illiterate,no,no,no,cellular,mar,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,0<x<249,1<x<3,0.634<x<1.634,yes
29,self-employed,divorced,basic.6y,no,yes,yes,telephone,jun,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,0<x<249,3<x<5,0.634<x<1.634,yes
30,housemaid,divorced,illiterate,no,no,no,cellular,nov,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x<0,x<0,x>3.634,no
31,housemaid,divorced,high.school,no,yes,no,cellular,mar,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,3<x<5,0.634<x<1.634,yes
32,blue-collar,divorced,basic.9y,no,yes,yes,cellular,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x>749,0<x<1,1.634<x<2.634,no
33,unemployed,married,professional.course,no,no,yes,cellular,oct,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,0<x<249,1<x<3,x>3.634,no
34,services,single,basic.9y,no,no,yes,cellular,jul,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x<0,x<0,0.634<x<1.634,yes
35,services,divorced,basic.4y,no,yes,no,cellular,aug,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,0<x<1,0.634<x<1.634,no
36,entrepreneur,divorced,basic.9y,no,no,yes,telephone,jun,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
37,unemployed,married,basic.9y,no,no,no,cellular,dec,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,0<x<1,0.634<x<1.634,no
38,retired,married,illiterate,no,no,no,cellular,jul,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,yes
39,student,married,basic.4y,no,yes,yes,cellular,dec,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x>749,x<0,x>3.634,no
40,blue-collar,married,basic.4y,no,no,yes,cellular,nov,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x>749,3<x<5,1.634<x<2.634,no
41,blue-collar,single,university.degree,no,no,yes,cellular,mar,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x<0,3<x<5,0.634<x<1.634,yes
42,unemployed,married,illiterate,no,no,yes,telephone,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,0<x<249,3<x<5,x>3.634,no
43,retired,married,basic.9y,no,yes,no,telephone,aug,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,0<x<1,x>3.634,no
44,housemaid,married,basic.6y,no,yes,yes,telephone,sep,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x>749,1<x<3,x>3.634,no
45,unemployed,divorced,high.school,no,yes,yes,telephone,aug,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x>749,0<x<1,0.634<x<1.634,no
46,self-employed,married,basic.6y,no,yes,no,telephone,mar,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,0<x<1,x>3.634,no
47,housemaid,single,university.degree,no,yes,no,telephone,jun,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,3<x<5,1.634<x<2.634,no
48,entrepreneur,single,illiterate,no,no,no,cellular,may,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x<0,x<0,x>3.634,no
49,student,single,high.school,no,no,no,cellular,dec,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,0<x<1,1.634<x<2.634,yes
50,technician,divorced,high.school,no,yes,no,cellular,oct,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x>749,3<x<5,x>3.634,no
51,student,married,professional.course,no,no,yes,cellular,mar,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,1<x<3,0.634<x<1.634,no
52,student,single,high.school,no,yes,no,cellular,oct,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x>749,3<x<5,0.634<x<1.634,no
53,housemaid,divorced,basic.9y,no,no,yes,cellular,dec,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,x<0,0.634<x<1.634,yes
54,student,single,university.degree,no,no,no,cellular,oct,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x<0,x<0,x>3.634,no
55,self-employed,single,professional.course,no,yes,yes,telephone,nov,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
56,student,divorced,basic.6y,no,no,no,telephone,aug,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,3<x<5,1.634<x<2.634,yes
57,self-employed,single,illiterate,no,yes,yes,cellular,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,3<x<5,x>3.634,no
58,admin.,married,basic.4y,no,yes,no,telephone,dec,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,0<x<249,1<x<3,x>3.634,no
59,unemployed,single,professional.course,no,yes,no,telephone,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,3<x<5,x>3.634,yes
60,services,single,illiterate,no,yes,yes,cellular,nov,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,3<x<5,0.634<x<1.634,yes
61,services,single,high.school,no,yes,no,cellular,may,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x<0,0<x<1,x>3.634,yes
62,management,single,high.school,no,no,no,telephone,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x<0,1<x<3,1.634<x<2.634,yes
63,self-employed,married,basic.4y,no,yes,no,telephone,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,0<x<249,0<x<1,0.634<x<1.634,yes
64,retired,divorced,high.school,no,no,no,cellular,aug,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,1<x<3,x>3.634,no
65,entrepreneur,single,basic.6y,no,no,no,cellular,jul,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,0<x<1,0.634<x<1.634,yes
66,student,married,basic.4y,no,no,no,telephone,nov,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x<0,x<0,0.634<x<1.634,yes
67,services,single,basic.9y,no,no,yes,cellular,dec,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,3<x<5,1.634<x<2.634,yes
68,student,single,professional.course,no,yes,no,telephone,may,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,0<x<1,1.634<x<2.634,no
69,admin.,married,basic.4y,no,yes,yes,telephone,may,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
70,entrepreneur,divorced,basic.6y,no,no,yes,telephone,sep,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x>749,1<x<3,0.634<x<1.634,no
71,housemaid,single,university.degree,no,no,yes,cellular,jun,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x>749,1<x<3,x>3.634,no
72,housemaid,divorced,illiterate,no,no,no,telephone,apr,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x>749,3<x<5,0.634<x<1.634,no
73,retired,married,basic.9y,no,yes,no,telephone,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,0<x<249,1<x<3,1.634<x<2.634,yes
74,student,married,basic.4y,no,yes,no,cellular,may,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,3<x<5,x>3.634,no
75,student,single,high.school,no,no,no,cellular,oct,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,0<x<249,1<x<3,x>3.634,no
76,blue-collar,married,illiterate,no,yes,yes,cellular,sep,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x<0,3<x<5,0.634<x<1.634,no
77,entrepreneur,married,university.degree,no,no,yes,cellular,sep,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x<0,x<0,x>3.634,no
78,technician,divorced,basic.4y,no,yes,no,cellular,apr,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,x<0,0.634<x<1.634,yes
79,housemaid,divorced,professional.course,no,no,yes,telephone,apr,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x>749,1<x<3,x>3.634,no
80,unemployed,single,university.degree,no,yes,yes,cellular,jul,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
81,housemaid,married,professional.course,no,yes,yes,cellular,jul,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x<0,1<x<3,0.634<x<1.634,yes
82,unemployed,single,professional.course,no,no,no,cellular,jul,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,yes
83,student,divorced,professional.course,no,yes,no,telephone,oct,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,0<x<1,0.634<x<1.634,yes
84,retired,single,illiterate,no,no,yes,cellular,nov,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x>749,0<x<1,0.634<x<1.634,no
85,technician,married,high.school,no,yes,no,cellular,jun,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,0<x<249,0<x<1,1.634<x<2.634,yes
86,entrepreneur,married,illiterate,no,yes,yes,telephone,aug,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,1<x<3,0.634<x<1.634,yes
87,technician,married,illiterate,no,no,no,cellular,mar,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x>749,3<x<5,1.634<x<2.634,yes
88,technician,divorced,basic.9y,no,no,yes,telephone,apr,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,3<x<5,x>3.634,no
89,unemployed,divorced,basic.4y,no,yes,no,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x>749,3<x<5,1.634<x<2.634,no
90,retired,divorced,basic.6y,no,yes,no,cellular,sep,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x>749,3<x<5,1.634<x<2.634,no
91,student,single,basic.6y,no,no,no,telephone,sep,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,0<x<1,1.634<x<2.634,yes
92,admin.,single,high.school,no,yes,yes,telephone,sep,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,0<x<249,x<0,1.634<x<2.634,no
93,housemaid,married,basic.9y,no,yes,yes,cellular,nov,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,0<x<1,0.634<x<1.634,yes
94,student,single,professional.course,no,yes,no,telephone,jul,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,x<0,x>3.634,yes
95,entrepreneur,divorced,illiterate,no,yes,no,cellular,may,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,3<x<5,1.634<x<2.634,yes
96,self-employed,divorced,illiterate,no,yes,yes,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x>749,0<x<1,0.634<x<1.634,no
97,management,divorced,professional.course,no,yes,no,cellular,may,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,0<x<1,1.634<x<2.634,no
98,management,divorced,basic.9y,no,no,no,cellular,may,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,1<x<3,0.634<x<1.634,no
99,retired,divorced,high.school,no,no,yes,telephone,dec,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x<0,0<x<1,0.634<x<1.634,yes
100,entrepreneur,divorced,high.school,no,yes,no,cellular,oct,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,0<x<249,3<x<5,x>3.634,no
101,technician,divorced,basic.9y,no,yes,yes,cellular,oct,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x>749,1<x<3,x>3.634,no
102,housemaid,single,professional.course,no,yes,yes,telephone,aug,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,0<x<1,x>3.634,no
103,retired,married,illiterate,no,yes,yes,cellular,nov,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,1<x<3,1.634<x<2.634,no
104,self-employed,divorced,basic.4y,no,yes,yes,cellular,jun,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,1<x<3,0.634<x<1.634,yes
105,student,single,basic.4y,no,no,yes,telephone,sep,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x<0,1<x<3,x>3.634,no
106,technician,divorced,high.school,no,yes,yes,telephone,apr,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x<0,0<x<1,x>3.634,no
107,technician,married,university.degree,no,yes,yes,telephone,mar,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,0<x<1,0.634<x<1.634,no
108,retired,single,high.school,no,no,yes,cellular,dec,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x<0,3<x<5,1.634<x<2.634,yes
109,admin.,single,professional.course,no,yes,yes,telephone,oct,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,3<x<5,0.634<x<1.634,no
110,admin.,divorced,basic.9y,no,no,no,telephone,aug,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x>749,0<x<1,1.634<x<2.634,no
111,admin.,single,professional.course,no,yes,yes,cellular,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x<0,0<x<1,0.634<x<1.634,yes
112,unemployed,single,professional.course,no,no,yes,telephone,sep,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,3<x<5,0.634<x<1.634,no
113,retired,married,university.degree,no,no,yes,cellular,mar,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x>749,x<0,x>3.634,no
114,unemployed,divorced,illiterate,no,no,no,cellular,apr,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x>749,x<0,x>3.634,no
115,admin.,married,basic.6y,no,no,no,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
116,management,single,high.school,no,yes,yes,telephone,may,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,x>3.634,no
117,entrepreneur,divorced,basic.6y,no,no,no,telephone,jun,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x>749,x<0,1.634<x<2.634,no
118,management,married,university.degree,no,yes,no,cellular,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,0<x<249,1<x<3,0.634<x<1.634,yes
119,blue-collar,divorced,high.school,no,no,no,telephone,sep,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x<0,0<x<1,1.634<x<2.634,no
120,unemployed,divorced,professional.course,no,yes,yes,cellular,oct,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,yes
121,retired,divorced,basic.6y,no,yes,no,cellular,oct,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x>749,1<x<3,x>3.634,no
122,self-employed,married,basic.6y,no,yes,no,telephone,mar,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,x<0,x>3.634,no
123,blue-collar,divorced,illiterate,no,yes,no,telephone,aug,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,0<x<1,0.634<x<1.634,no
124,student,single,professional.course,no,no,no,cellular,sep,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,1<x<3,0.634<x<1.634,yes
125,blue-collar,divorced,illiterate,no,no,no,telephone,jun,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,0<x<249,0<x<1,x>3.634,no
126,retired,married,basic.4y,no,no,yes,telephone,may,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,0<x<1,0.634<x<1.634,no
127,technician,married,basic.6y,no,yes,yes,cellular,apr,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x<0,0<x<1,1.634<x<2.634,yes
128,services,married,basic.9y,no,yes,no,cellular,aug,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,x<0,1.634<x<2.634,yes
129,student,single,high.school,no,no,yes,cellular,oct,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,0<x<249,0<x<1,1.634<x<2.634,yes
130,student,married,professional.course,no,yes,no,cellular,apr,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,1<x<3,x>3.634,yes
131,student,married,basic.4y,no,no,yes,cellular,may,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x<0,x<0,x>3.634,no
132,services,divorced,illiterate,no,yes,yes,cellular,jun,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,x<0,0.634<x<1.634,no
