id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents,class
56,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
57,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
58,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,0.0<x<5.0,NO
59,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
60,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
61,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
62,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
63,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,x<0,0<x<13,x<0,0.0<x<5.0,NO
64,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,0.0<x<5.0,NO
65,x<0.0,51<x<77,x<0,x<0.0,x<0.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
66,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,x<0.0,NO
67,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,x<0.0,YES
68,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,x<0,0.0<x<5.0,NO
69,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,x<0.0,NO
70,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
71,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,x<0,0<x<24,x<0.0,NO
72,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,x<0.0,NO
73,x<0.0,25<x<51,x<0,x<0.0,x<0.0,14<x<29,x<0,x<0,x<0,0.0<x<5.0,NO
74,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,0.0<x<5.0,NO
75,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
76,x<0.0,51<x<77,x<0,x<0.0,x<0.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
77,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
78,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,x<0.0,NO
79,x<0.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
80,x<0.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
81,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,0<x<24,x<0.0,NO
82,0.0<x<12677.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,x<0,5.0<x<10.0,NO
83,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
84,x<0.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
85,x<0.0,x>77,x<0,x<0.0,x<0.0,0<x<14,x<0,0<x<13,x<0,x<0.0,NO
86,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,x>43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
87,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
88,x<0.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,x<0,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
89,x<0.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
90,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,x<0.0,NO
91,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,0<x<24,x<0.0,NO
92,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
93,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
94,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
95,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,x<0.0,NO
96,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,x<0.0,NO
97,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,x<0.0,NO
98,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,x<0.0,NO
99,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
100,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,x<0,0<x<24,x<0.0,YES
101,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,x<0,5.0<x<10.0,NO
102,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
103,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,0<x<24,5.0<x<10.0,NO
104,x<0.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,x<0,0<x<24,x<0.0,NO
105,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,x<0.0,NO
106,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
107,x<0.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,5.0<x<10.0,NO
108,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,0.0<x<5.0,NO
109,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
110,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,x<0.0,NO
111,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
112,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,0.0<x<5.0,NO
113,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
114,0.0<x<12677.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,0.0<x<5.0,NO
115,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,x<0,0<x<13,x<0,x<0.0,NO
116,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
117,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,14<x<29,x<0,13<x<27,x<0,5.0<x<10.0,NO
118,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
119,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
120,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
121,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,x<0.0,NO
122,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
123,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
124,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,x<0.0,NO
125,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
126,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,5.0<x<10.0,NO
127,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
128,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,0<x<24,x<0.0,NO
129,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,x<0,5.0<x<10.0,NO
130,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,0.0<x<5.0,NO
131,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,x<0,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
132,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,x>43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
133,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
134,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,13<x<27,x<0,x<0.0,NO
135,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
136,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,x<0.0,NO
137,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
138,x<0.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
139,x<0.0,25<x<51,x<0,x<0.0,x<0.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
140,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
141,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,YES
142,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,x<0,x<0,x<0.0,NO
143,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
144,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,5.0<x<10.0,YES
145,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
146,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
147,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
148,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
149,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
150,x<0.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
151,0.0<x<12677.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
152,x<0.0,x>77,x<0,x<0.0,x<0.0,29<x<43,x<0,x<0,0<x<24,5.0<x<10.0,NO
153,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,x<0,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
154,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,x<0,x<0,0.0<x<5.0,NO
155,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,0<x<24,x<0.0,NO
156,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,x<0.0,NO
157,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,0<x<24,0.0<x<5.0,NO
158,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
159,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,x<0,0<x<24,5.0<x<10.0,NO
160,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,0<x<24,5.0<x<10.0,NO
161,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
162,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,x<0,x<0,0.0<x<5.0,NO
163,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
164,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
165,x<0.0,51<x<77,x<0,x<0.0,x<0.0,x<0,x<0,x<0,x<0,5.0<x<10.0,NO
166,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,x<0,0<x<24,x<0,x<0,x<0.0,NO
167,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,x<0,0<x<24,x<0.0,NO
168,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,x<0,x<0.0,NO
169,x<0.0,51<x<77,x<0,x<0.0,x<0.0,29<x<43,x<0,x<0,x<0,0.0<x<5.0,NO
170,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
171,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
172,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
173,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
174,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,x>43,x<0,x<0,0<x<24,0.0<x<5.0,NO
175,x<0.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
176,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,5.0<x<10.0,YES
177,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
178,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
179,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,x<0,5.0<x<10.0,NO
180,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,0.0<x<5.0,NO
181,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,x<0.0,NO
182,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
183,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,x<0,x<0,0.0<x<5.0,NO
184,x<0.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
185,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,x<0.0,YES
186,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,x<0.0,YES
187,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,0<x<24,x<0.0,NO
188,x<0.0,0<x<25,x<0,x<0.0,x<0.0,x>43,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
189,x<0.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
190,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
