id,RevolvingUtilizationOfUnsecuredLines,DebtRatio,Unnamed: 0,age,NumberOfTime30-59DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,class
29,0.168772615,0.08049535599999999,1205<x<1807,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,0<x<2,NO
30,0.007560791,15.47011952,603<x<1205,x>75,0<x<24,1<x<15897,x>34,x<24,4<x<8,0<x<24,0<x<2,NO
31,0.537344212,0.129354508,1205<x<1807,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,x<4,0<x<24,x>6,NO
32,0.211206477,0.242652507,1205<x<1807,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,2<x<4,NO
33,0.160899231,0.785404865,x>1807,39<x<57,0<x<24,15897<x<31794,0<x<11,0<x<24,0<x<4,0<x<24,x>6,NO
34,0.8960348459999999,0.18566124,603<x<1205,21<x<39,0<x<24,1<x<15897,11<x<23,0<x<24,x<4,0<x<24,x>6,NO
35,0.13895353800000002,0.49730054,2<x<603,21<x<39,x>73,1<x<15897,23<x<34,x<24,0<x<4,0<x<24,2<x<4,NO
36,0.444218359,0.270289344,603<x<1205,21<x<39,0<x<24,1<x<15897,0<x<11,0<x<24,x>12,x>73,x>6,NO
37,0.120129329,0.432010059,x>1807,x>75,x<24,1<x<15897,11<x<23,0<x<24,x>12,0<x<24,2<x<4,NO
38,0.99200034,0.34487992100000003,1205<x<1807,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,2<x<4,YES
39,0.337388426,0.796093932,2<x<603,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,x>73,4<x<6,NO
40,0.697812691,0.241675832,1205<x<1807,39<x<57,x>73,1<x<15897,23<x<34,x>73,8<x<12,0<x<24,x>6,NO
41,0.891824326,0.102670277,1205<x<1807,39<x<57,0<x<24,1<x<15897,23<x<34,x>73,0<x<4,x<24,x>6,NO
42,0.797074218,0.19618869100000005,x>1807,21<x<39,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x>73,2<x<4,NO
43,0.397702982,0.430297475,2<x<603,39<x<57,0<x<24,1<x<15897,23<x<34,x<24,4<x<8,0<x<24,2<x<4,NO
44,0.241148359,0.372513562,1205<x<1807,21<x<39,0<x<24,1<x<15897,0<x<11,x<24,0<x<4,x<24,4<x<6,NO
45,0.058720891,0.712194056,2<x<603,21<x<39,0<x<24,1<x<15897,0<x<11,0<x<24,x>12,x<24,0<x<2,NO
46,0.099386576,0.735131912,1205<x<1807,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,x<24,4<x<6,NO
47,0.412657703,1.51545916,x>1807,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,4<x<6,NO
48,0.987367106,0.340329835,x>1807,21<x<39,0<x<24,1<x<15897,x>34,0<x<24,0<x<4,0<x<24,4<x<6,NO
49,0.328303003,0.7180939690000001,1205<x<1807,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,8<x<12,0<x<24,4<x<6,NO
50,0.238016933,0.25431323100000003,2<x<603,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,2<x<4,NO
51,0.003722015,0.007223475999999999,2<x<603,21<x<39,x<24,1<x<15897,23<x<34,0<x<24,x<4,0<x<24,4<x<6,NO
52,0.025549434,0.19170579,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,x>73,2<x<4,NO
53,0.311908921,0.26226574,x>1807,39<x<57,x<24,1<x<15897,11<x<23,x<24,4<x<8,x>73,0<x<2,NO
54,0.8271510129999999,0.512998,2<x<603,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,x>73,x>6,NO
55,0.027789211,0.418702196,x>1807,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,x>6,NO
56,0.040795358,0.251769464,603<x<1205,57<x<75,x<24,1<x<15897,0<x<11,0<x<24,8<x<12,x>73,4<x<6,NO
57,0.309359655,0.34805720799999995,x>1807,39<x<57,0<x<24,1<x<15897,11<x<23,x>73,0<x<4,0<x<24,x>6,NO
58,0.030586236,0.335733141,603<x<1205,21<x<39,x>73,1<x<15897,0<x<11,x>73,4<x<8,0<x<24,4<x<6,NO
59,0.030173038,0.00235248,2<x<603,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,x<24,2<x<4,NO
60,0.259772812,0.31834083,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,8<x<12,0<x<24,0<x<2,NO
61,0.238829674,0.00235248,2<x<603,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,x>73,x>6,NO
62,0.425149701,0.372395469,603<x<1205,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,x<24,2<x<4,NO
63,0.540204354,0.277165033,2<x<603,x<39,0<x<24,1<x<15897,0<x<11,x>73,4<x<8,0<x<24,0<x<2,NO
64,1.026692332,0.186225718,x>1807,57<x<75,0<x<24,1<x<15897,23<x<34,x<24,8<x<12,0<x<24,x>6,YES
65,0.093598023,0.710764938,x>1807,21<x<39,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,0<x<2,YES
66,0.375897212,0.4579306420000001,2<x<603,57<x<75,0<x<24,1<x<15897,0<x<11,0<x<24,x<4,0<x<24,2<x<4,NO
67,0.173428408,0.130234791,2<x<603,57<x<75,0<x<24,1<x<15897,x<11,0<x<24,0<x<4,0<x<24,0<x<2,NO
68,0.039096506,5.0,1205<x<1807,39<x<57,x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,x<2,NO
69,0.178964154,0.03975841,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,x<2,NO
70,0.39142696,0.1828594,2<x<603,39<x<57,x>73,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,4<x<6,NO
71,0.319447649,0.31834083,2<x<603,57<x<75,x<24,1<x<15897,23<x<34,x>73,8<x<12,0<x<24,2<x<4,NO
72,0.48092721,0.374094099,1205<x<1807,39<x<57,x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,4<x<6,NO
73,0.355669745,1.249135868,603<x<1205,21<x<39,x<24,1<x<15897,23<x<34,0<x<24,x>12,x<24,2<x<4,NO
74,0.075627307,0.387204265,1205<x<1807,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,8<x<12,x>73,x<2,NO
75,0.049761737,0.162335066,x>1807,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,2<x<4,YES
76,0.006799093000000001,0.17356528699999998,1205<x<1807,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,x>6,NO
77,0.002349883,0.004624045,603<x<1205,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,2<x<4,NO
78,0.098515058,0.8925739009999999,2<x<603,57<x<75,x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,x>6,NO
79,0.346765323,0.164917541,x>1807,x>75,x>73,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,4<x<6,NO
80,0.00339983,0.277920594,x>1807,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,x<24,0<x<2,NO
81,0.368875933,0.116188381,1205<x<1807,57<x<75,0<x<24,15897<x<31794,0<x<11,0<x<24,0<x<4,0<x<24,4<x<6,NO
82,0.380440179,0.420310806,603<x<1205,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,x<24,0<x<2,NO
83,0.099815157,0.234654633,603<x<1205,57<x<75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,4<x<6,NO
84,0.002140517,0.378525482,603<x<1205,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,2<x<4,NO
85,0.184182617,0.260749173,1205<x<1807,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,4<x<6,NO
86,0.181442474,0.8083404740000001,2<x<603,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,x>12,0<x<24,4<x<6,NO
87,0.151567098,0.160787992,x>1807,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,2<x<4,YES
88,0.55613391,0.085512189,2<x<603,57<x<75,0<x<24,1<x<15897,11<x<23,x<24,4<x<8,0<x<24,x<2,NO
89,0.08947834800000001,0.06349824700000001,2<x<603,x>75,0<x<24,15897<x<31794,23<x<34,0<x<24,0<x<4,0<x<24,x<2,NO
90,0.924107143,0.396354014,2<x<603,39<x<57,0<x<24,1<x<15897,0<x<11,x>73,4<x<8,0<x<24,2<x<4,NO
91,0.909538698,0.129623459,603<x<1205,39<x<57,0<x<24,1<x<15897,23<x<34,x<24,x<4,0<x<24,2<x<4,NO
92,0.229616088,1.861569215,x>1807,x>75,0<x<24,1<x<15897,23<x<34,x<24,4<x<8,0<x<24,2<x<4,NO
93,0.335558577,0.635515265,2<x<603,21<x<39,0<x<24,1<x<15897,x<11,x<24,x<4,0<x<24,x>6,NO
94,0.070324183,0.258589038,2<x<603,x>75,0<x<24,1<x<15897,11<x<23,0<x<24,x<4,0<x<24,x>6,NO
95,0.443626281,0.558411882,1205<x<1807,57<x<75,x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,x>6,NO
96,0.457431884,0.323088235,603<x<1205,x>75,0<x<24,1<x<15897,11<x<23,x<24,4<x<8,0<x<24,x>6,NO
97,0.486651335,0.549862534,x>1807,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,0<x<2,YES
98,0.04550585,0.061269518,x>1807,39<x<57,x>73,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,x>6,NO
99,0.255829447,0.178184282,1205<x<1807,57<x<75,0<x<24,1<x<15897,11<x<23,x<24,4<x<8,0<x<24,0<x<2,NO
100,0.056895398,0.182433958,603<x<1205,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,0<x<2,YES
101,0.187409279,0.389627295,2<x<603,57<x<75,0<x<24,1<x<15897,x<11,0<x<24,x>12,0<x<24,x>6,NO
102,0.135407518,0.004385965,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,4<x<6,NO
103,0.158624144,0.189702574,2<x<603,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,x>73,4<x<6,NO
104,0.123206192,0.166215372,1205<x<1807,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,8<x<12,0<x<24,2<x<4,YES
105,0.091106715,0.16289178699999998,2<x<603,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,x<2,NO
106,0.695345414,0.024340075,603<x<1205,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,4<x<6,NO
107,0.452864285,0.60255418,1205<x<1807,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,2<x<4,NO
108,0.205031355,0.4375,603<x<1205,x>75,x>73,1<x<15897,23<x<34,0<x<24,4<x<8,x>73,x<2,NO
109,0.147123525,0.151914167,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,x<4,x>73,0<x<2,NO
110,0.02731285,0.38708711,x>1807,57<x<75,x>73,1<x<15897,11<x<23,0<x<24,x<4,x>73,0<x<2,NO
111,0.191115056,0.436352254,x>1807,x>75,x>73,1<x<15897,23<x<34,0<x<24,0<x<4,x>73,x<2,NO
112,0.006137825,0.003127443,1205<x<1807,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,x>6,NO
113,0.02389662,0.297933792,2<x<603,21<x<39,x<24,1<x<15897,0<x<11,x<24,x>12,x>73,x>6,NO
114,0.506995336,0.179975176,603<x<1205,57<x<75,x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,2<x<4,NO
115,0.584844623,0.08997001,x>1807,21<x<39,0<x<24,1<x<15897,11<x<23,x>73,x<4,x<24,2<x<4,NO
116,0.456585044,0.06332278,603<x<1205,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,x>6,NO
117,0.243426286,0.375291634,2<x<603,39<x<57,0<x<24,1<x<15897,23<x<34,x<24,4<x<8,0<x<24,0<x<2,NO
118,0.009917446,0.261609907,603<x<1205,21<x<39,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,x<24,4<x<6,NO
119,0.487720982,0.480057771,603<x<1205,21<x<39,0<x<24,1<x<15897,23<x<34,x<24,0<x<4,x<24,2<x<4,NO
120,0.059077637,0.374094099,603<x<1205,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,8<x<12,x<24,x<2,NO
121,0.02374947,0.4842141,2<x<603,21<x<39,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,x>6,NO
122,0.15664578099999998,1.862758161,2<x<603,57<x<75,x<24,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,x>6,NO
123,0.57762185,0.367097806,603<x<1205,x>75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x>73,0<x<2,NO
124,0.045585854,0.7124587459999999,x>1807,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,0<x<24,x>6,NO
125,0.714972501,0.748603352,603<x<1205,x>75,0<x<24,15897<x<31794,0<x<11,x>73,4<x<8,x>73,x>6,NO
126,0.703167083,0.282177432,1205<x<1807,x>75,0<x<24,1<x<15897,x<11,0<x<24,4<x<8,x>73,x>6,NO
127,0.276726657,0.293398759,603<x<1205,39<x<57,x<24,1<x<15897,11<x<23,0<x<24,8<x<12,0<x<24,4<x<6,NO
128,0.972150876,0.300956799,x>1807,x>75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x>73,2<x<4,NO
129,0.612030682,0.31035201,x>1807,57<x<75,x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,2<x<4,NO
130,0.057155929,0.48955495,2<x<603,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,8<x<12,x>73,2<x<4,NO
131,0.8465748809999999,0.233524355,1205<x<1807,57<x<75,0<x<24,x>47691,23<x<34,0<x<24,0<x<4,0<x<24,2<x<4,NO
132,0.000933292,0.353441093,x>1807,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,x>12,x>73,0<x<2,NO
133,0.196960608,0.003763643,1205<x<1807,39<x<57,0<x<24,15897<x<31794,11<x<23,0<x<24,x>12,0<x<24,2<x<4,NO
134,0.135407518,0.81300813,x>1807,39<x<57,0<x<24,1<x<15897,11<x<23,x>73,0<x<4,x>73,0<x<2,NO
135,0.011883886,0.5780703220000001,1205<x<1807,x>75,x<24,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,0<x<2,YES
136,0.085363988,0.008886914000000001,x>1807,21<x<39,0<x<24,15897<x<31794,0<x<11,0<x<24,4<x<8,x<24,0<x<2,NO
137,0.857044762,0.632371083,x>1807,21<x<39,0<x<24,1<x<15897,23<x<34,x>73,0<x<4,0<x<24,x>6,NO
138,0.888822236,0.178065755,x>1807,39<x<57,x<24,1<x<15897,11<x<23,0<x<24,x<4,0<x<24,4<x<6,NO
139,0.193612774,0.558762411,2<x<603,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,x>12,0<x<24,4<x<6,NO
140,0.5035879870000001,0.362135177,1205<x<1807,57<x<75,x>73,1<x<15897,11<x<23,0<x<24,4<x<8,x<24,2<x<4,NO
141,0.180162143,0.157212981,x>1807,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,4<x<6,YES
142,0.091201293,0.179793912,2<x<603,57<x<75,0<x<24,1<x<15897,11<x<23,x<24,0<x<4,0<x<24,x>6,NO
143,0.025856408,0.18827406,1205<x<1807,21<x<39,0<x<24,15897<x<31794,0<x<11,0<x<24,4<x<8,0<x<24,4<x<6,NO
144,0.133688867,0.662152897,603<x<1205,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,8<x<12,0<x<24,4<x<6,NO
145,0.92778985,0.13311688300000002,1205<x<1807,21<x<39,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,x>6,NO
146,0.039799276,0.207164676,2<x<603,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,8<x<12,0<x<24,0<x<2,NO
147,0.911663333,0.26775232,2<x<603,x>75,x<24,1<x<15897,11<x<23,0<x<24,x>12,0<x<24,x>6,NO
148,0.281880372,0.000526177,603<x<1205,39<x<57,x>73,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,x>6,NO
149,0.268399353,0.03016164,2<x<603,57<x<75,0<x<24,1<x<15897,x<11,0<x<24,4<x<8,0<x<24,x>6,NO
150,0.063688754,0.491100593,2<x<603,x>75,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,0<x<2,YES
151,0.928188347,0.241103559,603<x<1205,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,0<x<2,NO
152,0.093598023,0.900911497,603<x<1205,57<x<75,0<x<24,1<x<15897,11<x<23,x<24,4<x<8,0<x<24,2<x<4,NO
153,0.007560791,0.438651591,603<x<1205,57<x<75,0<x<24,1<x<15897,x<11,0<x<24,4<x<8,x<24,4<x<6,NO
154,0.5701228220000001,0.400887929,1205<x<1807,x>75,x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,x>6,NO
155,0.55986436,1.065304309,2<x<603,57<x<75,x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,0<x<2,NO
156,0.099482078,0.017903057,603<x<1205,21<x<39,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,x<24,2<x<4,NO
157,0.353155374,0.024340075,603<x<1205,x>75,x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,x>6,NO
158,0.905468868,0.0076175969999999985,603<x<1205,57<x<75,0<x<24,1<x<15897,x<11,0<x<24,4<x<8,x>73,x>6,NO
159,0.01339933,0.691921005,1205<x<1807,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,0<x<2,YES
160,0.166284079,0.193786454,x>1807,39<x<57,0<x<24,1<x<15897,0<x<11,x>73,4<x<8,0<x<24,0<x<2,YES
161,0.930933445,0.866732547,1205<x<1807,57<x<75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,2<x<4,NO
162,0.924107143,0.432119554,1205<x<1807,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,x<2,NO
163,0.07873891599999999,0.337622356,603<x<1205,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,x<2,NO
164,0.635720859,0.387204265,603<x<1205,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,8<x<12,0<x<24,2<x<4,NO
165,0.003554418,0.694646949,2<x<603,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,x<4,0<x<24,0<x<2,YES
166,0.420629115,0.195074372,603<x<1205,21<x<39,0<x<24,1<x<15897,0<x<11,x<24,0<x<4,0<x<24,x>6,NO
167,0.663605086,0.342544069,2<x<603,21<x<39,0<x<24,1<x<15897,23<x<34,x>73,4<x<8,0<x<24,0<x<2,NO
168,0.508008865,0.218854341,x>1807,x>75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,2<x<4,NO
169,0.18326583,0.313812313,2<x<603,x>75,0<x<24,1<x<15897,0<x<11,x<24,0<x<4,0<x<24,0<x<2,NO
170,0.29739805,0.187713925,603<x<1205,39<x<57,0<x<24,1<x<15897,0<x<11,x>73,0<x<4,x<24,2<x<4,NO
171,0.397702982,0.24047578,1205<x<1807,21<x<39,0<x<24,1<x<15897,23<x<34,x>73,x>12,0<x<24,x>6,NO
172,0.791173628,0.657354741,1205<x<1807,x>75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x>73,4<x<6,NO
173,0.239984263,0.044093178,603<x<1205,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,x>6,NO
174,0.924271715,0.17953362,x>1807,39<x<57,0<x<24,1<x<15897,0<x<11,x>73,0<x<4,0<x<24,x<2,NO
175,1.089825848,0.085240726,2<x<603,39<x<57,0<x<24,1<x<15897,0<x<11,x<24,0<x<4,0<x<24,2<x<4,NO
176,0.811623025,0.308086489,603<x<1205,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,x>73,x>6,NO
177,0.9072394,0.7001533740000001,1205<x<1807,57<x<75,0<x<24,1<x<15897,23<x<34,x>73,0<x<4,0<x<24,4<x<6,NO
178,0.026621989,0.294355859,x>1807,57<x<75,0<x<24,1<x<15897,0<x<11,x<24,x<4,0<x<24,x>6,NO
179,0.114830941,0.004916257,x>1807,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,0<x<2,NO
180,0.017639294,0.096446701,1205<x<1807,57<x<75,0<x<24,15897<x<31794,11<x<23,0<x<24,4<x<8,x<24,2<x<4,NO
181,0.903123346,0.389895596,2<x<603,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,0<x<2,NO
182,0.151567098,0.155201143,x>1807,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,2<x<4,YES
183,0.039753447,0.355906118,x>1807,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,x<2,NO
184,0.003690934,0.312937413,603<x<1205,21<x<39,0<x<24,1<x<15897,x>34,0<x<24,4<x<8,x>73,4<x<6,NO
185,0.999578992,0.491100593,1205<x<1807,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,2<x<4,NO
186,0.0,0.09963548,1205<x<1807,39<x<57,x>73,1<x<15897,11<x<23,0<x<24,0<x<4,x<24,0<x<2,NO
187,0.460986829,0.415656243,2<x<603,57<x<75,0<x<24,15897<x<31794,23<x<34,0<x<24,0<x<4,0<x<24,0<x<2,NO
188,0.247135843,0.443755624,x>1807,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,x<4,0<x<24,2<x<4,NO
189,0.279441118,0.43115721,2<x<603,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,x<2,NO
190,0.14938018,0.014133058,603<x<1205,57<x<75,0<x<24,1<x<15897,23<x<34,x<24,8<x<12,x>73,0<x<2,NO
191,0.320599996,0.19675058,2<x<603,21<x<39,x<24,1<x<15897,23<x<34,0<x<24,8<x<12,0<x<24,2<x<4,NO
192,0.8465748809999999,0.494088583,x>1807,x>75,x<24,1<x<15897,11<x<23,x>73,0<x<4,x<24,x>6,NO
193,0.000416655,0.735554618,1205<x<1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,0<x<24,2<x<4,NO
194,0.493802479,0.145237897,1205<x<1807,57<x<75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,x>73,2<x<4,NO
