id,workclass,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
94, Federal_gov, 10th, Wife, Asian_Pac_Islander, Female, South,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
95, Self_emp_inc, Assoc_voc, Not_in_family, Black, Female, Cambodia,17<x<35,21174<x<274186,1<x<4,1<x<25,LOW
96, Self_emp_not_inc, 1st_4th, Unmarried, Other, Male, France,53<x<71,21174<x<274186,8<x<12,25<x<50,LOW
97, State_gov, Doctorate, Not_in_family, Amer_Indian_Eskimo, Female, England,35<x<53,21174<x<274186,x>12,50<x<74,LOW
98, Private, 11th, Wife, Other, Female, Dominican_Republic,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
99, Self_emp_not_inc, Some_college, Own_child, Other, Female, Puerto_Rico,35<x<53,274186<x<527198,4<x<8,25<x<50,LOW
100, Self_emp_not_inc, 7th_8th, Own_child, Amer_Indian_Eskimo, Female, Cuba,x>71,21174<x<274186,x<4,25<x<50,LOW
101, Local_gov, Some_college, Not_in_family, Amer_Indian_Eskimo, Male, Italy,35<x<53,21174<x<274186,x>12,50<x<74,LOW
102, Local_gov, 12th, Other_relative, Amer_Indian_Eskimo, Female, Honduras,x<35,21174<x<274186,x<4,25<x<50,LOW
103, Self_emp_not_inc, Some_college, Unmarried, White, Male, Mexico,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
104, Self_emp_inc, Assoc_acdm, Unmarried, Other, Female, Portugal,x>71,274186<x<527198,1<x<4,25<x<50,LOW
105, Self_emp_not_inc, 5th_6th, Wife, Other, Male, Guatemala,35<x<53,21174<x<274186,x<4,50<x<74,LOW
106, State_gov, Preschool, Not_in_family, Black, Female, Iran,17<x<35,274186<x<527198,x>12,50<x<74,LOW
107, State_gov, Doctorate, Other_relative, Black, Male, Haiti,x>71,21174<x<274186,4<x<8,1<x<25,LOW
108, Self_emp_inc, Doctorate, Own_child, Amer_Indian_Eskimo, Male, China,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
109, Local_gov, HS_grad, Not_in_family, Amer_Indian_Eskimo, Male, Canada,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
110, State_gov, Assoc_voc, Own_child, Amer_Indian_Eskimo, Female, Germany,53<x<71,274186<x<527198,x>12,1<x<25,LOW
111, Self_emp_inc, HS_grad, Other_relative, White, Male, Laos,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
112, Self_emp_not_inc, Prof_school, Other_relative, Black, Female, South,x>71,21174<x<274186,1<x<4,25<x<50,LOW
113, Federal_gov, Assoc_acdm, Wife, Other, Male, China,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
114, Self_emp_inc, 1st_4th, Unmarried, Black, Female, Poland,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
115, Self_emp_not_inc, Prof_school, Wife, Amer_Indian_Eskimo, Male, Japan,17<x<35,21174<x<274186,1<x<4,x>74,LOW
116, Self_emp_not_inc, Preschool, Wife, Black, Male, China,x<35,21174<x<274186,1<x<4,25<x<50,LOW
117, Local_gov, 7th_8th, Own_child, Asian_Pac_Islander, Female, South,17<x<35,21174<x<274186,1<x<4,1<x<25,LOW
118, Federal_gov, 12th, Not_in_family, Black, Female, Canada,53<x<71,21174<x<274186,x<4,25<x<50,LOW
119, Self_emp_not_inc, 12th, Wife, Amer_Indian_Eskimo, Male, Poland,35<x<53,274186<x<527198,x>12,x>74,LOW
120, Private, 1st_4th, Unmarried, White, Male, El_Salvador,x>71,527198<x<780210,4<x<8,50<x<74,LOW
121, Local_gov, 10th, Not_in_family, Other, Male, United_States,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
122, Self_emp_not_inc, 7th_8th, Other_relative, Asian_Pac_Islander, Female, Canada,35<x<53,21174<x<274186,4<x<8,50<x<74,LOW
123, Private, Bachelors, Own_child, Asian_Pac_Islander, Male, Philippines,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
124, Self_emp_not_inc, Prof_school, Other_relative, Other, Male, Jamaica,17<x<35,21174<x<274186,x<4,25<x<50,LOW
125, Self_emp_inc, 1st_4th, Husband, Other, Male, Yugoslavia,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
126, Local_gov, 9th, Not_in_family, Asian_Pac_Islander, Male, Iran,53<x<71,21174<x<274186,4<x<8,50<x<74,LOW
127, Self_emp_inc, 12th, Own_child, Amer_Indian_Eskimo, Female, Canada,x<35,274186<x<527198,8<x<12,50<x<74,LOW
128, Self_emp_inc, Assoc_acdm, Unmarried, Asian_Pac_Islander, Female, Philippines,x>71,21174<x<274186,x>12,1<x<25,LOW
129, State_gov, Doctorate, Husband, White, Male, Iran,53<x<71,274186<x<527198,x>12,50<x<74,HIGH
130, Local_gov, Bachelors, Own_child, White, Male, Taiwan,x>71,21174<x<274186,1<x<4,1<x<25,LOW
131, Federal_gov, 1st_4th, Other_relative, Asian_Pac_Islander, Male, Ecuador,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
132, Federal_gov, 10th, Own_child, White, Female, Poland,53<x<71,21174<x<274186,x>12,50<x<74,LOW
133, Self_emp_inc, 10th, Husband, White, Female, Portugal,53<x<71,21174<x<274186,8<x<12,x>74,LOW
134, Private, 10th, Other_relative, Other, Male, Canada,x>71,21174<x<274186,1<x<4,1<x<25,LOW
135, Private, Assoc_acdm, Other_relative, White, Male, Italy,53<x<71,21174<x<274186,x<4,25<x<50,LOW
136, Federal_gov, 5th_6th, Other_relative, Other, Male, El_Salvador,17<x<35,274186<x<527198,1<x<4,1<x<25,LOW
137, Federal_gov, Some_college, Husband, Amer_Indian_Eskimo, Male, Honduras,35<x<53,21174<x<274186,4<x<8,x<25,HIGH
138, Self_emp_inc, Bachelors, Unmarried, Asian_Pac_Islander, Female, Cuba,17<x<35,21174<x<274186,1<x<4,50<x<74,LOW
139, State_gov, 1st_4th, Unmarried, Amer_Indian_Eskimo, Female, France,53<x<71,21174<x<274186,x<4,25<x<50,LOW
140, Self_emp_not_inc, Bachelors, Own_child, Black, Male, China,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
141, State_gov, Prof_school, Unmarried, Black, Male, Guatemala,53<x<71,21174<x<274186,8<x<12,50<x<74,LOW
142, Self_emp_not_inc, HS_grad, Other_relative, Other, Male, Yugoslavia,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
143, Federal_gov, 9th, Other_relative, Asian_Pac_Islander, Male, Taiwan,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
144, Local_gov, Some_college, Husband, Black, Male, England,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
145, Local_gov, 5th_6th, Not_in_family, White, Male, Guatemala,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
146, Self_emp_not_inc, 10th, Other_relative, Asian_Pac_Islander, Female, Germany,x>71,21174<x<274186,x>12,1<x<25,LOW
147, Self_emp_not_inc, 12th, Not_in_family, Amer_Indian_Eskimo, Male, Puerto_Rico,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
148, Self_emp_inc, Assoc_voc, Own_child, Black, Female, Yugoslavia,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
149, Local_gov, Preschool, Not_in_family, White, Male, Haiti,x>71,21174<x<274186,4<x<8,1<x<25,LOW
150, Federal_gov, Doctorate, Own_child, White, Female, Poland,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
151, Private, Assoc_acdm, Own_child, Amer_Indian_Eskimo, Male, Laos,x>71,21174<x<274186,x>12,25<x<50,LOW
152, Local_gov, Assoc_acdm, Not_in_family, Other, Female, India,53<x<71,21174<x<274186,x<4,50<x<74,LOW
153, State_gov, Preschool, Own_child, Amer_Indian_Eskimo, Female, Canada,35<x<53,274186<x<527198,1<x<4,25<x<50,LOW
154, Local_gov, 11th, Other_relative, Amer_Indian_Eskimo, Male, Puerto_Rico,53<x<71,21174<x<274186,4<x<8,x<25,LOW
155, Local_gov, Bachelors, Not_in_family, Black, Male, Dominican_Republic,17<x<35,21174<x<274186,x>12,1<x<25,LOW
156, Self_emp_inc, Assoc_acdm, Husband, Black, Male, India,53<x<71,21174<x<274186,8<x<12,x>74,HIGH
157, Private, 1st_4th, Other_relative, White, Male, Jamaica,17<x<35,21174<x<274186,x>12,1<x<25,LOW
158, Self_emp_inc, HS_grad, Husband, Other, Male, England,35<x<53,21174<x<274186,x>12,x>74,HIGH
159, Federal_gov, Doctorate, Not_in_family, Black, Male, Japan,35<x<53,21174<x<274186,x>12,25<x<50,HIGH
160, Self_emp_inc, 9th, Other_relative, Amer_Indian_Eskimo, Male, Italy,53<x<71,21174<x<274186,8<x<12,50<x<74,LOW
161, Self_emp_inc, Preschool, Husband, Asian_Pac_Islander, Female, Germany,17<x<35,21174<x<274186,x<4,1<x<25,LOW
162, Private, 1st_4th, Own_child, Other, Female, Laos,35<x<53,274186<x<527198,8<x<12,1<x<25,LOW
163, Self_emp_not_inc, Doctorate, Own_child, Asian_Pac_Islander, Male, Japan,35<x<53,21174<x<274186,1<x<4,25<x<50,LOW
164, Local_gov, Assoc_voc, Not_in_family, Other, Female, Haiti,x>71,21174<x<274186,8<x<12,1<x<25,LOW
165, Private, Preschool, Wife, Amer_Indian_Eskimo, Male, Philippines,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
166, Private, Preschool, Not_in_family, Asian_Pac_Islander, Female, Cambodia,x>71,21174<x<274186,x>12,1<x<25,LOW
167, Private, 1st_4th, Unmarried, Black, Female, Dominican_Republic,35<x<53,21174<x<274186,x>12,25<x<50,LOW
168, Federal_gov, 9th, Not_in_family, White, Female, Puerto_Rico,53<x<71,21174<x<274186,x>12,25<x<50,HIGH
169, Federal_gov, 9th, Husband, Amer_Indian_Eskimo, Male, Poland,17<x<35,274186<x<527198,4<x<8,25<x<50,LOW
170, State_gov, Some_college, Husband, Amer_Indian_Eskimo, Female, Ecuador,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
171, Federal_gov, 9th, Other_relative, White, Female, Cuba,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
172, Local_gov, 10th, Husband, Asian_Pac_Islander, Male, France,35<x<53,21174<x<274186,1<x<4,x>74,LOW
173, Self_emp_inc, 11th, Husband, Amer_Indian_Eskimo, Male, India,53<x<71,21174<x<274186,x<4,25<x<50,LOW
174, Local_gov, Assoc_acdm, Not_in_family, Black, Female, Puerto_Rico,17<x<35,21174<x<274186,4<x<8,x>74,LOW
175, Self_emp_inc, Preschool, Wife, Black, Female, Thailand,x>71,274186<x<527198,x>12,1<x<25,LOW
176, Self_emp_not_inc, HS_grad, Other_relative, Amer_Indian_Eskimo, Female, Guatemala,x>71,21174<x<274186,4<x<8,1<x<25,LOW
177, Federal_gov, Bachelors, Not_in_family, Black, Female, Philippines,x>71,21174<x<274186,4<x<8,50<x<74,LOW
178, Self_emp_inc, Some_college, Husband, Other, Female, Ecuador,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
179, Federal_gov, 11th, Not_in_family, Asian_Pac_Islander, Male, Yugoslavia,35<x<53,21174<x<274186,x>12,x>74,HIGH
180, Self_emp_not_inc, Bachelors, Wife, Black, Female, China,35<x<53,274186<x<527198,4<x<8,25<x<50,LOW
181, State_gov, 5th_6th, Wife, Other, Male, Thailand,35<x<53,21174<x<274186,x>12,25<x<50,LOW
182, Self_emp_not_inc, HS_grad, Other_relative, Amer_Indian_Eskimo, Male, South,x>71,21174<x<274186,x>12,1<x<25,LOW
183, Self_emp_not_inc, 7th_8th, Not_in_family, White, Male, Yugoslavia,17<x<35,274186<x<527198,x>12,25<x<50,LOW
184, Private, Assoc_voc, Other_relative, Asian_Pac_Islander, Female, Taiwan,x>71,21174<x<274186,1<x<4,1<x<25,LOW
185, Self_emp_inc, Masters, Other_relative, Other, Female, Iran,35<x<53,274186<x<527198,4<x<8,50<x<74,LOW
186, Private, Some_college, Not_in_family, Other, Male, England,17<x<35,21174<x<274186,1<x<4,x>74,LOW
187, Local_gov, Doctorate, Unmarried, White, Male, Dominican_Republic,35<x<53,21174<x<274186,8<x<12,25<x<50,LOW
188, Self_emp_not_inc, Doctorate, Husband, Amer_Indian_Eskimo, Female, Taiwan,17<x<35,274186<x<527198,1<x<4,25<x<50,HIGH
189, Private, Prof_school, Wife, Black, Male, India,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
190, Self_emp_not_inc, Preschool, Wife, White, Male, Iran,x>71,274186<x<527198,1<x<4,x<25,HIGH
191, Self_emp_inc, 10th, Wife, Black, Female, Cambodia,17<x<35,21174<x<274186,8<x<12,x>74,LOW
192, Self_emp_not_inc, 12th, Other_relative, Black, Female, Portugal,35<x<53,21174<x<274186,x>12,25<x<50,LOW
193, State_gov, 11th, Husband, White, Male, Columbia,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
194, State_gov, 11th, Own_child, Black, Male, England,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
195, Self_emp_not_inc, 12th, Own_child, Other, Male, England,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
196, Private, Assoc_voc, Not_in_family, Black, Male, Ecuador,x<35,274186<x<527198,x>12,25<x<50,LOW
197, Self_emp_inc, 12th, Husband, White, Male, Philippines,17<x<35,21174<x<274186,x>12,1<x<25,LOW
198, Federal_gov, 1st_4th, Unmarried, Black, Male, Mexico,x>71,21174<x<274186,1<x<4,25<x<50,LOW
199, Local_gov, Assoc_acdm, Unmarried, Other, Male, Cambodia,53<x<71,527198<x<780210,8<x<12,1<x<25,LOW
200, Federal_gov, 7th_8th, Not_in_family, White, Female, Taiwan,17<x<35,21174<x<274186,x>12,25<x<50,LOW
201, Local_gov, Doctorate, Unmarried, Amer_Indian_Eskimo, Female, United_States,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
202, Local_gov, 11th, Husband, White, Male, Taiwan,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
203, Self_emp_not_inc, Prof_school, Own_child, Asian_Pac_Islander, Male, Thailand,53<x<71,21174<x<274186,1<x<4,1<x<25,LOW
204, Self_emp_not_inc, 7th_8th, Not_in_family, Other, Male, Taiwan,17<x<35,274186<x<527198,1<x<4,1<x<25,LOW
205, Self_emp_inc, Prof_school, Other_relative, Other, Female, Germany,x>71,21174<x<274186,8<x<12,50<x<74,LOW
206, Federal_gov, 5th_6th, Wife, Amer_Indian_Eskimo, Male, Poland,35<x<53,21174<x<274186,8<x<12,x>74,LOW
207, Federal_gov, 9th, Husband, Amer_Indian_Eskimo, Male, Japan,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
208, Private, 7th_8th, Husband, Amer_Indian_Eskimo, Male, Philippines,53<x<71,21174<x<274186,1<x<4,x>74,LOW
209, Federal_gov, 9th, Unmarried, Other, Female, Germany,17<x<35,21174<x<274186,1<x<4,25<x<50,LOW
210, Federal_gov, 11th, Not_in_family, Asian_Pac_Islander, Male, England,17<x<35,274186<x<527198,1<x<4,50<x<74,LOW
211, State_gov, Bachelors, Husband, Other, Female, Japan,17<x<35,21174<x<274186,x>12,1<x<25,LOW
212, State_gov, 11th, Own_child, Asian_Pac_Islander, Male, France,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
213, Self_emp_inc, Prof_school, Other_relative, Black, Male, Guatemala,x>71,21174<x<274186,1<x<4,1<x<25,LOW
214, Federal_gov, Masters, Own_child, Amer_Indian_Eskimo, Male, Ecuador,17<x<35,21174<x<274186,4<x<8,50<x<74,LOW
215, Self_emp_inc, Masters, Not_in_family, Amer_Indian_Eskimo, Female, France,35<x<53,21174<x<274186,x<4,1<x<25,LOW
216, Self_emp_not_inc, Prof_school, Own_child, Amer_Indian_Eskimo, Female, Philippines,17<x<35,274186<x<527198,1<x<4,x>74,LOW
217, Local_gov, 12th, Other_relative, White, Female, England,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
218, Local_gov, 10th, Husband, Other, Female, England,53<x<71,21174<x<274186,4<x<8,x<25,LOW
