id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,pdays,previous,class
25,unemployed,single,tertiary,yes,yes,yes,cellular,apr,unknown,37<x<56,-2712<x<18267,1<x<8,2<x<971,16<x<32,212<x<426,29<x<43,no
26,unknown,single,primary,yes,no,no,telephone,feb,unknown,x>75,-2712<x<18267,8<x<16,2<x<971,16<x<32,-1<x<212,0<x<14,yes
27,management,single,secondary,yes,no,yes,unknown,aug,unknown,x>75,-2712<x<18267,x>23,971<x<1941,16<x<32,x>640,14<x<29,yes
28,self-employed,married,unknown,yes,no,no,unknown,jun,unknown,x>75,-2712<x<18267,8<x<16,2<x<971,x<16,426<x<640,29<x<43,yes
29,admin.,married,unknown,no,no,yes,cellular,dec,unknown,x>75,-2712<x<18267,x>23,2<x<971,16<x<32,426<x<640,29<x<43,no
30,admin.,single,tertiary,no,yes,no,telephone,jan,success,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,426<x<640,0<x<14,yes
31,admin.,divorced,unknown,no,yes,yes,unknown,dec,other,18<x<37,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,29<x<43,yes
32,retired,single,secondary,no,no,yes,unknown,dec,failure,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,yes
33,entrepreneur,divorced,secondary,yes,no,no,telephone,jul,unknown,37<x<56,-2712<x<18267,8<x<16,2<x<971,16<x<32,426<x<640,x>43,no
34,student,single,unknown,yes,yes,yes,cellular,jul,success,x>75,-2712<x<18267,x<8,971<x<1941,16<x<32,426<x<640,0<x<14,yes
35,technician,divorced,primary,no,yes,yes,unknown,jul,failure,x<37,-2712<x<18267,1<x<8,2<x<971,32<x<47,212<x<426,14<x<29,no
36,self-employed,single,secondary,yes,yes,yes,cellular,may,failure,37<x<56,-2712<x<18267,16<x<23,971<x<1941,32<x<47,-1<x<212,14<x<29,yes
37,services,divorced,unknown,yes,no,no,unknown,apr,other,x>75,-2712<x<18267,1<x<8,2<x<971,16<x<32,426<x<640,0<x<14,no
38,self-employed,divorced,secondary,yes,no,yes,telephone,jun,unknown,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,-1<x<212,29<x<43,no
39,management,single,secondary,yes,no,yes,telephone,dec,unknown,56<x<75,-2712<x<18267,x>23,2<x<971,16<x<32,212<x<426,0<x<14,yes
40,unemployed,married,primary,no,yes,no,unknown,oct,other,x>75,-2712<x<18267,16<x<23,2<x<971,1<x<16,x>640,0<x<14,yes
41,management,divorced,tertiary,no,yes,no,unknown,feb,success,x>75,-2712<x<18267,x<8,2<x<971,16<x<32,x>640,0<x<14,yes
42,self-employed,divorced,secondary,no,yes,no,telephone,feb,other,18<x<37,-2712<x<18267,x>23,2<x<971,32<x<47,212<x<426,x>43,no
43,admin.,single,secondary,no,yes,no,telephone,may,unknown,18<x<37,-2712<x<18267,1<x<8,971<x<1941,16<x<32,212<x<426,x>43,yes
44,blue-collar,single,secondary,no,no,yes,telephone,jul,other,37<x<56,-2712<x<18267,x>23,2<x<971,16<x<32,212<x<426,14<x<29,no
45,unemployed,married,secondary,no,no,no,unknown,jan,unknown,x>75,-2712<x<18267,x>23,971<x<1941,1<x<16,-1<x<212,14<x<29,yes
46,self-employed,married,secondary,no,yes,yes,telephone,sep,unknown,37<x<56,-2712<x<18267,1<x<8,2<x<971,1<x<16,426<x<640,14<x<29,yes
47,housemaid,married,primary,no,yes,yes,telephone,aug,unknown,18<x<37,-2712<x<18267,1<x<8,2<x<971,16<x<32,426<x<640,29<x<43,no
48,housemaid,married,primary,no,yes,no,cellular,jul,other,18<x<37,-2712<x<18267,8<x<16,2<x<971,1<x<16,-1<x<212,0<x<14,no
49,admin.,married,primary,no,no,yes,cellular,jun,other,37<x<56,-2712<x<18267,8<x<16,2<x<971,16<x<32,-1<x<212,29<x<43,no
50,student,married,unknown,no,no,yes,telephone,nov,success,37<x<56,-2712<x<18267,x>23,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
51,technician,divorced,tertiary,yes,no,no,telephone,jan,other,37<x<56,-2712<x<18267,1<x<8,971<x<1941,16<x<32,212<x<426,0<x<14,yes
52,blue-collar,divorced,primary,yes,no,no,telephone,may,other,x<37,-2712<x<18267,16<x<23,971<x<1941,16<x<32,x>640,14<x<29,yes
53,unknown,divorced,secondary,no,no,yes,telephone,jul,other,37<x<56,-2712<x<18267,8<x<16,2<x<971,x<16,426<x<640,0<x<14,yes
54,blue-collar,married,unknown,no,no,no,telephone,feb,success,18<x<37,-2712<x<18267,8<x<16,2<x<971,x>47,212<x<426,0<x<14,yes
55,unknown,single,tertiary,yes,no,no,cellular,nov,other,37<x<56,-2712<x<18267,1<x<8,971<x<1941,1<x<16,212<x<426,x>43,yes
56,retired,single,tertiary,yes,no,no,unknown,may,other,56<x<75,-2712<x<18267,16<x<23,1941<x<2911,32<x<47,-1<x<212,29<x<43,yes
57,unknown,divorced,unknown,no,no,no,unknown,jun,success,56<x<75,-2712<x<18267,16<x<23,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
58,unknown,married,tertiary,yes,no,yes,cellular,feb,success,37<x<56,-2712<x<18267,16<x<23,971<x<1941,16<x<32,212<x<426,0<x<14,yes
59,admin.,married,unknown,yes,no,yes,cellular,sep,other,56<x<75,-2712<x<18267,x>23,2<x<971,1<x<16,-1<x<212,14<x<29,no
60,unknown,single,tertiary,no,yes,yes,unknown,mar,unknown,56<x<75,-2712<x<18267,16<x<23,2<x<971,32<x<47,212<x<426,14<x<29,no
61,management,divorced,unknown,yes,yes,no,unknown,jul,failure,37<x<56,-2712<x<18267,x>23,2<x<971,1<x<16,212<x<426,14<x<29,no
62,unemployed,single,unknown,yes,yes,no,cellular,aug,other,x>75,-2712<x<18267,16<x<23,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
63,unknown,married,unknown,yes,no,yes,unknown,dec,success,37<x<56,-2712<x<18267,16<x<23,2<x<971,1<x<16,x>640,0<x<14,yes
64,unemployed,divorced,primary,yes,yes,yes,cellular,sep,unknown,56<x<75,-2712<x<18267,x>23,971<x<1941,1<x<16,-1<x<212,29<x<43,yes
65,retired,married,unknown,no,no,yes,cellular,jan,success,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,14<x<29,no
66,services,married,tertiary,no,no,no,cellular,apr,other,18<x<37,-2712<x<18267,16<x<23,2<x<971,1<x<16,212<x<426,14<x<29,no
67,self-employed,married,primary,no,no,no,cellular,oct,unknown,56<x<75,-2712<x<18267,16<x<23,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
68,student,single,primary,no,no,no,telephone,mar,unknown,x>75,-2712<x<18267,16<x<23,2<x<971,16<x<32,-1<x<212,0<x<14,yes
69,entrepreneur,divorced,unknown,yes,no,yes,unknown,sep,failure,18<x<37,-2712<x<18267,1<x<8,2<x<971,16<x<32,-1<x<212,0<x<14,no
70,housemaid,divorced,secondary,no,no,yes,cellular,may,other,18<x<37,18267<x<39246,16<x<23,971<x<1941,16<x<32,426<x<640,14<x<29,yes
71,unknown,divorced,primary,no,yes,yes,unknown,feb,failure,x>75,-2712<x<18267,16<x<23,2<x<971,1<x<16,212<x<426,14<x<29,yes
72,services,divorced,secondary,no,yes,no,unknown,may,success,18<x<37,-2712<x<18267,16<x<23,2<x<971,1<x<16,212<x<426,0<x<14,yes
73,self-employed,single,secondary,yes,yes,yes,cellular,aug,success,18<x<37,-2712<x<18267,8<x<16,2<x<971,32<x<47,-1<x<212,0<x<14,yes
74,management,divorced,unknown,yes,no,yes,telephone,feb,other,x>75,-2712<x<18267,x>23,2<x<971,16<x<32,-1<x<212,14<x<29,no
75,technician,married,tertiary,yes,yes,no,telephone,jun,success,18<x<37,-2712<x<18267,x>23,x>2911,16<x<32,212<x<426,14<x<29,yes
76,student,divorced,secondary,yes,yes,no,cellular,aug,other,18<x<37,-2712<x<18267,x>23,2<x<971,1<x<16,x>640,0<x<14,yes
77,unemployed,single,tertiary,no,no,yes,unknown,jul,success,37<x<56,-2712<x<18267,8<x<16,971<x<1941,1<x<16,-1<x<212,x<14,yes
78,technician,married,primary,no,no,no,cellular,jan,other,56<x<75,-2712<x<18267,1<x<8,971<x<1941,1<x<16,-1<x<212,14<x<29,no
79,self-employed,married,unknown,yes,no,no,cellular,may,success,18<x<37,-2712<x<18267,x>23,2<x<971,16<x<32,212<x<426,14<x<29,no
80,retired,married,secondary,yes,no,no,unknown,nov,unknown,18<x<37,-2712<x<18267,x>23,2<x<971,1<x<16,212<x<426,29<x<43,no
81,unemployed,divorced,primary,no,yes,yes,telephone,jun,unknown,56<x<75,-2712<x<18267,x>23,2<x<971,16<x<32,-1<x<212,0<x<14,no
82,unknown,married,secondary,yes,no,yes,cellular,jul,success,56<x<75,-2712<x<18267,x<8,2<x<971,16<x<32,426<x<640,0<x<14,yes
83,admin.,married,primary,yes,yes,no,cellular,apr,other,37<x<56,-2712<x<18267,16<x<23,2<x<971,32<x<47,212<x<426,14<x<29,no
84,management,married,tertiary,no,no,yes,unknown,mar,success,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,426<x<640,0<x<14,yes
85,admin.,divorced,primary,yes,yes,no,unknown,jan,success,18<x<37,-2712<x<18267,16<x<23,971<x<1941,16<x<32,212<x<426,14<x<29,yes
86,admin.,married,primary,no,yes,yes,unknown,jul,other,37<x<56,-2712<x<18267,8<x<16,2<x<971,16<x<32,426<x<640,14<x<29,no
87,unemployed,divorced,unknown,no,yes,yes,telephone,jan,success,18<x<37,-2712<x<18267,1<x<8,2<x<971,1<x<16,212<x<426,0<x<14,no
88,services,divorced,primary,yes,no,no,cellular,nov,failure,18<x<37,-2712<x<18267,16<x<23,971<x<1941,16<x<32,212<x<426,0<x<14,yes
89,unemployed,divorced,secondary,yes,yes,no,unknown,nov,other,56<x<75,-2712<x<18267,x<8,2<x<971,16<x<32,426<x<640,14<x<29,no
90,management,married,primary,no,yes,no,telephone,jun,other,18<x<37,-2712<x<18267,8<x<16,2<x<971,1<x<16,212<x<426,14<x<29,no
91,self-employed,single,unknown,no,yes,yes,cellular,dec,success,18<x<37,-2712<x<18267,8<x<16,2<x<971,32<x<47,-1<x<212,x>43,no
92,admin.,married,primary,no,no,yes,cellular,jun,success,37<x<56,-2712<x<18267,8<x<16,2<x<971,32<x<47,212<x<426,14<x<29,no
93,management,single,primary,no,no,yes,cellular,jul,success,x>75,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,yes
94,unemployed,divorced,primary,yes,no,yes,unknown,feb,other,56<x<75,-2712<x<18267,8<x<16,971<x<1941,32<x<47,-1<x<212,14<x<29,yes
95,housemaid,married,primary,yes,no,no,unknown,oct,success,56<x<75,-2712<x<18267,16<x<23,2<x<971,16<x<32,-1<x<212,0<x<14,yes
96,unemployed,divorced,secondary,yes,no,no,telephone,dec,unknown,x>75,-2712<x<18267,16<x<23,2<x<971,16<x<32,212<x<426,29<x<43,no
97,services,divorced,unknown,yes,yes,no,unknown,jul,other,37<x<56,-2712<x<18267,16<x<23,2<x<971,16<x<32,212<x<426,14<x<29,no
98,management,divorced,unknown,no,yes,yes,telephone,jun,failure,18<x<37,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,x>43,no
99,unemployed,divorced,secondary,no,no,yes,unknown,apr,failure,18<x<37,-2712<x<18267,x>23,2<x<971,16<x<32,212<x<426,14<x<29,no
100,admin.,single,unknown,no,no,yes,telephone,oct,failure,18<x<37,-2712<x<18267,16<x<23,2<x<971,1<x<16,-1<x<212,14<x<29,yes
101,student,single,unknown,no,yes,yes,unknown,sep,unknown,37<x<56,-2712<x<18267,16<x<23,971<x<1941,1<x<16,-1<x<212,x>43,yes
102,management,divorced,primary,no,yes,yes,telephone,sep,failure,18<x<37,-2712<x<18267,8<x<16,2<x<971,1<x<16,x>640,14<x<29,yes
103,retired,married,unknown,yes,yes,no,telephone,apr,failure,18<x<37,-2712<x<18267,1<x<8,971<x<1941,16<x<32,-1<x<212,14<x<29,yes
104,student,divorced,unknown,no,yes,yes,unknown,feb,failure,37<x<56,-2712<x<18267,16<x<23,971<x<1941,16<x<32,212<x<426,0<x<14,yes
105,technician,divorced,primary,no,yes,yes,cellular,sep,failure,x>75,-2712<x<18267,1<x<8,2<x<971,16<x<32,426<x<640,29<x<43,yes
106,management,single,tertiary,no,no,yes,cellular,may,unknown,x>75,-2712<x<18267,8<x<16,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
107,management,divorced,tertiary,no,no,no,telephone,apr,other,37<x<56,-2712<x<18267,x>23,2<x<971,1<x<16,426<x<640,0<x<14,yes
108,student,single,unknown,yes,no,no,telephone,aug,failure,18<x<37,-2712<x<18267,16<x<23,2<x<971,16<x<32,-1<x<212,29<x<43,yes
109,unknown,divorced,primary,yes,yes,no,cellular,aug,failure,56<x<75,-2712<x<18267,x>23,1941<x<2911,16<x<32,-1<x<212,14<x<29,yes
110,services,single,secondary,yes,no,no,telephone,dec,other,56<x<75,-2712<x<18267,1<x<8,2<x<971,1<x<16,212<x<426,0<x<14,yes
111,housemaid,married,primary,yes,yes,no,cellular,dec,failure,56<x<75,-2712<x<18267,8<x<16,2<x<971,1<x<16,212<x<426,0<x<14,no
112,unknown,single,primary,yes,no,yes,telephone,jun,success,56<x<75,-2712<x<18267,1<x<8,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
113,technician,divorced,unknown,yes,no,no,cellular,dec,other,56<x<75,-2712<x<18267,16<x<23,2<x<971,1<x<16,-1<x<212,14<x<29,yes
114,housemaid,married,primary,no,no,yes,unknown,nov,success,x>75,-2712<x<18267,1<x<8,971<x<1941,32<x<47,212<x<426,0<x<14,yes
115,technician,divorced,tertiary,no,yes,no,telephone,aug,other,37<x<56,-2712<x<18267,x>23,971<x<1941,16<x<32,-1<x<212,29<x<43,yes
116,admin.,divorced,unknown,no,yes,no,cellular,may,failure,18<x<37,-2712<x<18267,x>23,2<x<971,1<x<16,212<x<426,0<x<14,no
117,student,single,unknown,no,yes,no,cellular,may,other,37<x<56,-2712<x<18267,1<x<8,971<x<1941,16<x<32,426<x<640,0<x<14,yes
118,admin.,divorced,secondary,yes,yes,no,cellular,mar,success,18<x<37,-2712<x<18267,8<x<16,2<x<971,1<x<16,-1<x<212,14<x<29,yes
119,self-employed,single,unknown,no,no,yes,cellular,mar,success,37<x<56,-2712<x<18267,1<x<8,2<x<971,1<x<16,426<x<640,0<x<14,yes
120,housemaid,married,tertiary,yes,no,yes,cellular,jul,other,56<x<75,-2712<x<18267,8<x<16,2<x<971,32<x<47,212<x<426,29<x<43,no
121,admin.,single,secondary,no,no,yes,unknown,nov,unknown,x>75,-2712<x<18267,x>23,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
122,retired,married,tertiary,no,yes,yes,unknown,dec,other,x>75,-2712<x<18267,8<x<16,971<x<1941,1<x<16,426<x<640,14<x<29,yes
123,admin.,divorced,primary,no,yes,yes,telephone,sep,other,x>75,-2712<x<18267,8<x<16,971<x<1941,x>47,212<x<426,0<x<14,yes
124,entrepreneur,divorced,primary,yes,no,no,cellular,jul,unknown,x>75,-2712<x<18267,1<x<8,971<x<1941,1<x<16,212<x<426,0<x<14,yes
125,unknown,married,unknown,no,no,no,telephone,sep,unknown,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,yes
126,technician,single,unknown,yes,no,yes,unknown,feb,unknown,56<x<75,-2712<x<18267,x>23,971<x<1941,1<x<16,x>640,29<x<43,yes
127,services,divorced,unknown,yes,no,yes,cellular,dec,unknown,18<x<37,-2712<x<18267,8<x<16,971<x<1941,16<x<32,-1<x<212,x>43,yes
128,services,divorced,unknown,yes,yes,no,unknown,jun,unknown,18<x<37,-2712<x<18267,x>23,2<x<971,1<x<16,212<x<426,14<x<29,no
129,student,married,primary,yes,yes,no,cellular,dec,failure,x>75,-2712<x<18267,x>23,2<x<971,1<x<16,212<x<426,14<x<29,yes
130,student,single,tertiary,yes,no,yes,cellular,may,success,37<x<56,-2712<x<18267,1<x<8,2<x<971,16<x<32,426<x<640,14<x<29,no
131,services,single,unknown,no,no,yes,unknown,apr,success,56<x<75,-2712<x<18267,16<x<23,2<x<971,16<x<32,-1<x<212,29<x<43,no
132,services,single,unknown,yes,no,no,unknown,jul,unknown,56<x<75,-2712<x<18267,1<x<8,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
133,retired,divorced,primary,yes,yes,yes,cellular,oct,failure,x>75,-2712<x<18267,1<x<8,2<x<971,16<x<32,-1<x<212,14<x<29,no
134,student,single,primary,yes,no,yes,telephone,apr,unknown,x>75,-2712<x<18267,16<x<23,971<x<1941,1<x<16,x>640,0<x<14,yes
135,student,single,unknown,yes,no,yes,cellular,jun,success,56<x<75,-2712<x<18267,1<x<8,971<x<1941,16<x<32,-1<x<212,x>43,yes
136,retired,single,primary,no,no,yes,telephone,mar,other,18<x<37,-2712<x<18267,16<x<23,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
137,retired,divorced,unknown,no,yes,yes,telephone,may,failure,37<x<56,-2712<x<18267,1<x<8,2<x<971,1<x<16,212<x<426,0<x<14,no
138,retired,single,tertiary,no,no,yes,cellular,dec,other,18<x<37,-2712<x<18267,8<x<16,2<x<971,16<x<32,-1<x<212,0<x<14,no
139,unknown,married,tertiary,yes,no,yes,unknown,jun,other,56<x<75,-2712<x<18267,8<x<16,2<x<971,1<x<16,212<x<426,0<x<14,yes
140,unemployed,single,tertiary,no,no,no,unknown,jan,failure,18<x<37,-2712<x<18267,16<x<23,1941<x<2911,1<x<16,-1<x<212,14<x<29,yes
141,retired,married,primary,no,yes,yes,cellular,mar,success,18<x<37,18267<x<39246,1<x<8,2<x<971,x>47,426<x<640,0<x<14,yes
142,technician,married,secondary,yes,yes,no,unknown,aug,failure,x>75,-2712<x<18267,8<x<16,2<x<971,1<x<16,-1<x<212,0<x<14,no
143,self-employed,divorced,secondary,yes,no,yes,unknown,aug,other,x>75,-2712<x<18267,1<x<8,2<x<971,16<x<32,-1<x<212,14<x<29,no
144,housemaid,divorced,secondary,no,no,yes,telephone,jan,unknown,56<x<75,-2712<x<18267,1<x<8,971<x<1941,16<x<32,x>640,14<x<29,yes
145,technician,single,unknown,no,yes,yes,unknown,jan,success,18<x<37,-2712<x<18267,16<x<23,971<x<1941,1<x<16,212<x<426,14<x<29,yes
146,housemaid,divorced,unknown,yes,no,yes,cellular,jun,failure,56<x<75,-2712<x<18267,16<x<23,971<x<1941,16<x<32,426<x<640,x>43,yes
147,student,single,secondary,no,yes,no,cellular,may,other,x>75,-2712<x<18267,16<x<23,2<x<971,16<x<32,-1<x<212,14<x<29,no
148,unknown,divorced,secondary,no,no,no,telephone,may,unknown,37<x<56,-2712<x<18267,16<x<23,2<x<971,32<x<47,426<x<640,14<x<29,yes
149,unemployed,married,secondary,yes,yes,no,cellular,aug,failure,x>75,-2712<x<18267,1<x<8,2<x<971,1<x<16,426<x<640,0<x<14,yes
150,student,divorced,secondary,no,yes,no,unknown,jul,failure,37<x<56,-2712<x<18267,1<x<8,971<x<1941,1<x<16,426<x<640,29<x<43,yes
151,blue-collar,single,primary,yes,yes,yes,cellular,dec,failure,37<x<56,-2712<x<18267,x>23,971<x<1941,1<x<16,212<x<426,14<x<29,yes
152,student,single,tertiary,yes,no,no,telephone,sep,success,x>75,-2712<x<18267,x>23,2<x<971,16<x<32,-1<x<212,0<x<14,yes
153,unknown,married,unknown,no,no,yes,unknown,sep,failure,56<x<75,-2712<x<18267,1<x<8,2<x<971,16<x<32,212<x<426,0<x<14,no
154,technician,single,primary,no,no,yes,cellular,jan,other,56<x<75,-2712<x<18267,x>23,2<x<971,32<x<47,212<x<426,0<x<14,no
155,admin.,divorced,secondary,no,no,no,telephone,jul,failure,37<x<56,-2712<x<18267,x<8,2<x<971,16<x<32,212<x<426,0<x<14,yes
156,services,divorced,primary,no,no,yes,cellular,jun,unknown,18<x<37,-2712<x<18267,8<x<16,2<x<971,x>47,-1<x<212,0<x<14,yes
157,management,single,unknown,yes,yes,yes,telephone,mar,success,56<x<75,-2712<x<18267,16<x<23,x>2911,1<x<16,212<x<426,0<x<14,yes
158,unknown,divorced,primary,no,yes,no,unknown,feb,other,37<x<56,-2712<x<18267,1<x<8,2<x<971,32<x<47,426<x<640,0<x<14,no
159,blue-collar,single,primary,yes,yes,no,unknown,oct,success,37<x<56,-2712<x<18267,8<x<16,2<x<971,32<x<47,212<x<426,0<x<14,yes
160,self-employed,divorced,tertiary,yes,no,yes,cellular,oct,failure,x<37,-2712<x<18267,16<x<23,971<x<1941,1<x<16,-1<x<212,14<x<29,yes
161,entrepreneur,single,unknown,yes,no,yes,telephone,sep,success,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,14<x<29,no
162,unknown,married,unknown,yes,no,no,cellular,apr,other,37<x<56,-2712<x<18267,x>23,2<x<971,32<x<47,-1<x<212,14<x<29,no
163,entrepreneur,divorced,unknown,yes,yes,yes,telephone,jan,unknown,56<x<75,-2712<x<18267,x>23,971<x<1941,16<x<32,212<x<426,x>43,yes
164,blue-collar,divorced,unknown,yes,no,no,unknown,aug,success,x>75,-2712<x<18267,16<x<23,2<x<971,16<x<32,-1<x<212,14<x<29,yes
165,housemaid,single,secondary,no,yes,no,cellular,jul,failure,37<x<56,-2712<x<18267,16<x<23,2<x<971,1<x<16,426<x<640,0<x<14,yes
166,management,single,primary,yes,no,no,telephone,jan,unknown,56<x<75,-2712<x<18267,8<x<16,971<x<1941,1<x<16,212<x<426,29<x<43,yes
167,technician,married,primary,yes,no,yes,unknown,jun,unknown,56<x<75,-2712<x<18267,16<x<23,971<x<1941,16<x<32,-1<x<212,29<x<43,yes
168,retired,married,unknown,yes,no,no,telephone,feb,unknown,37<x<56,-2712<x<18267,x>23,2<x<971,1<x<16,212<x<426,0<x<14,yes
169,blue-collar,divorced,tertiary,yes,yes,yes,telephone,jul,success,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,-1<x<212,0<x<14,no
170,self-employed,divorced,unknown,yes,yes,yes,telephone,nov,other,x>75,-2712<x<18267,x<8,2<x<971,16<x<32,-1<x<212,0<x<14,no
171,admin.,married,tertiary,yes,no,yes,telephone,mar,success,56<x<75,18267<x<39246,16<x<23,2<x<971,32<x<47,212<x<426,29<x<43,no
172,management,married,secondary,no,no,yes,cellular,sep,unknown,56<x<75,-2712<x<18267,8<x<16,2<x<971,1<x<16,212<x<426,14<x<29,yes
173,entrepreneur,single,unknown,yes,no,no,telephone,aug,failure,56<x<75,-2712<x<18267,16<x<23,2<x<971,16<x<32,212<x<426,0<x<14,yes
174,services,divorced,tertiary,yes,no,yes,cellular,jun,failure,37<x<56,-2712<x<18267,1<x<8,2<x<971,16<x<32,-1<x<212,0<x<14,no
175,unknown,divorced,secondary,yes,no,no,unknown,oct,failure,x>75,-2712<x<18267,1<x<8,2<x<971,1<x<16,212<x<426,14<x<29,no
176,entrepreneur,married,unknown,no,no,no,unknown,mar,failure,37<x<56,-2712<x<18267,1<x<8,2<x<971,16<x<32,212<x<426,14<x<29,no
177,admin.,divorced,primary,yes,yes,no,telephone,jan,unknown,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,no
178,services,single,unknown,no,yes,no,telephone,aug,other,37<x<56,-2712<x<18267,8<x<16,2<x<971,1<x<16,-1<x<212,0<x<14,no
179,services,married,tertiary,no,no,yes,unknown,dec,other,56<x<75,-2712<x<18267,16<x<23,2<x<971,1<x<16,212<x<426,14<x<29,yes
180,unemployed,divorced,primary,no,yes,no,unknown,jun,other,37<x<56,-2712<x<18267,x>23,2<x<971,1<x<16,-1<x<212,14<x<29,yes
