id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,pdays,previous,class
14,retired,single,primary,yes,no,no,unknown,mar,success,56<x<75,-1944<x<18843,16<x<23,1941<x<2911,32<x<47,212<x<426,29<x<43,yes
15,retired,divorced,unknown,no,yes,no,cellular,jan,success,x>75,-1944<x<18843,1<x<8,2<x<971,16<x<32,212<x<426,14<x<29,yes
16,student,single,tertiary,yes,no,yes,telephone,mar,success,56<x<75,-1944<x<18843,1<x<8,2<x<971,16<x<32,426<x<640,14<x<29,yes
17,admin.,married,secondary,no,no,no,unknown,jun,failure,x>75,-1944<x<18843,x>23,971<x<1941,1<x<16,212<x<426,14<x<29,yes
18,self-employed,married,primary,no,yes,no,cellular,jan,success,x>75,-1944<x<18843,x>23,2<x<971,16<x<32,-1<x<212,0<x<14,yes
19,retired,divorced,primary,no,no,yes,unknown,jun,other,56<x<75,-1944<x<18843,x>23,2<x<971,16<x<32,-1<x<212,14<x<29,yes
20,unknown,divorced,secondary,yes,no,no,cellular,aug,unknown,56<x<75,-1944<x<18843,x>23,2<x<971,x>47,212<x<426,14<x<29,no
21,student,married,tertiary,no,no,no,unknown,jan,unknown,37<x<56,-1944<x<18843,1<x<8,2<x<971,16<x<32,212<x<426,0<x<14,no
22,student,married,unknown,no,no,no,cellular,feb,failure,x>75,-1944<x<18843,16<x<23,1941<x<2911,1<x<16,212<x<426,0<x<14,yes
23,admin.,single,primary,yes,yes,no,telephone,oct,unknown,56<x<75,-1944<x<18843,x>23,2<x<971,x<16,-1<x<212,0<x<14,yes
24,admin.,married,unknown,no,no,yes,unknown,dec,other,56<x<75,-1944<x<18843,x>23,971<x<1941,x>47,212<x<426,0<x<14,yes
25,self-employed,divorced,secondary,yes,no,yes,telephone,jul,failure,56<x<75,-1944<x<18843,16<x<23,2<x<971,1<x<16,-1<x<212,14<x<29,no
26,services,divorced,tertiary,no,yes,no,unknown,jun,other,56<x<75,-1944<x<18843,x>23,2<x<971,1<x<16,-1<x<212,29<x<43,no
27,housemaid,married,unknown,yes,no,no,cellular,jun,other,18<x<37,-1944<x<18843,x>23,971<x<1941,1<x<16,212<x<426,14<x<29,yes
28,admin.,married,secondary,yes,no,no,telephone,may,failure,x>75,-1944<x<18843,8<x<16,971<x<1941,16<x<32,-1<x<212,29<x<43,yes
29,blue-collar,married,primary,yes,no,no,cellular,aug,failure,37<x<56,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,no
30,unemployed,divorced,unknown,no,yes,no,cellular,dec,failure,37<x<56,-1944<x<18843,8<x<16,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
31,housemaid,married,unknown,yes,yes,no,telephone,jun,failure,37<x<56,-1944<x<18843,x<8,971<x<1941,1<x<16,212<x<426,14<x<29,yes
32,technician,married,primary,yes,no,yes,telephone,oct,failure,18<x<37,-1944<x<18843,x>23,2<x<971,1<x<16,-1<x<212,14<x<29,yes
33,housemaid,married,unknown,yes,no,yes,telephone,jan,other,18<x<37,-1944<x<18843,16<x<23,2<x<971,16<x<32,-1<x<212,29<x<43,no
34,unknown,divorced,primary,yes,no,no,unknown,jan,success,56<x<75,-1944<x<18843,16<x<23,971<x<1941,x>47,212<x<426,14<x<29,no
35,unknown,single,tertiary,no,no,no,unknown,dec,failure,56<x<75,-1944<x<18843,x>23,2<x<971,32<x<47,426<x<640,0<x<14,yes
36,unknown,married,tertiary,yes,yes,yes,telephone,jun,success,37<x<56,-1944<x<18843,16<x<23,2<x<971,16<x<32,426<x<640,0<x<14,no
37,unknown,single,primary,yes,yes,no,unknown,jun,success,37<x<56,-1944<x<18843,1<x<8,2<x<971,1<x<16,212<x<426,0<x<14,no
38,self-employed,single,unknown,yes,yes,no,unknown,jun,success,37<x<56,-1944<x<18843,8<x<16,971<x<1941,1<x<16,x>640,x>43,yes
39,services,divorced,primary,no,yes,yes,telephone,mar,success,18<x<37,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,14<x<29,no
40,admin.,divorced,tertiary,yes,yes,yes,cellular,jun,unknown,18<x<37,-1944<x<18843,1<x<8,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
41,admin.,divorced,primary,no,yes,no,cellular,sep,unknown,37<x<56,-1944<x<18843,16<x<23,2<x<971,16<x<32,-1<x<212,0<x<14,yes
42,entrepreneur,divorced,primary,yes,no,yes,unknown,oct,unknown,x>75,-1944<x<18843,x>23,971<x<1941,16<x<32,212<x<426,x>43,yes
43,blue-collar,single,unknown,no,no,yes,telephone,apr,other,37<x<56,-1944<x<18843,x<8,2<x<971,16<x<32,-1<x<212,14<x<29,yes
44,unemployed,single,unknown,no,yes,yes,telephone,feb,failure,56<x<75,-1944<x<18843,16<x<23,2<x<971,1<x<16,-1<x<212,14<x<29,yes
45,unknown,divorced,secondary,no,yes,yes,cellular,apr,failure,37<x<56,-1944<x<18843,16<x<23,2<x<971,1<x<16,212<x<426,14<x<29,no
46,technician,married,primary,yes,no,yes,telephone,jun,unknown,x>75,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,14<x<29,no
47,services,divorced,tertiary,no,yes,no,unknown,jul,other,56<x<75,-1944<x<18843,16<x<23,971<x<1941,16<x<32,-1<x<212,29<x<43,yes
48,student,married,unknown,no,yes,no,cellular,jun,failure,18<x<37,-1944<x<18843,1<x<8,2<x<971,16<x<32,-1<x<212,0<x<14,yes
49,services,married,unknown,no,yes,yes,unknown,sep,unknown,x>75,-1944<x<18843,x>23,2<x<971,16<x<32,426<x<640,14<x<29,no
50,admin.,married,primary,yes,yes,yes,telephone,aug,other,18<x<37,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,29<x<43,no
51,technician,divorced,unknown,yes,yes,no,unknown,jun,success,56<x<75,-1944<x<18843,8<x<16,2<x<971,16<x<32,426<x<640,0<x<14,no
52,management,single,secondary,no,yes,no,unknown,aug,success,18<x<37,-1944<x<18843,x>23,2<x<971,1<x<16,-1<x<212,0<x<14,yes
53,services,divorced,unknown,yes,yes,yes,unknown,may,unknown,x>75,-1944<x<18843,8<x<16,2<x<971,1<x<16,212<x<426,29<x<43,no
54,management,married,primary,yes,yes,yes,telephone,jun,other,37<x<56,-1944<x<18843,1<x<8,971<x<1941,1<x<16,426<x<640,x>43,yes
55,services,single,tertiary,no,no,no,telephone,dec,unknown,x>75,-1944<x<18843,8<x<16,971<x<1941,1<x<16,-1<x<212,29<x<43,yes
56,entrepreneur,single,unknown,no,yes,no,telephone,apr,other,37<x<56,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,x>43,yes
57,unemployed,single,unknown,no,yes,no,cellular,jul,unknown,18<x<37,-1944<x<18843,1<x<8,2<x<971,16<x<32,426<x<640,29<x<43,yes
58,management,divorced,primary,yes,no,no,unknown,jul,failure,56<x<75,-1944<x<18843,x>23,971<x<1941,32<x<47,426<x<640,14<x<29,yes
59,entrepreneur,divorced,secondary,yes,yes,yes,cellular,may,failure,56<x<75,-1944<x<18843,x>23,971<x<1941,16<x<32,212<x<426,14<x<29,no
60,unknown,married,secondary,no,yes,no,unknown,mar,success,37<x<56,-1944<x<18843,1<x<8,2<x<971,16<x<32,-1<x<212,14<x<29,no
61,unemployed,single,tertiary,no,no,yes,cellular,aug,failure,37<x<56,-1944<x<18843,x>23,971<x<1941,16<x<32,212<x<426,14<x<29,yes
62,unemployed,single,tertiary,yes,yes,yes,telephone,feb,failure,x>75,-1944<x<18843,16<x<23,2<x<971,1<x<16,-1<x<212,29<x<43,yes
63,management,single,tertiary,yes,no,no,cellular,jul,success,56<x<75,-1944<x<18843,x>23,971<x<1941,1<x<16,-1<x<212,14<x<29,no
64,entrepreneur,married,primary,yes,yes,no,telephone,feb,success,37<x<56,-1944<x<18843,1<x<8,2<x<971,16<x<32,212<x<426,14<x<29,no
65,housemaid,married,secondary,yes,no,no,telephone,may,success,56<x<75,-1944<x<18843,x>23,2<x<971,16<x<32,-1<x<212,14<x<29,yes
66,blue-collar,divorced,tertiary,no,yes,yes,cellular,may,unknown,37<x<56,-1944<x<18843,16<x<23,2<x<971,16<x<32,426<x<640,0<x<14,no
67,services,married,tertiary,no,yes,no,telephone,jun,success,37<x<56,-1944<x<18843,16<x<23,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
68,self-employed,married,tertiary,no,yes,no,cellular,dec,failure,18<x<37,-1944<x<18843,x>23,2<x<971,1<x<16,-1<x<212,0<x<14,no
69,unknown,single,unknown,yes,no,yes,cellular,may,other,18<x<37,-1944<x<18843,x>23,x>2911,1<x<16,212<x<426,29<x<43,yes
70,housemaid,divorced,unknown,yes,yes,no,cellular,mar,unknown,37<x<56,-1944<x<18843,16<x<23,2<x<971,1<x<16,212<x<426,0<x<14,yes
71,self-employed,divorced,primary,yes,yes,yes,cellular,feb,success,56<x<75,-1944<x<18843,x>23,2<x<971,16<x<32,426<x<640,14<x<29,yes
72,entrepreneur,married,tertiary,yes,no,yes,unknown,nov,unknown,37<x<56,-1944<x<18843,x>23,2<x<971,1<x<16,x>640,x>43,no
73,management,single,primary,yes,no,no,telephone,nov,failure,37<x<56,-1944<x<18843,8<x<16,2<x<971,1<x<16,212<x<426,0<x<14,no
74,management,single,secondary,no,yes,no,cellular,nov,other,37<x<56,-1944<x<18843,1<x<8,2<x<971,1<x<16,212<x<426,14<x<29,yes
75,self-employed,single,secondary,yes,yes,no,unknown,sep,other,37<x<56,-1944<x<18843,x>23,2<x<971,32<x<47,426<x<640,0<x<14,yes
76,management,divorced,unknown,yes,no,yes,unknown,nov,failure,37<x<56,-1944<x<18843,8<x<16,2<x<971,1<x<16,212<x<426,0<x<14,no
77,housemaid,married,unknown,no,no,yes,cellular,jul,success,18<x<37,-1944<x<18843,x>23,2<x<971,1<x<16,212<x<426,14<x<29,no
78,entrepreneur,married,secondary,no,yes,yes,cellular,jan,success,x>75,-1944<x<18843,8<x<16,971<x<1941,16<x<32,426<x<640,0<x<14,yes
79,blue-collar,divorced,tertiary,yes,no,yes,telephone,nov,success,37<x<56,-1944<x<18843,8<x<16,971<x<1941,32<x<47,426<x<640,x>43,yes
80,blue-collar,married,tertiary,yes,no,yes,telephone,jan,other,18<x<37,-1944<x<18843,x>23,971<x<1941,16<x<32,212<x<426,0<x<14,no
81,student,single,primary,no,no,no,telephone,oct,unknown,18<x<37,-1944<x<18843,8<x<16,971<x<1941,1<x<16,212<x<426,29<x<43,yes
82,housemaid,divorced,tertiary,no,no,no,telephone,mar,unknown,37<x<56,-1944<x<18843,1<x<8,2<x<971,1<x<16,212<x<426,14<x<29,yes
83,student,single,primary,yes,no,no,unknown,feb,success,x>75,-1944<x<18843,x>23,2<x<971,1<x<16,-1<x<212,0<x<14,yes
84,blue-collar,divorced,tertiary,no,yes,yes,cellular,may,failure,37<x<56,-1944<x<18843,x>23,2<x<971,16<x<32,-1<x<212,14<x<29,no
85,services,single,primary,no,no,no,telephone,jul,success,56<x<75,-1944<x<18843,x>23,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
86,blue-collar,single,tertiary,no,no,no,cellular,jan,unknown,x>75,-1944<x<18843,16<x<23,1941<x<2911,16<x<32,212<x<426,14<x<29,yes
87,management,divorced,primary,yes,yes,no,unknown,dec,other,18<x<37,-1944<x<18843,x>23,2<x<971,16<x<32,212<x<426,0<x<14,yes
88,self-employed,divorced,primary,yes,no,no,cellular,jun,failure,x>75,-1944<x<18843,16<x<23,2<x<971,16<x<32,212<x<426,0<x<14,yes
89,housemaid,married,primary,yes,no,yes,cellular,oct,success,37<x<56,-1944<x<18843,8<x<16,2<x<971,32<x<47,-1<x<212,0<x<14,yes
90,unemployed,married,tertiary,no,no,yes,cellular,apr,success,37<x<56,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,29<x<43,yes
91,retired,single,tertiary,no,yes,no,unknown,feb,other,x>75,-1944<x<18843,8<x<16,2<x<971,16<x<32,-1<x<212,14<x<29,yes
92,self-employed,divorced,tertiary,yes,yes,yes,cellular,may,unknown,56<x<75,-1944<x<18843,8<x<16,2<x<971,32<x<47,-1<x<212,0<x<14,yes
93,entrepreneur,married,unknown,yes,no,yes,telephone,jul,failure,x>75,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,x>43,yes
94,student,divorced,primary,yes,no,yes,telephone,sep,other,18<x<37,-1944<x<18843,8<x<16,2<x<971,1<x<16,212<x<426,14<x<29,yes
95,management,married,tertiary,yes,no,no,telephone,jan,unknown,37<x<56,-1944<x<18843,16<x<23,971<x<1941,1<x<16,212<x<426,x>43,yes
96,entrepreneur,divorced,tertiary,yes,yes,no,telephone,aug,failure,x>75,-1944<x<18843,1<x<8,971<x<1941,16<x<32,212<x<426,x>43,yes
97,blue-collar,single,primary,no,no,no,cellular,feb,failure,x>75,-1944<x<18843,1<x<8,2<x<971,1<x<16,212<x<426,29<x<43,no
98,services,divorced,primary,yes,no,no,telephone,feb,failure,18<x<37,-1944<x<18843,x>23,2<x<971,32<x<47,212<x<426,0<x<14,no
99,student,single,primary,no,no,no,cellular,apr,success,37<x<56,-1944<x<18843,x>23,1941<x<2911,16<x<32,426<x<640,0<x<14,yes
100,services,divorced,tertiary,no,no,yes,unknown,sep,failure,18<x<37,-1944<x<18843,8<x<16,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
101,blue-collar,single,unknown,yes,no,no,unknown,sep,failure,37<x<56,-1944<x<18843,16<x<23,971<x<1941,16<x<32,-1<x<212,14<x<29,yes
102,housemaid,divorced,secondary,no,yes,no,telephone,aug,unknown,37<x<56,-1944<x<18843,8<x<16,2<x<971,16<x<32,-1<x<212,14<x<29,yes
103,housemaid,married,primary,yes,no,yes,cellular,jul,success,x<37,-1944<x<18843,x<8,2<x<971,1<x<16,-1<x<212,0<x<14,no
104,technician,married,unknown,yes,no,yes,telephone,jun,other,18<x<37,-1944<x<18843,16<x<23,1941<x<2911,16<x<32,-1<x<212,14<x<29,yes
105,self-employed,single,secondary,no,no,no,telephone,jul,unknown,x>75,-1944<x<18843,x>23,2<x<971,16<x<32,212<x<426,14<x<29,no
106,unknown,married,unknown,no,no,yes,telephone,dec,unknown,18<x<37,-1944<x<18843,1<x<8,971<x<1941,x>47,-1<x<212,14<x<29,yes
107,entrepreneur,married,unknown,no,no,yes,telephone,oct,other,18<x<37,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,14<x<29,no
108,retired,married,secondary,no,no,no,cellular,apr,other,56<x<75,-1944<x<18843,1<x<8,971<x<1941,16<x<32,212<x<426,14<x<29,yes
109,retired,divorced,unknown,no,no,no,unknown,jul,unknown,x>75,-1944<x<18843,1<x<8,2<x<971,16<x<32,212<x<426,14<x<29,no
110,management,married,primary,yes,yes,no,telephone,jun,other,x>75,-1944<x<18843,1<x<8,2<x<971,1<x<16,-1<x<212,0<x<14,yes
111,retired,single,tertiary,no,yes,no,unknown,feb,failure,18<x<37,-1944<x<18843,1<x<8,2<x<971,1<x<16,-1<x<212,29<x<43,no
112,self-employed,single,unknown,yes,yes,yes,unknown,feb,success,18<x<37,-1944<x<18843,x>23,2<x<971,16<x<32,-1<x<212,14<x<29,yes
113,retired,divorced,unknown,yes,yes,no,telephone,jul,other,18<x<37,-1944<x<18843,x>23,971<x<1941,32<x<47,212<x<426,14<x<29,yes
114,management,single,secondary,no,no,yes,telephone,jan,unknown,37<x<56,-1944<x<18843,16<x<23,2<x<971,16<x<32,-1<x<212,0<x<14,no
115,unemployed,single,tertiary,no,no,no,cellular,feb,unknown,x>75,-1944<x<18843,16<x<23,2<x<971,1<x<16,-1<x<212,14<x<29,no
116,unknown,married,primary,yes,yes,yes,cellular,apr,other,37<x<56,-1944<x<18843,x>23,2<x<971,16<x<32,426<x<640,14<x<29,yes
117,student,single,primary,no,no,yes,cellular,nov,other,37<x<56,-1944<x<18843,8<x<16,2<x<971,x<16,426<x<640,0<x<14,yes
118,admin.,single,unknown,yes,yes,no,cellular,jan,failure,18<x<37,-1944<x<18843,x>23,2<x<971,16<x<32,212<x<426,14<x<29,no
119,retired,single,tertiary,no,no,yes,unknown,mar,other,x>75,-1944<x<18843,8<x<16,971<x<1941,1<x<16,x>640,29<x<43,yes
120,technician,single,unknown,no,no,no,cellular,jan,success,37<x<56,-1944<x<18843,8<x<16,2<x<971,1<x<16,212<x<426,0<x<14,yes
121,unknown,married,unknown,yes,yes,no,cellular,jun,other,18<x<37,-1944<x<18843,16<x<23,2<x<971,1<x<16,212<x<426,14<x<29,yes
122,unknown,married,unknown,yes,yes,no,cellular,jan,success,56<x<75,-1944<x<18843,16<x<23,2<x<971,16<x<32,212<x<426,0<x<14,no
123,blue-collar,single,secondary,yes,yes,yes,unknown,dec,failure,37<x<56,-1944<x<18843,x>23,2<x<971,16<x<32,212<x<426,14<x<29,no
124,unknown,divorced,unknown,no,no,no,telephone,may,unknown,56<x<75,-1944<x<18843,1<x<8,2<x<971,1<x<16,212<x<426,14<x<29,yes
125,technician,married,unknown,yes,no,yes,cellular,jan,failure,18<x<37,-1944<x<18843,x>23,971<x<1941,16<x<32,212<x<426,14<x<29,yes
126,student,single,secondary,no,no,yes,cellular,oct,unknown,56<x<75,-1944<x<18843,16<x<23,2<x<971,16<x<32,-1<x<212,14<x<29,yes
127,entrepreneur,divorced,tertiary,no,yes,yes,cellular,nov,unknown,x>75,-1944<x<18843,16<x<23,971<x<1941,32<x<47,426<x<640,14<x<29,no
128,unknown,divorced,primary,yes,no,yes,cellular,jan,success,x>75,18843<x<39630,x>23,971<x<1941,16<x<32,-1<x<212,14<x<29,yes
129,student,single,primary,yes,no,yes,unknown,mar,success,56<x<75,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,0<x<14,yes
130,student,divorced,tertiary,no,yes,no,unknown,mar,other,x>75,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,x<14,no
131,student,married,tertiary,no,yes,no,cellular,aug,success,56<x<75,-1944<x<18843,1<x<8,2<x<971,1<x<16,212<x<426,0<x<14,yes
132,unemployed,married,secondary,yes,yes,no,unknown,jun,other,56<x<75,-1944<x<18843,16<x<23,2<x<971,16<x<32,212<x<426,0<x<14,no
133,self-employed,divorced,unknown,yes,no,no,cellular,feb,success,x>75,-1944<x<18843,1<x<8,2<x<971,1<x<16,-1<x<212,29<x<43,yes
134,management,married,primary,no,no,no,cellular,may,other,56<x<75,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,x>43,yes
135,blue-collar,married,unknown,yes,yes,yes,unknown,mar,other,56<x<75,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,no
136,technician,married,secondary,no,no,yes,telephone,apr,unknown,18<x<37,-1944<x<18843,x>23,2<x<971,x<16,426<x<640,14<x<29,yes
137,admin.,married,tertiary,no,no,yes,unknown,apr,failure,x>75,-1944<x<18843,x>23,2<x<971,16<x<32,x>640,0<x<14,yes
138,blue-collar,single,secondary,yes,no,no,unknown,aug,success,x>75,-1944<x<18843,x>23,2<x<971,1<x<16,212<x<426,0<x<14,no
139,blue-collar,married,primary,no,no,no,telephone,jan,success,18<x<37,-1944<x<18843,x>23,971<x<1941,1<x<16,212<x<426,0<x<14,yes
140,entrepreneur,married,unknown,yes,yes,yes,cellular,sep,unknown,56<x<75,-1944<x<18843,8<x<16,2<x<971,1<x<16,x>640,0<x<14,yes
141,technician,divorced,primary,no,no,yes,unknown,aug,other,37<x<56,-1944<x<18843,x>23,2<x<971,16<x<32,426<x<640,14<x<29,no
142,retired,single,primary,yes,yes,no,unknown,aug,other,x>75,-1944<x<18843,1<x<8,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
143,blue-collar,single,primary,yes,no,no,unknown,may,other,37<x<56,-1944<x<18843,16<x<23,2<x<971,16<x<32,x<212,14<x<29,no
144,entrepreneur,married,primary,yes,no,no,cellular,may,success,x>75,-1944<x<18843,1<x<8,971<x<1941,1<x<16,212<x<426,14<x<29,yes
145,technician,single,tertiary,no,yes,yes,unknown,dec,other,x>75,-1944<x<18843,1<x<8,971<x<1941,16<x<32,-1<x<212,14<x<29,yes
146,retired,single,tertiary,no,yes,no,unknown,may,unknown,37<x<56,-1944<x<18843,1<x<8,971<x<1941,16<x<32,212<x<426,0<x<14,yes
147,technician,married,secondary,no,no,no,cellular,sep,unknown,x>75,-1944<x<18843,8<x<16,2<x<971,x<16,426<x<640,14<x<29,yes
148,retired,divorced,unknown,yes,yes,no,cellular,aug,unknown,56<x<75,-1944<x<18843,16<x<23,2<x<971,1<x<16,212<x<426,0<x<14,no
149,retired,single,tertiary,no,yes,yes,unknown,dec,unknown,56<x<75,-1944<x<18843,x<8,2<x<971,16<x<32,212<x<426,x>43,yes
150,unemployed,single,primary,no,yes,yes,telephone,sep,failure,18<x<37,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,14<x<29,no
151,self-employed,divorced,secondary,yes,yes,no,cellular,apr,failure,x>75,-1944<x<18843,1<x<8,2<x<971,1<x<16,-1<x<212,x<14,yes
152,unemployed,married,primary,yes,no,yes,cellular,dec,unknown,56<x<75,-1944<x<18843,8<x<16,971<x<1941,32<x<47,426<x<640,0<x<14,yes
153,management,divorced,unknown,no,no,no,cellular,oct,other,18<x<37,-1944<x<18843,x>23,971<x<1941,1<x<16,212<x<426,0<x<14,yes
154,unknown,divorced,secondary,yes,no,no,unknown,jan,failure,56<x<75,-1944<x<18843,x>23,971<x<1941,x<16,212<x<426,0<x<14,yes
155,entrepreneur,married,tertiary,yes,yes,no,unknown,jan,other,18<x<37,-1944<x<18843,x>23,971<x<1941,16<x<32,-1<x<212,0<x<14,no
156,housemaid,single,secondary,yes,no,no,unknown,nov,unknown,x>75,-1944<x<18843,x>23,2<x<971,32<x<47,212<x<426,14<x<29,no
157,technician,single,tertiary,no,yes,yes,telephone,feb,unknown,56<x<75,-1944<x<18843,16<x<23,2<x<971,16<x<32,426<x<640,14<x<29,no
158,technician,single,primary,no,yes,no,telephone,mar,failure,18<x<37,-1944<x<18843,1<x<8,2<x<971,16<x<32,-1<x<212,29<x<43,no
159,housemaid,married,secondary,no,yes,yes,unknown,nov,failure,37<x<56,-1944<x<18843,x>23,2<x<971,16<x<32,426<x<640,14<x<29,no
160,unemployed,single,primary,no,no,yes,cellular,aug,unknown,x>75,-1944<x<18843,x>23,2<x<971,1<x<16,426<x<640,x>43,no
161,housemaid,divorced,tertiary,yes,yes,no,cellular,sep,unknown,37<x<56,-1944<x<18843,x>23,2<x<971,1<x<16,212<x<426,29<x<43,yes
162,entrepreneur,married,unknown,no,yes,no,cellular,may,failure,x>75,-1944<x<18843,8<x<16,2<x<971,1<x<16,-1<x<212,14<x<29,no
163,unknown,single,primary,no,no,no,cellular,sep,failure,x>75,-1944<x<18843,8<x<16,2<x<971,16<x<32,-1<x<212,14<x<29,yes
164,unemployed,divorced,tertiary,yes,no,yes,telephone,feb,other,18<x<37,-1944<x<18843,x>23,971<x<1941,16<x<32,212<x<426,0<x<14,yes
165,admin.,single,tertiary,yes,yes,no,unknown,nov,other,56<x<75,-1944<x<18843,16<x<23,2<x<971,16<x<32,212<x<426,14<x<29,no
166,unknown,single,secondary,no,no,yes,unknown,oct,success,x>75,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,x>43,no
167,blue-collar,single,secondary,yes,yes,yes,unknown,dec,other,37<x<56,-1944<x<18843,1<x<8,2<x<971,16<x<32,-1<x<212,14<x<29,yes
168,entrepreneur,divorced,tertiary,yes,no,yes,cellular,sep,success,x>75,-1944<x<18843,1<x<8,2<x<971,16<x<32,-1<x<212,0<x<14,yes
169,housemaid,divorced,primary,no,yes,no,unknown,sep,failure,18<x<37,-1944<x<18843,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,no
170,admin.,married,secondary,yes,no,yes,telephone,nov,success,18<x<37,-1944<x<18843,x>23,2<x<971,16<x<32,212<x<426,0<x<14,yes
171,technician,single,unknown,yes,yes,no,unknown,sep,failure,x>75,-1944<x<18843,16<x<23,2<x<971,16<x<32,-1<x<212,0<x<14,yes
172,unknown,single,primary,yes,yes,no,telephone,nov,failure,56<x<75,-1944<x<18843,x>23,2<x<971,1<x<16,-1<x<212,0<x<14,no
173,management,divorced,unknown,no,no,yes,telephone,feb,other,37<x<56,-1944<x<18843,8<x<16,971<x<1941,32<x<47,212<x<426,0<x<14,yes
174,management,single,primary,yes,yes,yes,unknown,nov,success,18<x<37,-1944<x<18843,16<x<23,971<x<1941,16<x<32,-1<x<212,14<x<29,no
175,self-employed,divorced,secondary,no,no,no,telephone,jun,other,37<x<56,-1944<x<18843,8<x<16,2<x<971,16<x<32,-1<x<212,0<x<14,yes
176,self-employed,divorced,primary,no,no,yes,cellular,jun,failure,x>75,-1944<x<18843,1<x<8,971<x<1941,16<x<32,-1<x<212,29<x<43,yes
177,retired,married,tertiary,yes,yes,yes,telephone,feb,failure,37<x<56,-1944<x<18843,x>23,971<x<1941,1<x<16,-1<x<212,14<x<29,no
178,admin.,married,tertiary,yes,no,no,telephone,jul,unknown,18<x<37,-1944<x<18843,x>23,2<x<971,16<x<32,212<x<426,0<x<14,no
179,services,married,secondary,no,yes,no,unknown,mar,unknown,56<x<75,-1944<x<18843,8<x<16,2<x<971,1<x<16,426<x<640,29<x<43,no
180,admin.,divorced,unknown,no,yes,yes,telephone,nov,other,56<x<75,-1944<x<18843,1<x<8,971<x<1941,16<x<32,x>640,14<x<29,yes
