gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,raisedhands,VisITedResources,AnnouncementsView,Discussion,class
M,Syria,Iraq,lowerlevel,G-10,A,History,F,Father,Yes,Bad,Above-7,50<x<75,x>74,24<x<49,x>74,2
F,Syria,Lybia,lowerlevel,G-08,B,History,S,Mum,No,Bad,Under-7,25<x<50,0<x<24,x>73,1<x<25,2
M,Syria,USA,HighSchool,G-09,A,Arabic,S,Father,Yes,Bad,Under-7,0<x<25,0<x<24,0<x<24,1<x<25,2
M,lebanon,Jordan,HighSchool,G-10,C,Geology,F,Mum,No,Good,Under-7,x<0,0<x<24,49<x<73,50<x<74,2
M,venzuela,venzuela,lowerlevel,G-07,A,Spanish,F,Father,Yes,Good,Above-7,0<x<25,24<x<49,0<x<24,1<x<25,1
M,Iran,Morocco,HighSchool,G-08,B,Spanish,F,Mum,No,Bad,Above-7,50<x<75,49<x<74,0<x<24,x>74,2
F,Lybia,USA,lowerlevel,G-10,A,Science,F,Mum,Yes,Bad,Above-7,x>75,x>74,0<x<24,x<1,2
F,USA,Syria,MiddleSchool,G-09,B,Spanish,S,Mum,No,Bad,Under-7,25<x<50,24<x<49,24<x<49,x>74,0
F,Tunis,Iran,MiddleSchool,G-08,A,Science,S,Mum,No,Bad,Under-7,25<x<50,0<x<24,x>73,x>74,2
F,Palestine,Iraq,HighSchool,G-08,B,IT,S,Father,No,Bad,Under-7,0<x<25,24<x<49,0<x<24,25<x<50,2
F,USA,Morocco,MiddleSchool,G-07,C,Quran,F,Mum,No,Good,Above-7,0<x<25,x>74,49<x<73,50<x<74,2
F,Syria,Tunis,HighSchool,G-12,C,Arabic,S,Mum,No,Bad,Under-7,25<x<50,x>74,24<x<49,x>74,0
F,Iran,Morocco,HighSchool,G-11,B,Quran,S,Father,Yes,Good,Above-7,0<x<25,0<x<24,0<x<24,x>74,1
M,venzuela,Iraq,lowerlevel,G-08,B,Geology,S,Father,Yes,Good,Above-7,x>75,49<x<74,24<x<49,50<x<74,2
F,SaudiArabia,Morocco,lowerlevel,G-04,A,Math,F,Father,Yes,Good,Under-7,0<x<25,24<x<49,0<x<24,25<x<50,2
F,Morocco,KuwaIT,lowerlevel,G-12,A,Math,F,Father,Yes,Bad,Under-7,25<x<50,49<x<74,24<x<49,25<x<50,0
M,Iraq,Lybia,lowerlevel,G-09,B,Chemistry,F,Mum,Yes,Good,Under-7,0<x<25,49<x<74,0<x<24,1<x<25,2
F,Morocco,Syria,HighSchool,G-08,A,Quran,F,Father,No,Bad,Under-7,50<x<75,49<x<74,24<x<49,50<x<74,2
F,Morocco,Egypt,MiddleSchool,G-04,A,Spanish,F,Father,No,Bad,Under-7,25<x<50,x>74,0<x<24,50<x<74,2
F,lebanon,KuwaIT,HighSchool,G-07,A,Spanish,S,Mum,No,Good,Under-7,x>75,49<x<74,49<x<73,25<x<50,0
M,Tunis,lebanon,lowerlevel,G-09,A,Spanish,F,Father,No,Bad,Above-7,50<x<75,49<x<74,0<x<24,25<x<50,2
M,Palestine,Iraq,HighSchool,G-12,C,Math,S,Father,No,Good,Above-7,25<x<50,24<x<49,49<x<73,50<x<74,2
F,Tunis,Palestine,HighSchool,G-06,A,History,S,Mum,Yes,Good,Above-7,50<x<75,0<x<24,0<x<24,x>74,1
F,Morocco,lebanon,MiddleSchool,G-04,A,Math,S,Mum,No,Bad,Above-7,50<x<75,24<x<49,x>73,1<x<25,1
F,Jordan,venzuela,MiddleSchool,G-09,C,Science,F,Mum,No,Bad,Above-7,0<x<25,x>74,49<x<73,1<x<25,2
M,Lybia,Lybia,lowerlevel,G-05,B,English,S,Father,No,Good,Above-7,50<x<75,24<x<49,0<x<24,25<x<50,1
M,Palestine,Morocco,HighSchool,G-06,C,Quran,F,Father,No,Good,Under-7,x>75,49<x<74,0<x<24,x>74,2
M,Egypt,Tunis,lowerlevel,G-09,C,Math,F,Mum,Yes,Good,Under-7,0<x<25,49<x<74,0<x<24,x>74,2
F,Morocco,KuwaIT,HighSchool,G-05,B,Science,F,Father,No,Good,Above-7,0<x<25,0<x<24,49<x<73,25<x<50,2
M,Syria,lebanon,MiddleSchool,G-07,C,Biology,S,Father,No,Good,Above-7,x>75,x>74,0<x<24,25<x<50,2
M,KW,KuwaIT,MiddleSchool,G-06,B,English,F,Father,No,Bad,Under-7,25<x<50,0<x<24,0<x<24,25<x<50,2
M,KW,Jordan,MiddleSchool,G-12,A,IT,S,Father,No,Good,Above-7,x>75,49<x<74,49<x<73,x>74,2
M,USA,Morocco,lowerlevel,G-05,A,Quran,S,Father,Yes,Good,Under-7,0<x<25,0<x<24,24<x<49,50<x<74,2
F,Egypt,Lybia,MiddleSchool,G-09,C,History,S,Father,Yes,Bad,Under-7,0<x<25,x>74,24<x<49,50<x<74,2
M,Egypt,Egypt,MiddleSchool,G-08,B,Quran,S,Mum,Yes,Bad,Under-7,x>75,x>74,49<x<73,x<1,0
F,lebanon,Iraq,lowerlevel,G-09,A,Chemistry,F,Father,Yes,Good,Above-7,50<x<75,0<x<24,24<x<49,x>74,1
M,USA,SaudiArabia,lowerlevel,G-08,B,Quran,S,Mum,Yes,Good,Under-7,x<0,24<x<49,49<x<73,1<x<25,2
F,Syria,Palestine,HighSchool,G-12,A,Geology,S,Mum,Yes,Good,Above-7,x>75,0<x<24,49<x<73,1<x<25,2
M,Morocco,KuwaIT,MiddleSchool,G-09,C,English,F,Father,Yes,Bad,Above-7,x>75,x>74,0<x<24,x>74,2
M,KW,Egypt,HighSchool,G-10,B,Spanish,F,Mum,Yes,Bad,Above-7,0<x<25,0<x<24,49<x<73,1<x<25,1
M,Iran,SaudiArabia,HighSchool,G-10,A,Math,F,Mum,Yes,Bad,Above-7,50<x<75,0<x<24,24<x<49,x>74,2
F,Iraq,venzuela,lowerlevel,G-06,C,History,F,Father,No,Good,Above-7,0<x<25,24<x<49,24<x<49,1<x<25,1
M,Iraq,Morocco,lowerlevel,G-10,A,IT,S,Father,Yes,Good,Under-7,25<x<50,0<x<24,24<x<49,x>74,2
F,lebanon,Lybia,MiddleSchool,G-04,A,Spanish,F,Mum,Yes,Bad,Under-7,x>75,49<x<74,49<x<73,50<x<74,0
F,USA,Iraq,MiddleSchool,G-02,B,Biology,F,Father,No,Good,Under-7,0<x<25,49<x<74,24<x<49,25<x<50,2
F,Egypt,Palestine,MiddleSchool,G-12,C,IT,S,Father,No,Good,Above-7,x>75,49<x<74,49<x<73,50<x<74,2
M,Morocco,Egypt,HighSchool,G-07,C,Biology,S,Father,No,Bad,Above-7,x>75,49<x<74,0<x<24,1<x<25,1
F,SaudiArabia,Palestine,lowerlevel,G-08,B,Geology,F,Father,Yes,Bad,Above-7,0<x<25,49<x<74,0<x<24,1<x<25,1
M,USA,Egypt,HighSchool,G-10,A,Chemistry,F,Mum,Yes,Bad,Above-7,x>75,0<x<24,49<x<73,1<x<25,1
M,KW,SaudiArabia,lowerlevel,G-04,C,Spanish,F,Mum,Yes,Bad,Above-7,50<x<75,49<x<74,0<x<24,25<x<50,2
F,Jordan,SaudiArabia,HighSchool,G-05,C,History,F,Mum,Yes,Good,Above-7,0<x<25,x>74,49<x<73,50<x<74,2
M,Egypt,Iran,HighSchool,G-05,A,Math,S,Mum,Yes,Bad,Above-7,0<x<25,0<x<24,x>73,50<x<74,1
F,Jordan,Tunis,lowerlevel,G-08,C,Science,S,Father,Yes,Good,Under-7,0<x<25,49<x<74,49<x<73,25<x<50,2
M,Iraq,Syria,lowerlevel,G-12,A,French,S,Mum,Yes,Bad,Under-7,0<x<25,x<0,49<x<73,25<x<50,2
F,Iraq,Iraq,lowerlevel,G-08,B,Arabic,F,Father,No,Bad,Under-7,50<x<75,0<x<24,0<x<24,x>74,2
F,USA,venzuela,HighSchool,G-09,C,Science,F,Father,No,Bad,Under-7,0<x<25,0<x<24,24<x<49,25<x<50,2
F,KW,Syria,MiddleSchool,G-02,B,Quran,F,Father,No,Bad,Above-7,0<x<25,24<x<49,49<x<73,25<x<50,1
F,Syria,Lybia,HighSchool,G-05,C,IT,S,Father,No,Bad,Under-7,0<x<25,0<x<24,24<x<49,x>74,2
F,Jordan,Morocco,MiddleSchool,G-04,C,IT,S,Mum,No,Bad,Under-7,25<x<50,49<x<74,24<x<49,25<x<50,2
F,Egypt,KuwaIT,HighSchool,G-08,B,Spanish,S,Mum,No,Good,Under-7,50<x<75,49<x<74,49<x<73,50<x<74,0
M,Tunis,Lybia,HighSchool,G-11,A,Biology,S,Mum,Yes,Good,Above-7,25<x<50,0<x<24,24<x<49,1<x<25,2
M,Syria,venzuela,MiddleSchool,G-11,B,Science,S,Father,No,Good,Under-7,25<x<50,0<x<24,24<x<49,x>74,2
M,lebanon,Syria,lowerlevel,G-11,B,Spanish,S,Mum,Yes,Good,Above-7,x>75,0<x<24,49<x<73,50<x<74,1
F,KW,KuwaIT,lowerlevel,G-02,B,Science,F,Father,No,Bad,Under-7,0<x<25,49<x<74,24<x<49,50<x<74,2
F,USA,Tunis,lowerlevel,G-08,B,English,F,Father,No,Bad,Above-7,x>75,49<x<74,x>73,50<x<74,2
M,USA,Iraq,MiddleSchool,G-09,C,Chemistry,S,Mum,No,Good,Under-7,x>75,x>74,24<x<49,1<x<25,0
M,Iran,KuwaIT,MiddleSchool,G-11,C,Biology,F,Mum,Yes,Bad,Under-7,50<x<75,x<0,0<x<24,50<x<74,0
M,Jordan,Egypt,lowerlevel,G-05,C,History,S,Mum,No,Good,Under-7,x>75,0<x<24,0<x<24,x>74,2
M,KW,Iran,lowerlevel,G-12,C,Arabic,S,Mum,Yes,Good,Under-7,x>75,0<x<24,49<x<73,25<x<50,0
F,Morocco,Lybia,lowerlevel,G-06,C,Biology,S,Father,Yes,Bad,Above-7,x>75,x>74,0<x<24,1<x<25,2
M,Egypt,KuwaIT,HighSchool,G-09,B,French,F,Father,Yes,Good,Above-7,25<x<50,0<x<24,x>73,50<x<74,2
M,Morocco,SaudiArabia,HighSchool,G-08,A,IT,F,Mum,Yes,Good,Above-7,x>75,x>74,24<x<49,50<x<74,0
F,lebanon,Syria,MiddleSchool,G-08,B,Spanish,F,Mum,Yes,Bad,Under-7,25<x<50,0<x<24,x>73,25<x<50,0
M,KW,venzuela,HighSchool,G-12,A,Science,F,Father,No,Bad,Above-7,25<x<50,0<x<24,24<x<49,x>74,2
F,KW,SaudiArabia,HighSchool,G-09,A,History,F,Mum,Yes,Good,Above-7,x>75,49<x<74,0<x<24,25<x<50,2
M,Morocco,Egypt,lowerlevel,G-08,C,Geology,F,Father,No,Bad,Above-7,0<x<25,0<x<24,0<x<24,50<x<74,1
M,Morocco,Jordan,lowerlevel,G-05,A,History,S,Father,No,Bad,Under-7,0<x<25,49<x<74,24<x<49,25<x<50,2
M,Lybia,Tunis,lowerlevel,G-09,B,Spanish,F,Father,Yes,Bad,Above-7,0<x<25,24<x<49,24<x<49,25<x<50,1
F,Jordan,Iraq,lowerlevel,G-07,B,Arabic,F,Mum,Yes,Bad,Above-7,0<x<25,24<x<49,x>73,50<x<74,1
M,Morocco,KuwaIT,MiddleSchool,G-06,B,Biology,S,Father,No,Bad,Above-7,x>75,24<x<49,0<x<24,25<x<50,1
F,Iran,lebanon,lowerlevel,G-06,B,Math,F,Mum,Yes,Good,Above-7,25<x<50,24<x<49,0<x<24,25<x<50,2
M,Iran,lebanon,HighSchool,G-09,B,Biology,S,Mum,No,Bad,Under-7,x>75,x>74,49<x<73,x>74,0
M,Iran,lebanon,MiddleSchool,G-04,B,Science,S,Mum,No,Bad,Under-7,50<x<75,49<x<74,0<x<24,25<x<50,2
F,Jordan,lebanon,lowerlevel,G-11,A,French,F,Father,Yes,Good,Under-7,50<x<75,0<x<24,24<x<49,50<x<74,2
F,venzuela,Morocco,lowerlevel,G-09,B,Science,F,Mum,No,Bad,Under-7,x>75,49<x<74,0<x<24,25<x<50,2
M,Lybia,USA,lowerlevel,G-12,B,IT,S,Mum,No,Good,Under-7,0<x<25,49<x<74,49<x<73,1<x<25,2
M,Syria,Morocco,lowerlevel,G-07,C,History,S,Mum,Yes,Bad,Under-7,x>75,0<x<24,24<x<49,25<x<50,0
M,Syria,lebanon,HighSchool,G-10,B,Biology,F,Mum,No,Bad,Above-7,0<x<25,24<x<49,49<x<73,1<x<25,1
F,Lybia,Egypt,lowerlevel,G-08,B,Quran,S,Mum,Yes,Bad,Above-7,0<x<25,24<x<49,0<x<24,1<x<25,1
M,Tunis,SaudiArabia,MiddleSchool,G-09,C,Math,F,Mum,No,Bad,Under-7,x>75,0<x<24,0<x<24,x>74,2
F,lebanon,Tunis,MiddleSchool,G-09,C,History,S,Father,Yes,Good,Under-7,x>75,x>74,24<x<49,x>74,2
M,Palestine,Tunis,MiddleSchool,G-10,C,History,F,Father,Yes,Good,Above-7,x>75,x>74,24<x<49,x>74,2
F,USA,lebanon,HighSchool,G-10,B,Chemistry,S,Father,No,Bad,Above-7,0<x<25,x>74,24<x<49,x>74,2
M,venzuela,lebanon,MiddleSchool,G-05,C,Arabic,S,Mum,Yes,Good,Under-7,0<x<25,x>74,49<x<73,25<x<50,0
F,KW,Syria,lowerlevel,G-05,A,Chemistry,F,Father,No,Bad,Above-7,25<x<50,x>74,0<x<24,25<x<50,2
M,Lybia,Syria,lowerlevel,G-09,C,Spanish,F,Father,Yes,Bad,Under-7,0<x<25,0<x<24,0<x<24,1<x<25,1
F,lebanon,KuwaIT,MiddleSchool,G-10,C,Chemistry,F,Father,No,Good,Under-7,0<x<25,49<x<74,x>73,x>74,2
F,Iran,Iraq,lowerlevel,G-07,C,English,F,Mum,No,Good,Under-7,25<x<50,49<x<74,x>73,1<x<25,0
M,Egypt,KuwaIT,lowerlevel,G-02,B,Science,F,Mum,No,Bad,Above-7,25<x<50,0<x<24,49<x<73,1<x<25,1
M,Syria,venzuela,HighSchool,G-12,A,IT,S,Father,No,Good,Above-7,50<x<75,x>74,49<x<73,25<x<50,2
F,Iraq,Tunis,lowerlevel,G-06,C,Biology,S,Father,No,Bad,Above-7,25<x<50,24<x<49,0<x<24,1<x<25,1
F,Morocco,Iran,HighSchool,G-09,C,Arabic,F,Father,Yes,Bad,Under-7,0<x<25,49<x<74,24<x<49,25<x<50,2
F,Morocco,venzuela,MiddleSchool,G-07,C,Arabic,S,Father,Yes,Bad,Above-7,x>75,24<x<49,49<x<73,50<x<74,2
F,Tunis,Iran,lowerlevel,G-07,A,Science,F,Mum,No,Bad,Under-7,0<x<25,24<x<49,0<x<24,1<x<25,2
M,Lybia,KuwaIT,HighSchool,G-11,B,Quran,F,Father,Yes,Bad,Above-7,x>75,x>74,24<x<49,1<x<25,2
M,SaudiArabia,Lybia,HighSchool,G-12,A,Science,S,Father,No,Bad,Under-7,50<x<75,0<x<24,x>73,1<x<25,2
F,KW,SaudiArabia,HighSchool,G-12,C,Arabic,F,Mum,No,Bad,Above-7,0<x<25,49<x<74,0<x<24,25<x<50,1
F,Lybia,Jordan,MiddleSchool,G-08,C,Spanish,S,Father,No,Bad,Under-7,25<x<50,0<x<24,49<x<73,50<x<74,2
F,Morocco,venzuela,lowerlevel,G-05,C,IT,S,Mum,No,Good,Above-7,0<x<25,x>74,49<x<73,x>74,2
M,Lybia,Iran,MiddleSchool,G-08,A,English,S,Father,No,Bad,Under-7,25<x<50,0<x<24,49<x<73,50<x<74,2
F,Iran,venzuela,MiddleSchool,G-06,B,Quran,S,Father,Yes,Good,Above-7,25<x<50,0<x<24,49<x<73,25<x<50,2
F,Iraq,Tunis,lowerlevel,G-06,C,French,F,Father,Yes,Good,Above-7,50<x<75,49<x<74,24<x<49,25<x<50,2
F,Palestine,venzuela,MiddleSchool,G-08,A,English,F,Father,No,Bad,Above-7,0<x<25,0<x<24,0<x<24,25<x<50,1
M,Egypt,Morocco,lowerlevel,G-12,C,Quran,S,Mum,Yes,Good,Above-7,0<x<25,49<x<74,49<x<73,25<x<50,2
F,Syria,Jordan,lowerlevel,G-05,A,Quran,S,Father,Yes,Bad,Above-7,0<x<25,49<x<74,49<x<73,25<x<50,2
M,Syria,venzuela,lowerlevel,G-07,A,Arabic,S,Mum,Yes,Good,Above-7,25<x<50,x>74,x>73,1<x<25,2
F,Morocco,KuwaIT,lowerlevel,G-06,C,IT,S,Mum,No,Bad,Under-7,25<x<50,0<x<24,x>73,x>74,0
F,Morocco,Iraq,MiddleSchool,G-06,A,Spanish,S,Mum,No,Good,Above-7,0<x<25,24<x<49,24<x<49,50<x<74,1
M,Tunis,KuwaIT,HighSchool,G-07,C,Quran,S,Father,Yes,Bad,Above-7,25<x<50,49<x<74,24<x<49,25<x<50,2
F,Iran,KuwaIT,MiddleSchool,G-06,A,History,S,Father,Yes,Bad,Above-7,50<x<75,24<x<49,49<x<73,50<x<74,2
F,Iran,Iran,MiddleSchool,G-09,B,Arabic,S,Father,No,Bad,Above-7,x>75,49<x<74,49<x<73,50<x<74,2
M,Iraq,Jordan,MiddleSchool,G-12,B,Spanish,F,Mum,No,Good,Under-7,0<x<25,49<x<74,49<x<73,25<x<50,2
F,Tunis,Iran,lowerlevel,G-09,B,English,F,Mum,No,Bad,Under-7,0<x<25,24<x<49,49<x<73,x>74,0
F,USA,Lybia,lowerlevel,G-02,B,French,S,Father,No,Bad,Above-7,x>75,49<x<74,0<x<24,1<x<25,1
F,Jordan,Jordan,lowerlevel,G-11,A,Quran,S,Father,Yes,Good,Under-7,25<x<50,x>74,49<x<73,50<x<74,2
M,USA,Morocco,HighSchool,G-05,A,IT,S,Mum,Yes,Good,Under-7,x>75,49<x<74,49<x<73,1<x<25,0
F,Morocco,USA,MiddleSchool,G-06,A,Chemistry,S,Father,No,Good,Above-7,x>75,24<x<49,x>73,25<x<50,2
M,USA,Egypt,MiddleSchool,G-06,B,French,F,Mum,No,Good,Under-7,x>75,x>74,0<x<24,25<x<50,2
M,Tunis,Egypt,lowerlevel,G-12,A,Biology,S,Father,No,Bad,Under-7,0<x<25,x>74,x>73,25<x<50,2
M,Jordan,lebanon,MiddleSchool,G-09,C,English,F,Mum,No,Bad,Under-7,0<x<25,49<x<74,0<x<24,1<x<25,0
F,USA,Syria,lowerlevel,G-02,A,Spanish,F,Mum,No,Bad,Under-7,x>75,0<x<24,x>73,x>74,0
F,USA,lebanon,MiddleSchool,G-05,B,Spanish,F,Father,No,Good,Under-7,x>75,49<x<74,0<x<24,1<x<25,2
F,Morocco,Morocco,lowerlevel,G-06,A,Math,F,Father,Yes,Good,Above-7,50<x<75,0<x<24,0<x<24,x>74,2
M,venzuela,Iraq,HighSchool,G-02,B,French,F,Father,No,Bad,Under-7,0<x<25,x>74,0<x<24,1<x<25,2
M,USA,Morocco,lowerlevel,G-07,C,English,F,Mum,No,Good,Above-7,25<x<50,0<x<24,0<x<24,50<x<74,1
F,Tunis,Morocco,lowerlevel,G-11,C,IT,F,Mum,No,Bad,Above-7,x>75,x>74,0<x<24,25<x<50,2
F,Lybia,Tunis,lowerlevel,G-06,A,Spanish,F,Father,Yes,Good,Above-7,25<x<50,0<x<24,49<x<73,x>74,2
M,USA,USA,lowerlevel,G-10,C,Spanish,F,Father,Yes,Bad,Above-7,x>75,49<x<74,24<x<49,25<x<50,2
M,Jordan,Palestine,MiddleSchool,G-08,B,History,F,Father,Yes,Good,Under-7,50<x<75,0<x<24,0<x<24,25<x<50,2
F,lebanon,lebanon,HighSchool,G-06,A,IT,F,Father,No,Bad,Above-7,x>75,24<x<49,0<x<24,50<x<74,2
M,Morocco,Morocco,HighSchool,G-08,A,History,S,Mum,No,Good,Above-7,50<x<75,49<x<74,0<x<24,x>74,2
F,SaudiArabia,Palestine,HighSchool,G-02,C,History,S,Father,No,Bad,Above-7,50<x<75,x>74,0<x<24,1<x<25,2
F,Lybia,lebanon,lowerlevel,G-09,A,Quran,S,Mum,No,Good,Above-7,25<x<50,0<x<24,0<x<24,1<x<25,1
M,Iraq,SaudiArabia,lowerlevel,G-10,B,English,F,Mum,Yes,Good,Under-7,25<x<50,0<x<24,49<x<73,x>74,0
F,venzuela,Egypt,MiddleSchool,G-06,A,History,S,Mum,Yes,Good,Above-7,25<x<50,x>74,x<0,1<x<25,2
M,Tunis,Iran,MiddleSchool,G-04,C,History,S,Father,No,Bad,Above-7,0<x<25,x>74,49<x<73,1<x<25,2
F,Morocco,venzuela,lowerlevel,G-11,B,Geology,F,Father,Yes,Bad,Under-7,0<x<25,49<x<74,24<x<49,50<x<74,2
M,Iraq,Syria,HighSchool,G-09,A,IT,S,Father,Yes,Bad,Above-7,50<x<75,49<x<74,49<x<73,25<x<50,2
M,KW,Iran,MiddleSchool,G-07,B,Spanish,F,Mum,Yes,Bad,Above-7,0<x<25,49<x<74,24<x<49,50<x<74,1
M,Iran,Morocco,MiddleSchool,G-07,C,English,S,Mum,No,Good,Above-7,x>75,0<x<24,x>73,50<x<74,2
M,Morocco,Iran,HighSchool,G-05,C,Geology,F,Mum,No,Bad,Under-7,50<x<75,24<x<49,49<x<73,x>74,2
M,Palestine,KuwaIT,HighSchool,G-07,B,Math,F,Father,Yes,Good,Above-7,0<x<25,0<x<24,24<x<49,1<x<25,1
F,Iraq,KuwaIT,HighSchool,G-12,C,Spanish,S,Father,Yes,Bad,Under-7,50<x<75,x>74,0<x<24,1<x<25,2
F,USA,SaudiArabia,lowerlevel,G-11,B,Spanish,S,Mum,No,Bad,Above-7,x>75,49<x<74,x>73,1<x<25,2
F,KW,Palestine,MiddleSchool,G-04,B,Biology,S,Mum,No,Good,Under-7,x>75,0<x<24,0<x<24,x>74,0
F,lebanon,Egypt,HighSchool,G-09,B,IT,S,Mum,Yes,Bad,Under-7,x>75,0<x<24,24<x<49,x>74,0
F,Egypt,Egypt,lowerlevel,G-02,A,Chemistry,S,Mum,No,Bad,Above-7,50<x<75,49<x<74,0<x<24,50<x<74,1
F,SaudiArabia,Iran,HighSchool,G-07,B,Geology,S,Mum,No,Good,Under-7,0<x<25,x>74,0<x<24,25<x<50,0
M,Lybia,Iran,MiddleSchool,G-05,B,Biology,F,Mum,No,Good,Above-7,x>75,49<x<74,0<x<24,1<x<25,1
F,Iraq,Palestine,MiddleSchool,G-04,B,Geology,S,Father,Yes,Bad,Above-7,50<x<75,0<x<24,x>73,1<x<25,2
M,Iran,venzuela,lowerlevel,G-12,C,Spanish,S,Father,Yes,Bad,Above-7,0<x<25,0<x<24,24<x<49,25<x<50,2
M,Iraq,lebanon,lowerlevel,G-02,B,Science,F,Mum,No,Good,Above-7,0<x<25,0<x<24,0<x<24,1<x<25,1
M,Palestine,Lybia,lowerlevel,G-12,B,Arabic,F,Father,No,Good,Under-7,0<x<25,49<x<74,x>73,1<x<25,2
F,KW,Morocco,MiddleSchool,G-07,B,English,F,Mum,Yes,Bad,Above-7,x>75,49<x<74,x>73,50<x<74,2
M,Syria,Morocco,MiddleSchool,G-08,C,French,S,Mum,Yes,Good,Above-7,x>75,x>74,24<x<49,25<x<50,2
M,Iran,lebanon,lowerlevel,G-05,C,French,F,Father,No,Good,Above-7,25<x<50,0<x<24,49<x<73,25<x<50,1
M,SaudiArabia,Iraq,HighSchool,G-10,B,Biology,F,Mum,No,Bad,Above-7,50<x<75,24<x<49,24<x<49,1<x<25,1
M,lebanon,Iran,MiddleSchool,G-08,A,French,S,Father,Yes,Bad,Under-7,0<x<25,24<x<49,0<x<24,1<x<25,2
M,KW,Lybia,HighSchool,G-08,B,Quran,S,Mum,No,Bad,Under-7,x>75,49<x<74,24<x<49,25<x<50,2
F,Morocco,Iran,lowerlevel,G-07,A,IT,F,Mum,Yes,Good,Under-7,0<x<25,0<x<24,24<x<49,x>74,2
M,SaudiArabia,Egypt,MiddleSchool,G-07,C,Arabic,F,Father,Yes,Bad,Under-7,x>75,49<x<74,0<x<24,25<x<50,2
M,Iran,USA,MiddleSchool,G-06,A,Science,F,Father,No,Bad,Under-7,0<x<25,24<x<49,49<x<73,1<x<25,2
F,Iraq,venzuela,HighSchool,G-11,A,History,S,Mum,Yes,Good,Under-7,25<x<50,x>74,24<x<49,x>74,0
M,venzuela,SaudiArabia,HighSchool,G-02,C,English,S,Father,Yes,Good,Under-7,x>75,24<x<49,0<x<24,1<x<25,2
F,Lybia,Iraq,MiddleSchool,G-02,A,IT,S,Mum,Yes,Bad,Under-7,0<x<25,49<x<74,24<x<49,25<x<50,2
