gender,Grade,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,class
M,7,S,Father,80,80,15,70,Under-7,1
F,7,S,Mum,70,80,95,70,Under-7,1
F,11,S,Mum,70,80,95,70,Under-7,1
F,11,F,Mum,60,80,50,40,Under-7,1
F,7,F,Mum,100,80,95,90,Under-7,1
M,7,F,Mum,100,85,85,70,Under-7,1
M,7,F,Father,10,60,5,20,Above-7,0
M,7,S,Father,19,65,50,10,Above-7,0
M,7,S,Father,10,75,55,11,Under-7,1
M,7,S,Father,80,90,55,19,Under-7,1
M,7,S,Father,10,10,15,19,Above-7,0
M,7,S,Father,70,75,55,11,Under-7,1
F,7,S,Mum,100,75,50,70,Under-7,1
F,7,S,Father,10,79,30,30,Under-7,1
F,7,S,Father,60,55,30,40,Under-7,1
F,7,S,Mum,100,75,50,70,Under-7,1
M,11,S,Father,80,80,51,59,Under-7,1
M,11,S,Father,23,63,71,89,Under-7,1
F,11,S,Father,100,91,98,40,Under-7,1
M,11,S,Father,10,51,40,40,Above-7,0
M,11,S,Father,70,50,33,41,Above-7,1
M,11,S,Father,70,58,73,91,Under-7,1
F,11,S,Father,70,50,30,49,Under-7,1
M,11,S,Father,70,50,33,40,Under-7,1
M,7,S,Father,22,51,48,10,Above-7,0
F,7,S,Father,62,68,48,80,Under-7,1
F,7,S,Mum,82,89,58,50,Under-7,1
M,7,S,Mum,72,80,58,66,Under-7,1
F,2,S,Mum,70,82,3,73,Under-7,1
F,2,S,Mum,60,82,93,43,Above-7,1
M,2,S,Mum,55,72,83,14,Above-7,1
F,2,S,Mum,72,65,73,66,Under-7,1
M,2,S,Mum,51,82,53,43,Under-7,1
M,2,S,Mum,80,92,83,43,Under-7,1
M,2,S,Mum,60,52,23,33,Under-7,1
M,2,S,Mum,30,12,29,23,Under-7,1
M,2,S,Father,40,62,83,33,Under-7,1
M,2,S,Mum,60,52,23,33,Under-7,1
M,2,S,Mum,20,22,53,13,Above-7,0
M,2,S,Mum,20,52,23,33,Above-7,0
F,2,S,Father,50,62,73,43,Above-7,1
M,2,S,Father,10,2,13,53,Above-7,0
M,2,S,Mum,60,52,23,33,Under-7,1
F,2,S,Mum,15,52,83,11,Under-7,1
F,2,S,Mum,80,42,33,13,Under-7,1
M,2,S,Mum,40,51,20,33,Under-7,1
F,2,S,Father,60,70,63,93,Under-7,1
M,2,S,Father,50,62,13,33,Above-7,0
M,8,S,Mum,85,75,62,53,Under-7,1
F,8,S,Father,25,15,32,53,Under-7,1
M,8,S,Mum,10,35,30,13,Above-7,0
M,8,S,Mum,87,65,82,33,Under-7,1
M,8,S,Mum,85,15,22,53,Under-7,1
F,8,S,Father,80,71,52,51,Under-7,1
M,8,S,Mum,75,71,72,53,Under-7,1
F,8,S,Father,85,66,12,23,Under-7,1
M,8,S,Father,23,25,32,53,Under-7,0
M,8,S,Father,15,25,37,13,Above-7,0
M,8,S,Mum,95,91,62,53,Under-7,1
M,8,S,Mum,81,75,62,53,Under-7,1
M,8,S,Mum,53,75,72,23,Under-7,1
M,8,S,Father,15,43,42,33,Under-7,1
M,8,S,Mum,92,65,62,53,Under-7,1
M,8,S,Mum,83,75,62,53,Under-7,1
M,8,S,Father,27,15,42,53,Above-7,0
M,8,S,Father,45,95,12,13,Under-7,1
M,8,S,Mum,15,90,52,83,Under-7,1
F,8,S,Mum,45,58,52,43,Under-7,1
M,8,S,Father,25,5,12,33,Under-7,1
F,8,S,Father,22,51,42,40,Under-7,1
M,8,S,Father,29,10,12,24,Above-7,0
F,8,S,Mum,72,51,42,24,Above-7,1
M,8,S,Father,67,31,42,14,Under-7,1
M,8,S,Father,17,21,42,14,Under-7,1
M,8,S,Mum,27,41,49,14,Under-7,1
M,8,S,Father,70,81,39,84,Under-7,1
M,8,S,Mum,27,90,82,14,Under-7,1
M,8,S,Father,17,61,42,14,Under-7,1
M,8,S,Mum,87,81,42,19,Under-7,1
M,8,S,Father,7,61,22,14,Above-7,0
M,8,S,Father,17,50,2,4,Above-7,0
M,8,S,Father,5,21,42,14,Above-7,0
M,8,S,Mum,27,41,32,61,Above-7,1
F,8,S,Father,87,88,40,10,Under-7,1
M,8,S,Mum,96,61,42,94,Under-7,1
M,8,S,Mum,57,51,46,34,Under-7,1
M,8,S,Father,77,69,41,13,Under-7,1
M,8,S,Father,80,51,40,24,Under-7,1
M,8,S,Father,62,61,82,40,Under-7,1
M,8,S,Mum,72,83,12,90,Under-7,1
M,8,S,Mum,87,81,22,70,Under-7,1
M,8,S,Mum,72,90,12,30,Under-7,1
M,8,S,Father,2,11,62,30,Under-7,0
M,8,S,Father,5,3,2,10,Under-7,0
M,11,S,Mum,73,84,77,81,Above-7,1
M,8,S,Father,5,17,21,10,Above-7,0
M,8,S,Mum,51,42,12,29,Above-7,1
M,8,S,Father,9,7,21,20,Above-7,0
M,7,F,Father,19,72,15,50,Above-7,1
F,7,S,Mum,32,80,58,46,Above-7,1
M,7,S,Mum,32,60,58,66,Above-7,1
M,7,S,Father,12,8,18,26,Above-7,0
M,7,S,Father,52,10,13,6,Above-7,0
M,7,S,Father,72,80,58,66,Above-7,1
F,7,S,Mum,72,80,58,66,Above-7,1
M,7,S,Mum,92,80,88,76,Under-7,1
M,7,S,Mum,72,80,98,96,Under-7,1
M,7,S,Father,72,80,58,86,Under-7,1
M,7,S,Father,22,20,18,6,Above-7,0
M,7,S,Father,12,20,38,46,Above-7,1
M,7,S,Mum,70,92,83,85,Under-7,1
F,6,S,Father,50,40,52,66,Under-7,1
F,6,S,Father,80,94,62,77,Under-7,1
F,6,S,Father,87,48,82,96,Above-7,1
F,6,S,Father,70,40,2,16,Above-7,0
M,4,S,Father,65,86,62,40,Above-7,1
M,4,S,Father,15,6,32,40,Under-7,1
M,4,S,Mum,19,74,32,17,Above-7,0
F,4,S,Father,69,76,82,94,Under-7,1
M,4,S,Father,39,26,12,44,Above-7,0
M,4,S,Father,59,97,42,70,Under-7,1
M,4,S,Father,10,17,12,40,Under-7,1
F,4,S,Mum,80,87,72,60,Under-7,1
F,4,S,Father,70,99,66,65,Under-7,1
F,4,S,Father,80,97,86,95,Under-7,1
M,4,S,Mum,69,34,12,17,Above-7,0
M,4,S,Father,10,17,12,14,Above-7,0
M,4,S,Father,61,97,82,64,Above-7,1
F,4,S,Mum,21,27,52,34,Above-7,1
M,4,S,Mum,49,94,42,7,Above-7,1
F,6,F,Mum,70,64,42,32,Under-7,1
F,6,S,Mum,79,84,82,37,Under-7,1
M,6,F,Father,19,80,12,17,Above-7,1
M,6,S,Father,11,70,32,29,Above-7,1
M,6,F,Father,10,8,10,10,Above-7,1
M,6,S,Father,18,28,40,20,Above-7,1
F,6,F,Mum,90,84,52,30,Under-7,1
F,6,S,Mum,92,81,32,36,Under-7,1
M,6,F,Father,42,21,2,16,Under-7,1
M,6,S,Father,22,20,6,26,Under-7,1
F,6,F,Mum,95,82,82,70,Under-7,1
F,6,S,Mum,90,62,80,60,Under-7,1
M,6,F,Mum,72,21,22,26,Under-7,1
M,6,S,Mum,92,31,42,27,Under-7,1
M,6,F,Mum,82,31,52,25,Under-7,1
M,6,S,Mum,72,41,46,27,Under-7,1
M,6,F,Mum,74,71,56,37,Under-7,1
M,6,S,Mum,74,60,56,37,Under-7,1
F,6,F,Mum,95,94,72,80,Under-7,1
F,6,S,Mum,97,87,82,86,Under-7,1
M,6,F,Father,40,38,32,36,Above-7,1
M,6,S,Father,41,39,35,39,Above-7,1
F,6,F,Mum,51,79,85,89,Under-7,1
F,6,S,Mum,81,79,91,85,Under-7,1
M,6,F,Mum,71,70,65,69,Under-7,1
M,6,S,Mum,75,71,76,80,Under-7,1
F,4,F,Father,49,36,32,44,Above-7,0
F,4,S,Father,42,24,12,24,Above-7,0
F,4,F,Mum,90,86,82,74,Under-7,1
F,4,S,Mum,62,64,72,84,Under-7,1
M,4,F,Father,90,86,82,74,Above-7,1
M,4,S,Father,62,64,72,84,Above-7,1
F,4,F,Mum,98,87,86,84,Under-7,1
F,4,S,Mum,72,74,82,89,Under-7,1
M,4,F,Father,18,17,26,34,Above-7,1
M,4,S,Father,32,14,32,29,Above-7,1
M,4,F,Father,10,12,20,13,Above-7,0
M,4,S,Father,22,34,15,9,Above-7,0
F,4,F,Mum,11,20,21,23,Under-7,1
F,4,S,Mum,12,44,25,39,Under-7,1
F,4,F,Father,15,50,24,43,Under-7,1
F,4,S,Father,32,44,29,89,Under-7,1
M,4,F,Mum,65,59,74,83,Under-7,1
M,4,S,Mum,72,64,59,89,Under-7,1
M,4,F,Mum,95,57,74,89,Above-7,1
M,4,S,Mum,82,84,79,79,Above-7,1
M,4,F,Father,25,29,34,33,Above-7,1
M,4,S,Father,42,34,29,39,Above-7,1
F,4,F,Mum,55,79,44,43,Under-7,1
F,4,S,Mum,62,64,69,49,Under-7,1
F,4,F,Mum,78,88,74,83,Under-7,1
F,4,S,Mum,72,84,89,89,Under-7,1
M,2,F,Mum,60,92,83,23,Under-7,1
M,2,S,Mum,50,90,83,13,Under-7,1
F,2,F,Mum,60,97,13,3,Under-7,1
F,2,S,Mum,50,95,23,10,Under-7,1
F,2,F,Mum,60,87,23,11,Above-7,1
F,2,S,Mum,50,80,20,15,Above-7,1
M,2,F,Father,10,15,10,21,Above-7,0
M,2,S,Father,30,10,20,5,Above-7,0
M,2,F,Father,24,35,18,31,Under-7,1
M,2,S,Father,27,20,33,35,Under-7,1
M,2,F,Father,10,15,10,21,Above-7,0
M,2,S,Father,30,10,20,5,Above-7,0
F,2,F,Mum,80,77,63,83,Under-7,1
F,2,S,Mum,75,85,73,80,Under-7,1
M,2,F,Father,40,7,50,41,Above-7,0
M,2,S,Father,35,2,29,33,Above-7,0
F,2,F,Mum,10,90,30,21,Under-7,1
F,2,S,Mum,25,80,29,23,Under-7,1
M,2,F,Mum,10,8,9,3,Above-7,0
M,2,S,Mum,15,7,12,7,Above-7,0
F,2,F,Mum,70,90,20,21,Under-7,1
F,2,S,Mum,75,80,15,20,Under-7,1
F,2,F,Father,78,98,10,11,Under-7,1
F,2,S,Father,79,89,11,14,Under-7,1
F,2,F,Father,16,90,15,11,Under-7,1
F,2,S,Father,17,80,13,10,Under-7,1
M,2,F,Mum,40,87,50,41,Under-7,1
M,2,S,Mum,35,92,29,33,Under-7,1
F,2,F,Mum,14,97,15,14,Under-7,1
F,2,F,Mum,13,82,20,30,Under-7,1
F,2,S,Mum,24,97,15,14,Under-7,1
F,2,S,Mum,23,82,20,30,Under-7,1
M,2,F,Mum,20,3,9,3,Above-7,0
M,2,S,Mum,15,4,12,7,Above-7,0
M,2,F,Mum,5,13,6,6,Above-7,0
M,2,S,Mum,7,9,11,10,Above-7,0
F,2,F,Mum,10,94,40,11,Under-7,1
F,2,S,Mum,25,89,21,13,Under-7,1
M,2,F,Mum,30,98,42,21,Under-7,1
M,2,S,Mum,35,97,41,23,Under-7,1
M,2,F,Father,32,88,32,25,Under-7,1
M,2,S,Father,25,87,21,27,Under-7,1
F,2,F,Mum,72,98,52,15,Under-7,1
F,2,S,Mum,75,90,51,17,Under-7,1
M,2,F,Father,20,88,31,28,Above-7,1
M,2,S,Father,10,98,41,38,Above-7,1
M,2,F,Father,90,98,41,38,Under-7,1
M,2,S,Father,80,88,51,39,Under-7,1
M,2,F,Father,80,95,21,28,Under-7,1
M,2,S,Father,78,70,31,29,Under-7,1
M,2,F,Father,10,18,71,38,Above-7,1
M,2,S,Father,10,58,51,48,Above-7,1
F,2,F,Mum,98,88,60,31,Under-7,1
F,2,S,Mum,75,81,51,34,Under-7,1
M,2,F,Father,10,17,50,21,Under-7,1
M,2,S,Father,35,2,29,23,Under-7,1
F,2,F,Father,10,20,22,97,Above-7,0
F,2,S,Father,5,9,19,98,Above-7,0
M,2,F,Father,10,10,40,51,Above-7,0
M,2,S,Father,35,2,29,23,Above-7,0
M,2,F,Mum,20,90,50,61,Above-7,1
M,2,S,Mum,32,82,59,63,Above-7,1
M,2,F,Father,10,30,50,91,Above-7,0
M,2,S,Father,12,22,59,83,Above-7,0
F,2,F,Father,11,20,20,98,Above-7,0
F,2,S,Father,10,12,29,93,Above-7,0
M,2,F,Mum,69,82,20,28,Under-7,1
M,2,S,Mum,70,83,29,33,Under-7,1
F,2,F,Mum,89,92,40,28,Under-7,1
F,2,S,Mum,79,93,49,23,Under-7,1
M,2,F,Mum,15,90,21,97,Under-7,1
M,2,S,Mum,20,77,31,88,Under-7,1
M,2,F,Mum,4,10,11,7,Above-7,0
M,2,S,Mum,5,0,1,8,Above-7,0
F,7,F,Mum,88,81,50,10,Above-7,1
F,7,S,Mum,90,88,54,12,Above-7,1
F,7,F,Mum,86,98,50,20,Under-7,1
F,7,S,Mum,90,90,57,22,Under-7,1
M,7,F,Mum,78,91,50,40,Under-7,1
M,7,S,Mum,70,98,54,72,Under-7,1
M,7,F,Father,80,80,46,61,Under-7,1
M,7,S,Father,85,82,59,63,Under-7,1
M,7,F,Father,88,90,86,81,Under-7,1
M,7,S,Father,89,92,89,83,Under-7,1
M,7,F,Father,39,71,40,26,Above-7,1
M,7,S,Father,35,80,34,22,Above-7,1
M,7,F,Father,76,81,80,86,Under-7,1
M,7,S,Father,65,89,64,82,Under-7,1
F,7,F,Mum,96,95,70,70,Under-7,1
F,7,S,Mum,80,91,87,72,Under-7,1
M,7,F,Mum,2,9,10,1,Above-7,0
M,7,S,Mum,3,8,19,3,Above-7,0
M,7,F,Father,50,79,10,31,Under-7,1
M,7,S,Father,53,88,9,33,Under-7,1
F,7,F,Mum,70,89,12,21,Under-7,1
F,7,S,Mum,59,90,19,43,Under-7,1
M,7,F,Father,78,80,66,51,Under-7,1
M,7,S,Father,79,72,79,83,Under-7,1
F,7,F,Mum,10,9,2,1,Above-7,0
F,7,S,Mum,9,7,9,3,Above-7,0
M,7,F,Father,98,90,86,71,Under-7,1
M,7,S,Father,89,92,89,83,Under-7,1
M,7,F,Father,88,90,76,81,Under-7,1
M,7,S,Father,99,96,89,84,Under-7,1
F,8,F,Mum,82,89,22,31,Under-7,1
F,8,S,Mum,84,92,29,43,Under-7,1
F,8,F,Mum,70,69,46,45,Above-7,1
F,8,S,Mum,74,62,49,43,Above-7,1
F,8,F,Mum,90,79,76,79,Under-7,1
F,8,S,Mum,84,77,79,68,Under-7,1
M,8,F,Mum,80,80,62,11,Above-7,1
M,8,S,Mum,81,82,69,13,Above-7,1
M,8,F,Father,10,0,2,41,Above-7,0
M,8,S,Father,11,2,9,49,Above-7,0
M,8,F,Father,85,89,22,61,Under-7,1
M,8,S,Father,80,89,23,68,Under-7,1
M,8,F,Father,95,87,62,81,Under-7,1
M,8,S,Father,87,79,73,98,Under-7,1
M,8,F,Mum,85,87,72,10,Above-7,1
M,8,S,Mum,79,88,79,20,Above-7,1
M,8,F,Mum,80,81,71,30,Under-7,1
M,8,S,Mum,70,83,70,23,Under-7,1
M,8,F,Mum,80,82,76,19,Under-7,1
M,8,S,Mum,70,82,75,29,Under-7,1
M,8,F,Mum,89,87,86,15,Under-7,1
M,8,S,Mum,90,86,85,10,Under-7,1
M,8,F,Mum,69,77,76,75,Above-7,1
M,8,S,Mum,70,76,65,70,Above-7,1
M,8,F,Mum,75,72,64,39,Above-7,0
M,8,S,Mum,72,76,66,40,Above-7,0
M,8,F,Mum,77,82,74,79,Under-7,1
M,8,S,Mum,71,84,67,80,Under-7,1
M,8,F,Mum,87,92,74,89,Under-7,1
M,8,S,Mum,81,84,77,85,Under-7,1
F,8,F,Father,15,97,22,10,Under-7,1
F,8,S,Father,19,98,20,2,Under-7,1
F,8,F,Father,25,82,52,20,Above-7,1
F,8,S,Father,29,78,40,12,Above-7,1
F,8,F,Father,45,87,57,80,Under-7,1
F,8,S,Father,39,88,43,72,Under-7,1
F,8,F,Father,85,90,52,30,Under-7,1
F,8,S,Father,79,91,49,22,Under-7,1
M,8,F,Father,90,91,80,81,Under-7,1
M,8,S,Father,80,90,80,83,Under-7,1
M,8,F,Father,80,83,82,71,Above-7,1
M,8,S,Father,71,81,83,72,Above-7,1
M,8,F,Father,72,87,72,89,Above-7,1
M,8,S,Father,69,77,83,92,Above-7,1
F,8,F,Mum,85,99,42,90,Under-7,1
F,8,S,Mum,89,96,45,92,Under-7,1
F,8,F,Mum,80,82,64,58,Under-7,1
F,8,S,Mum,87,93,63,60,Under-7,1
F,8,F,Father,15,9,14,80,Above-7,0
F,8,S,Father,9,6,15,85,Above-7,0
M,8,F,Father,81,86,86,41,Under-7,1
M,8,S,Father,78,82,78,53,Under-7,1
M,8,F,Father,80,87,74,68,Under-7,1
M,8,S,Father,85,88,79,70,Under-7,1
F,8,F,Father,2,7,4,8,Above-7,0
F,8,S,Father,5,4,5,8,Above-7,0
F,8,F,Father,50,77,14,28,Under-7,1
F,8,S,Father,55,74,25,29,Under-7,1
F,8,F,Father,30,17,14,57,Above-7,0
F,8,S,Father,35,14,23,62,Above-7,0
