,age,workcla,fnlwgt,education,education_num,relationship,race,sex,hours_per_week,native_country,class
77,35<x<53, Private,274186<x<527198, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,HIGH
78,35<x<53, Private,274186<x<527198, HS_grad,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
79,35<x<53, Local_gov,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
80,17<x<35, Private,21174<x<274186, Masters,x>12, Husband, White, Male,25<x<50, United_States,LOW
81,17<x<35, Private,21174<x<274186, 9th,4<x<8, Not_in_family, White, Male,25<x<50, United_States,LOW
82,35<x<53, Federal_gov,274186<x<527198, Doctorate,x>12, Not_in_family, White, Female,25<x<50, United_States,HIGH
83,53<x<71, Private,21174<x<274186, Assoc_voc,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
84,35<x<53, Private,274186<x<527198, Some_college,8<x<12, Unmarried, White, Female,25<x<50, United_States,LOW
85,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Unmarried, Black, Female,1<x<25, United_States,LOW
86,17<x<35, Local_gov,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
87,17<x<35, Local_gov,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
88,35<x<53, Self_emp_not_inc,21174<x<274186, Doctorate,x>12, Husband, White, Male,50<x<74, United_States,HIGH
89,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
90,35<x<53, Private,21174<x<274186, Assoc_acdm,8<x<12, Unmarried, White, Female,25<x<50, England,LOW
91,17<x<35, Federal_gov,21174<x<274186, HS_grad,8<x<12, Own_child, Black, Male,25<x<50, United_States,LOW
92,x>71, Private,21174<x<274186, Masters,x>12, Husband, White, Male,25<x<50, United_States,HIGH
93,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,50<x<74, United_States,HIGH
94,35<x<53, Self_emp_not_inc,21174<x<274186, Masters,x>12, Not_in_family, White, Female,25<x<50, United_States,LOW
95,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
96,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
97,17<x<35, Self_emp_inc,274186<x<527198, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
98,17<x<35, Private,21174<x<274186, 11th,4<x<8, Own_child, White, Male,25<x<50, United_States,LOW
99,17<x<35, Local_gov,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
100,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
101,17<x<35, Private,274186<x<527198, Bachelors,x>12, Other_relative, White, Male,25<x<50, United_States,LOW
102,35<x<53, Private,21174<x<274186, Prof_school,x>12, Husband, White, Male,25<x<50, United_States,HIGH
103,53<x<71, Self_emp_not_inc,274186<x<527198, HS_grad,8<x<12, Husband, White, Male,25<x<50, Canada,HIGH
104,17<x<35, Private,274186<x<527198, Some_college,8<x<12, Wife, White, Female,1<x<25, United_States,LOW
105,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
106,35<x<53, Private,21174<x<274186, 9th,4<x<8, Husband, White, Male,25<x<50, United_States,LOW
107,53<x<71, Self_emp_inc,274186<x<527198, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
108,35<x<53, Local_gov,21174<x<274186, Assoc_voc,8<x<12, Husband, Black, Male,25<x<50, United_States,HIGH
109,53<x<71, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,50<x<74, United_States,LOW
110,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
111,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
112,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,50<x<74, United_States,LOW
113,17<x<35, Private,21174<x<274186, Bachelors,x>12, Own_child, Black, Male,25<x<50, Germany,LOW
114,17<x<35, State_gov,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
115,17<x<35, Private,274186<x<527198, Some_college,8<x<12, Own_child, Black, Male,25<x<50, United_States,LOW
116,35<x<53, Private,274186<x<527198, Bachelors,x>12, Wife, White, Female,25<x<50, United_States,HIGH
117,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
118,17<x<35, Private,21174<x<274186, Assoc_acdm,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
119,35<x<53, Private,274186<x<527198, Some_college,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
120,17<x<35, Private,21174<x<274186, Assoc_acdm,8<x<12, Not_in_family, White, Female,50<x<74, United_States,LOW
121,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
122,35<x<53, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
123,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,LOW
124,35<x<53, Private,21174<x<274186, Assoc_acdm,8<x<12, Not_in_family, Black, Female,25<x<50, United_States,LOW
125,35<x<53, Federal_gov,21174<x<274186, Masters,x>12, Husband, White, Male,25<x<50, Iran,HIGH
126,35<x<53, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,50<x<74, United_States,LOW
127,17<x<35, Private,21174<x<274186, Assoc_voc,8<x<12, Wife, White, Female,25<x<50, United_States,LOW
128,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Male,1<x<25, United_States,LOW
129,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Husband, Asian_Pac_Islander, Male,25<x<50, United_States,HIGH
130,53<x<71, Self_emp_inc,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
131,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
132,17<x<35, Private,274186<x<527198, Some_college,8<x<12, Own_child, White, Male,25<x<50, Mexico,LOW
133,35<x<53, Private,21174<x<274186, Assoc_voc,8<x<12, Not_in_family, White, Female,25<x<50, United_States,HIGH
134,53<x<71, Private,21174<x<274186, Some_college,8<x<12, Other_relative, White, Male,25<x<50, United_States,LOW
135,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, Black, Female,25<x<50, United_States,LOW
136,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,1<x<25, United_States,LOW
137,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Female,1<x<25, United_States,LOW
138,53<x<71, Private,21174<x<274186, 11th,4<x<8, Husband, White, Male,25<x<50, United_States,LOW
139,35<x<53, Local_gov,21174<x<274186, Some_college,8<x<12, Unmarried, White, Female,25<x<50, Mexico,LOW
140,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
141,17<x<35, Private,21174<x<274186, Bachelors,x>12, Other_relative, Asian_Pac_Islander, Female,25<x<50, Philippines,LOW
142,17<x<35, Private,274186<x<527198, HS_grad,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
143,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
144,17<x<35, Private,21174<x<274186, Bachelors,x>12, Not_in_family, White, Male,25<x<50, United_States,LOW
145,53<x<71, Self_emp_not_inc,274186<x<527198, Some_college,8<x<12, Unmarried, Black, Male,1<x<25, United_States,LOW
146,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,50<x<74, United_States,LOW
147,35<x<53, Private,21174<x<274186, Bachelors,x>12, Other_relative, Black, Male,25<x<50, United_States,LOW
148,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Female,25<x<50, United_States,LOW
149,35<x<53, Self_emp_inc,21174<x<274186, Masters,x>12, Unmarried, Asian_Pac_Islander, Female,25<x<50, United_States,LOW
150,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, Asian_Pac_Islander, Female,25<x<50, England,LOW
151,35<x<53, Self_emp_not_inc,21174<x<274186, Masters,x>12, Husband, White, Male,25<x<50, United_States,HIGH
152,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Unmarried, White, Female,25<x<50, Mexico,LOW
153,35<x<53, Federal_gov,21174<x<274186, Assoc_acdm,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
154,35<x<53, State_gov,21174<x<274186, Masters,x>12, Unmarried, White, Male,25<x<50, United_States,LOW
155,17<x<35, Private,21174<x<274186, 11th,4<x<8, Own_child, White, Male,1<x<25, United_States,LOW
156,53<x<71, Local_gov,21174<x<274186, Assoc_voc,8<x<12, Not_in_family, White, Female,1<x<25, United_States,LOW
157,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
158,17<x<35, State_gov,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
159,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
160,17<x<35, Private,274186<x<527198, Bachelors,x>12, Not_in_family, White, Male,25<x<50, United_States,LOW
161,17<x<35, State_gov,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
162,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Female,1<x<25, United_States,LOW
163,17<x<35, Private,274186<x<527198, HS_grad,8<x<12, Own_child, Black, Male,25<x<50, United_States,LOW
164,17<x<35, Private,274186<x<527198, HS_grad,8<x<12, Not_in_family, Black, Male,25<x<50, United_States,LOW
165,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Male,1<x<25, United_States,LOW
166,17<x<35, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,50<x<74, United_States,LOW
167,35<x<53, Local_gov,21174<x<274186, Some_college,8<x<12, Husband, Black, Male,25<x<50, United_States,HIGH
168,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
169,17<x<35, Private,527198<x<780210, Some_college,8<x<12, Not_in_family, Black, Male,25<x<50, United_States,LOW
170,35<x<53, Private,274186<x<527198, 7th_8th,1<x<4, Husband, White, Male,25<x<50, Mexico,HIGH
171,35<x<53, Federal_gov,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
172,17<x<35, Private,274186<x<527198, HS_grad,8<x<12, Husband, Black, Male,25<x<50, United_States,LOW
173,35<x<53, Self_emp_not_inc,21174<x<274186, Bachelors,x>12, Not_in_family, White, Female,25<x<50, United_States,LOW
174,17<x<35, Private,21174<x<274186, Masters,x>12, Wife, White, Female,25<x<50, United_States,LOW
175,53<x<71, State_gov,21174<x<274186, Doctorate,x>12, Husband, White, Male,x<1, United_States,HIGH
176,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, Black, Female,25<x<50, United_States,LOW
177,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
178,35<x<53, Local_gov,274186<x<527198, Bachelors,x>12, Husband, Black, Male,25<x<50, United_States,LOW
179,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
180,35<x<53, Federal_gov,21174<x<274186, Bachelors,x>12, Husband, White, Male,1<x<25, United_States,LOW
181,17<x<35, Private,21174<x<274186, 5th_6th,1<x<4, Other_relative, White, Male,25<x<50, Mexico,LOW
182,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
183,35<x<53, Federal_gov,21174<x<274186, Masters,x>12, Not_in_family, White, Female,50<x<74, United_States,HIGH
184,17<x<35, Private,21174<x<274186, Masters,x>12, Other_relative, White, Male,25<x<50, United_States,HIGH
185,17<x<35, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
186,17<x<35, Private,274186<x<527198, Masters,x>12, Not_in_family, White, Female,25<x<50, United_States,LOW
187,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
188,35<x<53, Local_gov,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
189,35<x<53, State_gov,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Female,25<x<50, United_States,LOW
190,17<x<35, Private,21174<x<274186, 11th,4<x<8, Own_child, White, Female,25<x<50, United_States,LOW
191,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, Black, Male,25<x<50, United_States,HIGH
192,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,50<x<74, United_States,LOW
193,53<x<71, Self_emp_inc,21174<x<274186, HS_grad,8<x<12, Wife, White, Female,25<x<50, United_States,HIGH
194,x<17, Private,21174<x<274186, 11th,4<x<8, Own_child, White, Female,1<x<25, United_States,LOW
195,35<x<53, Local_gov,21174<x<274186, HS_grad,8<x<12, Husband, Black, Male,25<x<50, United_States,LOW
196,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
197,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, Amer_Indian_Eskimo, Female,25<x<50, United_States,LOW
198,53<x<71, Private,21174<x<274186, HS_grad,8<x<12, Husband, Asian_Pac_Islander, Male,25<x<50, United_States,LOW
199,53<x<71, Self_emp_inc,21174<x<274186, 7th_8th,1<x<4, Husband, White, Male,25<x<50, United_States,HIGH
200,35<x<53, Private,527198<x<780210, Bachelors,x>12, Not_in_family, Black, Male,50<x<74, United_States,HIGH
201,35<x<53, Private,274186<x<527198, Assoc_acdm,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
202,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, Poland,LOW
203,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,50<x<74, United_States,LOW
204,17<x<35, Private,21174<x<274186, 10th,4<x<8, Not_in_family, White, Male,25<x<50, United_States,LOW
205,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
206,x>71, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, Black, Male,25<x<50, United_States,LOW
207,53<x<71, Private,21174<x<274186, HS_grad,8<x<12, Husband, Black, Male,1<x<25, United_States,LOW
208,35<x<53, Local_gov,21174<x<274186, Preschool,x<1, Not_in_family, White, Female,25<x<50, United_States,LOW
209,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
210,53<x<71, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
211,x>71, Private,274186<x<527198, Assoc_voc,8<x<12, Not_in_family, White, Female,1<x<25, Columbia,LOW
212,53<x<71, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
213,17<x<35, Private,527198<x<780210, 11th,4<x<8, Not_in_family, Black, Male,25<x<50, United_States,LOW
214,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, Black, Female,25<x<50, United_States,LOW
215,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
216,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Other_relative, Other, Female,25<x<50, United_States,LOW
217,17<x<35, Private,21174<x<274186, Prof_school,x>12, Not_in_family, White, Male,50<x<74, United_States,HIGH
218,53<x<71, State_gov,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
219,35<x<53, State_gov,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
220,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, Iran,HIGH
221,35<x<53, Local_gov,21174<x<274186, Masters,x>12, Husband, White, Male,50<x<74, United_States,HIGH
222,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
223,35<x<53, Private,274186<x<527198, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
224,35<x<53, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Wife, White, Female,1<x<25, United_States,LOW
225,17<x<35, State_gov,21174<x<274186, Assoc_acdm,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
226,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
227,53<x<71, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
228,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
229,35<x<53, Private,21174<x<274186, Assoc_acdm,8<x<12, Husband, White, Male,50<x<74, United_States,HIGH
230,35<x<53, Private,21174<x<274186, Prof_school,x>12, Wife, White, Female,25<x<50, United_States,HIGH
231,35<x<53, Private,274186<x<527198, Bachelors,x>12, Wife, Black, Female,25<x<50, United_States,LOW
232,53<x<71, Local_gov,21174<x<274186, 10th,4<x<8, Unmarried, Black, Female,25<x<50, United_States,LOW
233,17<x<35, Local_gov,21174<x<274186, Some_college,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
234,53<x<71, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,1<x<25, United_States,LOW
235,35<x<53, Self_emp_not_inc,274186<x<527198, HS_grad,8<x<12, Husband, Asian_Pac_Islander, Male,25<x<50, Cambodia,HIGH
236,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Female,25<x<50, United_States,LOW
237,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
238,35<x<53, Private,21174<x<274186, Assoc_voc,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
239,35<x<53, Private,21174<x<274186, 7th_8th,1<x<4, Not_in_family, White, Male,25<x<50, United_States,LOW
240,35<x<53, Private,21174<x<274186, Bachelors,x>12, Own_child, White, Female,25<x<50, United_States,LOW
241,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,50<x<74, United_States,LOW
242,x<17, Private,21174<x<274186, 11th,4<x<8, Own_child, White, Male,1<x<25, United_States,LOW
243,53<x<71, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
244,17<x<35, Private,274186<x<527198, 11th,4<x<8, Husband, White, Male,25<x<50, United_States,LOW
245,35<x<53, Self_emp_inc,21174<x<274186, Some_college,8<x<12, Husband, Asian_Pac_Islander, Male,x>74, Thailand,HIGH
